HCH_009_011_000000	三年春正月己亥朔，日有食之。
HCH_009_011_000001	辛丑，宋、夏遣使來賀。
HCH_009_011_000002	癸卯，諭有司：「凡館接伴並奉使者，毋以語言相勝，務存大體。奉使者亦必得其人乃可。」
HCH_009_011_000003	乙卯，詔罷講議所。
HCH_009_011_000004	丙辰，如城南春水。
HCH_009_011_000005	丁巳，並上京、東京兩路提刑司為一，提刑使、副兼安撫使、副，安撫專掌教習武事，毋令改其本俗。
HCH_009_011_000006	己未，以都南行宮名建春。
HCH_009_011_000007	甲子，至自春水。
HCH_009_011_000008	乙丑，宋主以祖母喪，遣使告哀。
HCH_009_011_000009	二月己巳朔，幸建春宮。
HCH_009_011_000010	辛巳，諭宰臣曰：「自今內外官有闕，有才能可任者，雖資歷未及，亦具以聞。雖親故，毋有所避。」
HCH_009_011_000011	以武衛軍都指揮使烏林答天益等為宋弔祭使。
HCH_009_011_000012	甲申，至自建春宮。
HCH_009_011_000013	丙戌，斜出內附。
HCH_009_011_000014	辛卯，平章政事粘割斡特剌薨。
HCH_009_011_000015	三月戊戌，以禮部尚書張暐為御史大夫。
HCH_009_011_000016	壬寅，復榷醋。
HCH_009_011_000017	甲寅，如萬甯宮。
HCH_009_011_000018	丁巳，敕隨處盜賊，毋以強為竊，以多為少，以有為無。
HCH_009_011_000019	嘯聚三十人以上奏聞，違者杖百。
HCH_009_011_000020	丙寅，高麗王王皓以弟𧦬權國事，遣使奉表來告。
HCH_009_011_000021	夏四月戊戌朔，諭有司：「宰相遇雨，可循殿廡出入。」
HCH_009_011_000022	丙申，諭御史台曰：「隨朝大小官雖有才能，率多苟簡，朕甚惡之，其察舉以聞。提刑司所察廉能汙濫官，皆當殿奏，餘事可轉以聞。」
HCH_009_011_000023	以侍御史孫俁為宣問高麗王王皓使。
HCH_009_011_000024	五月庚子，右宣徽使張汝方以漏泄廷議，削官兩階。
HCH_009_011_000025	壬寅，射柳、擊球，縱百姓觀。
HCH_009_011_000026	戊申，以客省使移剌郁為夏國生日使。
HCH_009_011_000027	甲子，參知政事楊伯通表乞致仕，不許。
HCH_009_011_000028	秋七月丙午，幸香山。
HCH_009_011_000029	己酉，如萬甯宮。
HCH_009_011_000030	甲寅，還宮。
HCH_009_011_000031	八月辛未，獵於近郊。
HCH_009_011_000032	癸酉，獵於香山。
HCH_009_011_000033	戊寅，如萬甯宮。
HCH_009_011_000034	庚辰，以護衛石和尚為押軍萬戶，率親軍八百人、武衛軍千六百人戍西北路。
HCH_009_011_000035	癸未，還宮。
HCH_009_011_000036	宋遣使來報謝。
HCH_009_011_000037	九月丙申朔，天壽節，宋、夏遣使來賀。
HCH_009_011_000038	以中都路都轉運使孫鐸等為賀宋生日使。
HCH_009_011_000039	乙巳，獵於近郊。
HCH_009_011_000040	庚戌，參知政事楊伯通再表乞致政，不許。
HCH_009_011_000041	戊午，木波進馬。
HCH_009_011_000042	冬十月庚午，獵於近郊。
HCH_009_011_000043	癸未，行樞密院言斜出等請開榷場於轄裏嫋，從之。
HCH_009_011_000044	丁亥，定官民存留見錢之數，設回易務，更立行用鈔法。
HCH_009_011_000045	十一月丁酉，樞密使兼平章政事襄至自軍，癸卯，以為尚書左丞相，監修國史。
HCH_009_011_000046	丁未，乙太常卿楊庭筠等為賀宋正旦使。
HCH_009_011_000047	戊申，詔獎諭樞密副使夾穀衡以下將士。
HCH_009_011_000048	辛亥，定屬托法。
HCH_009_011_000049	定軍前官吏賞格。
HCH_009_011_000050	以邊事定，詔中外，減死罪，徒已下釋之。
HCH_009_011_000051	賜左丞相襄以下將士金幣有差。
HCH_009_011_000052	甲寅，冬獵。
HCH_009_011_000053	十二月甲子朔，獵于酸棗林。
HCH_009_011_000054	大風寒，罷獵，凍死者五百餘人。
HCH_009_011_000055	己巳，還都。
HCH_009_011_000056	丙戌，尚書右丞嵒罷。
HCH_009_011_000057	高麗權國事王𧦬遣使奉表來告。
HCH_009_011_000058	四年春正月癸巳朔，宋、高麗、夏遣使來賀。
HCH_009_011_000059	乙巳，尚書左董師中致仕。
