HCH_009_017_000000	哀宗諱守緒，初諱守禮，又諱寧甲速，宣宗第三子。
HCH_009_017_000001	母曰明惠皇后王氏，賜姓溫敦氏，仁聖皇后之女兄也。
HCH_009_017_000002	承安三年八月二十三日生於翼邸，仁聖無子，養為己子。
HCH_009_017_000003	泰和中，授金紫光祿大夫。
HCH_009_017_000004	宣宗登極，進封遂王，授秘書監，改樞密使。
HCH_009_017_000005	貞祐初，莊獻太子守忠薨，立皇孫鏗為皇太孫，尋又薨。
HCH_009_017_000006	四年正月己卯，立守禮為皇太子，仍控制樞密院事，詔略曰：「子以母貴，遂王守禮地鄰塚嫡，慶集元妃，立為皇太子，其典禮有司條具以聞。」
HCH_009_017_000007	四月甲午，用太子少保張行信言，更賜名守緒。
HCH_009_017_000008	元光二年十二月庚寅，宣宗崩。
HCH_009_017_000009	辛卯，奉遺詔即皇帝位於柩前。
HCH_009_017_000010	壬辰，詔大赦，略曰：「朕述先帝之遺意，有便於時欲行而未及者，悉奉而行之。國家已有定制，有司往往以情破法，使人罔遭刑憲，今後有本條而不遵者，以故入人罪罪之。草澤士庶，許令直言軍國利害，雖涉譏諷無可採取者，並不坐罪。」
HCH_009_017_000011	正大元年春正月戊戌朔，詔改元正大。
HCH_009_017_000012	庚子，上居廬，百官始奏事。
HCH_009_017_000013	秘書監、權吏部侍郎蒲察合住改恆州刺史，左司員外郎泥旁古華山同知楨州軍州事，逐二奸臣，大夫士相賀。
HCH_009_017_000014	邠州節度使移剌朮納阿卜貢白兔，詔曰：「得賢臣輔佐，年谷豐登，此上瑞也，焉事此為。令有司給道裏費，從之本土。禮部其遍諭四方，使知朕意。」
HCH_009_017_000015	丁巳，詔朝臣議修復河中府。
HCH_009_017_000016	禮部尚書趙秉文、太常卿楊雲翼等言，陝西民方疲敝，未堪力役。
HCH_009_017_000017	遂止。
HCH_009_017_000018	戊午，上始視朝。
HCH_009_017_000019	大司農、守汝州防禦使李蹊為太常卿，權參知政事。
HCH_009_017_000020	平章政事荊王守純罷，判睦親府。
HCH_009_017_000021	參知政事僕散五斤罷，充大行山陵使。
HCH_009_017_000022	尊皇后溫敦氏、元妃溫敦氏皆為皇太后，號其宮一曰仁聖，一曰慈聖。
HCH_009_017_000023	百官入賀於隆德殿。
HCH_009_017_000024	是日，大風飄端門瓦。
HCH_009_017_000025	赤盞合喜權樞密副使。
HCH_009_017_000026	有男子服麻衣，望承天門且笑且哭。
HCH_009_017_000027	詰之，則曰：「吾笑，笑將相無人；吾哭，哭金國將亡。」
HCH_009_017_000028	群臣請置重典，上持不可，曰：「近詔草澤諸人直言，雖涉譏訕不坐。」
HCH_009_017_000029	法司唯以君門非笑哭之所，重杖而遣之。
HCH_009_017_000030	南陽民布陳謀反，伏誅。
HCH_009_017_000031	三月，熒惑犯左執法。
HCH_009_017_000032	戊申，奉安宣宗禦容于孝嚴寺。
HCH_009_017_000033	辛亥，丞相高汝礪薨。
HCH_009_017_000034	癸丑，葬宣宗於德陵。
HCH_009_017_000035	甲寅。
HCH_009_017_000036	起複邠州節度使致仕張行信為尚書左丞。
HCH_009_017_000037	以延安帥臣完顏合達戰禦有功，授金虎符，權參知政事，行尚書省事於京兆，兼統河東兩路。
HCH_009_017_000038	夏四月癸酉，宣宗祔廟，大赦中外。
HCH_009_017_000039	熒惑犯右執法。
HCH_009_017_000040	五月戊戌，平章政事把胡魯薨。
HCH_009_017_000041	癸卯，樞密副使完顏賽不為平章政事，權參知政事石盞尉忻為尚書右丞，太常卿李蹊為翰林承旨，仍權參政。
HCH_009_017_000042	甲辰，賜策論進士孛朮論長河以下十餘人及第，經義進士張介以下五人及第。
HCH_009_017_000043	戊申，賜詞賦進士王鶚以下五十人及第。
HCH_009_017_000044	詔刑部，登聞檢、鼓院，毋銷閉防護，聽有冤者陳訴。
HCH_009_017_000045	六月甲戌，宰執請擊鞠，上以心喪不許，辛卯，立妃徒單氏為皇后。
HCH_009_017_000046	遣樞密判官移剌蒲阿率兵至光州，榜諭宋界軍民更不南伐。
HCH_009_017_000047	秋七月己亥，詔諭百官各勤乃職。
HCH_009_017_000048	癸卯，補修大樂。
HCH_009_017_000049	九月，樞密判官移剌蒲阿複澤、潞、獲馬千疋。
HCH_009_017_000050	冬十月戊午，夏國遣使來修好。
HCH_009_017_000051	十二月乙巳，恆州刺史蒲察合住有罪，伏誅。
HCH_009_017_000052	甲寅，宣宗小祥，燒飯於德陵。
HCH_009_017_000053	改定辟舉縣令法，以六事課縣令。
