HCH_009_027_000000	金始克宋，兩河悉畀劉豫。
HCH_009_027_000001	豫亡，河遂盡入金境。
HCH_009_027_000002	數十年間，或決或塞，遷徙無定。
HCH_009_027_000003	金人設官置屬，以主其事。
HCH_009_027_000004	沿河上下凡二十五埽，六在河南，十九在河北，埽設散巡河官一員。
HCH_009_027_000005	雄武、滎澤、原武、陽武、延津五埽則兼汴河事，設黃汴都巡河官一員于河陰以蒞之。
HCH_009_027_000006	懷州、孟津、孟州及城北之四埽則兼沁水事，設黃沁都巡河官一員於懷州以臨之。
HCH_009_027_000007	崇福上下、衛南、淇上四埽屬衛南都巡河官，則居新鄉。
HCH_009_027_000008	武城、白馬、書城、教城四埽屬浚滑都巡河官，則處教城。
HCH_009_027_000009	曹甸都巡河官則總東明、西佳、孟華、淩城四埽。
HCH_009_027_000010	曹濟都巡河官則司定陶、濟北、寒山、金山四埽者也。
HCH_009_027_000011	故都巡河官凡六員。
HCH_009_027_000012	後又特設崇福上下埽都巡河官兼石橋使。
HCH_009_027_000013	凡巡河官，皆從都水監廉舉，總統埽兵萬二千人，歲用薪百一十一萬三千餘束，草百八十三萬七百餘束，樁杙之木不與，此備河之恆制也。
HCH_009_027_000014	大定八年六月，河決李固渡，水潰曹州城，分流于單州之境。
HCH_009_027_000015	九年正月，朝廷遣都水監梁肅往視之。
HCH_009_027_000016	河南統軍使宗室宗敘言：「大河所以決溢者，以河道積淤，不能受水故也。今曹、單雖被其患，而兩州本以水利為生，所害農田無幾。今欲河複故道，不惟大費工役，又卒難成功。縱能塞之，他日霖潦，亦將潰決，則山東河患又非曹、單比也。又沿河數州之地，驟興大役，人心動搖，恐宋人乘間構為邊患。」
HCH_009_027_000017	而肅亦言：「新河水六分，舊河水四分，今若塞新河，則二水複合為一。如遇漲溢，南決則害于南京，北決則山東、河北皆被其害。不若李固南築堤以防決溢為便。」
HCH_009_027_000018	尚書省以聞，上從之。
