HCH_009_052_000000	金制，文武選皆吏部統之。
HCH_009_052_000001	自從九品至從七品職事官，部擬。
HCH_009_052_000002	正七品以上，呈省以聽制授。
HCH_009_052_000003	凡進士則授文散官，謂之文資官。
HCH_009_052_000004	自余皆武散官，謂之右職，又謂之右選。
HCH_009_052_000005	文資則進士為優，右職則軍功為優，皆循資，有升降定式而不可越。
HCH_009_052_000006	凡銓注，必取求仕官解由，撮所陳行績資歷之要為銓頭，以定其能否？
HCH_009_052_000007	其有犯公私罪贓汙者，謂之犯選格，則雖遇恩而不得與。
HCH_009_052_000008	舊制，犯追一官以至追四官，皆解任周年，而複仕之。
HCH_009_052_000009	承安二年，定制，每追一官則殿一年，凡罷職會赦當敘者，及降殿當除者，皆具罪以聞，而後仕之。
HCH_009_052_000010	凡增課升至六品者，任回復降。
HCH_009_052_000011	既廉升而再任覆察不同者，任回亦降。
HCH_009_052_000012	自進士、舉人、勞效、廕襲、恩例之外，入仕之途尚多，而所定之時不一。
HCH_009_052_000013	若牌印、護衛、令史之出職，則皇統時所定者也。
HCH_009_052_000014	檢法、知法、國史院書寫，則海陵庶人所置者也。
HCH_009_052_000015	若宗室將軍、宮中諸局承應人、宰相書表、太子護衛、妃護衛、王府祗候郎君、內侍、及宰相之子、並譯史、通事、省祗候郎君、親軍驍騎諸格，則定于世宗之時，及章宗所置之太常檢討、內侍寄祿官，皆仕進之門戶也。
HCH_009_052_000016	凡官資以三十月為考，職事官每任以三十月為滿，群牧使及管課官以三周歲為滿，防禦使以四十月、三品以上官則以五十月、轉運則以六十月為滿。
HCH_009_052_000017	司天、太醫、內侍官皆至四品止。
HCH_009_052_000018	凡外任循資官謂之常調，選為朝官謂之隨朝，隨朝則每考升職事一等，若以廉察而升者為廉升，授東北沿邊州郡而升者為邊升。
HCH_009_052_000019	凡院務監當差使則皆從九品。
HCH_009_052_000020	凡品官任都事、典事、主事、知事、及尚書省令史、覆實、架閣司管勾、直省直院局長副、檢法、知法、院務監當差使、及諸令史、譯史、掌書、書史、書吏、譯書、譯人、通事、並諸局分承應有出身者，皆為流外職。
HCH_009_052_000021	凡此之屬，或以尚書省差遣，或自本司判補，其出職或正班，雜班，則莫不有當曆之名職。
HCH_009_052_000022	既仕則必循升降之定式，雖或前後略有損益之殊，而定制則莫能渝焉。
HCH_009_052_000023	凡門廕之制，天眷中，一品至八品皆不限所廕之人。
HCH_009_052_000024	貞元二年，定廕敘法，一品至七品皆限以數，而削八品用廕之制。
HCH_009_052_000025	世宗大定四年五月，詔：「皇家袒免以上親，就廕者依格引試，中選者勿令當儤使。」
HCH_009_052_000026	五年十月，制：「亡宋官當廕子孫者，並同亡遼官用廕。」
HCH_009_052_000027	又曰：「教坊出身人，若任流內職者，與文武同用廕。自餘有勤勞者，賞賜而已。昔正隆時常使教坊輩典城牧民，朕甚不取。」
HCH_009_052_000028	又更定冒廕及取廕官罪賞格。
HCH_009_052_000029	七年五月，命司天臺官四品以上官改授文武資者，並聽如太醫例廕。
HCH_009_052_000030	其制，凡正班，廕亦正班；雜班，廕雜班。
HCH_009_052_000031	明昌元年，以上封事者乞六品官添廕，吏部言：「天眷中，八品用廕，不限所廕之人。貞元中，七品用廕，方限以數。當是時，文始於將仕，武始於進義，以上至七品儒林、忠顯，各七階，許廕一名。至六品承直、昭信，計九階，許廕二人。自大定十四年，文武官從下各增二階，其七品視舊為九階，亦廕一人，至五品凡十七階，方廕二人，其五品至三品並無間越，唯六品不用廕。乞依舊格，五品以上增廕一名，六品廕子孫兄弟二人，七品仍舊為格。」
