HCH_009_068_000000	歡都，完顏部人。
HCH_009_068_000001	祖石魯，與昭祖同時同部同名，交相得，誓曰：「生則同川居，死則同穀葬。」
HCH_009_068_000002	土人呼昭祖為勇石魯，呼石魯為賢石魯。
HCH_009_068_000003	初，烏薩紮部有美女名罷敵悔，青嶺東混同江蜀束水人掠而去，生二女，長曰達回，幼曰滓賽。
HCH_009_068_000004	昭祖與石魯謀取之，遂偕至嶺右，炷火於箭端而射。
HCH_009_068_000005	蜀束水人怪之，皆走險阻，久之，無所複見，卻還所居。
HCH_009_068_000006	昭祖及石魯以眾至，攻取其貲產，虜二女子以歸。
HCH_009_068_000007	昭祖納其一，賢石魯納其一，皆以為妾。
HCH_009_068_000008	是時，諸部不肯用條教，昭祖耀武於青嶺、白山，入于蘇濱、耶懶之地，賢石魯佐之也。
HCH_009_068_000009	其後別去。
HCH_009_068_000010	至景祖時，石魯之子劾孫舉部來歸，居於安出虎水源胡凱山南。
HCH_009_068_000011	胡凱山者，所謂和陵之地是也。
HCH_009_068_000012	歡都，劾孫子。
HCH_009_068_000013	世祖初襲節度使，而跋黑以屬尊，蓄異謀，不可制。
HCH_009_068_000014	諸部不肯受約束，相繼為變。
HCH_009_068_000015	歡都入與謀議，出臨戰陣，未嘗去左右。
HCH_009_068_000016	斡勒部人杯乃，自景祖時與其兄弟俱居安出虎水之北，及烏春作難，杯乃將與烏春合，間誘斡魯紺出水居人與之相結，欲先除去歡都。
HCH_009_068_000017	會其家被火，陰約隸人不歌束，詭稱放火乃歡都、胡土二人，使注都來謂世祖曰：「不歌束來告曰'前日之火，歡都等縱之'。若不棄舊好，其執縱火之人以來。」
HCH_009_068_000018	世祖疑之。
HCH_009_068_000019	石盧斡勒勃堇曰：「杯乃兄弟也，豈以一二人之故，而與兄弟構怨乎。彼自取之，又將尤誰，不如與之便。」
HCH_009_068_000020	歡都被甲執戟而起曰：「彼為亂之人也，若取太師兄弟，則亦與之乎。今取我輩，我輩決不可往，若必用戰，當盡力致死。」
HCH_009_068_000021	穆宗曰：「壯哉歡都，以我所見，正如此爾。」
HCH_009_068_000022	贈歡都以馬，曰：「戰則乘此。」
HCH_009_068_000023	眾皆稱善。
HCH_009_068_000024	世祖乃往見杯乃，隔鱉刺水而與之言曰：「不歌束既告縱火由歡都等，謹當如約。當先遣不歌束來。」
HCH_009_068_000025	不歌束至，世祖于馬前殺之，使杯乃見之。
HCH_009_068_000026	既而聞之，放火者杯乃家人阿出胡山也，杯乃欲開此釁，故以誣歡都雲。
HCH_009_068_000027	臘醅、麻產與世祖遇于野鵲水。
HCH_009_068_000028	日已曛，惟從五六十騎，歡都入敵陣鏖擊之，左右出入者數四，世祖中創乃止。
HCH_009_068_000029	烏春、窩謀罕據活刺渾水，世祖既許之降，遂還軍。
