HCH_009_079_000000	酈瓊，字國寶，相州臨漳人。
HCH_009_079_000001	補州學生。
HCH_009_079_000002	宋宣和間，盜賊起，瓊乃更學擊刺挽強，試弓馬，隸宗澤軍，駐於磁州。
HCH_009_079_000003	未幾告歸，括集義軍七百人，複從澤，澤署瓊為七百人長。
HCH_009_079_000004	澤死，調戍滑州。
HCH_009_079_000005	時宗望伐宋，將渡河。
HCH_009_079_000006	戍軍亂，殺其統制趙世彥，而推瓊為主。
HCH_009_079_000007	瓊因誘眾，號為勤王，行且收兵。
HCH_009_079_000008	比渡淮，有眾萬餘。
HCH_009_079_000009	康王以為楚州安撫使、淮南東路兵馬鈐轄，累遷武泰軍承宣使。
HCH_009_079_000010	未幾，率所領步騎十余萬附于齊，授靜難軍節度使，知拱州。
HCH_009_079_000011	齊國廢，以為博州防禦使。
HCH_009_079_000012	用廉，遷驃騎上將軍。
HCH_009_079_000013	宗弼複河南，以瓊為山東路弩手千戶，知亳州事。
HCH_009_079_000014	丁母憂，去官。
HCH_009_079_000015	宗弼再伐江南，以瓊素知南方山川險易，召至軍與計事。
HCH_009_079_000016	從容語同列曰：「瓊嘗從大軍南伐，每見元帥國王親臨陣督戰，矢石交集，而王免胄，指麾三軍，意氣自若，用兵制勝，皆與孫、吳合，可謂命世雄材矣。至於親冒鋒鏑，進不避難，將士視之，孰敢愛死乎。宜其所向無前，日辟國千里也。江南諸帥，才能不及中人。每當出兵，必身居數百裏外，謂之持重。或督召軍旅，易置將校，僅以一介之士持虛文諭之，謂之調發。制敵決勝委之偏裨，是以智者解體，愚者喪師。幸一小捷，則露布飛馳，增加俘級以為己功，斂怨將士。縱或親臨，亦必先遁。而又國政不綱，才有微功，已加厚賞，或有大罪，乃置而不誅。不即覆亡，已為天幸，何能振起耶？」
HCH_009_079_000017	眾以為確論。
HCH_009_079_000018	元帥，謂宗弼也。
HCH_009_079_000019	及宗弼問瓊以江南成敗，誰敢相拒者。
HCH_009_079_000020	瓊曰：「江南軍勢怯弱，皆敗亡之餘，又無良帥，何以禦我。頗聞秦檜當國用事。檜，老儒，所謂亡國之大夫，兢兢自守，惟顛覆是懼。吾以大軍臨之，彼之君臣，方且心破膽裂，將哀鳴不暇，蓋傷弓之鳥可以虛弦下也。」
HCH_009_079_000021	既而江南果稱臣，宗弼喜瓊為知言。
HCH_009_079_000022	初，瓊去亳未幾，宋兵陷之而不守，複棄去，乃以州人宋超守之。
HCH_009_079_000023	及大軍至，超複以州事委其鈐轄衛經而遁去。
HCH_009_079_000024	帥府使人招經，經不下。
HCH_009_079_000025	及城潰，百姓惶懼待命，瓊請于元帥曰：「城所不下者，凶豎劫之也。民何罪，願慰安之。」
HCH_009_079_000026	元帥以瓊先嘗守亳，因止戮經而釋其州人，複命瓊守亳。
HCH_009_079_000027	凡六年，亳人德之。
HCH_009_079_000028	遷武甯軍節度使。
HCH_009_079_000029	八年，為泰甯軍節度使。
HCH_009_079_000030	九年，遷歸德尹。
HCH_009_079_000031	貞元元年，加金紫光祿大夫，卒于官，年五十。
HCH_009_079_000032	李成，字伯友，雄州歸信人。
HCH_009_079_000033	勇力絕倫，能挽弓三百斤。
HCH_009_079_000034	宋宣和初，試弓手，挽強異等。
HCH_009_079_000035	累官淮南招捉使。
HCH_009_079_000036	成乃聚眾為盜，鈔掠江南，宋遣兵破之，成遂歸齊，累除知開德府，從大軍伐宋。
HCH_009_079_000037	齊廢，再除安武軍節度使。
HCH_009_079_000038	成在降附諸將中最勇鷙，號令甚嚴，眾莫敢犯。
HCH_009_079_000039	臨陣身先諸將。
HCH_009_079_000040	士卒未食不先食，有病者親視之。
HCH_009_079_000041	不持雨具，雖沾濕自如也。
HCH_009_079_000042	有告成反者，宗弼察其誣，使成自治，成杖而釋之，其不校如此。
HCH_009_079_000043	以此士樂為用，所至克捷。
HCH_009_079_000044	宗弼再取河南，宋李興據河南府。
HCH_009_079_000045	成引軍入孟津。
HCH_009_079_000046	興率眾薄城，鼓噪請戰，成不應。
HCH_009_079_000047	日下昃，興士卒倦且饑，成開門急擊，大破之。
HCH_009_079_000048	興走漢南，成遂取洛陽、嵩、汝等。
HCH_009_079_000049	河南平，宗弼奏成為河南尹，都管押本路兵馬。
HCH_009_079_000050	嘗取官羨粟充公費，坐奪兩官，解職。
HCH_009_079_000051	正隆間，起為真定尹，封郡王，例封濟國公。
HCH_009_079_000052	卒，年六十九。
HCH_009_079_000053	孔彥舟，字巨濟，相州林慮人。
HCH_009_079_000054	亡賴，不事生產，避罪之汴，占籍軍中。
HCH_009_079_000055	坐事繫獄，說守者解其縛，乘夜逾城遁去。
HCH_009_079_000056	已而殺人，亡命為盜。
HCH_009_079_000057	宋靖康初，應募，累官京東西路兵馬鈐轄。
HCH_009_079_000058	聞大軍將至山東，遂率所部，劫殺居民，燒廬舍，掠財物，渡河南去。
HCH_009_079_000059	宋人複招之，以為沿江招捉使。
HCH_009_079_000060	彥舟暴橫，不奉約束，宋人將以兵執之，彥舟走之齊，從劉麟伐宋，為行軍都統，改行營左總管。
HCH_009_079_000061	齊國廢，累知淄州。
HCH_009_079_000062	從宗弼取河南，克鄭州，擒其守劉政，破孟邦傑于登封，授鄭州防禦使。
HCH_009_079_000063	討平太行車轅嶺賊。
HCH_009_079_000064	從征江南，渡淮，破孫暉兵萬餘人，下安豐、霍丘。
HCH_009_079_000065	及攻濠州，以彥舟為先鋒，順流薄城，擒其水軍統制邵青，遂克濠州。
HCH_009_079_000066	師還，累官工、兵部尚書，河南尹，封廣平郡王。
HCH_009_079_000067	正隆例降金紫光祿大夫，改西京留守。
HCH_009_079_000068	彥舟荒於色，有禽獸行。
HCH_009_079_000069	妾生女姿麗，彥舟苦虐其母，使自陳非己女，遂納為妾。
HCH_009_079_000070	其官屬負官錢，私其妻與折券。
HCH_009_079_000071	惟破濠州時，諸軍凡系獲皆殺之，彥舟號令毋輒殺，免者數千人，人頗以此稱之。
HCH_009_079_000072	然自幼至老常在行伍，習兵事，知利鈍。
HCH_009_079_000073	海陵欲以為征南將佐，正隆五年，除南京留守。
HCH_009_079_000074	彥舟有疾，朝臣有傳彥舟死者，而彥舟尚無恙，海陵盡杖妄傳彥舟死者，以激勵之。
HCH_009_079_000075	無何竟死於汴，年五十五。
HCH_009_079_000076	遺表言「伐宋當先取淮南」雲。
HCH_009_079_000077	徐文，字彥武，萊州掖縣人，徙膠水。
HCH_009_079_000078	少時販鹽為業，往來瀕海數州，剛勇尚氣，儕輩皆憚之。
HCH_009_079_000079	宋季盜起，募戰士，為密州板橋左十將。
HCH_009_079_000080	勇力過人，揮巨刀重五十斤，所向無前，人呼為「徐大刀」。
HCH_009_079_000081	後隸王龍圖麾下，與夏人戰，生擒一將，補進武校尉。
HCH_009_079_000082	東還，破群賊楊進等，轉承信郎。
HCH_009_079_000083	宋康王渡江，召文為樞密院準備將，擒苗傅及韓世績，以功遷淮東、浙西、沿海水軍都統制。
HCH_009_079_000084	諸將忌其材勇。
HCH_009_079_000085	是時，李成、孔彥舟皆歸齊，宋人亦疑文有北歸志，大將閻皋與文有隙，因而譖之。
HCH_009_079_000086	宋使統制硃師敏來襲文，文乃率戰艦數十艘泛海歸於齊。
HCH_009_079_000087	齊以文為海、密二州滄海都招捉使兼水軍統制，遷海道副都統兼海道總管，賜金帶。
HCH_009_079_000088	文以策幹劉豫，欲自海道襲臨安，豫不能用。
HCH_009_079_000089	齊國廢，元帥府承制以文為南京步軍都虞候，權馬步軍都指揮使。
HCH_009_079_000090	天眷元年，破太行賊梁小哥，以本職兼水軍統制。
HCH_009_079_000091	朝廷以河南與宋，除文山東路兵馬鈐轄。
HCH_009_079_000092	宗弼複取河南，文破宋將李寶于濮陽、孟邦傑于登封。
HCH_009_079_000093	宋蔣知軍據河陽，文遲明至其城下，使別將攻城東北，自將精銳潛師襲南門。
HCH_009_079_000094	城中悉眾救東北，文乃自南門斬關入城。
HCH_009_079_000095	宋軍潰去，追擊敗之。
HCH_009_079_000096	破郭清、郭遠於汝州。
HCH_009_079_000097	鄭州叛，複取之，擊走宋將戚方。
HCH_009_079_000098	河南既平，宗弼勞賞將士，賞文銀幣鞍馬。
HCH_009_079_000099	充行軍萬戶，從宗弼取廬、濠等州，超換武義將軍。
HCH_009_079_000100	知濟州，在職七年，移知泰安軍。
HCH_009_079_000101	海陵即位，錄舊功，累遷中都兵馬都指揮使，賜金帶，改浚州防禦使。
HCH_009_079_000102	未幾，海陵謀伐宋，改行都水監，監造戰船於通州。
HCH_009_079_000103	東海縣人徐元、張旺作亂，縣人房真等三人走海州，及走總管府，上變。
HCH_009_079_000104	州、府皆遣使效隨真等詣東海觀賊形勢，皆為賊所害。
HCH_009_079_000105	州、府合兵攻之，累月不下。
HCH_009_079_000106	海陵且欲伐宋，惡聞其事，詔文與步軍指揮使張弘信、同知大興尹李惟忠、宿直將軍蕭阿窊率舟師九百浮海討之，謂文等曰：「朕意不在一邑，將以試舟師耳。」
HCH_009_079_000107	文等至東海，與賊戰，敗之，斬首五千餘級，獲徐元、張旺，餘眾請降。
