HCH_009_099_000000	徒單鎰本名按出，上京路速速保子猛安人。
HCH_009_099_000001	父烏輦，北京副留守。
HCH_009_099_000002	鎰穎悟絕倫，甫七歲，習女直字。
HCH_009_099_000003	大定四年，詔以女直字譯書籍。
HCH_009_099_000004	五年，翰林侍講學士徒單子溫進所譯《貞觀政要》、《白氏策林》等書。
HCH_009_099_000005	六年，複進《史記》、《西漢書》，詔頒行之。
HCH_009_099_000006	選諸路學生三十余人，令編修官溫蒂罕締達教以古書，習作詩、策。
HCH_009_099_000007	鎰在選中，最精詣，遂通契丹大小字及漢字，該習經史。
HCH_009_099_000008	久之，樞密使完顏思敬請教女直人舉進士，下尚書省議。
HCH_009_099_000009	奏曰：「初立女直進士科，且免鄉、府兩試，其禮部試、廷試，止對策一道，限字五百以上成。在都設國子學，諸路設府學，並以新進士充教授，士民子弟願學者聽。歲久，學者當自眾，即同漢人進士三年一試。」
HCH_009_099_000010	從之。
HCH_009_099_000011	十三年八月，詔策女直進士，問以求賢為治之道。
HCH_009_099_000012	侍御史完顏蒲涅、太常博士李晏、應奉翰林文字阿不罕德甫、移刺傑、中都路都轉運副使奚釭考試鎰等二十七人及第。
HCH_009_099_000013	鎰授兩官，餘授一官，上三人為中都路教授，四名以下除各路教授。
HCH_009_099_000014	十五年，詔譯諸經，著作佐郎溫蒂罕締達、編修官宗璧、尚書省譯史阿魯、吏部令史楊克忠譯解，翰林修撰移刺傑、應奉翰林文字移刺履講究其義。
HCH_009_099_000015	鎰自中都路教授選為國子助教。
HCH_009_099_000016	左丞相紇石烈良弼嘗到學中與鎰談論，深加禮敬。
HCH_009_099_000017	丁母憂，起複國史院編修官。
HCH_009_099_000018	世宗嘗問太尉完顏守道曰：「徒單鎰何如人也？」
HCH_009_099_000019	守道對曰：「有材力，可任政事。」
HCH_009_099_000020	上曰：「然，當以劇任處之。」
HCH_009_099_000021	又曰：「鎰容止溫雅，其心平易。」
HCH_009_099_000022	久之，兼修起居注，累遷翰林待制，兼右司員外郎。
HCH_009_099_000023	獻《漢光武中興賦》，世宗大悅曰：「不設此科，安得此人。」
HCH_009_099_000024	章宗即位，遷左諫議大夫，兼吏部侍郎。
HCH_009_099_000025	明昌元年，為御史中丞。
HCH_009_099_000026	無何，拜參知政事，兼修國史。
HCH_009_099_000027	鎰言：「人生有欲，不限以制，則侈心無極。今承平日久，當慎行此道，以為經久之治。」
HCH_009_099_000028	章宗銳意于治平，鎰上書，其略曰：「臣竊觀唐、虞之書，其臣之進言於君曰'戒哉'，'懋哉'，曰'籲'，曰'都'。既陳其戒，複導其美。君之為治也，必曰：'稽於眾，舍己從人'。既能聽之，又能行之，又從而興起之。君臣上下之間相與如此。陛下繼興隆之運，撫太平之基，誠宜稽古崇德，留意於此，無因物以好惡喜怒，無以好惡喜怒輕忽小善，不恤人言。夫上下之情有通塞，天地之運有否泰。唐陸贄嘗陳隔塞之九弊，上有其六，下有其三。陛下能慎其六，為臣子者敢不慎其三哉！上下之情既通，則大綱舉而群目張矣。」
HCH_009_099_000029	進尚書右丞，修史如故。
HCH_009_099_000030	三年，罷為橫海軍節度使，改定武軍節度使，知平陽府事。
HCH_009_099_000031	先是，鄭王永蹈判定武軍，鎬王永中判平陽府，相繼得罪，連引者眾，上疑其有黨，或命節度定武，繼又知平陽焉。
HCH_009_099_000032	改西京留守。
HCH_009_099_000033	承安三年，改上京留守。
HCH_009_099_000034	五年，上問宰臣：「徒單鎰與宗浩孰優？」
HCH_009_099_000035	平章政事張萬公對曰：「皆才能之士，鎰似優者。鎰有執守，宗浩多數耳。」
HCH_009_099_000036	上曰：「何謂多數？」
HCH_009_099_000037	萬公曰：「宗浩微似趨合。」
HCH_009_099_000038	上曰：「卿言是也。」
HCH_009_099_000039	頃之，鎰拜平章政事，封濟國公。
HCH_009_099_000040	淑妃李氏擅寵，兄弟恣橫，朝臣往往出入其門。
HCH_009_099_000041	是時烈風昏噎連日，詔問變異之由。
HCH_009_099_000042	鎰上疏略曰：「仁、義、禮、智、信謂之五常，父義、母慈、兄友、弟敬、子孝謂之五德。今五常不立，五德不興，縉紳學古之士棄禮義，忘廉恥，細民違道畔義，迷不知返，背毀天常，骨內相殘，動傷和氣，此非一朝一夕之故也。今宜正薄俗，順人心，父父子子夫夫婦婦，各得其道，然後和氣普洽，福祿薦臻矣。」
HCH_009_099_000043	因論：「為政之術，其急有二。一曰正臣下之心。竊見群下不明禮義，趨利者眾，何以責小民之從化哉。其用人也，德器為上，才美為下，兼之者待以不次，才下行美者次之，雖有才能，行義無取者，抑而下之，則臣下之趨向正矣。其二曰導學者之志。教化之行，興於學校。今學者失其本真，經史雅奧，委而不習，藻飾虛詞，釣取祿利，乞令取士兼問經史故實，使學者皆守經學，不惑于近習之靡，則善矣。」
HCH_009_099_000044	又曰：「凡天下之事，叢來者非一端，形似者非一體，法制不能盡，隱於近似，乃生異論。孔子曰：'義者天下之制也。'《記》曰：'義為斷之節。'伏望陛下臨制萬機，事有異議，少凝聖慮，尋繹其端，則裁斷有定，而疑可辨矣。」
HCH_009_099_000045	鎰言皆切時弊，上雖納其說，而不能行。
HCH_009_099_000046	上問漢高帝、光武優劣。
HCH_009_099_000047	平章政事張萬公對曰：「高祖優甚。」
HCH_009_099_000048	鎰曰：「光武再造漢業，在位三十年，無沈湎冒色之事。高祖惑戚姬，卒至於亂。由是言之，光武優。」
HCH_009_099_000049	上默然。
HCH_009_099_000050	鎰蓋以元妃李氏隆寵過盛，故微諫雲。
HCH_009_099_000051	泰和四年，罷知咸平府。
HCH_009_099_000052	五年，改南京留守。
HCH_009_099_000053	六年，徙知河中府，兼陝西安撫使。
