HCH_010_004_000000	會同元年春正月戊申朔，晉及諸國遣使來賀。
HCH_010_004_000001	晉使且言已命和凝撰《聖德神功碑》。
HCH_010_004_000002	戊辰，遣人使晉。
HCH_010_004_000003	二月壬午，室韋進白麃。
HCH_010_004_000004	戊子，鐵驪來貢。
HCH_010_004_000005	丁酉，獵松山。
HCH_010_004_000006	戊戌，幸遼河東。
HCH_010_004_000007	丙申，上思人皇王，遣惕隱率宗室以下祭其行宮。
HCH_010_004_000008	丁未，詔增晉使所經供億戶。
HCH_010_004_000009	三月壬戌，將東幸，三克言農務方興，請減輜重，促還朝，從之。
HCH_010_004_000010	丙寅，女直來貢。
HCH_010_004_000011	癸酉，東幸。
HCH_010_004_000012	夏四月戊寅朔，如南京。
HCH_010_004_000013	甲申，女直來貢。
HCH_010_004_000014	乙酉，幸溫泉。
HCH_010_004_000015	己丑，還宮，朝于皇太后。
HCH_010_004_000016	丁酉，女直貢弓矢。
HCH_010_004_000017	己亥，西南邊大詳穩耶律魯不古奏党項捷。
HCH_010_004_000018	五月甲寅，晉復遣使請上尊號，從之。
HCH_010_004_000019	六月丙子朔，吐谷渾及女直東貢。
HCH_010_004_000020	辛卯，南唐來貢。
HCH_010_004_000021	癸巳，詔建日月四時堂，圖寫古帝王事于兩廡。
HCH_010_004_000022	秋七月癸亥，遣使賜晉馬。
HCH_010_004_000023	丁卯，遣鶻離底使晉，梅里了古使南唐。
HCH_010_004_000024	戊辰，遣中台省右相耶律述蘭迭烈哥使晉，臨海軍節度使趙思溫副之，冊晉帝為英武明義皇帝。
HCH_010_004_000025	八月戊子，女直來貢。
HCH_010_004_000026	庚子，吐谷渾、烏孫、靺鞨皆來貢。
HCH_010_004_000027	九月庚戌，黑車子室韋貢名馬。
HCH_010_004_000028	邊臣奏晉遣守司空馮道、左散騎常侍韋勛來上皇太后尊號，左僕射劉昫、右諫議大夫盧重上皇帝尊號，遂遣監軍寅你已充接伴。
HCH_010_004_000029	壬子，詔群臣及高年，凡授大臣爵秩，皆賜錦袍、金帶、白馬、金飾鞍勒，著于令。
HCH_010_004_000030	冬十月甲戌朔，遣郎君迪里姑等撫問晉使。
HCH_010_004_000031	壬寅，晉遣使來謝冊禮。
HCH_010_004_000032	是日，復有使進獨峰駝及名馬。
HCH_010_004_000033	十一月甲辰朔，命南北宰相及夷離堇就館賜晉使馮道以下宴。
HCH_010_004_000034	丙午，上御開皇殿，召見晉使。
HCH_010_004_000035	壬子，皇太后御開皇殿，馮道、韋勛冊上尊號曰廣德至仁昭烈崇簡應天皇太后。
HCH_010_004_000036	甲子，行再生柴冊禮。
HCH_010_004_000037	丙寅，皇帝御宣政殿，劉昫、盧重冊上尊號曰睿文神武法天啟運明德章信至道廣敬昭孝嗣聖皇帝。
HCH_010_004_000038	大赦，改元會同。
HCH_010_004_000039	是月，晉復遣趙瑩奉表來賀，以幽、薊、瀛、莫、涿、檀、順、媯、儒、新、武、雲、應、朔、寰、蔚十六州並圖籍來獻。
HCH_010_004_000040	於是詔以皇都為上京，府曰臨潢。
HCH_010_004_000041	升幽州為南京，南京為東京。
HCH_010_004_000042	改新州為奉聖州，武州為歸化州。
HCH_010_004_000043	升北、南二院及乙室夷離堇為王，以主簿為令，令為刺史，刺史為節度使，二部梯里己為司徒，達剌干為副使，麻都不為縣令，縣達剌干為馬步。
HCH_010_004_000044	置宣徽、閤門使、控鶴、客省、御史大夫、中丞、侍御、判官、文班牙署、諸宮院世燭，馬群、遙輦世燭，南北府、國舅帳郎君官為敞史，諸部宰相、節度使帳為司空，二室韋闥林為僕射，鷹坊、監冶等局官長為詳穩。
HCH_010_004_000045	十二月戊戌，遣同括、阿缽等使晉，制加晉馮道守太傅，劉昫守太保，餘官各有差。
HCH_010_004_000046	二年春正月乙巳，以受晉冊，遣使報南唐、高麗。
HCH_010_004_000047	丁未，御開皇殿，宴晉使馮道以下，賜物有差。
HCH_010_004_000048	戊申，晉遣金吾衛大將軍馬從斌、考功郎中劉知新來貢珍幣，命分賜群臣。
HCH_010_004_000049	丙辰，晉遣使謝免沿邊四州錢幣。
HCH_010_004_000050	二月戊寅，宴諸王及節度使來賀受冊禮者，仍命皇太子、惕隱迪輦餞之。
HCH_010_004_000051	癸巳，謁太祖廟，賜在京吏民物，及內外群臣官賞有差。
HCH_010_004_000052	丁酉，加兼侍中、左金吾衛上將軍王鄑檢校太尉。
HCH_010_004_000053	三月，畋于褭潭之則。
HCH_010_004_000054	戊申，女直來貢。
HCH_010_004_000055	丁巳，封皇子述律為壽安王，罨撒葛為太平王。
HCH_010_004_000056	己巳，大賚百姓。
HCH_010_004_000057	夏四月乙亥，幸木葉山。
HCH_010_004_000058	癸巳，東京路奏狼食人。
HCH_010_004_000059	五月乙巳，禁南京鬻牝羊出境。
HCH_010_004_000060	思奴古多里等坐盜官物，籍其家。
HCH_010_004_000061	南唐遣使來貢。
HCH_010_004_000062	丁未，以所貢物賜群臣。
HCH_010_004_000063	戊申，回鶻單于使人乞授官，詔第加刺史、縣令。
HCH_010_004_000064	六月丁丑，雨雪。
HCH_010_004_000065	是夏，駐蹕頻蹕淀。
HCH_010_004_000066	秋七月戊申，晉遣使進犀帶。
HCH_010_004_000067	庚戌，吐谷渾來貢。
HCH_010_004_000068	乙卯，敞史阿缽坐奉使失職，命笞之。
HCH_010_004_000069	閏月癸未，乙室大王坐賦調不均，以木劍背撻而釋之；並罷南、北府民上供，及宰相、節度諸賦役非舊制者。
HCH_010_004_000070	乙酉，遣的烈賜晉烏古良馬。
HCH_010_004_000071	己丑，以南王府二刺史貪蠹，各杖一百，仍系虞候帳，備射鬼箭，選群臣為民所愛者代之。
HCH_010_004_000072	八月乙丑，晉遣使貢歲幣，奏輸戌、亥二歲金幣于燕京。
HCH_010_004_000073	九月甲戌，阻卜阿離底來貢。
HCH_010_004_000074	己卯，遣使使晉。
HCH_010_004_000075	冬十月丁未，上以烏古部水草肥美，詔北、南院徙三石烈戶居之。
HCH_010_004_000076	十一月丁亥，鐵驪、敦煌並遣使來貢。
HCH_010_004_000077	十二月庚子，釣魚于土河。
HCH_010_004_000078	甲子，回鶻使者傔人有以刃相擊者，詔付其使處之。
HCH_010_004_000079	三年春正月戊子，吳越王遣使來貢。
HCH_010_004_000080	庚寅，人皇王妃來朝。
HCH_010_004_000081	回鶻使乞觀諸國使朝見禮，從之。
HCH_010_004_000082	壬辰，遣陪謁阿缽使晉至生辰禮。
HCH_010_004_000083	晉以並、鎮、忻、代之吐谷渾來歸。
HCH_010_004_000084	二月己亥，奚王勞骨寧率六節度使朝貢。
HCH_010_004_000085	庚子，烏古遣使獻伏鹿國俘，賜其部夷離堇旗鼓以旌其功。
HCH_010_004_000086	壬寅，女直來貢。
HCH_010_004_000087	辛亥，墨離鶻末里使回鶻阿薩蘭還，賜對衣勞之。
HCH_010_004_000088	乙卯，鴨淥江女直遣使來覲。
HCH_010_004_000089	三月戊辰，遣使使晉，報幸南京。
HCH_010_004_000090	己巳，如南京。
HCH_010_004_000091	辛未，命惕隱耶律涅離骨德率萬騎先驅。
HCH_010_004_000092	壬申，次石嶺，以奚王勞骨寧、監軍寅你已朝謁不時，切責之。
HCH_010_004_000093	丙子，魯不姑上党項俘獲數。
HCH_010_004_000094	癸未，獵水門，獲白鹿。
HCH_010_004_000095	庚寅，詔扈從擾民者從軍律。
HCH_010_004_000096	甲午，幸薊州。
HCH_010_004_000097	乙未，晉及南唐各遣使來覲。
HCH_010_004_000098	夏四月庚子，至燕，備法駕，入自拱辰門，御元和殿，行入閤禮。
HCH_010_004_000099	壬寅，遣人使晉。
HCH_010_004_000100	乙巳，幸留守趙延壽別墅。
HCH_010_004_000101	丙午，晉遣宣徽使楊端、王眺等來問起居。
HCH_010_004_000102	壬子，御便殿，宴晉及諸國使。
HCH_010_004_000103	丙辰，晉遣使進茶藥。
HCH_010_004_000104	壬戌，御昭慶殿，宴南京群臣。
HCH_010_004_000105	癸亥，晉遣使賀端午，以所進節物賜群臣。
HCH_010_004_000106	乙丑，南唐進白龜。
HCH_010_004_000107	五月庚午，以端午宴群臣及諸國使，命回鶻、敦煌二使作本俗舞，俾諸使觀之。
HCH_010_004_000108	庚辰，晉遣使進弓矢。
HCH_010_004_000109	甲申，遣皇子天德及檢校司徒邸用和使晉。
HCH_010_004_000110	戊子，閱騎兵于南郊。
HCH_010_004_000111	六月乙未朔，東京宰相耶律羽之言渤海相大素賢不法，詔僚佐部民舉有才德者代之。
HCH_010_004_000112	丙申，閱步卒于南郊。
HCH_010_004_000113	庚子，晉及轄剌骨只遣使來見。
HCH_010_004_000114	壬寅，駕發燕京，命中書令蕭僧隱部諸道軍于長坐營。
HCH_010_004_000115	癸丑，次奉聖州。
HCH_010_004_000116	甲寅，勞軍士。
HCH_010_004_000117	秋七月己巳，獵猾底烈山。
HCH_010_004_000118	癸酉，朝于皇太后。
HCH_010_004_000119	丙子，從皇太后視人皇王妃疾。
HCH_010_004_000120	戊寅，人皇王妃蕭氏薨。
HCH_010_004_000121	己卯，以安重榮據鎮州叛晉，詔征南將軍柳嚴邊備。
HCH_010_004_000122	丙戌，徙人皇王行宮于其妃薨所。
HCH_010_004_000123	辛卯，晉遣使請行南郊禮，許之。
HCH_010_004_000124	八月己亥，詔東丹吏民為其王倍妃蕭氏服。
HCH_010_004_000125	庚子，阻卜來貢。
HCH_010_004_000126	壬寅，遣使南唐。
HCH_010_004_000127	乙巳，阻卜、黑車子室韋、賃烈等國來貢。
HCH_010_004_000128	南唐遣使求青氈帳，賜之。
HCH_010_004_000129	戊申，以安端私城為白川州。
HCH_010_004_000130	辛亥，鼻骨德使乞賜爵，以其國相授之。
HCH_010_004_000131	甲寅，阻卜來貢。
HCH_010_004_000132	乙卯，置白川州官屬。
HCH_010_004_000133	丙辰，詔以于諧里河、臚朐河之近地，給賜南院歐堇突呂、乙斯勃、北院溫納何剌、三石烈人為農田。
HCH_010_004_000134	九月庚午，侍中崔窮古言：「晉主聞陛下數遊獵，意請節之。」
HCH_010_004_000135	上曰：「朕之畋獵，非徒從樂，所以練習武事也。」
HCH_010_004_000136	乃詔諭之。
HCH_010_004_000137	壬午，邊將奏破吐谷渾，擒其長；詔止誅其首惡及其丁壯，餘並釋之。
HCH_010_004_000138	丙戌，晉遣使貢名馬。
HCH_010_004_000139	戊子，女直及吳越王遣使來貢。
HCH_010_004_000140	冬十月辛丑，遣克郎使吳越，略姑使南唐。
HCH_010_004_000141	庚申，晉遣使貢布，及請親祠南嶽，從之。
HCH_010_004_000142	十一月己巳，南唐遣使奉蠟丸書言晉密事。
HCH_010_004_000143	丁丑，詔有司教民播種紡績。
HCH_010_004_000144	除姊亡妹續之法。
HCH_010_004_000145	十二月壬辰朔，率百僚謁太祖行宮。
HCH_010_004_000146	甲午，燔柴，禮畢，祠于神帳。
HCH_010_004_000147	丙申，遣使使晉。
HCH_010_004_000148	丙辰，詔契丹人授漢官者從漢儀，聽與漢人婚姻。
HCH_010_004_000149	丁巳，詔燕京皇城西南堞建涼殿。
HCH_010_004_000150	是冬，駐蹕于傘淀。
HCH_010_004_000151	四年春正月壬戌，以乙室、品卑、突軌三部鰥寡不能自存者，官為之配。
HCH_010_004_000152	丙子，南唐遣使來貢。
HCH_010_004_000153	庚辰，涅剌、烏隗部獻党項俘獲數。
HCH_010_004_000154	己丑，詔定征党項功。
HCH_010_004_000155	二月丙申，皇太子獲白獐。
HCH_010_004_000156	甲辰，晉遣使進香藥。
HCH_010_004_000157	丙子，鐵驪來貢。
HCH_010_004_000158	丁巳，詔有司編《始祖奇首可汗事跡》。
HCH_010_004_000159	己未，晉遣楊彥詢來貢。
HCH_010_004_000160	且言鎮州安重榮跋扈狀，遂留不遣。
HCH_010_004_000161	是月，晉鎮州安重榮執遼使者拽剌。
HCH_010_004_000162	三月，特授回鶻使闊里于越，並賜旌旗、弓劍、衣馬，餘賜有差。
HCH_010_004_000163	癸酉，晉以許祀南郊，遣使來謝，進黃金十鎰。
HCH_010_004_000164	夏四月己卯，晉遣使進櫻桃。
HCH_010_004_000165	五月庚辰，吐谷渾夷離堇蘇等叛入晉。
HCH_010_004_000166	遣牒蠟往諭晉及太原守臣。
HCH_010_004_000167	六月辛卯，振武軍節度副使趙崇逐其節度使耶律畫里，以朔州叛，附晉。
HCH_010_004_000168	丙午，命宣徽使褭古只赴朔州，以兵圍其城，有晉使至，請開壁，即勿聽，驛送闕下。
HCH_010_004_000169	秋七月癸亥，南唐遣使奉蠟丸書。
HCH_010_004_000170	丙寅，褭古只奏請遣使至朔令降，守者猶堅壁弗納。
HCH_010_004_000171	且言晉有貢物。
HCH_010_004_000172	命即以所貢物賜攻城將校。
HCH_010_004_000173	己巳，有司奏神纛車有蜂巢成蜜，史占之，吉。
HCH_010_004_000174	壬申，晉遣使進水晶硯。
HCH_010_004_000175	八月癸巳，南唐奉蠟丸書。
HCH_010_004_000176	庚子，晉遣使進犀弓、竹矢。
HCH_010_004_000177	吳越王遣使奉蠟丸書。
HCH_010_004_000178	九月壬申，有星孛于晉分。
