HCH_010_007_000000	十四年春正月戊寅朔，奉安神纛。
HCH_010_007_000001	戊戌，漢以宋將來襲，馳告。
HCH_010_007_000002	二月壬子，詔西南面招討使撻烈進兵援漢。
HCH_010_007_000003	癸亥，如潢河。
HCH_010_007_000004	戊辰，支解鹿人沒答、海裏等七人於野，封土識其地。
HCH_010_007_000005	己巳，如老林東濼。
HCH_010_007_000006	壬申，漢以敗宋兵石州來告。
HCH_010_007_000007	夏四月丁巳，漢以擊退宋軍，遣使來謝。
HCH_010_007_000008	是月，黃龍府甘露降。
HCH_010_007_000009	五月，射舐堿鹿於白鷹山，至於浹旬。
HCH_010_007_000010	六月丙午朔，獵於玉山，竟月忘返。
HCH_010_007_000011	秋七月壬辰，以酒脯祀黑山。
HCH_010_007_000012	八月乙巳，如硙子嶺，呼鹿射之。
HCH_010_007_000013	獲鹿四，賜虞人女瑰等物有差。
HCH_010_007_000014	丁未，還宮。
HCH_010_007_000015	戊申，以生日值天赦，不受賀，曲赦京師囚。
HCH_010_007_000016	乙卯，錄囚。
HCH_010_007_000017	九月，黃室韋叛。
HCH_010_007_000018	冬十月丙午，近侍烏古者進石錯，賜白金二百五十兩。
HCH_010_007_000019	丙辰，以掌鹿矧思代斡裏為閘撒狘，賜金帶、金盞，銀二百兩。
HCH_010_007_000020	所隸死罪以下得專之。
HCH_010_007_000021	十一月壬午，日南至，宴飲達旦。
HCH_010_007_000022	自是晝寢夜飲。
HCH_010_007_000023	殺近侍小六於禁中。
HCH_010_007_000024	十二月丙午，以黑兔祭神。
HCH_010_007_000025	烏古叛，掠民財畜。
HCH_010_007_000026	詳穩僧隱與戰，敗績，僧隱及乙實等死之。
HCH_010_007_000027	十五年春正月乙卯，以樞密使雅裏斯為行軍都統，虎軍詳穩楚思為行軍都監，益以突呂不部軍三百，合諸部兵討之。
HCH_010_007_000028	烏古夷離堇子勃勒底獨不叛，詔褒之。
HCH_010_007_000029	是月，老人星見。
HCH_010_007_000030	二月壬寅朔，日有食之。
HCH_010_007_000031	上東幸，甲寅，以獲鴨，除鷹坊刺面、腰斬之刑，復其徭役。
HCH_010_007_000032	是月，烏古殺其長窣離底，餘眾降，復叛。
HCH_010_007_000033	三月癸酉，近侍東兒進匕箸不時，手刃刺之。
HCH_010_007_000034	丁丑，大黃室韋酋長寅尼吉叛。
HCH_010_007_000035	癸未，五坊人四十戶叛入烏古。
HCH_010_007_000036	癸巳，虞人沙剌叠偵鵝失期，加炮烙、鐵梳之刑而死。
HCH_010_007_000037	夏四月乙巳，小黃室韋叛，雅裏斯、楚思等擊之，為室韋所敗，遣使詰之。
HCH_010_007_000038	乙卯，以禿裏代雅裏斯為都統，以女古為監軍，率輕騎進討，仍令撻馬尋吉裏持詔招諭。
HCH_010_007_000039	五月壬申，尋吉裏奏，諭之不從。
HCH_010_007_000040	雅裏斯以撻凜、蘇二群牧兵追至柴河，與戰不利。
HCH_010_007_000041	甲申，庫古只奏室韋長寅尼吉亡入敵烈。
HCH_010_007_000042	六月辛亥，俞魯古獻良馬，賜銀二千兩。
HCH_010_007_000043	以近侍忽剌比馬至先以聞，賜銀千兩。
HCH_010_007_000044	是月，敵烈來降。
HCH_010_007_000045	秋七月甲戌，雅裏斯奏烏古至河德濼，遣夷離堇畫裏、夷離畢常思擊之。
HCH_010_007_000046	丁丑，烏古掠上京北榆林峪居民，遣林牙蕭斡討之。
HCH_010_007_000047	庚辰，雅裏斯等與烏古戰，不利。
HCH_010_007_000048	冬十月丁未，常思與烏古戰，敗之。
HCH_010_007_000049	十二月甲辰，以近侍喜哥私歸，殺其妻。
HCH_010_007_000050	丁未，殺近侍隨魯。
HCH_010_007_000051	駐蹕黑山平澱。
HCH_010_007_000052	十六年春正月丁卯朔，被酒，不受賀。
HCH_010_007_000053	甲申，微行市中，賜酒家銀絹。
HCH_010_007_000054	乙酉，殺近侍白海及家仆衫福、押剌葛、樞密使門吏老古、撻馬失魯。
HCH_010_007_000055	三月己巳，東幸。
HCH_010_007_000056	庚午獲鴨，甲申獲鵝，皆飲達旦。
HCH_010_007_000057	五月甲申，以歲旱，泛舟於池禱雨；不雨，舍舟立水中而禱，俄頃乃雨。
HCH_010_007_000058	六月丙申，以白海死非其罪，賜其家銀絹。
HCH_010_007_000059	秋七月壬午，諭有司：凡行幸之所，必高立標識，令民勿犯，違以死論。
HCH_010_007_000060	八月丁酉，漢遣使貢金器、鎧甲。
HCH_010_007_000061	閏月乙丑，觀野鹿入馴鹿群，立馬飲至晡。
HCH_010_007_000062	九月庚子，以重九宴飲，夜以繼日，至壬子乃罷。
HCH_010_007_000063	己未，殺狼人裏。
HCH_010_007_000064	冬十月庚辰，漢主有母喪，遣使賻吊。
HCH_010_007_000065	十二月甲子，幸酒人拔剌哥家，復幸殿前都點檢耶律夷臘葛第，宴飲連日。
HCH_010_007_000066	賜金盂、細錦及孕馬百匹，左右授官者甚眾。
HCH_010_007_000067	戊辰，漢遣使來貢。
HCH_010_007_000068	是冬，駐蹕黑山平澱。
HCH_010_007_000069	十七年春正月庚寅朔，林牙蕭斡、郎君耶律賢適討烏古還，帝執其手，賜卮酒，授賢適右皮室詳穩。
