HCH_010_024_000000	五年春正月壬申，如混同江。
HCH_010_024_000001	癸酉，賜宰相耶律孝傑名仁傑。
HCH_010_024_000002	乙亥，如山榆澱。
HCH_010_024_000003	三月辛未，以宰相仁傑獲頭鵝，加侍中。
HCH_010_024_000004	壬辰，以北院樞密使魏王耶律乙辛知南院大王事，加於越，知北院樞密使事耶律霂為北院樞密使，北院樞密副使耶律特裏底知北院樞密使事，左夷離畢耶律世遷同知北院樞密使事。
HCH_010_024_000005	夏四月己未，如納葛濼。
HCH_010_024_000006	五月丁亥，謁慶陵。
HCH_010_024_000007	以契丹行宮都部署耶律燕哥為南府宰相，北面林牙耶律永寧為夷離畢，同知南院樞密使事蕭撻不也及殿前副點檢、駙馬都尉蕭酬斡並封蘭陵郡王。
HCH_010_024_000008	六月辛亥，阻卜來貢。
HCH_010_024_000009	丁巳，以北府宰相、遼西郡王蕭餘里也為西北路招討使。
HCH_010_024_000010	己未，遣使隸囚。
HCH_010_024_000011	是月，放進士劉瓘等百一十三人。
HCH_010_024_000012	秋七月己卯，獵夾山。
HCH_010_024_000013	八月庚申，命有司撰《太宗神功碑》，立於南京。
HCH_010_024_000014	九月己卯，詔諸路毋禁僧徒開壇。
HCH_010_024_000015	壬午，禁扈從擾民。
HCH_010_024_000016	冬十月戊戌，夏國遣使來貢。
HCH_010_024_000017	己亥，駐蹕獨盧金。
HCH_010_024_000018	壬子，詔惟皇子仍一字王，餘並削降。
HCH_010_024_000019	丁巳，振平州貧民。
HCH_010_024_000020	己未，以趙王楊績為遼西郡王，魏王耶律乙辛降封混同郡王，吳王蕭韓家奴蘭陵郡王，致仕。
HCH_010_024_000021	十一月丁丑，召沙門守道開壇於內殿。
HCH_010_024_000022	癸未，復南京流民差役三年，被火之家免租稅一年。
HCH_010_024_000023	十二月丙午，彗星犯尾。
HCH_010_024_000024	乙卯，幸西京。
HCH_010_024_000025	戊午，行再生禮，赦雜犯死罪以下。
HCH_010_024_000026	六年春正月癸酉，如鴛鴦濼。
HCH_010_024_000027	辛卯，耶律乙辛出知興中府事。
HCH_010_024_000028	三月庚寅，封皇孫延禧為梁王，忠順軍節度使耶律頗德南院大王，耶律仲禧南院樞密使，戶部使陳毅參知政事。
HCH_010_024_000029	夏四月乙卯，獵炭山。
HCH_010_024_000030	五月壬申，免平州復業民租賦一年。
HCH_010_024_000031	庚寅，以旱，禱雨，命左右以水相沃，俄而雨降。
HCH_010_024_000032	六月戊戌，駐蹕納葛濼。
HCH_010_024_000033	戊申，以度支使王績參知政事。
HCH_010_024_000034	庚戌，女直遣使來貢。
HCH_010_024_000035	秋七月戊辰，觀市。
HCH_010_024_000036	癸未，為皇孫梁王延禧設旗鼓拽剌六人衛護之。
HCH_010_024_000037	甲申，獵沙嶺。
HCH_010_024_000038	九月壬寅，祠木葉山。
HCH_010_024_000039	己酉，駐蹕藕絲澱。
HCH_010_024_000040	冬十月己未朔，省同知廣德軍節度使事，命奉先軍節度使兼巡警乾、顯二州。
HCH_010_024_000041	丁卯，耶律仁傑出為武定軍節度使。
HCH_010_024_000042	庚午，參知政事劉詵致仕。
HCH_010_024_000043	癸酉，以陳毅為漢人行宮都部署，王績同知樞密院事。
HCH_010_024_000044	辛巳，回鶻遣使來貢。
HCH_010_024_000045	十一月己丑朔，日有食之。
HCH_010_024_000046	癸卯，召群臣議政。
HCH_010_024_000047	十二月甲子，以耶律特裏底為孟父敞穩。
HCH_010_024_000048	乙丑，以蕭撻不也為北府宰相，耶律世遷知北院樞密使事，耶律慎思同知北院樞密使事。
HCH_010_024_000049	庚午，免西京流民租賦一年。
HCH_010_024_000050	甲戌，減民賦。
HCH_010_024_000051	丁亥，豫行正旦禮。
HCH_010_024_000052	戊子，如混同江。
HCH_010_024_000053	七年春正月戊申，五國部長來貢。
HCH_010_024_000054	甲寅，女直貢良馬。
HCH_010_024_000055	二月甲子，如魚兒濼。
HCH_010_024_000056	夏五月壬子，駐蹕嶺西。
HCH_010_024_000057	癸丑，有司奏永清、武清、固安三縣蝗。
HCH_010_024_000058	甲寅，以蕭撻不也兼殿前都點檢，蕭酬斡為漢人行宮都部署兼知樞密院事。
HCH_010_024_000059	六月甲子，詔月祭觀德殿，歲寒食，諸帝在時生辰及忌日，詣景宗御容殿致奠。
HCH_010_024_000060	丙寅，阻卜余古赧來貢。
HCH_010_024_000061	丁卯，以翰林學士王言敷參知政事，封北院宣徽使石篤漆水郡王。
HCH_010_024_000062	秋七月戊子，如秋山。
HCH_010_024_000063	丙申，謁慶陵。
HCH_010_024_000064	八月丁卯，射鹿赤山，加圍場使涅葛為靜江軍節度使。
HCH_010_024_000065	九月戊子，次懷州，命皇謁懷陵。
HCH_010_024_000066	辛卯，次祖州，命皇后謁祖陵。
HCH_010_024_000067	乙巳，駐蹕藕絲澱。
HCH_010_024_000068	冬十月戊辰，以惕隱王九為南院大王，夷離畢奚抄只為彰國軍節度使。
HCH_010_024_000069	十一月乙酉，詔歲出官錢，振諸宮分及邊戍貧戶。
HCH_010_024_000070	丁亥，幸駙馬都尉蕭酬斡第，方飲，宰相梁穎諫曰：「天子不可飲人臣家。」
HCH_010_024_000071	上即還宮。
HCH_010_024_000072	己亥，高麗遣使來貢。
HCH_010_024_000073	辛亥，除絹帛尺度狹短之令。
HCH_010_024_000074	十二月丁卯，武定軍節度使耶律仁傑以罪削爵為民。
HCH_010_024_000075	辛未，知興中府事耶律乙辛以罪囚於來州。
HCH_010_024_000076	八年春正月甲申，如混同江。
HCH_010_024_000077	丁酉，鐵驪、五國諸長各貢方物。
HCH_010_024_000078	二月戊午，如山榆澱。
HCH_010_024_000079	辛酉，詔北、南院官，凡給驛者，必先奏聞。
HCH_010_024_000080	貢新及奏獄訟，方許馳驛，餘並禁之。
HCH_010_024_000081	己巳，夏國獲宋將張天一，遣使來獻。
