HCH_010_037_000000	帝堯畫天下為九州。
HCH_010_037_000001	舜以冀、青地大，分幽、并、營，為州十有二。
HCH_010_037_000002	幽州在渤、碣之間，并州北有代、朔，營州東暨遼海。
HCH_010_037_000003	其地負山帶海，其民執干戈，奮武衛，風氣剛勁，自古為用武之地。
HCH_010_037_000004	太祖以叠剌部之眾代遙輦氏，起臨潢，建皇都；東並渤海，得城邑之居百有三。
HCH_010_037_000005	太宗立晉，有幽、涿、檀、薊、順、營、平、蔚、朔、雲、應、新、媯、儒、武、寰十六州，於是割古幽、并、營之境而跨有之。
HCH_010_037_000006	東朝高麗，西臣夏國，南子石晉而兄弟趙宋，吳越、南唐航海輸貢。
HCH_010_037_000007	嘻，其盛矣！
HCH_010_037_000008	遼國其先曰契丹，本鮮卑之地，居遼澤中，去榆關一千一百三十里，去幽州又七百一十四里。
HCH_010_037_000009	南控黃龍，北帶潢水，冷陘屏右，遼河塹左。
HCH_010_037_000010	高原多榆柳，下濕饒蒲葦。
HCH_010_037_000011	當元魏時，有地數百里。
HCH_010_037_000012	至唐，大賀氏蠶食扶餘、室韋、奚、靺鞨之區，地方二千餘里。
HCH_010_037_000013	貞觀三年，以其地置玄州。
HCH_010_037_000014	尋置松漠都督府，建八部為州，各置刺史：達稽部曰峭落州，紇便部曰彈汗州，獨活部曰無逢州，芬阿部曰羽陵州，突便部曰日連州，芮奚部曰徒河州，墜斤部曰萬丹州，伏部曰匹黎、赤山二州。
HCH_010_037_000015	以大賀氏窟哥為使持節十州軍事。
HCH_010_037_000016	分州建官，蓋昉於此。
HCH_010_037_000017	迨於五代，辟地東西三千里。
HCH_010_037_000018	遙輦氏更八部曰鳷利皆部、乙室活部、實活部、納尾部、頻沒部、內會雞部、集解部、奚嗢部，屬縣四十有一。
HCH_010_037_000019	每部設刺史，縣置令。
HCH_010_037_000020	太宗以皇都為上京，升幽州為南京，改南京為東京，聖宗城中京，興宗升雲州為西京，於是五京備焉。
HCH_010_037_000021	又以征伐俘戶建州襟要之地，多因舊居名之；加以私奴置投下州。
HCH_010_037_000022	總京五，府六，州、軍、城百五十有六，縣二百有九，部族五十有二，屬國六十。
HCH_010_037_000023	東至於海，西至金山，暨於流沙，北至臚朐河，南至白溝，幅員萬里。
HCH_010_037_000024	上京臨潢府，本漢遼東郡西安平之地。
HCH_010_037_000025	新莽曰北安平。
HCH_010_037_000026	太祖取天梯、蒙國、別魯等三山之勢於葦甸，射金齪箭以識之，謂之龍眉宮。
HCH_010_037_000027	神冊三年城之，名曰皇都。
HCH_010_037_000028	天顯十三年，更名上京，府曰臨潢。
HCH_010_037_000029	淶流河自西北南流，繞京三面，東入於曲江，其北東流為按出河。
HCH_010_037_000030	又有御河、沙河、黑河、潢河、鴨子河、他魯河、狼河、蒼耳河、輞子河，臚朐河、陰涼河、豬河、鴛鴦湖、興國惠民湖、廣濟湖、鹽濼、百狗濼、火神澱、馬盂山、兔兒山、野鵲山、鹽山、鑿山、松山、平地松林、大斧山、列山、屈劣山、勒得山，唐所封大賀氏勒得王有墓存焉。
HCH_010_037_000031	戶三萬六千五百，轄軍、府、州、城二十五，統縣十。
HCH_010_037_000032	臨潢縣。
HCH_010_037_000033	太祖天贊初南攻燕、薊，以所俘人戶散居潢水之北，縣臨潢水，故以名。
HCH_010_037_000034	地宜種植。
HCH_010_037_000035	戶三千五百。
HCH_010_037_000036	長泰縣。
HCH_010_037_000037	本渤海國長平縣民，太祖伐大諲譔，先得是邑，遷其人於京西北，與漢民雜居。
HCH_010_037_000038	戶四千。
HCH_010_037_000039	定霸縣。
HCH_010_037_000040	本扶餘府強師縣民，太祖下扶餘，遷其人於京西，與漢人雜處，分地耕種。
HCH_010_037_000041	統和八年，以諸宮提轄司人戶置。
HCH_010_037_000042	隸長寧宮。
HCH_010_037_000043	戶二千。
HCH_010_037_000044	保和縣。
HCH_010_037_000045	本渤海國富利縣民，太祖破龍州，盡徒富利縣人散居京南。
HCH_010_037_000046	統和八年，以諸宮提轄司人戶置。
HCH_010_037_000047	隸彰湣宮。
HCH_010_037_000048	戶四千。
HCH_010_037_000049	潞縣。
HCH_010_037_000050	本幽州潞縣民，天贊元年，太祖破薊州，掠潞縣民，布於京東，與渤海人雜處。
HCH_010_037_000051	隸崇德宮。
HCH_010_037_000052	戶三千。
HCH_010_037_000053	易俗縣。
HCH_010_037_000054	本遼東渤海之民，太平九年，大延琳結構遼東夷叛，圍守經年，乃降，盡遷於京北，置縣居之。
HCH_010_037_000055	是年，又徙渤海叛人家屬置焉。
HCH_010_037_000056	戶一千。
HCH_010_037_000057	遷遼縣。
HCH_010_037_000058	本遼東諸縣渤海人，大延琳叛，擇其謀勇者置之左右。
HCH_010_037_000059	後以城降，戮之，徙其家屬於京東北，故名。
HCH_010_037_000060	戶一千。
HCH_010_037_000061	渤海縣。
HCH_010_037_000062	本東京人，因叛，徙置。
HCH_010_037_000063	興仁縣。
HCH_010_037_000064	開泰二年置。
HCH_010_037_000065	宣化縣。
HCH_010_037_000066	本遼東神化縣民，太祖破鴨淥府，盡徙其民居京之南。
HCH_010_037_000067	統和八年，以諸宮提轄司人戶置。
HCH_010_037_000068	隸彰湣宮。
HCH_010_037_000069	戶四千。
HCH_010_037_000070	上京，太祖創業之地。
HCH_010_037_000071	負山抱海，天險足以為固。
HCH_010_037_000072	地沃宜耕植，水草便畜牧。
HCH_010_037_000073	金齪一箭，二百年之基，壯矣。
HCH_010_037_000074	天顯元年，平渤海歸，乃展郛郭，建宮室，名以天贊。
HCH_010_037_000075	起三大殿：曰開皇、安德、五鸞。
HCH_010_037_000076	中有歷代帝王御容，每月朔望、節辰、忌日，在東京文武百官並赴致祭。
HCH_010_037_000077	又於內城東南隅建天雄寺，奉安烈考宣簡皇帝遺像。
HCH_010_037_000078	是歲太祖崩，應天皇后於義節寺斷腕，置太祖陵。
HCH_010_037_000079	即寺建斷腕樓，樹碑焉。
HCH_010_037_000080	太宗援立晉，遣宰相馮道、劉煦等持節，具鹵簿、法服至此，冊上太宗及應天皇后尊號。
HCH_010_037_000081	太宗詔蕃部並依漢制，禦開皇殿，辟承天門受禮，因改皇都為上京。
HCH_010_037_000082	城高二丈，不設敵樓，幅員二十七里。
HCH_010_037_000083	門，東曰迎春，曰雁兒；南曰順陽；曰南福；西曰金鳳，曰西雁兒。
HCH_010_037_000084	其北謂之皇城，高三丈，有樓櫓。
HCH_010_037_000085	門，東曰安東，南曰大順，西曰乾德，北曰拱辰。
HCH_010_037_000086	中有大內。
HCH_010_037_000087	內南門曰承天，有樓閣；東門曰東華，西曰西華。
HCH_010_037_000088	此通內出入之所。
HCH_010_037_000089	正南街東，留守司衙，次鹽鐵門，次南門，龍寺街。
HCH_010_037_000090	南曰臨潢府，其側臨潢縣。
HCH_010_037_000091	縣西南崇孝寺，承天皇后建。
HCH_010_037_000092	寺西長泰縣，又西天長觀。
HCH_010_037_000093	西南國子監，監北孔子廟，廟東節義寺。
HCH_010_037_000094	又西北安國寺，太宗所建。
HCH_010_037_000095	寺東齊天皇后故宅，宅東有元妃宅，即法天皇后所建也。
HCH_010_037_000096	其南具聖尼寺，綾錦院、內省司、麹院，贍國、省司二倉，皆在大內西南，八作司與天雄寺對。
HCH_010_037_000097	南城謂之漢城，南當橫街，各有樓對峙，下列井肆。
HCH_010_037_000098	東門之北潞縣，又東南興仁縣。
HCH_010_037_000099	南門之東回鶻營，回鶻商販留居上京，置營居之。
HCH_010_037_000100	西南同文驛，諸國信使居之。
HCH_010_037_000101	驛西南臨潢驛，以待夏國使。
HCH_010_037_000102	驛西福先寺。
HCH_010_037_000103	寺西宣化縣，西南定霸縣，縣西保和縣。
HCH_010_037_000104	西門之北易俗縣，縣東遷遼縣。
HCH_010_037_000105	周廣順中，胡嶠《記》曰：上京西樓，有邑屋市肆，交易無錢而用布。
HCH_010_037_000106	有綾錦諸工作、宦者、翰林、伎術、教坊、角、儒、僧尼、道士。
HCH_010_037_000107	中國人並、汾、幽、薊為多。
HCH_010_037_000108	宋大中祥符九年，薛映《記》曰：上京者，中京正北八十里至松山館，七十里至崇信館，九十里至廣寧館，五十里至姚家寨館，五十里至咸寧館，三十里度潢水石橋，旁有饒州，唐於契丹嘗置饒濼州，今渤海人居之。
HCH_010_037_000109	五十里保和館，度黑水河，七十里宣化館，五十里長泰館。
HCH_010_037_000110	館西二十里有佛舍，民居，即祖州。
