HCH_010_048_000000	辽有五京。
HCH_010_048_000001	上京为皇都，凡朝官、京官皆有之；余四京随宜设官，为制不一。
HCH_010_048_000002	大抵西京多边防官，南京、中京多财赋官。
HCH_010_048_000003	五京并置者，列陈之；特置者，分列于后。
HCH_010_048_000004	东京宰相府。
HCH_010_048_000005	圣宗統和元年，诏三京左右相、左右平章事。
HCH_010_048_000006	某京某省副使。
HCH_010_048_000007	耶律蒲奴，开泰末为上京内客省副使。
HCH_010_048_000008	东京内省司。
HCH_010_048_000009	《地理志》，东京大内不置宫嫔，唯以内省使、副、判官守之。
HCH_010_048_000010	某京某使。
HCH_010_048_000011	王棠，重熙中为上京盐铁使。
HCH_010_048_000012	知某京某使事。
HCH_010_048_000013	张孝杰，清宁间知户部使事。
HCH_010_048_000014	某京某副使。
HCH_010_048_000015	刘伸，重熙中为三司副使。
HCH_010_048_000016	同知某京某使事。
HCH_010_048_000017	道宗大康三年见挞不也同知度支使事。
HCH_010_048_000018	某京某判官。
HCH_010_048_000019	圣宗太平九年见户部使判官。
HCH_010_048_000020	南京转运使司。
HCH_010_048_000021	亦曰燕京转运使司。
HCH_010_048_000022	某京留守行某府尹事。
HCH_010_048_000023	圣宗统和元年见上京留守、行临潢尹事吴王稍。
HCH_010_048_000024	某京副留守。
HCH_010_048_000025	天祚天慶六年见东京副留守高清臣。
HCH_010_048_000026	知某京留守事。
HCH_010_048_000027	萧惠，開泰二年知东京留守事。
HCH_010_048_000028	某府少尹。
HCH_010_048_000029	圣宗太平四年见临潢少尹郑弘节。
HCH_010_048_000030	同知某京留守事。
HCH_010_048_000031	太平八年见中京同知耶律野。
HCH_010_048_000032	同签某京留守事。
HCH_010_048_000033	萧滴冽，太平六年同签南京留守事。
HCH_010_048_000034	某京留守判官。
HCH_010_048_000035	室昉，天禄中为南京留守判官。
HCH_010_048_000036	某京留守推官。
HCH_010_048_000037	圣宗開泰元年见中京留守推官李可举。
HCH_010_048_000038	中京留守司。
HCH_010_048_000039	太宗大同元年命赵延寿为中京留守，治镇州。
HCH_010_048_000040	圣宗統和十二年命室昉为中京留守，治太定府。
HCH_010_048_000041	南京留守司。
HCH_010_048_000042	太宗天顯三年升东平郡为南京，治辽阳。
HCH_010_048_000043	十三年以幽州为南京，治析津。
HCH_010_048_000044	圣宗开泰元年改幽都府为析津府。
HCH_010_048_000045	某京都总管、知某府事。
HCH_010_048_000046	同知某府事。
HCH_010_048_000047	圣宗太平五年见同知中京事萧尧衮。
HCH_010_048_000048	五京学职名总目：道宗清寧五年，诏设学养士，颁经及传疏，置博士、助教各一员。
HCH_010_048_000049	助教。
HCH_010_048_000050	上京学。
HCH_010_048_000051	上京别有国子监，见朝官。
HCH_010_048_000052	中京学。
HCH_010_048_000053	中京别有国子监，与朝官同。
HCH_010_048_000054	南京学。
HCH_010_048_000055	亦曰南京太学，太宗置。
HCH_010_048_000056	圣宗統和十三年，赐水硙庄一区。
HCH_010_048_000057	已上五京官。
HCH_010_048_000058	上京城隍使司。
HCH_010_048_000059	亦曰上京皇城使。
HCH_010_048_000060	上京城隍使。
HCH_010_048_000061	韩德让，景宗时为上京城隍使。
HCH_010_048_000062	东京渤海承奉官。
HCH_010_048_000063	圣宗開泰八年耶律八哥奏，渤海承奉班宜设官以统之，因置。
HCH_010_048_000064	辽阳大都督府。
HCH_010_048_000065	太宗會同二年置。
HCH_010_048_000066	辽阳大都督。
HCH_010_048_000067	会同二年，都督曷鲁泊等关防辽阳东都。
HCH_010_048_000068	东京军巡院。
HCH_010_048_000069	《地理志》，东京有归化营军千余人，籍河朔亡命于此，置军巡院。
HCH_010_048_000070	中京文思使。
HCH_010_048_000071	马人望父牷为中京文思使。
HCH_010_048_000072	中京路按问使。
HCH_010_048_000073	耶律和尚，重熙二十四年为中京路按问使。
HCH_010_048_000074	中京巡逻使。
HCH_010_048_000075	耶律古昱，开泰间为中京巡逻使。
HCH_010_048_000076	中京大内都部署。
HCH_010_048_000077	圣宗开泰元年见中京大内都部署。
HCH_010_048_000078	南京宣徽使。
HCH_010_048_000079	道宗壽隆元年见宣徽使耶律特末。
HCH_010_048_000080	南京处置使司。
HCH_010_048_000081	圣宗开泰元年见秦王隆庆为燕京管内处置使。
HCH_010_048_000082	南京侍卫亲军马步军都指挥使。
HCH_010_048_000083	萧讨古，乾亨初为南京侍卫亲军都指挥使。
HCH_010_048_000084	云州管内宣谕招抚使二员。
HCH_010_048_000085	統和四年见韩毗哥、邢抱朴为云州管内宣谕招抚使。
HCH_010_048_000086	知黄龙府事。
HCH_010_048_000087	兴宗重熙十三年见知黄龙府事耶律瓯里斯。
HCH_010_048_000088	知兴中府事。
HCH_010_048_000089	咸雍元年见知兴中府事杨绩。
HCH_010_048_000090	辽东西、燕，秦、汉、唐已置郡县，设官职矣。
HCH_010_048_000091	高丽、渤海因之。
HCH_010_048_000092	至辽，五京列峙、包括燕、代，悉为畿甸。
HCH_010_048_000093	二百余年，城郭相望，田野益辟。
HCH_010_048_000094	冠以节度，承以观察、防御、团练等使，分以刺史、县令，大略采用唐制。
HCH_010_048_000095	其间宗室、外戚、大臣之家，筑城赐额，谓之“头下州军”；唯节度使朝廷命之，后往往皆归王府。
HCH_010_048_000096	不能州者谓之军，不能县者谓之城，不能城者谓之堡。
HCH_010_048_000097	其设官则末详云。
HCH_010_048_000098	同知节度使事。
HCH_010_048_000099	耶律玦，重熙中同知辽兴军节度使事。
HCH_010_048_000100	掌书记。
HCH_010_048_000101	刘伸，重熙五年为彰武军节度使掌书记。
HCH_010_048_000102	某州军观察判官。
HCH_010_048_000103	王鼎，清寧五年为易州观察判官。
HCH_010_048_000104	助教。
HCH_010_048_000105	某州刺史。
HCH_010_048_000106	某州同知州事。
HCH_010_048_000107	耶律独攧，重熙中同知金肃军事。
HCH_010_048_000108	某州录事参军。
HCH_010_048_000109	世宗天祿五年，诏州录事参军委政事省差注。
HCH_010_048_000110	上京道五州：乌、降圣、维、防、招。
HCH_010_048_000111	东京道三十七州：穆、贺、卢、铁、崇、耀、嫔、辽西、康、宗、海北、岩、集、祺、遂、韩、银、安远、威、清、雍、湖、渤、郢、铜、涑、率宾、定理、铁利、吉、麓、荆、胜、顺化、连、肃、乌。
HCH_010_048_000112	中京道十三州：恩、惠、榆、泽、北安、潭、松山、安德、黔、严、隰、迁、润。
HCH_010_048_000113	南京道八州：顺、檀、涿、易、蓟、景、滦、营。
HCH_010_048_000114	西京道八州：弘、德、宁边、归化、可汗、儒、武、东胜。
HCH_010_048_000115	某县主簿。
HCH_010_048_000116	世宗天禄五年，诏县主簿委政事省差注。
HCH_010_048_000117	县学。
HCH_010_048_000118	大公鼎为良乡县尹，建孔子庙。
HCH_010_048_000119	五京诸州属县，见《地理志》。
HCH_010_048_000120	县有驿递、马牛、旗鼓、乡正、厅隶、仓司等役。
HCH_010_048_000121	有破产不能给者，良民患之。
HCH_010_048_000122	马人望设法，使民出钱免役，官自募人，仓司给使以公使充，人以为便。
HCH_010_048_000123	平理庶狱，采摭民隐，汉、唐以来，贤主以为恤民之令典。
HCH_010_048_000124	官不常设，有诏，则选材望官为之。
HCH_010_048_000125	分决诸道滞狱使。
HCH_010_048_000126	圣宗統和九年，命邢抱朴等五员，又命马守瑛等三员，分决诸道滞狱。
HCH_010_048_000127	按察诸道刑狱使。
HCH_010_048_000128	開泰五年遣刘泾等分路按察刑狱。
HCH_010_048_000129	采访使。
HCH_010_048_000130	太宗會同三年命于骨邻为采访使。
HCH_010_048_000131	辽国以畜牧、田渔为稼穑，财赋之官，初甚简易。
HCH_010_048_000132	自涅里教耕织，而后盐铁诸利日以滋殖，既得燕代，益富饶矣。
HCH_010_048_000133	某州钱帛都点检。
HCH_010_048_000134	大公鼎为长春州钱帛都提点。
HCH_010_048_000135	长春路钱帛司。
HCH_010_048_000136	兴宗重熙二十二年置。
HCH_010_048_000137	山西路都转运使司。
HCH_010_048_000138	杨皙，兴宗重熙二十年为山西转运使。
HCH_010_048_000139	奉圣州转运使司。
HCH_010_048_000140	圣宗开泰三年置。
HCH_010_048_000141	保州转运使司。
HCH_010_048_000142	已上并开泰三年置。
HCH_010_048_000143	西山转运使。
HCH_010_048_000144	圣宗太平三年见西山转运使郎玄化。
HCH_010_048_000145	《传》曰：“虽楚有材，晋寔用之。
HCH_010_048_000146	”辽自太祖以来，攻掠五代、宋境，得其人，则就用之，东北二鄙，以农以工，有事则从军政。
HCH_010_048_000147	计之善者也。
HCH_010_048_000148	某都点检。
HCH_010_048_000149	穆宗應曆十六年见殿前都点检耶律夷剌葛。
HCH_010_048_000150	某副点检。
HCH_010_048_000151	圣宗太平六年见副点检耶律野。
HCH_010_048_000152	同知某都点检。
HCH_010_048_000153	道宗清寧九年见同知点检司事耶律挞不也。
HCH_010_048_000154	某军都指挥使。
HCH_010_048_000155	圣宗统和二年见侍卫亲军都指挥使韩倬。
HCH_010_048_000156	并同前。
HCH_010_048_000157	归圣军兵马都指挥使司。
HCH_010_048_000158	圣宗統和五年，以宋降军置七指挥署，左右厢，凡四十二员。
HCH_010_048_000159	七年，隶总管府。
HCH_010_048_000160	某军都团练使。
HCH_010_048_000161	赵思温，太祖神冊二年为汉军都团练使。
HCH_010_048_000162	某兵马都总管。
