HCH_010_098_000000	蕭兀納，一名撻不也，字特免，六院部人。
HCH_010_098_000001	其先嘗為西南面拽剌。
HCH_010_098_000002	兀納魁偉簡重，善騎射。
HCH_010_098_000003	清寧初，兄圖獨以事入見，帝問族人可用者，圖獨以兀納對，補祗候郎君。
HCH_010_098_000004	遷近侍敞史，護衛太保。
HCH_010_098_000005	大康初，為北院宣徽使。
HCH_010_098_000006	時乙辛巳害太子，因言宋魏國王和魯斡之子淳可為儲嗣。
HCH_010_098_000007	群臣莫敢言，唯兀納及夷離畢蕭陶隗諫曰：「舍嫡不立，是以國與人也。」
HCH_010_098_000008	帝猶豫不決。
HCH_010_098_000009	五年，帝出獵，乙辛請留皇孫，帝欲從之。
HCH_010_098_000010	兀納奏曰：「竊聞車駕出遊，將留皇孫，茍保護非人，恐有他變。果留，臣請侍左右。」
HCH_010_098_000011	帝乃悟，命皇孫從行。
HCH_010_098_000012	由此始疑乙辛。
HCH_010_098_000013	頃之，同知南院樞密使事，出乙辛、淳等。
HCH_010_098_000014	帝嘉其忠，封蘭陵郡王，人謂近於古社稷臣。
HCH_010_098_000015	授殿前都點檢。
HCH_010_098_000016	上謂王師儒、耶律固等曰：「兀納忠純，雖狄仁傑輔唐，屋質立穆宗，無以過也。卿等宜達燕王知之。」
HCH_010_098_000017	自是令兀納輔導燕王，益見優寵。
HCH_010_098_000018	大安初，詔尚越國公主，兀納固辭。
HCH_010_098_000019	改南院樞密使，奏請掾史宜以歲月行敘，從之。
HCH_010_098_000020	壽隆元年，拜北府宰相。
HCH_010_098_000021	初，天祚在潛邸，兀納數以直言忤旨。
HCH_010_098_000022	及嗣位，出為遼興軍節度使，守太傅。
HCH_010_098_000023	以佛殿小底王華誣兀納借內府犀角，詔鞫之。
HCH_010_098_000024	兀納奏曰：「臣在先朝，詔許日取帑錢十萬為私費，臣未嘗妄取一錢，肯借犀角乎！」
HCH_010_098_000025	天祚愈怒，奪太傅官，降寧邊州刺史，尋改臨海軍節度使。
HCH_010_098_000026	兀納上書曰：「自蕭海裏亡入女直，彼有輕朝廷心，宜益兵以備不虞。」
HCH_010_098_000027	不報。
HCH_010_098_000028	天慶元年，知黃龍府事，改東北路統軍使，復上書曰：「臣治與女直接境，觀其所為，其志非小。宜先其未發，舉兵圖之。」
HCH_010_098_000029	章數上，皆不聽。
HCH_010_098_000030	及金兵來侵，戰於寧江州，其孫移敵蹇死之，兀納退走入城。
HCH_010_098_000031	留官屬守禦，自以三百騎渡混同江而西，城遂陷。
HCH_010_098_000032	後與蕭敵裏拒金兵於長濼，以軍敗免官。
HCH_010_098_000033	五年，天祚親征，兀納殿，復敗績。
HCH_010_098_000034	後數日乃與百官入見，授上京留守。
HCH_010_098_000035	六年，耶律章奴叛，來攻京城，兀納發府庫以賚士卒，諭以逆順，完城池，以死拒戰。
HCH_010_098_000036	章奴無所得而去。
HCH_010_098_000037	以功授副元帥，尋為契丹都宮使。
HCH_010_098_000038	天祚以兀納先朝重臣，有定策勛，每延問以政，兀納對甚切。
HCH_010_098_000039	上雖優容，終不能用。
HCH_010_098_000040	以疾卒，年七十。
HCH_010_098_000041	耶律儼，字若思，析津人。
HCH_010_098_000042	本姓李氏。
HCH_010_098_000043	父仲禧，重熙中始仕。
HCH_010_098_000044	清寧初，同知南院宣徽使事。
HCH_010_098_000045	四年，城鴨子、混同二水間，拜北院宣徽使。
HCH_010_098_000046	咸雍初，坐誤奏事，出為榆州刺史。
HCH_010_098_000047	俄詔復舊職，遷漢人行宮都部署。
