HCH_010_110_000000	《春秋》褒貶，善惡並書，示勸懲也。
HCH_010_110_000001	故遷、固傳佞幸、酷吏，歐陽修則並奸臣錄之，將俾為君者知所鑒，為臣者知所戒。
HCH_010_110_000002	此天地聖賢之心，國家安危之機，治亂之原也。
HCH_010_110_000003	遼自耶律乙辛而下，奸臣十人，其敗國皆足以為戒，故列於《傳》。
HCH_010_110_000004	耶律乙辛，字胡睹袞，五院部人。
HCH_010_110_000005	父叠剌，家貧，服用不給，部人號「窮叠剌」。
HCH_010_110_000006	初，乙辛母方娠，夜夢手搏羖羊，拔其角尾。
HCH_010_110_000007	既寤占之，術者曰：「此吉兆也。羊去角尾為王字，汝後有子當王。」
HCH_010_110_000008	及乙辛生，適在路，無水以浴，回車破轍，忽見湧泉。
HCH_010_110_000009	叠剌自以得子，欲酒以慶，聞酒香，於草棘間得二榼，因祭東焉。
HCH_010_110_000010	乙辛幼慧黠。
HCH_010_110_000011	嘗牧羊至日昃，叠剌視之，乙辛熟寢。
HCH_010_110_000012	叠剌觸之覺，乙辛怒曰：「何遽驚我！適夢人手執日月以食我，我已食月，啖日方半而覺，惜不盡食之。」
HCH_010_110_000013	叠剌自是不令牧羊。
HCH_010_110_000014	及長，美風儀，外和內狡。
HCH_010_110_000015	重熙中，為文班吏，掌太保印，陪從入宮。
HCH_010_110_000016	皇后見乙辛詳雅如素宦，令補筆硯吏；帝亦愛之，累遷護衛太保。
HCH_010_110_000017	道宗即位，以乙辛先朝任使，賜漢人戶四十，同知點檢司事，常召決疑議，升北院同知，歷樞密副使。
HCH_010_110_000018	清寧五年，為南院樞密使，改知北院，封趙王。
HCH_010_110_000019	九年，耶律仁先為南院樞密使，時駙馬都尉蕭胡睹與重元黨，惡仁先在朝，奏曰：「仁先可任西北路招討使。」
HCH_010_110_000020	帝將從之。
HCH_010_110_000021	乙辛奏曰：「臣新參國政，未知治體。仁先乃先帝舊臣，不可遽離朝廷。」
HCH_010_110_000022	帝然之。
HCH_010_110_000023	重元亂平，拜北院樞密使，進王魏，賜匡時翊聖竭忠平亂功臣。
HCH_010_110_000024	咸雍五年，加守太師。
HCH_010_110_000025	詔四方有軍旅，許以便宜從事，勢震中外，門下饋賂不絕。
HCH_010_110_000026	凡阿順者蒙薦擢，忠直者被斥竄。
HCH_010_110_000027	大康元年，皇太子始預朝政，法度修明。
HCH_010_110_000028	乙辛不得逞，謀以事誣皇后。
HCH_010_110_000029	后既死，乙辛不自安，又欲害太子。
HCH_010_110_000030	乘間入奏曰：「帝與后如天地並位，中宮豈可曠？」
HCH_010_110_000031	盛稱其黨駙馬都尉蕭霞抹之妹美而賢。
HCH_010_110_000032	上信之，納於宮，尋冊為皇后。
HCH_010_110_000033	時護衛蕭忽古知乙辛奸狀，伏橋下，欲殺之。
HCH_010_110_000034	俄暴雨壞橋，謀不遂。
HCH_010_110_000035	林牙蕭巖壽密奏曰：「乙辛自皇太子預政，內懷疑懼，又與宰相張孝傑相附會。恐有異圖，不可使居要地。」
HCH_010_110_000036	出為中京留守。
HCH_010_110_000037	乙辛泣謂人曰：「乙辛無過，因讒見出。」
HCH_010_110_000038	其黨蕭霞抹輩以其言聞於上。
