HCH_011_008_000000	昭明太子統字德施，高祖長子也。
HCH_011_008_000001	母曰丁貴嬪。
HCH_011_008_000002	初，高祖未有男，義師起，太子以齊中興元年九月生于襄陽。
HCH_011_008_000003	高祖旣受禪，有司奏立儲副，高祖以天下始定，百度多闕，未之許也。
HCH_011_008_000004	羣臣固請，天監元年十一月，立爲皇太子。
HCH_011_008_000005	時太子年幼，依舊居於內，拜東宮官屬文武，皆入直永福省。
HCH_011_008_000006	太子生而聰叡，三歲受《孝經》《論語》，五歲遍讀五經，悉能諷誦。
HCH_011_008_000007	五年五月庚戌，始出居東宮。
HCH_011_008_000008	太子性仁孝，自出宮，恒思戀不樂。
HCH_011_008_000009	高祖知之，每五日一朝，多便留永福省，或五日三日乃還宮。
HCH_011_008_000010	八年九月，於壽安殿講《孝經》，盡通大義。
HCH_011_008_000011	講畢，親臨釋奠于國學。
HCH_011_008_000012	十四年正月朔旦，高祖臨軒，冠太子于太極殿。
HCH_011_008_000013	舊制，太子著遠遊冠，金蟬翠緌纓；至是，詔加金博山。
HCH_011_008_000014	太子美姿貌，善舉止。
HCH_011_008_000015	讀書數行並下，過目皆憶。
HCH_011_008_000016	每游宴祖道，賦詩至十數韻。
HCH_011_008_000017	或命作劇韻賦之，皆屬思便成，無所點易。
HCH_011_008_000018	高祖大弘佛教，親自講說；太子亦崇信三寶，遍覽衆經。
HCH_011_008_000019	乃於宮內別立慧義殿，專爲法集之所。
HCH_011_008_000020	招引名僧，談論不絕。
HCH_011_008_000021	太子自立二諦、法身義，並有新意。
HCH_011_008_000022	普通元年四月，甘露降于慧義殿，咸以爲至德所感焉。
HCH_011_008_000023	三年十一月，始興王憺薨。
HCH_011_008_000024	舊事，以東宮禮絕傍親，書翰並依常儀。
HCH_011_008_000025	太子意以爲疑，命僕劉孝綽議其事。
HCH_011_008_000026	孝綽議曰：「案張鏡撰《東宮儀記》，稱『三朝發哀者，逾月不舉樂；鼓吹寢奏，服限亦然』。尋傍絕之義，義在去服，服雖可奪，情豈無悲？鐃歌輟奏，良亦爲此。旣有悲情，宜稱兼慕，卒哭之後，依常舉樂，稱悲竟，此理例相符。謂猶應稱兼慕，至卒哭。」
HCH_011_008_000027	僕射徐勉、左率周舍、家令陸襄並同孝綽議。
HCH_011_008_000028	太子令曰：「張鏡《儀記》云『依《士禮》，終服月稱慕悼』。又云『凡三朝發哀者，逾月不舉樂』。劉僕議，云『傍絕之義，義在去服，服雖可奪，情豈無悲，卒哭之後，依常舉樂，稱悲竟，此理例相符』。尋情悲之說，非止卒哭之後，緣情爲論，此自難一也。用張鏡之舉樂，棄張鏡之稱悲，一鏡之言，取捨有異，此自難二也。陸家令止云『多歷年所』，恐非事證；雖復累稔所用，意常未安。近亦常經以此問外，由來立意，謂猶應有慕悼之言。張豈不知舉樂爲大，稱悲事小；所以用小而忽大，良亦有以。至如元正六佾，事爲國章；雖情或未安，而禮不可廢。鐃吹軍樂，比之亦然。書疏方之，事則成小，差可緣心。聲樂自外，書疏自內，樂自他，書自己。劉僕射之議，卽情未安。可令諸賢更共詳衷。」
HCH_011_008_000029	司農卿明山賓、步兵校尉朱异議，稱「慕悼之解，宜終服月」。
HCH_011_008_000030	於是令付典書遵用，以爲永凖。
HCH_011_008_000031	七年十一月，貴嬪有疾，太子還永福省，朝夕侍疾，衣不解帶。
HCH_011_008_000032	及薨，步從喪還宮，至殯，水漿不入口，每哭輒慟絕。
HCH_011_008_000033	高祖遣中書舍人顧協宣旨曰：「毀不滅性，聖人之制。《禮》，不勝喪比於不孝。有我在，那得自毀如此！可卽強進飲食。」
HCH_011_008_000034	太子奉勅，乃進數合。
HCH_011_008_000035	自是至葬，日進麥粥一升。
HCH_011_008_000036	高祖又勅曰：「聞汝所進過少，轉就羸瘵。我比更無餘病，正爲汝如此，胸中亦圮塞成疾。故應強加饘粥，不使我恒爾懸心。」
HCH_011_008_000037	雖屢奉勅勸逼，日止一溢，不嚐菜果之味。
HCH_011_008_000038	體素壯，腰帶十圍，至是減削過半。
HCH_011_008_000039	每入朝，士庶見者莫不下泣。
HCH_011_008_000040	太子自加元服，高祖便使省萬機，內外百司，奏事者填塞於前。
HCH_011_008_000041	太子明於庶事，纖毫必曉，每所奏有謬誤及巧妄，皆卽就辯析，示其可否，徐令改正，未嘗彈糾一人。
HCH_011_008_000042	平斷法獄，多所全宥，天下皆稱仁。
HCH_011_008_000043	性寬和容衆，喜慍不形於色。
HCH_011_008_000044	引納才學之士，賞愛無倦。
HCH_011_008_000045	恒自討論篇籍，或與學士商榷古今；閒則繼以文章著述，率以爲常。
HCH_011_008_000046	于時東宮有書幾三萬卷，名才並集，文學之盛，晉、宋以來未之有也。
HCH_011_008_000047	性愛山水，於玄圃穿築，更立亭館，與朝士名素者遊其中。
HCH_011_008_000048	嘗泛舟後池，番禺侯軌盛稱「此中宜奏女樂。」
HCH_011_008_000049	太子不答，詠左思《招隱詩》曰：「何必絲與竹，山水有清音。」
HCH_011_008_000050	侯慚而止。
HCH_011_008_000051	出宮二十餘年，不畜聲樂。
HCH_011_008_000052	少時，敕賜太樂女妓一部，略非所好。
HCH_011_008_000053	普通中，大軍北討，京師穀貴，太子因命菲衣減膳，改常饌爲小食。
HCH_011_008_000054	每霖雨積雪，遣腹心左右，周行閭巷，視貧困家，有流離道路，密加振賜。
HCH_011_008_000055	又出主衣綿帛，多作襦袴，冬月以施貧凍。
HCH_011_008_000056	若死亡無可以斂者，爲備棺槥。
HCH_011_008_000057	每聞遠近百姓賦役勤苦，輒斂容色。
HCH_011_008_000058	常以戶口未實，重於勞擾。
HCH_011_008_000059	吳興郡屢以水災失收，有上言當漕大瀆以瀉浙江。
HCH_011_008_000060	中大通二年春，詔遣前交州刺史王弁假節，發吳郡、吳興、義興三郡民丁就役。
HCH_011_008_000061	太子上疏曰：「伏聞當發王弁等上東三郡民丁，開漕溝渠，導泄震澤，使吳興一境，無復水災，誠矜恤之至仁，經略之遠旨。暫勞永逸，必獲後利。未萌難覩，竊有愚懷。所聞吳興累年失收，民頗流移。吳郡十城，亦不全熟。唯義興去秋有稔，復非常役之民。卽日東境穀稼猶貴，劫盜屢起，在所有司，不皆聞奏。今征戍未歸，強丁疏少，此雖小舉，竊恐難合，吏一呼門，動爲民蠹。又出丁之處，遠近不一，比得齊集，已妨蠶農。去年稱爲豊歲，公私未能足食；如復今茲失業，慮恐爲弊更深。且草竊多伺候民間虛實，若善人從役，則抄盜彌增，吳興未受其益，內地已罹其弊。不審可得權停此功，待優實以不？聖心垂矜黎庶，神量久已有在。臣意見庸淺，不識事宜，苟有愚心，願得上啓。」
HCH_011_008_000062	高祖優詔以喻焉。
HCH_011_008_000063	太子孝謹天至，每入朝，未五鼓便守城門開。
HCH_011_008_000064	東宮雖燕居內殿，一坐一起，恒向西南面臺。
HCH_011_008_000065	宿被召當入，危坐達旦。
HCH_011_008_000066	三年三月，寢疾。
HCH_011_008_000067	恐貽高祖憂，敕參問，輒自力手書啓。
HCH_011_008_000068	及稍篤，左右欲啓聞，猶不許，曰「云何令至尊知我如此惡」，因便嗚咽。
HCH_011_008_000069	四月乙巳薨，時年三十一。
HCH_011_008_000070	高祖幸東宮，臨哭盡哀。
HCH_011_008_000071	詔斂以袞冕。
HCH_011_008_000072	諡曰昭明。
HCH_011_008_000073	五月庚寅，葬安寧陵。
HCH_011_008_000074	詔司徒左長史王筠爲哀冊文曰：太子仁德素著，及薨，朝野惋愕。
HCH_011_008_000075	京師男女，奔走宮門，號泣滿路。
HCH_011_008_000076	四方氓庶，及疆徼之民，聞喪皆慟哭。
HCH_011_008_000077	所著文集二十卷；又撰古今典誥文言，爲《正序》十卷；五言詩之善者，爲《文章英華》二十卷；《文選》三十卷。
HCH_011_008_000078	哀太子大器，字仁宗，太宗嫡長子也。
HCH_011_008_000079	普通四年五月丁酉生。
HCH_011_008_000080	中大通四年，封宣城郡王，食邑二千戶。
HCH_011_008_000081	尋爲侍中、中衛將軍，給鼓吹一部。
HCH_011_008_000082	大同四年，授使持節、都督揚、徐二州諸軍事、中軍大將軍、揚州刺史，侍中如故。
HCH_011_008_000083	太清二年十月，侯景寇京邑，敕太子爲臺內大都督。
HCH_011_008_000084	三年五月，太宗卽位。
HCH_011_008_000085	六月丁亥，立爲皇太子。
HCH_011_008_000086	大寶二年八月，賊景廢太宗，將害太子，時賊黨稱景命召太子，太子方講《老子》，將欲下床，而刑人掩至。
HCH_011_008_000087	太子顏色不變，徐曰：「久知此事，嗟其晚耳。」
HCH_011_008_000088	刑者欲以衣帶絞之。
HCH_011_008_000089	太子曰：「此不能見殺。」
HCH_011_008_000090	乃指繫帳竿下繩，命取絞之而絕，時年二十八。
HCH_011_008_000091	太子性寬和，兼神用端嶷，在於賊手，每不屈意。
HCH_011_008_000092	初，侯景西上，攜太子同行，及其敗歸，部伍不復整肅，太子所乘船居後，不及賊衆，左右心腹並勸因此入北。
HCH_011_008_000093	太子曰：「家國喪敗，志不圖生；主上蒙塵，寧忍違離？吾今逃匿，乃是叛父，非謂避賊。」
HCH_011_008_000094	便涕泗鳴咽，令卽前進。
HCH_011_008_000095	賊以太子有器度，每常憚之，恐爲後患，故先及禍。
HCH_011_008_000096	承聖元年四月，追諡哀太子。
HCH_011_008_000097	愍懷太子方矩，字德規，世祖第四子也。
HCH_011_008_000098	初封南安縣侯，隨世祖在荊鎮。
HCH_011_008_000099	太清初，爲使持節、督湘郢桂寧成合羅七州諸軍事、鎮南將軍、湘州刺史。
HCH_011_008_000100	尋𢖜爲侍中、中衛將軍，給鼓吹一部。
HCH_011_008_000101	世祖承制，拜王太子，改名元良。
HCH_011_008_000102	承聖元年十一月丙子，立爲皇太子。
HCH_011_008_000103	及西魏師陷荊城，太子與世祖同爲魏人所害。
HCH_011_008_000104	太子聰穎，頗有世祖風，而凶暴猜忌。
HCH_011_008_000105	敬帝承制，追諡愍懷太子。
HCH_011_008_000106	陳吏部尚書姚察曰：孟軻有言：「雞鳴而起，孳孳爲善者，舜之徒也。」
HCH_011_008_000107	若乃布衣韋帶之士，在於畎畝之中，終日爲之，其利亦已博矣。
HCH_011_008_000108	況乎處重明之位，居正體之尊，克念無怠，烝烝以孝。
HCH_011_008_000109	大舜之德，其何遠之有哉！
HCH_011_008_000110	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
