HCH_011_023_000000	長沙嗣王業字靜曠，高祖長兄懿之子也。
HCH_011_023_000001	懿字元達，少有令譽。
HCH_011_023_000002	解褐齊安南邵陵王行參軍，襲爵臨湘縣侯。
HCH_011_023_000003	遷太子舍人、洗馬、建安王友。
HCH_011_023_000004	出爲晉陵太守，曾未朞月，訟理人和，稱爲善政。
HCH_011_023_000005	入爲中書侍郎。
HCH_011_023_000006	永明季，授持節、都督梁南北秦沙四州諸軍事、西戎校尉、梁、南秦二州刺史，加冠軍將軍。
HCH_011_023_000007	是歲，魏人入漢中，遂圍南鄭。
HCH_011_023_000008	懿隨機拒擊，傷殺甚多，乃解圍遁去。
HCH_011_023_000009	懿又遣氐帥楊元秀攻魏歷城、皋蘭、駱谷、坑池等六戍，剋之。
HCH_011_023_000010	魏人震懼，邊境遂寧。
HCH_011_023_000011	進號征虜將軍，增封三百戶，遷督益寧二州軍事、益州刺史。
HCH_011_023_000012	入爲太子右衛率、尚書吏部郎、衛尉卿。
HCH_011_023_000013	永元二年，裴叔業據豫州反，授持節、征虜將軍、督豫州諸軍事、豫州刺史，領歷陽南譙二郡太守，討叔業。
HCH_011_023_000014	叔業懼，降于魏。
HCH_011_023_000015	旣而平西將軍崔慧景入寇京邑，奉江夏王寶玄圍臺城。
HCH_011_023_000016	齊室大亂，詔徵懿。
HCH_011_023_000017	懿時方食，投箸而起，率銳卒三千人援城。
HCH_011_023_000018	慧景遣其子覺來拒，懿奔擊，大破之，覺單騎走。
HCH_011_023_000019	乘勝而進，慧景衆潰，追斬之。
HCH_011_023_000020	授侍中、尚書右僕射，未拜。
HCH_011_023_000021	仍遷尚書令、都督征討水陸諸軍事，持節、將軍如故，增邑二千五百戶。
HCH_011_023_000022	時東昏肆虐，茹法珍、王咺之等執政，宿臣舊將，並見誅夷，懿旣立元勳，獨居朝右，深爲法珍等所憚，乃說東昏曰：「懿將行隆昌故事，陛下命在晷刻。」
HCH_011_023_000023	東昏信之，將加酷害，而懿所親知之，密具舟江渚，勸令西奔。
HCH_011_023_000024	懿曰：「古皆有死，豈有叛走尚書令耶？」
HCH_011_023_000025	遂遇禍。
HCH_011_023_000026	中興元年，追贈侍中、中書監、司徒。
HCH_011_023_000027	宣德太后臨朝，改贈太傅。
HCH_011_023_000028	天監元年，追崇丞相，封長沙郡王，諡曰宣武。
HCH_011_023_000029	給九旒、鸞輅、輼輬車，黃屋左纛，前後部羽葆鼓吹，輓歌二部，虎賁班劍百人，葬禮一依晉安平王故事。
HCH_011_023_000030	業幼而明敏，識度過人。
HCH_011_023_000031	仕齊爲著作郎、太子舍人。
HCH_011_023_000032	宣武之難，與二弟藻、象俱逃匿。
HCH_011_023_000033	高祖旣至，乃赴于軍，以爲寧朔將軍。
HCH_011_023_000034	中興二年，除輔國將軍、南琅邪清河二郡太守。
HCH_011_023_000035	天監二年，襲封長沙王，徵爲冠軍將軍，量置佐史，遷秘書監。
HCH_011_023_000036	四年，改授侍中。
HCH_011_023_000037	六年，轉散騎常侍、太子右衛率，遷左驍騎將軍，尋爲中護軍，領石頭戍軍事。
HCH_011_023_000038	七年，出爲使持節、都督南兗兗徐青冀五州諸軍事、仁威將軍、南兗州刺史。
HCH_011_023_000039	八年，徵爲護軍。
HCH_011_023_000040	九年，除中書令，改授安後將軍、鎮琅邪彭城二郡、領南琅邪太守。
HCH_011_023_000041	十年，徵爲安右將軍、散騎常侍。
HCH_011_023_000042	十四年，復爲護軍，領南琅邪彭城，鎮于琅邪。
HCH_011_023_000043	復徵中書令，出爲輕車將軍、湘州刺史。
HCH_011_023_000044	業性敦篤，所在留惠。
HCH_011_023_000045	深信因果，篤誠佛法，高祖每嘉歎之。
HCH_011_023_000046	普通三年，徵爲散騎常侍、護軍將軍。
HCH_011_023_000047	四年，改爲侍中、金紫光祿大夫。
HCH_011_023_000048	七年，薨，時年四十八。
HCH_011_023_000049	諡曰元。
HCH_011_023_000050	有文集行於世。
HCH_011_023_000051	子孝儼嗣。
HCH_011_023_000052	孝儼字希莊，聰慧有文才。
HCH_011_023_000053	射策甲科，除秘書郎、太子舍人。
HCH_011_023_000054	從幸華林園，於座獻《相風烏》、《華光殿》、《景陽山》等頌，其文甚美，高祖深賞異之。
HCH_011_023_000055	普通元年，薨，時年二十三。
HCH_011_023_000056	諡曰章。
HCH_011_023_000057	子慎嗣。
HCH_011_023_000058	藻字靖藝，元王弟也。
HCH_011_023_000059	少立名行，志操清潔。
HCH_011_023_000060	齊永元初，釋褐著作佐郎。
HCH_011_023_000061	天監元年，封西昌縣侯，食邑五百戶。
HCH_011_023_000062	出爲持節、都督益、寧二州諸軍事、冠軍將軍、益州刺史。
HCH_011_023_000063	時天下草創，邊徼未安，州民焦僧護聚衆數萬，據郫、繁作亂。
HCH_011_023_000064	藻年未弱冠，集僚佐議，欲自擊之。
HCH_011_023_000065	或陳不可，藻大怒，斬于階側。
HCH_011_023_000066	乃乘平肩輿，巡行賊壘。
HCH_011_023_000067	賊弓亂射，矢下如雨，從者舉楯禦箭，又命除之，由是人心大安。
HCH_011_023_000068	賊乃夜遁，藻命騎追之，斬首數千級，遂平之。
HCH_011_023_000069	進號信威將軍，九年，徵爲太子中庶子。
HCH_011_023_000070	十年，爲左驍騎將軍、領南琅邪太守。
HCH_011_023_000071	入爲侍中。
HCH_011_023_000072	藻性謙退，不求聞達。
HCH_011_023_000073	善屬文辭，尤好古體，自非公讌，未嘗妄有所爲，縱有小文，成輒棄本。
HCH_011_023_000074	十一年，出爲使持節、都督雍、梁、秦三州竟陵、隨二郡諸軍事、仁威將軍、寧蠻校尉、雍州刺史。
HCH_011_023_000075	十二年，徵爲使持節、都督南兗兗徐青冀五州諸軍事、兗州刺史，軍號如故。
HCH_011_023_000076	頻蒞數鎮，民吏稱之。
HCH_011_023_000077	推善下人，常如弗及。
HCH_011_023_000078	徵爲太子詹事。
HCH_011_023_000079	普通三年，遷領軍將軍，加侍中。
HCH_011_023_000080	六年，爲軍師將軍，與西豊侯正德北伐渦陽，輒班師，爲有司所奏，免官削爵土。
HCH_011_023_000081	七年，起爲宗正卿。
HCH_011_023_000082	八年，復封爵，尋除左衛將軍，領步兵校尉。
HCH_011_023_000083	大通元年，遷侍中、中護軍。
HCH_011_023_000084	時渦陽始降，乃以藻爲使持節、北討都督、征北大將軍，鎮于渦陽。
HCH_011_023_000085	二年，爲中權將軍、金紫光祿大夫，置佐史，加侍中。
HCH_011_023_000086	中大通元年，遷護軍將軍，中權如故。
HCH_011_023_000087	三年，爲中軍將軍、太子詹事，出爲丹陽尹。
HCH_011_023_000088	高祖每歎曰：「子弟並如迦葉，吾復何憂。」
HCH_011_023_000089	迦葉，藻小名也。
HCH_011_023_000090	入爲安左將軍、尚書左僕射，加侍中，藻固辭不就，詔不許。
HCH_011_023_000091	大同五年，遷中衛將軍、開府儀同三司、中書令，侍中如故。
HCH_011_023_000092	藻性恬靜，獨處一室，床有膝痕，宗室衣冠，莫不楷則。
HCH_011_023_000093	常以爵祿太過，每思摒退，門庭閑寂，賓客罕通，太宗尤敬愛之。
HCH_011_023_000094	自遭家禍，恒布衣蒲席，不食鮮禽，非在公庭，不聽音樂。
HCH_011_023_000095	高祖每以此稱之。
HCH_011_023_000096	出爲使持節、督南徐州刺史。
HCH_011_023_000097	侯景亂，藻遣長子彧率兵入援，及城開，加散騎常侍、大將軍。
HCH_011_023_000098	景遣其儀同蕭邕代之，據京口，藻因感氣疾，不自療。
HCH_011_023_000099	或勸奔江北，藻曰：「吾國之台鉉，位任特隆，旣不能誅剪逆賊，正當同死朝廷，安能投身異類，欲保餘生。」
HCH_011_023_000100	因不食累日。
HCH_011_023_000101	太清三年，薨，時年六十七。
HCH_011_023_000102	永陽嗣王伯游字士仁，高祖次兄敷之子。
HCH_011_023_000103	敷字仲達，解褐齊後將軍、征虜行參軍，輔太子舍人，洗馬，遷丹陽尹丞。
HCH_011_023_000104	入爲太子中舍人，除建威將軍、隨郡內史。
HCH_011_023_000105	招懷遠近，黎庶安之，以爲前後之政莫之及也。
HCH_011_023_000106	進號寧朔將軍，徵爲廬陵王諮議參軍。
HCH_011_023_000107	建武四年，薨。
HCH_011_023_000108	高祖即位，追贈侍中、司空，封永陽郡王，諡曰昭。
HCH_011_023_000109	伯游美風神，善言玄理。
HCH_011_023_000110	天監元年四月，詔曰：「兄子伯游，雖年識未弘，意尚粗可。浙東奧區，宜須撫蒞，可督會稽東陽新安永嘉臨海五郡諸軍事、輔國將軍、會稽太守。」
HCH_011_023_000111	二年，襲封永陽郡王。
HCH_011_023_000112	五年，薨，時年二十三。
HCH_011_023_000113	諡曰恭。
HCH_011_023_000114	衡陽嗣王元簡字熙遠，高祖第四弟暢之子。
HCH_011_023_000115	暢仕齊至太常，封江陵縣侯，卒。
