HCH_011_037_000000	謝舉，字言揚，中書令覽之弟也。
HCH_011_037_000001	幼好學，能清言，與覽齊名。
HCH_011_037_000002	舉年十四，嘗贈沈約五言詩，爲約稱賞。
HCH_011_037_000003	世人爲之語曰：「王有養、炬，謝有覽、舉。」
HCH_011_037_000004	養、炬，王筠、王泰小字也。
HCH_011_037_000005	起家秘書郎，遷太子舍人，輕車功曹史，秘書丞，司空從事中郎，太子庶子，家令，掌東宮管記，深爲昭明太子賞接。
HCH_011_037_000006	秘書監任昉出爲新安郡，別舉詩云：「詎念耋嗟人，方深老夫託。」
HCH_011_037_000007	其屬意如此。
HCH_011_037_000008	嘗侍宴華林園，高祖訪舉於覽，覽對曰：「識藝過臣甚遠，惟飲酒不及於臣。」
HCH_011_037_000009	高祖大悅。
HCH_011_037_000010	轉太子中庶子，猶掌管記。
HCH_011_037_000011	天監十一年，遷侍中。
HCH_011_037_000012	十四年，出爲寧遠將軍、豫章內史，爲政和理，甚得民心。
HCH_011_037_000013	十八年，復入爲侍中，領步兵校尉。
HCH_011_037_000014	普通元年，出爲貞毅將軍、太尉臨川王長史。
HCH_011_037_000015	四年，入爲左民尚書。
HCH_011_037_000016	其年遷掌吏部，尋以公事免。
HCH_011_037_000017	五年，起爲太子中庶子，領右軍將軍。
HCH_011_037_000018	六年，復爲左民尚書，領步兵校尉。
HCH_011_037_000019	俄徙爲吏部尚書，尋加侍中。
HCH_011_037_000020	出爲仁威將軍、晉陵太守。
HCH_011_037_000021	在郡清靜，百姓化其德，境內肅然。
HCH_011_037_000022	罷郡還，吏民詣闕請立碑，詔許之。
HCH_011_037_000023	大通二年，入爲侍中、五兵尚書，未拜，遷掌吏部，侍中如故。
HCH_011_037_000024	舉祖莊，宋世再典選，至舉又三爲此職，前代未有也。
HCH_011_037_000025	舉少博涉多通，尤長玄理及釋氏義。
HCH_011_037_000026	爲晉陵郡時，常與義僧遞講經論，徵士何胤自虎丘山赴之。
HCH_011_037_000027	其盛如此。
HCH_011_037_000028	先是，北渡人盧廣有儒術，爲國子博士，于學發講，僕射徐勉以下畢至。
HCH_011_037_000029	舉造坐，屢折廣，辭理通邁。
HCH_011_037_000030	廣深嘆服，仍以所執麈尾薦之，以況重席焉。
