HCH_011_042_000000	臧盾字宣卿，東莞莒人。
HCH_011_042_000001	高祖燾，宋左光祿大夫。
HCH_011_042_000002	祖潭之，左民尚書。
HCH_011_042_000003	父未甄，博涉文史，有才幹，少爲外兄汝南周顒所知。
HCH_011_042_000004	宋末，起家爲領軍主簿，所奉卽齊武帝。
HCH_011_042_000005	入齊，歷太尉祭酒、尚書主客郎、建安、廬陵二王府記室、前軍功曹史、通直郎、南徐州中正、丹陽尹丞。
HCH_011_042_000006	高祖平京邑，霸府建，引爲驃騎刑獄參軍。
HCH_011_042_000007	天監初，除後軍諮議中郎、南徐州別駕，入拜黃門郎，遷右軍安成王長史、少府卿。
HCH_011_042_000008	出爲新安太守，有能名。
HCH_011_042_000009	還爲太子中庶子、司農卿、太尉長史。
HCH_011_042_000010	丁所生母憂，三年廬于墓側。
HCH_011_042_000011	服闋，除廷尉卿。
HCH_011_042_000012	出爲安成王長史、江夏太守，卒官。
HCH_011_042_000013	盾幼從徵士琅邪諸葛璩受《五經》，通章句。
HCH_011_042_000014	璩學徒常有數十百人，盾處其間，無所狎比。
HCH_011_042_000015	璩異之，歎曰：「此生重器，王佐才也。」
HCH_011_042_000016	初爲撫軍行參軍，遷尚書中兵郎。
HCH_011_042_000017	盾美風姿，善舉止，每趨奏，高祖甚悅焉。
HCH_011_042_000018	入兼中書通事舍人，除安右錄事參軍，舍人如故。
HCH_011_042_000019	盾有孝性，隨父宿直於廷尉，母劉氏在宅，夜暴亡，左手中指忽痛，不得寢。
HCH_011_042_000020	及曉，宅信果報凶問，其感通如此。
HCH_011_042_000021	服制未終，父又卒，盾居喪五年，不出廬戶，形骸枯顇，家人不復識。
HCH_011_042_000022	鄉人王端以狀聞，高祖嘉之，敕累遣抑譬。
HCH_011_042_000023	服闋，除丹陽尹丞，轉中書郎，復兼中書舍人，遷尚書左丞，爲東中郎武陵王長史，行府州國事，領會稽郡丞。
HCH_011_042_000024	還除少府卿，領步兵校尉，遷御史中丞。
HCH_011_042_000025	盾性公強，居憲臺甚稱職。
HCH_011_042_000026	中大通五年二月，高祖幸同泰寺開講，設四部大會，衆數萬人。
HCH_011_042_000027	南越所獻馴象，忽於衆中狂逸，乘轝羽衛及會皆駭散，惟盾與散騎郎裴之禮嶷然自若，高祖甚嘉焉。
HCH_011_042_000028	俄有詔，加散騎常侍，未拜，又詔曰：「總一六軍，非才勿授。御史中丞、新除散騎常侍盾，志懷忠密，識用詳慎，當官平允，處務勤恪，必能緝斯戎政。可兼領軍，常侍如故。」
HCH_011_042_000029	大同二年，遷中領軍。
HCH_011_042_000030	領軍管天下兵要，監局事多。
HCH_011_042_000031	盾爲人敏贍，有風力，長於撥繁，職事甚理。
HCH_011_042_000032	天監中，吳平侯蕭景居此職，著聲稱。
HCH_011_042_000033	至是盾復繼之。
HCH_011_042_000034	五年，出爲仁威將軍、吳郡太守，視事未期，以疾陳解。
HCH_011_042_000035	拜光祿大夫，加金章紫綬。
HCH_011_042_000036	七年，疾愈，復爲領軍將軍。
HCH_011_042_000037	九年，卒，時年六十六。
HCH_011_042_000038	卽日有詔舉哀。
HCH_011_042_000039	贈侍中，領軍如故。
HCH_011_042_000040	給東園秘器，朝服一具，衣一襲，錢布各有差。
HCH_011_042_000041	諡曰忠。
HCH_011_042_000042	子長博，字孟弘，桂陽內史。
HCH_011_042_000043	次子仲博，曲阿令。
HCH_011_042_000044	盾弟厥。
HCH_011_042_000045	厥字獻卿，亦以幹局稱。
HCH_011_042_000046	初爲西中郎行參軍、尚書主客郎。
HCH_011_042_000047	入兼中書通事舍人，累遷正員郎、鴻臚卿，舍人如故。
HCH_011_042_000048	遷尚書右丞，未拜，出爲晉安太守。
HCH_011_042_000049	郡居山海，常結聚逋逃，前二千石雖募討捕，而寇盜不止。
HCH_011_042_000050	厥下車，宣風化，凡諸凶黨，皆涘負而出，居民復業，商旅流通。
HCH_011_042_000051	然爲政嚴酷少恩，吏民小事必加杖罰，百姓謂之「臧虎」。
HCH_011_042_000052	還除驃騎廬陵王諮議參軍，復兼舍人。
HCH_011_042_000053	遷員外散騎常侍，兼司農卿，舍人如故。
HCH_011_042_000054	大同八年，卒官，時年四十八。
HCH_011_042_000055	厥前後居職，所掌之局大事及蘭臺廷尉所不能決者，敕並付厥。
HCH_011_042_000056	厥辨斷精詳，咸得其理。
HCH_011_042_000057	厥卒後，有撾登聞鼓訴者，求付清直舍人。
HCH_011_042_000058	高祖曰：「臧厥旣亡，此事便無可付。」
HCH_011_042_000059	其見知如此。
HCH_011_042_000060	子操，尚書三公郎。
HCH_011_042_000061	傅岐字景平，北地靈州人也。
HCH_011_042_000062	高祖弘仁，宋太常。
HCH_011_042_000063	祖琰，齊世爲山陰令，有治能，自縣擢爲益州刺史。
HCH_011_042_000064	父翽，天監中，歷山陰、建康令，亦有能名，官至驃騎諮議。
HCH_011_042_000065	岐初爲國子明經生，起家南康王宏常侍，遷行參軍，兼尚書金部郎。
HCH_011_042_000066	母憂去職，居喪盡禮。
HCH_011_042_000067	服闋後，疾廢久之。
HCH_011_042_000068	是時改創北郊壇，初起岐監知繕築，事畢，除如新令。
HCH_011_042_000069	縣民有因鬬相毆而死者，死家訴郡，郡錄其仇人，考掠備至，終不引咎，郡乃移獄於縣。
HCH_011_042_000070	岐卽命脫械，以和言問之，便卽首服。
HCH_011_042_000071	法當償死，會冬節至，岐乃放其還家，使過節一日復獄。
HCH_011_042_000072	曹掾固爭曰：「古者乃有此，於今不可行。」
HCH_011_042_000073	岐曰：「其若負信，縣令當坐，主者勿憂。」
HCH_011_042_000074	竟如期而反。
HCH_011_042_000075	太守深相歎異，遽以狀聞。
HCH_011_042_000076	岐後去縣，民無老小，皆出境拜送，啼號之聲，聞於數十里。
HCH_011_042_000077	至都，除廷尉正，入兼中書通事舍人，遷寧遠岳陽王記室參軍，舍人如故。
HCH_011_042_000078	出爲建康令，以公事免。
HCH_011_042_000079	俄復爲舍人，累遷安西中記室、鎮南諮議參軍，兼舍人如故。
HCH_011_042_000080	岐美容止，博涉能占對。
HCH_011_042_000081	大同中，與魏和親，其使歲中再至，常遣岐接對焉。
HCH_011_042_000082	太清元年，累遷太僕、司農卿，舍人如故。
HCH_011_042_000083	在禁省十餘年，機事密勿亞於朱异。
HCH_011_042_000084	此年冬，豫州刺史貞陽侯蕭淵明率衆伐彭城，兵敗陷魏。
HCH_011_042_000085	二年，淵明遣使還，述魏人欲更通和好，敕有司及近臣定議。
HCH_011_042_000086	左衛朱异曰：「高澄此意，當復欲繼好，不爽前和；邊境且得靜寇息民，於事爲便。」
HCH_011_042_000087	議者並然之。
HCH_011_042_000088	岐獨曰：「高澄旣新得志，其勢非弱，何事須和？此必是設間，故令貞陽遣使，令侯景自疑當以貞陽易景。景意不安，必圖禍亂。今若許澄通好，正是墮其計中。且彭城去歲喪師，渦陽新復敗退，令便就和，益示國家之弱。若如愚意，此和宜不可許。」
HCH_011_042_000089	朱异等固執，高祖遂從異議。
HCH_011_042_000090	及遣和使，侯景果有此疑，累啟請追使，敕但依違報之。
HCH_011_042_000091	至八月，遂舉兵反。
HCH_011_042_000092	十月，入寇京師，請誅朱异。
HCH_011_042_000093	三年，遷中領軍，舍人如故。
HCH_011_042_000094	二月，景于闕前通表，乞割江右四州，安其部下，當解圍還鎮，敕許之。
HCH_011_042_000095	乃於城西立盟，求遣宣城王出送。
HCH_011_042_000096	岐固執宣城嫡嗣之重，不宜許，遣石城公大款送之。
HCH_011_042_000097	及與景盟訖，城中文武喜躍，望得解圍。
HCH_011_042_000098	岐獨言於衆曰：「賊舉兵爲逆，未遂求和，夷情獸心，必不可信，此和終爲賊所詐也。」
HCH_011_042_000099	衆並怨怪之。
HCH_011_042_000100	及景背盟，莫不嘆服。
HCH_011_042_000101	尋有詔，以岐勤勞，封南豊縣侯，邑五百戶，固辭不受。
HCH_011_042_000102	宮城失守，岐帶疾出圍，卒於宅。
HCH_011_042_000103	陳吏部尚書姚察曰：夫舉事者定於謀，故萬舉無遺策，信哉是言也。
HCH_011_042_000104	傅岐識齊氏之偽和，可謂善於謀事。
HCH_011_042_000105	是時若納岐之議，太清禍亂，固其不作。
HCH_011_042_000106	申子曰：「一言倚，天下靡。」
HCH_011_042_000107	此之謂乎？
HCH_011_042_000108	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
