HCH_011_055_000000	豫章王綜字世謙，高祖第二子也。
HCH_011_055_000001	天監三年，封豫章郡王，邑二千戶。
HCH_011_055_000002	五年，出爲使持節、都督南徐州諸軍事、仁威將軍、南徐州刺史，尋進號北中郎將。
HCH_011_055_000003	十年，遷都督郢、司、霍三州諸軍事、雲麾將軍、郢州刺史。
HCH_011_055_000004	十三年，遷安右將軍、領石頭戍軍事。
HCH_011_055_000005	十五年，遷西中郎將，兼護軍將軍，又遷安前將軍、丹陽尹。
HCH_011_055_000006	十六年，復爲北中郎將、南徐州刺史。
HCH_011_055_000007	普通二年，入爲侍中、鎮右將軍，置佐史。
HCH_011_055_000008	初，其母吳淑媛自齊東昏宮得幸於高祖，七月而生綜，宮中多疑之者。
HCH_011_055_000009	及淑媛寵衰怨望，遂陳疑似之說，故綜懷之。
HCH_011_055_000010	旣長，有才學，善屬文。
HCH_011_055_000011	高祖御諸子以禮，朝見不甚數，綜恒怨不見知。
HCH_011_055_000012	每出籓，淑媛恒隨之鎮。
HCH_011_055_000013	至年十五六，尚躶袒嬉戲於前，晝夜無別，內外咸有穢議。
HCH_011_055_000014	綜在徐州，政刑酷暴。
HCH_011_055_000015	又有勇力，手制奔馬。
HCH_011_055_000016	常微行夜出，無有期度。
HCH_011_055_000017	每高祖有敕疏至，輒忿恚形於顏色，羣臣莫敢言者。
HCH_011_055_000018	恒於別室祠齊氏七廟，又微服至曲阿拜齊明帝陵。
HCH_011_055_000019	然猶無以自信，聞俗說以生者血瀝死者骨，滲，卽爲父子。
HCH_011_055_000020	綜乃私發齊東昏墓，出骨，瀝臂血試之。
HCH_011_055_000021	幷殺一男，取其骨試之，皆有驗，自此常懷異志。
HCH_011_055_000022	四年，出爲使持節、都督南兗兗徐青冀五州諸軍事、平北將軍、南兗州刺史，給鼓吹一部。
HCH_011_055_000023	聞齊建安王蕭寶寅在魏，遂使人入北與之相知，謂爲叔父，許舉鎮歸之。
HCH_011_055_000024	會大舉北伐。
HCH_011_055_000025	六年，魏將元法僧以彭城降，高祖乃令綜都督衆軍，鎮于彭城，與魏將安豊王元延明相持。
HCH_011_055_000026	高祖以連兵旣久，慮有釁生，敕綜退軍。
HCH_011_055_000027	綜懼南歸則無因復與寶寅相見，乃與數騎夜奔于延明，魏以爲侍中、太尉、高平公、丹陽王，邑七千戶，錢三百萬，布絹三千匹，雜彩千匹，馬五十匹，羊五百口，奴婢一百人。
HCH_011_055_000028	綜乃改名纘，字德文，追爲齊東昏服斬衰。
HCH_011_055_000029	於是有司奏削爵土，絕屬籍，改其姓爲悖氏。
HCH_011_055_000030	俄有詔復之，封其子直爲永新侯，邑千戶。
HCH_011_055_000031	大通二年，蕭寶寅在魏據長安反，綜自洛陽北遁，將赴之，爲津吏所執，魏人殺之，時年四十九。
HCH_011_055_000032	初，綜旣不得志，嘗作《聽鐘鳴》、《悲落葉》辭，以申其志。
HCH_011_055_000033	大略曰：當時見者莫不悲之。
HCH_011_055_000034	武陵王紀字世詢，高祖第八子也。
HCH_011_055_000035	少勤學，有文才，屬辭不好輕華，甚有骨氣。
HCH_011_055_000036	天監十三年，封爲武陵郡王，邑二千戶。
HCH_011_055_000037	歷位寧遠將軍、琅邪彭城二郡太守、輕車將軍、丹陽尹。
HCH_011_055_000038	出爲會稽太守，尋以其郡爲東揚州，仍爲刺史，加使持節、東中郎將。
HCH_011_055_000039	徵爲侍中，領石頭戍軍事。
