HCH_012_058_000000	次五曰凶禮。
HCH_012_058_000001	凡山陵、寢廟與喪葬、服紀及士庶喪制，皆以類編次。
HCH_012_058_000002	其謁陵、忌辰之禮，亦附載焉。
HCH_012_058_000003	太祖即位，追上四世帝號。
HCH_012_058_000004	皇祖考熙祖，墓在鳳陽府泗州蠙城北，薦號曰祖陵。
HCH_012_058_000005	設祠祭署，置奉祀一員，陵戶二百九十三。
HCH_012_058_000006	皇考仁祖，墓在鳳陽府太平鄉。
HCH_012_058_000007	太祖至濠，嘗議改葬，不果。
HCH_012_058_000008	因增土以培其封，令陵旁故人汪文、劉英等二十家守視。
HCH_012_058_000009	洪武二年薦號曰英陵，後改稱皇陵。
HCH_012_058_000010	設皇陵衛並祠祭署，奉祀一員、祀丞三員，俱勳舊世襲。
HCH_012_058_000011	陵戶三千三百四十二，直宿灑掃。
HCH_012_058_000012	禮生二十四人。
HCH_012_058_000013	四年，建祖陵廟。
HCH_012_058_000014	仿唐、宋同堂異室之制，前殿寢殿俱十五楹，東西旁各二，爲夾室，如晉王肅所議。
HCH_012_058_000015	中三楹通爲一室，奉德祖神位，以備袷祭。
HCH_012_058_000016	東一楹奉懿祖，西一楹奉熙祖。
HCH_012_058_000017	十九年，命皇太子往泗州修繕祖陵，葬三祖帝后冠服。
HCH_012_058_000018	三十一年，太祖崩。
HCH_012_058_000019	禮部定議，京官聞喪次日，素服、烏紗帽、黑角帶，赴內府聽遺詔。
HCH_012_058_000020	於本署齋宿，朝晡詣几筵哭。
HCH_012_058_000021	越三日成服，朝晡哭臨，至葬乃止。
HCH_012_058_000022	自成服日始，二十七日除。
HCH_012_058_000023	命婦孝服，去首飾，由西華門入哭臨。
HCH_012_058_000024	諸王、世子、王妃、郡主、內使、宮人俱斬衰三年，二十七月除。
HCH_012_058_000025	凡臨朝視事，素服、烏紗帽、黑角帶，退朝衰服。
HCH_012_058_000026	羣臣麻布員領衫麻布冠、麻絰、麻鞋。
HCH_012_058_000027	命婦麻布大袖長衫，麻布蓋頭。
HCH_012_058_000028	明器如鹵簿。
HCH_012_058_000029	神主用慄，制度依家禮。
HCH_012_058_000030	行人頒遺詔於天下。
HCH_012_058_000031	在外百官，詔書到日，素服、烏紗帽、黑角帶，四拜。
HCH_012_058_000032	聽宣讀訖，舉哀，再四拜。
HCH_012_058_000033	三日成服，每旦設香案哭臨，三日除。
HCH_012_058_000034	各遣官赴京致祭，祭物禮部備。
HCH_012_058_000035	孝陵設神宮監並孝陵衛及祠祭署。
HCH_012_058_000036	建文帝詔行三年喪，事在《本紀》。
HCH_012_058_000037	以遭革除，喪葬之制皆不傳。
HCH_012_058_000038	文帝崩於榆木川，遺詔一遵太祖遺制。
HCH_012_058_000039	京師聞訃，皇太子以下皆易服。
HCH_012_058_000040	宮中設几筵，朝夕哭奠。
HCH_012_058_000041	百官素服，朝夕哭臨思善門外。
HCH_012_058_000042	禮部定喪禮，宮中自皇太子以下及諸王、公主，成服日爲始，斬衰三年，二十七月除。
HCH_012_058_000043	服內停音樂、嫁娶、祭禮，止停百日。
HCH_012_058_000044	文武官聞喪之明日，詣思善門外哭，五拜三叩頭，宿本署，不飲酒食肉。
HCH_012_058_000045	四日衰服，朝夕哭臨三日，又朝臨十日。
HCH_012_058_000046	衰服二十七日。
HCH_012_058_000047	凡入朝及視事，白布裹紗帽、垂帶、素服、腰絰、麻鞋。
HCH_012_058_000048	退朝衰服，二十七日外，素服、烏紗帽、黑角帶，二十七月而除。
HCH_012_058_000049	聽選辦事等官衰服，監生吏典僧道素服，赴順天府，朝夕哭臨三日，又朝臨十日。
HCH_012_058_000050	命婦第四日由西華門入，哭臨三日，俱素服，二十七日除。
HCH_012_058_000051	凡音樂祭祀，並輟百日。
HCH_012_058_000052	婚嫁，官停百日，軍民停一月。
HCH_012_058_000053	軍民素服，婦人素服不妝飾，俱二十七日。
