HCH_012_073_000000	都察院。
HCH_012_073_000001	左、右都御史，正二品；左、右副都御史，正三品；左、右僉都御史，正四品。
HCH_012_073_000002	其屬，經歷司，經歷一人，正六品；都事一人，正七品；司務廳，司務二人，從九品，初設四人，後革二人；照磨所，照磨，正八品；檢校，正九品；司獄司，司獄，從九品，初設六人，後革五人；各一人。
HCH_012_073_000003	十三道監察御史一百十人，正七品。
HCH_012_073_000004	浙江、江西、河南、山東各十人，福建、廣東、廣西、四川、貴州各七人，陝西、湖廣、山西各八人，雲南十一人。
HCH_012_073_000005	其在外加都御史或副、僉都御史銜者，有總督，有提督，有巡撫，有總督兼巡撫，提督兼巡撫，及經略、總理、贊理、巡視、撫治等員。
HCH_012_073_000006	巡撫之名，起於懿文太子巡撫陝西。
HCH_012_073_000007	永樂十九年，遣尚書蹇義等二十六人巡行天下，安撫軍民。
HCH_012_073_000008	以後不拘尚書、侍郎、都御史、少卿等官。
HCH_012_073_000009	事畢復命，即或停遣。
HCH_012_073_000010	初名巡撫，或名鎮守，後以鎮守侍郎與巡按御史不相統屬，文移窒礙，定為都御史。
HCH_012_073_000011	巡撫兼軍務者加提督，有總兵地方加贊理或參贊，所轄多、事重者加總督。
HCH_012_073_000012	他如整飭、撫治、巡治、總理等項，皆因事特設。
HCH_012_073_000013	其以尚書、侍郎任總督軍務者，皆兼都御史，以便行事。
HCH_012_073_000014	都御史，職專糾劾百司，辯明冤枉，提督各道，為天子耳目風紀之司。
HCH_012_073_000015	凡大臣奸邪、小人構黨、作威福亂政者，劾。
HCH_012_073_000016	凡百官猥茸貪冒壞官紀者，劾。
HCH_012_073_000017	凡學術不正、上書陳言變亂成憲、希進用者，劾。
HCH_012_073_000018	遇朝覲、考察，同吏部司賢否陟黜。
HCH_012_073_000019	大獄重囚會鞫於外朝，偕刑部、大理讞平之。
HCH_012_073_000020	其奉敕內地，拊循外地，各專其敕行事。
HCH_012_073_000021	十三道監察御史，主察糾內外百司之官邪，或露章面劾，或封章奏劾。
HCH_012_073_000022	在內兩京刷卷，巡視京營，監臨鄉、會試及武舉，巡視光祿，巡視倉場，巡視內庫、皇城、五城，輪值登聞鼓。
HCH_012_073_000023	後改科員。
HCH_012_073_000024	在外巡按，北直隸二人，南直隸三人，宣大一人，遼東一人，甘肅一人，十三省各一人。
HCH_012_073_000025	清軍，提督學校，兩京各一人，萬曆末，南京增設一人。
HCH_012_073_000026	巡鹽，兩淮一人，兩浙一人，長蘆一人，河東一人。
HCH_012_073_000027	茶馬，陝西。
HCH_012_073_000028	巡漕，巡關，宣德四年設立鈔關御史，至正統十年始遣主事。
HCH_012_073_000029	攢運，印馬，屯田。
HCH_012_073_000030	師行則監軍紀功，各以其事專監察。
HCH_012_073_000031	而巡按則代天子巡狩，所按籓服大臣、府州縣官諸考察，舉劾尤專，大事奏裁，小事立斷。
HCH_012_073_000032	按臨所至，必先審錄罪囚，吊刷案卷，有故出入者理辯之。
HCH_012_073_000033	諸祭祀壇場，省其牆宇祭器。
HCH_012_073_000034	存恤孤老，巡視倉庫，查算錢糧，勉勵學校，表揚善類，翦除豪蠹，以正風俗，振綱紀。
HCH_012_073_000035	凡朝會糾儀，祭祀監禮。
HCH_012_073_000036	凡政事得失，軍民利病，皆得直言無避。
HCH_012_073_000037	有大政，集闕廷預議焉。
HCH_012_073_000038	蓋六部至重，然有專司，而都察院總憲綱，惟所見聞得糾察。
HCH_012_073_000039	諸御史糾劾，務明著實跡，開寫年月，毋虛文泛詆，訐拾細瑣。
HCH_012_073_000040	出按復命，都御史覆劾其稱職不稱職以聞。
HCH_012_073_000041	凡御史犯罪，加三等，有贓從重論。
HCH_012_073_000042	十三道各協管兩京、直隸衙門；而都察院衙門分屬河南道，獨專諸內外考察。
HCH_012_073_000043	浙江道協管中軍都督府，在京府軍左、金吾左、金吾右、金吾前、留守中、神策、應天、和陽、廣洋、武功中、武功後、茂陵十二衛，牧馬千戶所，及直隸廬州府，廬州、六安二衛。
HCH_012_073_000044	江西道協管前軍都督府，在京府軍前、燕山左、龍江左、龍江右、龍驤、豹韜、天策、寬河八衛，及直隸淮安府，淮安、大河、邳州、九江、武清、龍門各衛。
HCH_012_073_000045	福建道協管戶部，寶鈔提舉司，鈔紙、印鈔二局，承運、廣惠、廣積、廣盈、贓罰、甲乙丙丁戊字、天財、軍儲、供用、行用各庫，在京金吾後、武成中、飛熊、武功左、武功右、武功前、獻陵、景陵、裕陵、泰陵十衛，及直隸常州、池州二府，定邊、開平中屯二衛，美峪千戶所。
HCH_012_073_000046	四川道協管工部，營繕所，文思院，御用、司設、神宮、尚衣、都知等監，惜薪司，兵仗、銀作、巾帽、針工、器皿、盔甲、軍器、寶源、皮作、鞍轡、織染、柴炭、抽分竹木各局，僧、道錄司，在京府軍、濟州、大寧前、蔚州左、永清左五衛，蕃牧千戶所，及直隸松江府、廣德州，金山、懷安、懷來各衛，神木千戶所，播州宣慰司，石砫、西陽等宣撫司，天全六番招討司。
HCH_012_073_000047	陝西道協管後軍都督府，大理寺，行人司，在京府軍後、鷹揚、興武、義勇右、橫海、江陰、康陵、昭陵八衛，敢勇、報效二營，韓、秦、慶、安化四府，及直隸和州，保定左、右、中、前四衛。
HCH_012_073_000048	雲南道協管順天府，廣備庫，在京羽林前、通州二衛，及直隸永平、廣平二府，通州左、通州右、涿鹿、涿鹿左、涿鹿中、密雲中、密雲後、永平、山海、盧龍、撫寧、東勝左、東勝右、大同中屯、營州五屯、延慶、延慶左、延慶右、萬全左、萬全右各衛，居庸關、黃花鎮、寬河、武定各千戶所。
HCH_012_073_000049	河南道協管禮部，都察院，翰林院，國子監，太常寺，光祿寺，鴻臚寺，尚寶司，中書舍人，欽天監，太醫院，司禮、尚膳、尚寶、直殿等監，酒醋面局，鐘鼓司，教坊司，在京羽林左、留守前、留守後、神武左、神武前、彭城六衛，伊、唐、周、鄭四府，及兩淮鹽運司，直隸揚州、大名二府，揚州、高郵、儀真、歸德、寧山、潼關、神武右各衛，泰州、通州、汝寧各千戶所。
