HCH_012_086_000000	江南運河，自杭州北郭務至謝村北，為十二里洋，為塘棲，德清之水入之。
HCH_012_086_000001	逾北陸橋入崇德界，過松老抵高新橋，海鹽支河通之。
HCH_012_086_000002	繞崇德城南，轉東北，至小高陽橋東，過石門塘，折而東，為王灣。
HCH_012_086_000003	至皁林，水深者及丈。
HCH_012_086_000004	過永新，入秀水界，逾陡門鎮，北為分鄉鋪，稍東為繡塔。
HCH_012_086_000005	北由嘉興城西轉而北，出杉青三閘，至王江涇鎮，松江運艘自東來會之。
HCH_012_086_000006	北為平望驛，東通鶯脰湖，湖州運艘自西出新興橋會之。
HCH_012_086_000007	北至松陵驛，由吳江至三里橋，北有震澤，南有黃天蕩，水勢澎湃，夾浦橋屢建。
HCH_012_086_000008	北經蘇州城東鯰魚口，水由□□塘入之。
HCH_012_086_000009	北至楓橋，由射瀆經滸墅□關，過白鶴鋪，長洲、無錫兩邑之界也。
HCH_012_086_000010	錫山驛水僅浮瓦礫。
HCH_012_086_000011	過黃埠，至洛社橋，江陰九里河之水通之。
HCH_012_086_000012	西北為常州，漕河舊貫城，入東水門，由西水門出。
HCH_012_086_000013	嘉靖末防倭，改從南城壕。
HCH_012_086_000014	江陰，順塘河水由城東通丁堰，沙子湖在其西南，宜興鐘溪之水入之。
HCH_012_086_000015	又西，直瀆水入之，又西為奔牛、呂城二閘，常、鎮界其中，皆有月河以佐節宣，後並廢。
HCH_012_086_000016	其南為金壇河，溧陽、高淳之水出焉。
HCH_012_086_000017	丹陽南二十里為陵口，北二十五里為黃泥壩，舊皆置閘。
HCH_012_086_000018	練湖水高漕河數丈，一由三思橋，一由仁智橋，皆入運。
HCH_012_086_000019	北過丹徒鎮有豬婆灘，多軟沙。
HCH_012_086_000020	丹徒以上運道，視江潮為盈涸。
HCH_012_086_000021	過鎮江，出京口閘，閘外沙堵延袤二十丈，可藏舟避風，由此浮於江，與瓜步對。
HCH_012_086_000022	自北郭至京口首尾八百餘里，皆平流。
HCH_012_086_000023	曆嘉而蘇，眾水所聚，至常州以西，地漸高仰，水淺易泄，盈涸不恆，時浚時壅，往往兼取孟瀆、德勝兩河，東浮大江，以達揚泰。
HCH_012_086_000024	洪武二十六年嘗命崇山侯李新開溧水胭脂河，以通浙漕，免丹陽輸挽及大江風濤之險。
HCH_012_086_000025	而三吳之粟，必由常、鎮。
HCH_012_086_000026	三十一年浚奔牛、呂城二壩河道。
HCH_012_086_000027	永樂間，修練湖堤。
HCH_012_086_000028	即命通政張璉發民丁十萬，浚常州孟瀆河，又浚蘭陵溝，北至孟瀆河閘，六千餘丈，南至奔牛鎮，千二百餘丈。
HCH_012_086_000029	已，復浚鎮江京口、新港及甘露三港，以達於江。
HCH_012_086_000030	漕舟自奔牛溯京口，水涸則改從孟瀆右趨瓜洲，抵白塔，以為常。
HCH_012_086_000031	宣德六年從武進民請，疏德勝新河四十里。
HCH_012_086_000032	八年，工竣。
HCH_012_086_000033	漕舟自德勝北入江，直泰興之北新河。
HCH_012_086_000034	由泰州壩抵揚子灣入漕河，視白塔尤便。
HCH_012_086_000035	於是漕河及孟瀆、德勝三河並通，皆可濟運矣。
HCH_012_086_000036	正統元年，廷臣上言：「自新港至奔牛，漕河百五十里，舊有水車卷江潮灌注，通舟溉田。請支官錢置車。」
HCH_012_086_000037	詔可。
HCH_012_086_000038	然三河之入江口，皆自卑而高，其水亦更迭盈縮。
HCH_012_086_000039	八年，武進民請浚德勝及北新河。
HCH_012_086_000040	浙江都司蕭華則請浚孟瀆。
HCH_012_086_000041	巡撫周忱定議浚兩河，而罷北新築壩。
HCH_012_086_000042	白塔河之大橋閘以時啟閉，而常、鎮漕河亦疏浚焉。
HCH_012_086_000043	景泰間，漕河復淤，遂引漕舟盡由孟瀆。
HCH_012_086_000044	三年，御史練綱言：「漕舟從夏港及孟瀆出江，逆行三百里，始達瓜洲。德勝直北新，而白塔又與孟瀆斜直，由此兩岸橫渡甚近，宜大疏淤塞。」
HCH_012_086_000045	帝命尚書石璞措置。
HCH_012_086_000046	會有請鑿鎮江七里港，引金山上流通丹陽，以避孟瀆險者。
HCH_012_086_000047	鎮江知府林鶚以為迂道多石，壞民田墓多，宜浚京口閘、甘露壩，道里近，功力省。
HCH_012_086_000048	乃從鶚議。
HCH_012_086_000049	浙江參政胡清又欲去新港、奔牛等壩，置石閘以蓄泉。
HCH_012_086_000050	亦從其請。
HCH_012_086_000051	而浚德勝河與鑿港之議俱寢。
HCH_012_086_000052	然石閘雖建，蓄水不能多，漕舟仍入孟瀆。
HCH_012_086_000053	天順元年，尚寶少卿淩信言，糧艘從鎮江裏河為便。
HCH_012_086_000054	帝以為然，命糧儲河道都御史李秉通七里港口，引江水注之，且浚奔牛、新港之淤。
HCH_012_086_000055	巡撫崔恭又請增置五閘。
HCH_012_086_000056	至成化四年，閘工始成。
HCH_012_086_000057	於是漕舟盡由裏河，其入二河者，回空之艘及他舟而已。
HCH_012_086_000058	定制，孟瀆河口與瓜、儀諸港俱三年一浚。
HCH_012_086_000059	孟瀆寬廣不甚淤，裏河不久輒涸，則又改從孟瀆。
HCH_012_086_000060	弘治十七年，部臣復陳夏港、孟瀆遠浮大江之害，請亟浚京口淤，而引練湖灌之。
HCH_012_086_000061	詔速行。
HCH_012_086_000062	正德二年復開白塔河及江口、大橋、潘家、通江四閘。
HCH_012_086_000063	十四年從督漕都御史臧鳳言，浚常州上下里河，漕舟無阻者五十餘載。
HCH_012_086_000064	萬曆元年又漸涸，復一浚之。
HCH_012_086_000065	歲貢生許汝愚上言：「國初置四閘：曰京口，曰丹徒，防三江之涸；曰呂城，曰奔牛，防五湖之泄。自丹陽至鎮江蓄為湖者三：曰練湖，曰焦子，曰杜墅。歲久，居民侵種，焦、杜二湖俱涸，僅存練湖，猶有侵者。而四閘俱空設矣。請浚三湖故址通漕。」
HCH_012_086_000066	總河傅希摯言：「練湖已浚，而焦子、杜墅源少無益。」
HCH_012_086_000067	其議遂寢。
HCH_012_086_000068	未幾，練湖復淤淺。
HCH_012_086_000069	五年，御史郭思極、陳世寶先後請復練湖，浚孟瀆。
HCH_012_086_000070	而給事中湯聘尹則請於京口旁別建一閘，引江流內注，潮長則開，縮則閉。
HCH_012_086_000071	御史尹良任又言：「孟瀆渡江入黃家港，水面雖闊，江流甚平，由此抵泰興以達灣頭、高郵僅二百餘里，可免瓜、儀不測之患。，至如京口北渡金山而下，中流遇風有漂溺患，宜挑甘露港夾岸洲田十餘里，以便回泊。」
HCH_012_086_000072	御史林應訓又言：「自萬緣橋抵孟瀆，兩厓陡峻，雨潦易圮，且江潮湧沙，淤塞難免。宜於萬緣橋、黃連樹各建閘以資蓄泄。」
HCH_012_086_000073	又言：「練湖自西晉陳敏遏馬林溪，引長山八十四溪之水以溉雲陽，堤名練塘，又曰練河，凡四十里許。環湖立涵洞十三。宋紹興時，中置橫埂，分上下湖，立上、中、下三閘。八十四溪之水始經辰溪沖入上湖，復由三閘轉入下湖。洪武間，因運道澀，依下湖東堤建三閘，借湖水以濟運，後乃漸堙。今當盡革侵佔，復浚為湖。上湖四際夾阜，下湖東北臨河，原埂完固，惟應補中間缺口，且增築西南，與東北相應。至三閘，惟臨湖上閘如故，宜增建中、下二閘，更設減水閘二座，界中、下二閘間。共革田五千畝有奇，塞沿堤私設涵洞，止存其舊十三處，以宣洩湖水。冬春即閉塞，毋得私啟。蓋練湖無源，惟藉瀦蓄，增堤啟閘，水常有餘，然後可以濟運。臣親驗上湖地仰，八十四溪之水所由來，懼其易泄；下湖地平衍，僅高漕河數尺，又常懼不盈。誠使水裕堤堅，則應時注之，河有全力矣。」
HCH_012_086_000074	皆下所司酌議。
HCH_012_086_000075	十三年，鎮江知府吳捴謙復言：「練湖中堤宜飭有司春初即修，以防沖決，且禁勢豪侵佔。」
HCH_012_086_000076	從之。
HCH_012_086_000077	十七年浚武進橫林漕河。
HCH_012_086_000078	崇禎元年，浚京口漕河。
HCH_012_086_000079	五年，太常少卿薑志禮建《漕河議》，言：「神廟初，先臣寶著《漕河議》，當事採行，不開河而濟運者二十餘年。後復佃湖妨運，歲累畚鍤。故老有言，「京口閘底與虎丘塔頂平」，是可知挑河無益，蓄湖為要也。今當革佃修閘，而高築上下湖圍埂，蓄水使深。且漕河閘座非僅京口、呂城、新閘、奔牛數處而已，陵口、尹公橋、黃泥壩、新豐、大犢山節節有閘，皆廢去，並宜修建。而運道支流如武進洞子河、連江橋河、扁擔河，丹陽簡橋河、陳家橋河、七里橋河、丁議河、越瀆河，勝村溪之大壩頭，丹陽甘露港南之小閘口，皆應急修整。至奔牛、呂城之北，各設減水閘。歲十月實以土，商民船盡令盤壩。此皆舊章所當率由。近有欲開九曲河，使運船竟從泡港閘出江，直達揚子橋，以免瓜洲啟閘稽遲者，試而後行可也。回空糧艘及官舫，宜由江行，而於河莊設閘啟閉。數役並行，漕事乃大善矣。」
HCH_012_086_000080	議不果行。
HCH_012_086_000081	江漕者，湖廣漕舟由漢、沔下潯陽，江西漕舟出章江、鄱陽而會於湖口，暨南直隸寧、太、池、安、江寧、廣德之舟，同浮大江，入儀真通江閘，以溯淮、揚入閘河。
HCH_012_086_000082	瓜、儀之間，運道之咽喉也。
HCH_012_086_000083	洪武中，餉遼卒者，從儀真上淮安，由鹽城泛海；餉梁、晉者，亦從儀真赴淮安，盤壩入淮。
HCH_012_086_000084	江口則設壩置閘，凡十有三。
HCH_012_086_000085	浚揚子橋河至黃泥灣九千餘丈。
HCH_012_086_000086	永樂間，浚儀真清江壩、下水港及夾港河，修沿江堤岸。
HCH_012_086_000087	洪熙元年浚儀真壩河，後定制儀真壩下黃泥灘、直河口二港及瓜洲二港、常州之孟瀆河皆三年一浚。
HCH_012_086_000088	宣德間，從侍郎趙新、御史陳祚請，浚黃泥灘、清江閘。
HCH_012_086_000089	成化中，建閘於儀真通江河港者三，江都之留潮通江者二。
HCH_012_086_000090	已而通江港塞。
HCH_012_086_000091	弘治初，復開之，既又於總港口建閘蓄水。
HCH_012_086_000092	儀真、江都二縣間，有官塘五區，築閘蓄水，以溉民田，豪民佔以為業，真、揚之間運道阻梗。
HCH_012_086_000093	嘉靖二年，御史秦鉞請復五塘。
HCH_012_086_000094	從之。
HCH_012_086_000095	萬曆五年，御史陳世寶言：「儀真江口，去閘太遠，請於上下十數丈許增建二閘，隨湖啟閉，以截出江之船，盡令入閘，庶免遲滯。」
HCH_012_086_000096	疏上，議行。
HCH_012_086_000097	白塔河者，在泰州。
HCH_012_086_000098	上通邵伯，下接大江，斜對常州孟瀆河與泰興北新河，皆浙漕間道也。
HCH_012_086_000099	自陳瑄始開。
HCH_012_086_000100	宣德間，從趙新、陳祚請，命瑄役夫四萬五千餘人浚之，建新閘、潘家莊、大橋、江口四閘。
HCH_012_086_000101	正統四年，水潰閘塞，都督武興因閉不用，仍自瓜洲盤壩。
HCH_012_086_000102	瓜洲之壩，洪武中置，凡十五，列東西二港間。
HCH_012_086_000103	永樂間，廢東壩為廠，以貯材木，止存西港七壩。
HCH_012_086_000104	漕舟失泊，屢遭風險。
HCH_012_086_000105	英宗初年，乃復浚東港。
HCH_012_086_000106	既而巡撫周忱築壩白塔河之大橋閘，以時啟閉，漕舟稍分行。
HCH_012_086_000107	自鎮江裏河開浚，漕舟出甘露、新港，徑渡瓜洲；而白塔、北新，皆以江路險遠，舍而不由矣。
HCH_012_086_000108	衛漕者，即衛河。
HCH_012_086_000109	源出河南輝縣，至臨清與會通河合，北達天津。
HCH_012_086_000110	自臨清以北皆稱衛河。
HCH_012_086_000111	詳具本《志》。
HCH_012_086_000112	白漕者，即通濟河。
HCH_012_086_000113	源出塞地，經密雲縣霧靈山，為潮河川。
HCH_012_086_000114	而富河、罾口河、七渡河、桑乾河、三里河俱會於此，名曰白河。
HCH_012_086_000115	南流經通州，合通惠及榆、渾諸河，亦名潞河。
