HCH_012_105_000000	自昔帝王受命，驅策羣力，以有天下。
HCH_012_105_000001	迨區宇既甯，疇庸論功，列爵崇報，壹時攀鱗附翼之士，奮起兜牟之中，剖符析珪，爰及苗裔，德意厚矣。
HCH_012_105_000002	唐、宋以來，稍異曩制。
HCH_012_105_000003	房、喬遠勢，首讓世封，是以英、衛子孫，齒于甿隸。
HCH_012_105_000004	而宋代勳階祇崇虛號，祖孫父子各擬名邦，初無世及之文，非復承家之舊。
HCH_012_105_000005	至明祖開基，乃曠然復古。
HCH_012_105_000006	凡熊罴之宿將，帷幄之謀臣，生著號而殁襲封，茅土之頒，殆逾百數。
HCH_012_105_000007	馴及季年，黨獄蔓延，剗削芟殊，存者不及三四。
HCH_012_105_000008	然觀鐵榜所列，訓誡之辭，則河山之誓，白馬之盟，初意固不其然。
HCH_012_105_000009	高危滿溢，亦其自取焉耳。
HCH_012_105_000010	乃若文皇差「靖難」之勞，英宗懋「奪門」之賞，迹參佐命，籍次元功，以視開國諸臣，亦喝可同年而語乎！
HCH_012_105_000011	世宗中葉，開冊府之舊藏，修繼絕之墜典，于是鄂、曹、衛、信之裔，復列徹侯，延其世緒，天下翕然歸厚。
HCH_012_105_000012	雖宋、颍、韓、泣終于剿絕，而自余推誠宣力、名載丹書者，奕葉貂蟬，保守祿位，典宿衛，領京營，鎮陪京，督漕運，寄隆方嶽，階晉公孤，家分典瑞之榮，朝無酎金之罰，較諸西京世胄，殆將過之。
HCH_012_105_000013	今考其襲替歲月見于實錄者，作功臣表，以與紀傳相表裏。
HCH_012_105_000014	或抵牾散轶，時世無可考稽，則略而不書，固史氏阙文之義云爾。
HCH_012_105_000015	以上皆身受封，或不及封而子孫封者。
HCH_012_105_000016	其追贈封爵無世系可譜，別以五等爲次，具列於左。
HCH_012_105_000017	右洪武朝。
HCH_012_105_000018	洪武中所封，有歸德侯陳理、歸義侯明昇、崇禮侯買的里八剌三人，以非功臣，故不載。
HCH_012_105_000019	右建文朝。
