HCH_012_106_000000	景泰三年五月丁酉襲，祿二千石。
HCH_012_106_000001	天順二年正月加祿五百石。
HCH_012_106_000002	七年二月守備南京。
HCH_012_106_000003	成化二十二年加太子太傅。
HCH_012_106_000004	弘治九年三月卒。
HCH_012_106_000005	弘治九年十二月己酉襲。
HCH_012_106_000006	十三年七月守備南京，領中府。
HCH_012_106_000007	正德五年七月加太子太傅。
HCH_012_106_000008	六年十月掌前府。
HCH_012_106_000009	嘉靖二年九月己丑卒。
HCH_012_106_000010	贈太傅，諡恭僖。
HCH_012_106_000011	嘉靖四年三月辛酉襲，六月卒。
HCH_012_106_000012	嘉靖八年九月壬寅襲。
HCH_012_106_000013	九年，神機營坐營。
HCH_012_106_000014	十五年七月己未卒。
HCH_012_106_000015	贈太保，諡榮康。
HCH_012_106_000016	嘉靖十五年九月甲子襲，屢典軍務，累進太師。
HCH_012_106_000017	二十六年八月加祿百石。
HCH_012_106_000018	隆慶五年五月領後府。
HCH_012_106_000019	萬曆元年九月卒。
HCH_012_106_000020	十月乙未追封定襄王，諡恭靖。
HCH_012_106_000021	十一年八月癸亥追奪王爵。
HCH_012_106_000022	萬曆二年襲。
HCH_012_106_000023	九月卒。
HCH_012_106_000024	萬曆八年二月己亥襲。
HCH_012_106_000025	十四年自殺。
HCH_012_106_000026	萬曆二十八年三月辛亥襲。
HCH_012_106_000027	明年卒。
HCH_012_106_000028	無子。
HCH_012_106_000029	叔應槐襲。
HCH_012_106_000030	萬曆二十九年九月己酉襲，領左府。
HCH_012_106_000031	三十八年五月壬申卒。
HCH_012_106_000032	萬曆三十九年三月癸卯襲。
HCH_012_106_000033	崇禎三年十一月戊戌加太傅。
HCH_012_106_000034	九年五月己酉總京營。
HCH_012_106_000035	九月庚戌巡視邊關。
HCH_012_106_000036	十七年三月降賊，被殺。
HCH_012_106_000037	九月甲申封，第三，勳號同前，祿千五百石，世襲。
HCH_012_106_000038	永樂元年十月卒。
HCH_012_106_000039	贈潞國公，諡忠毅。
HCH_012_106_000040	無子，除。
HCH_012_106_000041	九月甲申封，第四，勳號同前，祿一千二百石，世襲。
HCH_012_106_000042	永樂十七年四月卒。
HCH_012_106_000043	追封靖國公，諡忠襄。
HCH_012_106_000044	永樂十七年七月癸丑襲。
HCH_012_106_000045	二十年北征失機，下獄死。
HCH_012_106_000046	永樂二十二年八月辛未襲。
HCH_012_106_000047	宣德五年正月卒。
HCH_012_106_000048	宣德五年四月丙申襲。
HCH_012_106_000049	七年卒。
HCH_012_106_000050	宣德十年二月丁卯襲。
HCH_012_106_000051	正統十四年沒於土木，追封寧國公，諡恭愍。
HCH_012_106_000052	正統十四年十一月丁酉襲。
HCH_012_106_000053	天順六年十月鎮廣西。
HCH_012_106_000054	成化七年九月移鎮淮安，總漕運。
HCH_012_106_000055	八年七月卒。
HCH_012_106_000056	成化八年十二月甲子襲，祿一千石。
HCH_012_106_000057	弘治元年八月鎮寧夏。
HCH_012_106_000058	七年七月壬子卒。
HCH_012_106_000059	弘治七年十一月己酉襲，十二月給祿千石。
HCH_012_106_000060	正德元年六月卒。
HCH_012_106_000061	正德六年七月丁丑襲。
HCH_012_106_000062	嘉靖三年十月管圍子手上直。
HCH_012_106_000063	十二年卒。
HCH_012_106_000064	無子。
HCH_012_106_000065	叔璉襲。
HCH_012_106_000066	嘉靖十三年閏二月丙寅襲，祿千石。
HCH_012_106_000067	二十三年卒。
HCH_012_106_000068	嘉靖二十四年正月庚申襲。
HCH_012_106_000069	三十一年十二月壬子卒。
HCH_012_106_000070	嘉靖四十一年五月己亥襲。
HCH_012_106_000071	四十五年五月掌府軍前衞。
HCH_012_106_000072	萬曆四年正月領南京右府，提督操江。
HCH_012_106_000073	十四年正月領前府。
HCH_012_106_000074	四十七年六月辛巳總京營。
HCH_012_106_000075	天啟元年五月戊申加少保。
HCH_012_106_000076	天啟中襲。
HCH_012_106_000077	天啟中襲。
HCH_012_106_000078	崇禎元年加少保。
HCH_012_106_000079	九月甲申封，第五，勳號同前，祿一千五百石，世襲。
HCH_012_106_000080	宣德九年二月乙丑卒。
HCH_012_106_000081	追封漳國公，諡忠毅。
HCH_012_106_000082	宣德十年二月丙辰襲。
HCH_012_106_000083	正統七年卒。
HCH_012_106_000084	正統十一年二月癸卯襲。
HCH_012_106_000085	成化九年領南京中府。
HCH_012_106_000086	十三年二月卒。
HCH_012_106_000087	成化十三年襲。
HCH_012_106_000088	弘治三年八月坐耀武營，鎮陝西。
HCH_012_106_000089	正德十一年十月甲寅卒。
HCH_012_106_000090	正德十二年三月癸未襲。
HCH_012_106_000091	嘉靖二十八年七月辛巳卒。
HCH_012_106_000092	嘉靖二十八年十一月乙未襲。
HCH_012_106_000093	萬曆八年六月丁未卒。
HCH_012_106_000094	萬曆八年十二月己亥襲。
HCH_012_106_000095	十二年七月掌府軍前衞。
HCH_012_106_000096	二十六年卒。
HCH_012_106_000097	萬曆二十六年十一月戊戌襲。
HCH_012_106_000098	天啟二年卒。
HCH_012_106_000099	天啟二年襲。
HCH_012_106_000100	崇禎十七年，城陷，死於賊。
HCH_012_106_000101	天順八年四月丁酉襲，祿千石。
HCH_012_106_000102	成化九年三月卒。
HCH_012_106_000103	淳從弟。
HCH_012_106_000104	成化九年七月癸丑襲，以支庶減祿，止八百石。
HCH_012_106_000105	弘治二年鎮湖廣。
HCH_012_106_000106	五年加太子太保，領前府。
HCH_012_106_000107	十六年六月卒。
HCH_012_106_000108	諡襄恪。
HCH_012_106_000109	弘治十七年閏四月丁卯襲。
HCH_012_106_000110	正德四年八月領圍子手上直。
HCH_012_106_000111	十六年鎮湖廣。
HCH_012_106_000112	嘉靖二年加太子太傅，領中府。
HCH_012_106_000113	七年三月乙亥卒。
HCH_012_106_000114	諡榮靖。
HCH_012_106_000115	嘉靖七年襲。
HCH_012_106_000116	十年三月領紅盔將軍侍衞。
HCH_012_106_000117	十七年四月鎮淮安，總督漕運。
HCH_012_106_000118	二十九年七月鎮兩廣。
HCH_012_106_000119	隆慶五年二月辛亥總京營。
HCH_012_106_000120	萬曆七年六月加少保。
HCH_012_106_000121	九年十二月甲午卒。
HCH_012_106_000122	諡榮僖。
HCH_012_106_000123	寰從子。
HCH_012_106_000124	萬曆十年四月丙申襲。
HCH_012_106_000125	十四年二月，前府僉書。
HCH_012_106_000126	二十六年九月己亥卒。
HCH_012_106_000127	萬曆中襲。
HCH_012_106_000128	二十四年正月管紅盔將軍。
HCH_012_106_000129	天啟二年加太子太保。
HCH_012_106_000130	天啟中襲。
HCH_012_106_000131	崇禎元年七月僉書左府。
HCH_012_106_000132	三年九月甲辰加少師。
HCH_012_106_000133	十四年正月領南京右府，提督操江。
HCH_012_106_000134	十七年，城陷，死於賊。
HCH_012_106_000135	九月甲申封，第九，勳號同丘福，祿千石。
HCH_012_106_000136	永樂七年八月北征戰沒。
HCH_012_106_000137	無子，除。
HCH_012_106_000138	九月甲申封，第十，勳祿同張武。
HCH_012_106_000139	永樂七年八月北征，戰沒。
HCH_012_106_000140	追封漳國公，諡威毅。
HCH_012_106_000141	永樂七年十二月戊戌襲。
HCH_012_106_000142	卒，除。
HCH_012_106_000143	九月甲申封，第十一，勳號同前，祿千一百石，世襲。
HCH_012_106_000144	永樂十一年八月庚午卒。
HCH_012_106_000145	追封蔡國公，諡忠烈。
HCH_012_106_000146	永樂十六年八月癸巳襲。
HCH_012_106_000147	成化十七年十二月卒。
HCH_012_106_000148	成化十八年三月辛卯襲。
HCH_012_106_000149	弘治三年四月，五軍營坐營。
HCH_012_106_000150	八年四月管紅盔將軍宿衞。
HCH_012_106_000151	十五年三月卒。
HCH_012_106_000152	弘治末襲。
HCH_012_106_000153	正德四年四月卒。
HCH_012_106_000154	溥庶兄。
HCH_012_106_000155	正德八年三月壬申襲。
HCH_012_106_000156	嘉靖三十三年卒。
HCH_012_106_000157	嘉靖三十四年五月甲辰襲。
HCH_012_106_000158	四十五年五月領南京右府。
HCH_012_106_000159	隆慶五年五月提督操江。
HCH_012_106_000160	萬曆十年卒。
HCH_012_106_000161	萬曆十一年襲。
HCH_012_106_000162	十九年領前府。
HCH_012_106_000163	三十七年六月己未卒。
HCH_012_106_000164	萬曆三十七年十一月壬寅襲。
HCH_012_106_000165	四十年閏十一月甲申總京營。
HCH_012_106_000166	四十三年九月壬辰卒。
HCH_012_106_000167	天啟元年十月壬申襲。
HCH_012_106_000168	崇禎二年卒。
HCH_012_106_000169	叔應垣襲。
HCH_012_106_000170	崇禎三年九月己酉襲。
HCH_012_106_000171	崇禎中襲。
HCH_012_106_000172	十七年，城陷，死於賊。
HCH_012_106_000173	九月甲申封，第十二，勳號同前，祿千石，世襲伯。
HCH_012_106_000174	永樂二十二年九月丙申予世侯。
HCH_012_106_000175	正統七年五月卒。
HCH_012_106_000176	追封鄖國公，諡恭僖。
HCH_012_106_000177	正統八年襲。
HCH_012_106_000178	十年十一月卒。
HCH_012_106_000179	正統十二年閏四月襲。
HCH_012_106_000180	天順二年三月卒。
HCH_012_106_000181	弟祐襲。
HCH_012_106_000182	天順二年十一月甲辰襲。
HCH_012_106_000183	成化中屢領南京軍府。
HCH_012_106_000184	十七年三月卒。
HCH_012_106_000185	鋋孫。
HCH_012_106_000186	正德三年十一月丁酉襲。
HCH_012_106_000187	四年七月丁酉卒。
HCH_012_106_000188	正德十三年襲。
HCH_012_106_000189	嘉靖二十三年三月甲辰以罪削爵。
HCH_012_106_000190	嘉靖三十七年十一月癸未襲。
HCH_012_106_000191	四十四年二月鎮湖廣。
HCH_012_106_000192	萬曆三年四月癸巳卒。
HCH_012_106_000193	萬曆三年襲。
HCH_012_106_000194	四十五年卒。
HCH_012_106_000195	萬曆四十六年閏四月戊辰襲。
HCH_012_106_000196	襲年無考。
HCH_012_106_000197	崇禎三年九月甲辰加太子太傅。
HCH_012_106_000198	七年四月僉書南京中府。
HCH_012_106_000199	十一年戰沒。
HCH_012_106_000200	九月甲申封，第十三，勳號同前，歲祿千石。
HCH_012_106_000201	永樂七年八月北征，戰歿。
HCH_012_106_000202	贈莒國公，諡忠壯。
HCH_012_106_000203	永樂七年十二月戊戌襲伯。
HCH_012_106_000204	宣德二年以征交阯失律奪爵。
HCH_012_106_000205	天順元年復襲。
