HCH_012_132_000000	硃亮祖，六安人。
HCH_012_132_000001	元授義兵元帥。
HCH_012_132_000002	太祖克寧國，擒亮祖，喜其勇悍，賜金幣，仍舊官。
HCH_012_132_000003	居數月，叛歸於元，數與我兵戰，為所獲者六千餘人，遂入宣城據之。
HCH_012_132_000004	太祖方取建康，未暇討也。
HCH_012_132_000005	已，遣徐達等圍之。
HCH_012_132_000006	亮祖突圍戰，常遇春被創而還，諸將莫敢前。
HCH_012_132_000007	太祖親往督戰，獲之，縛以見。
HCH_012_132_000008	問曰：「爾將何如？」
HCH_012_132_000009	對曰：「生則儘力，死則死耳！」
HCH_012_132_000010	太祖壯而釋之。
HCH_012_132_000011	累功授樞密院判。
HCH_012_132_000012	從下南昌、九江，戰鄱陽湖，下武昌。
HCH_012_132_000013	進廣信衛指揮使。
HCH_012_132_000014	李文忠破李伯升於新城，亮祖乘勝燔其營落數十，獲同僉元帥等六百餘人、軍士三千、馬八百匹，輜重鎧甲無算。
HCH_012_132_000015	伯升僅以數騎遁。
HCH_012_132_000016	太祖嘉其功，賜賚甚厚。
HCH_012_132_000017	胡深請會兵攻陳友定，亮祖由鉛山進取浦城，克崇安、建陽，功最多。
HCH_012_132_000018	會攻桐廬，圍余杭。
HCH_012_132_000019	遷浙江行省參政，副李文忠守杭州。
HCH_012_132_000020	帥馬步舟師數萬討方國瑛。
HCH_012_132_000021	下天台，進攻台州。
HCH_012_132_000022	國瑛出走，追至黃岩，降其守將哈兒魯，徇下仙居諸縣。
HCH_012_132_000023	進兵溫州。
HCH_012_132_000024	方明善拒戰，擊敗之，克其城。
HCH_012_132_000025	徇下瑞安，覆敗明善於盤嶼，追至楚門。
HCH_012_132_000026	國瑛及明善詣軍降。
HCH_012_132_000027	洪武元年，副征南將軍廖永忠由海道取廣東。
HCH_012_132_000028	何真降，悉定其地。
HCH_012_132_000029	進取廣西，克梧州。
HCH_012_132_000030	元尚書普賢帖木兒戰死，遂定郁林、潯、貴諸郡。
HCH_012_132_000031	與平章楊璟會師，攻克靖江。
HCH_012_132_000032	同廖永忠克南寧、象州。
HCH_012_132_000033	廣西平。
HCH_012_132_000034	班師，太子帥百官迎勞龍灣。
HCH_012_132_000035	三年封永嘉侯，食祿千五百石，予世券。
HCH_012_132_000036	四年伐蜀。
HCH_012_132_000037	帝以諸將久無功，命亮祖為征虜右副將軍。
HCH_012_132_000038	濟師至蜀，而明升已降。
HCH_012_132_000039	徇下未附州縣。
HCH_012_132_000040	師還，以擅殺軍校，不預賞。
HCH_012_132_000041	八年同傅友德鎮北平。
HCH_012_132_000042	還，又同李善長督理屯田，巡海道。
HCH_012_132_000043	十二年出鎮廣東。
HCH_012_132_000044	亮祖勇悍善戰而不知學，所為多不法，番遇知縣道同以聞。
HCH_012_132_000045	亮祖誣奏同，同死，事見同傳。
HCH_012_132_000046	帝尋悟，明年九月召亮祖至，與其子府軍衛指揮使暹俱鞭死。
HCH_012_132_000047	御制壙志，仍以侯禮葬。
HCH_012_132_000048	二十三年追論亮祖胡惟庸黨，次子昱亦坐誅。
HCH_012_132_000049	周德興，濠人。
HCH_012_132_000050	與太祖同里，少相得。
HCH_012_132_000051	從定滁、和。
HCH_012_132_000052	渡江，累戰皆有功，遷左翼大元帥。
HCH_012_132_000053	從取金華、安慶、高郵。
HCH_012_132_000054	援安豐，征廬州，進指揮使。
HCH_012_132_000055	從討贛州、安福、永新，拔吉安。
HCH_012_132_000056	再進湖廣行省左丞。
HCH_012_132_000057	同楊璟討廣西，攻永州。
