HCH_012_160_000000	王彰，字文昭，鄭人。
HCH_012_160_000001	洪武二十年舉於鄉，補國子生。
HCH_012_160_000002	使山東平糴，以廉幹稱，擢吏科源士。
HCH_012_160_000003	逾年，革源士，改給事中，累遷山西左參政。
HCH_012_160_000004	永樂五年召為禮部侍郎。
HCH_012_160_000005	父喪，服除，改戶部。
HCH_012_160_000006	陝西大疫，奉使祀西嶽。
HCH_012_160_000007	新安民鬻子女償賦。
HCH_012_160_000008	彰奏為蠲除，贖還所鬻。
HCH_012_160_000009	改右副都御史。
HCH_012_160_000010	陝西僉事馬英激肅州番為變，殺御史及都指揮。
HCH_012_160_000011	彰劾英，置極典。
HCH_012_160_000012	又劾御史陳孟旭受賕枉法、文獻盜銀課、及金吾指揮李嚴逐母不養，皆坐死。
HCH_012_160_000013	他所論劾甚眾。
HCH_012_160_000014	十一年從帝北巡。
HCH_012_160_000015	彰有母年八十餘矣，命歸省，賜其母冠服金幣。
HCH_012_160_000016	諭之曰：「君子居官不忘親，居家不忘君。凡所過，民安否，吏賢不肖，悉以聞。」
HCH_012_160_000017	彰還，奏事稱旨。
HCH_012_160_000018	久之，進右都御史。
HCH_012_160_000019	十九年，帝遣廷臣二十六人巡撫天下，彰與給事中王勵往河南。
HCH_012_160_000020	終明世，大臣得撫鄉土者，彰與葉春而已。
HCH_012_160_000021	河南水災，民多流亡，長吏不加恤。
HCH_012_160_000022	彰奏黜貪刻者百餘人，罷不急之征十餘事。
HCH_012_160_000023	招復流民，發廩振貸，多所全活。
HCH_012_160_000024	還朝，命督餉北征。
HCH_012_160_000025	仁宗即位，河溢開封，命彰與都指揮李信往振恤。
HCH_012_160_000026	宣德元年五月，命彰自良鄉抵南京巡撫軍民。
HCH_012_160_000027	尋以所言率常事，降敕切責，令詳具利病以聞。
HCH_012_160_000028	復諭侍臣曰：「兩京相距數千里，驛使往來為擾，或遘水旱，小民失所，朝使還及御史巡曆皆不以告，故遣彰往視。今所奏多細故。大臣如此，朕復何望！卿等當悉朕意，君臣同體，勿有所疑。」
HCH_012_160_000029	尋召還，命與都督山雲巡山海至居庸諸關隘。
HCH_012_160_000030	逾二月還，奏將士擅離者，帝命逮治。
HCH_012_160_000031	遂命兵部三月一遣御史、給事中點閱。
HCH_012_160_000032	明年四月卒於官。
HCH_012_160_000033	彰嚴介自持，請托皆絕，然用法過刻。
HCH_012_160_000034	其母屢以為言，不能改。
HCH_012_160_000035	時劉觀為左都御史。
HCH_012_160_000036	人謂「彰公而不恕，觀私而不刻」雲。
HCH_012_160_000037	魏源，字文淵，建昌縣人。
HCH_012_160_000038	永樂四年進士。
HCH_012_160_000039	除監察御史。
HCH_012_160_000040	辨松江知府黃子威誣。
HCH_012_160_000041	奏減浙東瀕海漁課。
HCH_012_160_000042	巡按陝西。
HCH_012_160_000043	西安大疫，療活甚眾。
HCH_012_160_000044	奏言：「諸府倉粟積一千九十餘萬石，足支十年。今民疫妨農，請輸鈔代兩稅之半。」
HCH_012_160_000045	從之。
HCH_012_160_000046	涼州土寇將為變。
HCH_012_160_000047	亟請剿，亂遂息。
HCH_012_160_000048	兩遭喪，俱起復。
HCH_012_160_000049	洪熙元年出為浙江按察副使。
HCH_012_160_000050	宣德三年召署刑部右侍郎。
HCH_012_160_000051	五年，河南旱荒，民多轉徙。
HCH_012_160_000052	帝以源廉正有為，命為左布政使，俾馳驛之任。
HCH_012_160_000053	時侍郎許廓往撫輯，廷議又起丁憂布政使李昌祺原官。
HCH_012_160_000054	源與廓、昌祺發倉廩，免逋賦雜役，流民漸歸。
HCH_012_160_000055	雨亦旋降，歲大豐。
HCH_012_160_000056	居三年，召還，授刑部左侍郎。
HCH_012_160_000057	明年，永豐民夏九旭等據大盤山為亂。
HCH_012_160_000058	帝以源江西人，命撫之，都督任禮帥兵隨其後。
HCH_012_160_000059	未至，官軍擒九旭，因命二人采木四川，兼飭邊務。
HCH_012_160_000060	英宗即位，進尚書。
HCH_012_160_000061	正統二年五月命整飭大同、宣府諸邊，許便宜行事。
HCH_012_160_000062	源遣都督僉事李謙守獨石，楊洪副之，劾萬全衛指揮杜衡戍廣西。
HCH_012_160_000063	明年奏大同總兵官譚廣老，帝命黃真、楊洪充左右參將協鎮，諸將肅然。
HCH_012_160_000064	按行天城、朔州諸險要，令將吏分守。
HCH_012_160_000065	設威遠衛，增修開平、龍門城，自獨石抵宣府，增置墩堠。
HCH_012_160_000066	免屯軍租一年，儲火器為邊備，諸依權貴避役者悉括歸伍。
HCH_012_160_000067	尋以宣、大軍務久弛，請召還巡撫僉都御史盧睿，而薦兵部侍郎于謙為鎮守參贊。
HCH_012_160_000068	朝廷以謙方撫山西、河南，不聽。
HCH_012_160_000069	於是言官以臨邊擅易置大臣為源罪，合疏劾之。
HCH_012_160_000070	且言源為御史嘗犯贓，乃冒領誥命。
HCH_012_160_000071	帝以源有勞，置不問。
HCH_012_160_000072	事竣還朝，與都御史陳智相詈於直廬。
HCH_012_160_000073	智以聞，詔兩責之。
HCH_012_160_000074	歲旱，錄上疑獄，且請推行於天下，報可。
HCH_012_160_000075	旋坐決獄不當，與侍郎何文淵俱下獄。
HCH_012_160_000076	得宥，復以上遼王貴烚罪狀，不言其內亂事，與三司官皆系詔獄。
HCH_012_160_000077	累月，釋還職。
HCH_012_160_000078	源在刑部久，議獄多平恕。
HCH_012_160_000079	陝西僉事計資言，武臣雜犯等罪，予半俸，謫極邊。
HCH_012_160_000080	源以所言深刻，奏寢之。
HCH_012_160_000081	郎中林厚言禁刁訟、告訐及擇理刑官、勘重囚務憑贓具四事，皆以源議得施行。
HCH_012_160_000082	六年以足疾命朝朔望。
HCH_012_160_000083	八年致仕，卒。
HCH_012_160_000084	金濂，字宗瀚，山陽人。
HCH_012_160_000085	永樂十六年進士，授御史。
HCH_012_160_000086	宣德初，巡按廣東，廉能最。
HCH_012_160_000087	改按江西、浙江。
HCH_012_160_000088	捕巨盜不獲，坐免。
HCH_012_160_000089	盜就執，乃復官。
HCH_012_160_000090	嘗言郡縣吏貪濁，宜敕按察司、巡按御史察廉能者，如洪武間故事，遣使勞賚，則清濁分，循良勸。
HCH_012_160_000091	帝嘉納之。
HCH_012_160_000092	用薦遷陝西副使。
HCH_012_160_000093	正統元年上書請補衛所缺官，益寧夏守兵，設漢中鎮守都指揮使，多議行。
HCH_012_160_000094	三年擢僉都御史，參贊寧夏軍務。
HCH_012_160_000095	濂有心計，善籌畫，西陲晏然。
HCH_012_160_000096	寧夏舊有五渠，而鳴沙洲、七星漢、伯石灰三渠淤。
HCH_012_160_000097	濂請浚之，溉蕪田一千三百餘頃。
HCH_012_160_000098	時詔富民輸米助邊，千石以上褒以璽書。
HCH_012_160_000099	濂言邊地粟貴，請並旌不及額者，儲由此充。
HCH_012_160_000100	六年詔僉都御史盧睿與濂更代。
HCH_012_160_000101	明年，睿召還，濂復出鎮。
HCH_012_160_000102	尋加右副都御史，與睿代者再。
HCH_012_160_000103	八年秋拜刑部尚書，侍經筵。
HCH_012_160_000104	十一年，安鄉伯張安與弟爭祿，詔逮治。
HCH_012_160_000105	法司與戶部相諉，言官劾濂及戶部尚書王佐，右都御史陳鎰，侍郎丁鉉、馬昂，副都御史丁璿、程富等，俱下獄。
HCH_012_160_000106	數日，釋之。
HCH_012_160_000107	福建賊鄧茂七等為亂，都督劉聚、都御史張楷征之，不克。
HCH_012_160_000108	十三年十一月大發兵，命甯陽侯陳懋等為將軍往討，以濂參軍務。
HCH_012_160_000109	比至，御史丁瑄已大破賊。
HCH_012_160_000110	茂七死，餘賊擁其兄子伯孫據九龍山，拒官軍。
HCH_012_160_000111	濂與眾謀，羸師誘之出，伏精兵，入其壘，遂擒伯孫。
HCH_012_160_000112	帝乃移楷討浙寇，而留濂擊平餘賊未下者。
HCH_012_160_000113	會英宗北狩，兵事棘，召還。
HCH_012_160_000114	言者交劾濂無功，景帝不問，加濂太子賓客，給二俸。
HCH_012_160_000115	尋改戶部尚書，進太子太保。
HCH_012_160_000116	時四方用兵，需餉急，濂綜核無遺，議上撙節便宜十六事，國用得無乏。
HCH_012_160_000117	未幾，上皇還。
HCH_012_160_000118	也先請遣使往來如初，帝堅意絕之。
HCH_012_160_000119	濂再疏諫，不聽。
HCH_012_160_000120	初，帝即位，詔免景泰二年天下租十之三。
HCH_012_160_000121	濂檄有司，但減米麥，其折收銀布絲帛者征如故。
HCH_012_160_000122	三年二月，學士江淵以為言，命部查理。
HCH_012_160_000123	濂內慚，抵無有。
HCH_012_160_000124	給事中李侃等請詰天下有司違詔故。
HCH_012_160_000125	濂恐事敗，乃言：「銀布絲帛，詔書未載，若概減免，國用何資？」
HCH_012_160_000126	於是給事中御史劾濂失信於民，為國斂怨，且訐其陰事。
HCH_012_160_000127	帝欲宥之，而侃與御史王允力爭，遂下都察院獄。
HCH_012_160_000128	越三日釋之，削宮保，改工部。
HCH_012_160_000129	吏部尚書何文淵言理財非濂不可，乃復還戶部。
HCH_012_160_000130	濂上疏自理，遂乞骸骨，帝慰留之。
HCH_012_160_000131	東宮建，復宮保。
HCH_012_160_000132	尋復條上節軍匠及僧道冗食共十事。
HCH_012_160_000133	五年卒官，以軍功追封沭陽伯，諡榮襄。
HCH_012_160_000134	濂剛果有才，所至以嚴辦稱，然接下多暴怒。
HCH_012_160_000135	在刑部持法稍深。
HCH_012_160_000136	及為戶部，值兵興財詘，頗厚斂以足用雲。
HCH_012_160_000137	石璞，字仲玉，臨漳人。
HCH_012_160_000138	永樂九年舉於鄉，入國學。
HCH_012_160_000139	選授御史。
HCH_012_160_000140	正統初，歷任江西按察使。
HCH_012_160_000141	三年坐逸囚，降副使。
HCH_012_160_000142	璞善斷疑獄。
HCH_012_160_000143	民娶婦，三日歸寧，失之。
HCH_012_160_000144	婦翁訟婿殺女，誣服論死。
HCH_012_160_000145	璞禱於神，夢神示以麥字。
HCH_012_160_000146	璞曰：「麥者，兩人夾一人也。」
HCH_012_160_000147	比明，械囚趣行刑。
HCH_012_160_000148	未出，一童子窺門屏間。
HCH_012_160_000149	捕入，則道士徒也。
HCH_012_160_000150	叱曰：「爾師令爾偵事乎？」
HCH_012_160_000151	童子首實，果二道士匿婦槁麥中。
HCH_012_160_000152	立捕，論如法。
HCH_012_160_000153	在江西數年，風紀整肅，雖婦豎無不知石憲使者。
HCH_012_160_000154	七年遷山西布政使。
HCH_012_160_000155	明年，以朝廷歲用物料，有司科派擾民，請於折糧銀內歲存千兩，令官買辦，庶官用可完，民亦不擾。
HCH_012_160_000156	從之。
HCH_012_160_000157	工部尚書王巹以不能屈意王振，十三年致仕去。
HCH_012_160_000158	璞為振所善，遂召為尚書。
HCH_012_160_000159	明年，處州賊葉宗留作亂，總兵官徐恭等往討，以璞參其軍事。
HCH_012_160_000160	師未至，宗留已為其党陳鑒胡所殺。
HCH_012_160_000161	巡撫張驥招降鑒胡，賊勢稍息。
HCH_012_160_000162	璞等逗遛無功，為御史張洪等所劾，詔俟師旋以聞。
HCH_012_160_000163	已而景帝嗣位，召還。
HCH_012_160_000164	論功，兼大理寺卿。
HCH_012_160_000165	尋出募天下義勇，還朝。
HCH_012_160_000166	會中官金英下獄，法司劾璞嘗賂英，遂並下璞獄，當斬，特宥之。
HCH_012_160_000167	出理大同軍餉。
HCH_012_160_000168	敵犯馬營，命提督宣府軍務。
HCH_012_160_000169	至則寇已退，還理部事。
HCH_012_160_000170	加太子太保，給二俸。
HCH_012_160_000171	河決沙灣，命治之。
HCH_012_160_000172	璞以決口未易塞，別浚渠。
HCH_012_160_000173	自黑洋山至徐州，以通漕艘，而決口如故。
HCH_012_160_000174	乃命內官黎賢等偕御史彭誼助之。
HCH_012_160_000175	于沙灣築石堤以禦決河，開月河二，引水益運河以殺水勢，決乃塞。
HCH_012_160_000176	璞還言：「京師盜賊多出軍伍。間有獲者，輒雲『糧餉虧減，妻孥饑凍故』。又聞兩畿、山東、河南被災窮民多事剽掠，不及今拊循，恐方來之憂甚于邊患。口外守軍，夜行晝伏，艱苦萬狀。今邊疆未靖，宜增餉以作士氣，乃反減其月糧，此實啟盜誤國之端，非節財足用之術。」
HCH_012_160_000177	帝深納其言。
HCH_012_160_000178	沙灣復決，璞再往治之。
HCH_012_160_000179	以母憂歸，起復。
HCH_012_160_000180	六年改兵部尚書，與于謙協理部事。
HCH_012_160_000181	明年，湖廣苗亂，命璞總督軍務，與南和伯方瑛討之。
HCH_012_160_000182	天順元年以捷聞。
HCH_012_160_000183	召還，命致仕。
HCH_012_160_000184	既而論功，賜鈔幣。
HCH_012_160_000185	四年冬用李賢薦，召為南京左都御史。
HCH_012_160_000186	時璞已老聵，不能任事。
HCH_012_160_000187	七年為錦衣衛指揮僉事門達所劾罷，歸卒。
HCH_012_160_000188	王巹，郿人。
HCH_012_160_000189	永樂中鄉薦，曆山東左布政使，所至有惠政。
HCH_012_160_000190	正統六年入為工部侍郎，代吳中為尚書。
HCH_012_160_000191	歸家十五年卒。
HCH_012_160_000192	羅通，字學古，吉水人。
HCH_012_160_000193	永樂十年進士。
HCH_012_160_000194	授御史，巡按四川。
HCH_012_160_000195	都指揮郭贇與清軍御史汪琳中交通為奸利，通劾奏，逮治之。
HCH_012_160_000196	三殿災，偕同官何忠等極陳時政闕失。
HCH_012_160_000197	忤旨，出為交阯清化知州。
HCH_012_160_000198	宣德元年，黎利反，王通戰敗，擅傳檄割清化迤南畀賊。
HCH_012_160_000199	賊方圍清化，通與指揮打忠堅守，乘間破賊，殺傷甚眾。
HCH_012_160_000200	賊將遁而檄至，通曰：「吾輩殺賊多，出城必無全理，與就縛，曷若盡忠死。」
HCH_012_160_000201	乃與忠益固守。
HCH_012_160_000202	賊久攻不下，令降將蔡福說降，通登陴大罵。
HCH_012_160_000203	賊知城不可拔，引去。
HCH_012_160_000204	及還京，宣宗大獎勞之。
HCH_012_160_000205	改戶部員外郎，出理宣府軍餉。
HCH_012_160_000206	奏言：「朝議儲餉開平，令每軍運一石，又當以騎士護行，計所費率二石七鬥而致一石。今軍民多願輸米易鹽，請捐舊例五分之二，則人自樂輸，餉足而兵不疲。」
HCH_012_160_000207	帝可之。
HCH_012_160_000208	正統初，遷兵部郎中，從尚書王驥整飭甘肅邊務。
HCH_012_160_000209	從破敵于兀魯乃還，以貪淫事為驥所覺。
HCH_012_160_000210	驥遣通奏邊情，即疏通罪。
HCH_012_160_000211	下獄，謫廣西容山閘官。
HCH_012_160_000212	已，調東莞河泊所官。
HCH_012_160_000213	九年，都督僉事曹儉薦其有文武才，乞收用。
HCH_012_160_000214	吏部執不可。
HCH_012_160_000215	景帝監國，以于謙、陳循薦，起兵部員外郎，守居庸關。
HCH_012_160_000216	俄進郎中。
HCH_012_160_000217	帝即位，進右副都御史。
HCH_012_160_000218	也先犯京師，別部攻居庸甚急。
HCH_012_160_000219	天大寒，通汲水灌城，水堅不得近。
HCH_012_160_000220	七日遁走，追擊破之。
HCH_012_160_000221	景泰元年召還。
HCH_012_160_000222	時楊洪督京營，命通參軍務兼理院事。
HCH_012_160_000223	言：「諸邊報警，率由守將畏徵調，飾詐以惑朝廷，遇賊數十輒稱殺敗數千。向者德勝等門外不知斬馘幾何，而獲官者至六萬六千餘人。輦下且然，何況塞外。且韓信起自行伍，穰苴拔於寒微，宜博搜將士中如信、苴者，與議軍事。若今腰玉珥貂，皆苟全性命保爵祿之人，憎賢忌才，能言而不能行，未足與議也。」
HCH_012_160_000224	意蓋詆謙與石亨輩。
