HCH_012_163_000000	李時勉陳敬宗劉鉉邢讓林瀚謝鐸魯鐸李時勉，名懋，以字行，安福人。
HCH_012_163_000001	成童時，冬寒，以衾裹足納桶中，誦讀不已。
HCH_012_163_000002	中永樂二年進士。
HCH_012_163_000003	選庶吉士，進學文淵閣，與修《太祖實錄》。
HCH_012_163_000004	授刑部主事，復與重修《實錄》。
HCH_012_163_000005	書成，改翰林侍讀。
HCH_012_163_000006	性剛鯁，慨然以天下為己任。
HCH_012_163_000007	十九年，三殿災，詔求直言。
HCH_012_163_000008	條上時務十五事。
HCH_012_163_000009	成祖決計都北京，時方招徠遠人。
HCH_012_163_000010	而時勉言營建之非，及遠國入貢人不宜使群居輦下。
HCH_012_163_000011	忤帝意。
HCH_012_163_000012	已，觀其他說，多中時病，抵之地；復取視者再，卒多施行。
HCH_012_163_000013	尋被讒下獄。
HCH_012_163_000014	歲餘得釋，楊榮薦復職。
HCH_012_163_000015	洪熙元年復上疏言事。
HCH_012_163_000016	仁宗怒甚，召至便殿，對不屈。
HCH_012_163_000017	命武士撲以金瓜，脅折者三，曳出幾死。
HCH_012_163_000018	明日，改交阯道御史，命日慮一囚，言一事。
HCH_012_163_000019	章三上，乃下錦衣衛獄。
HCH_012_163_000020	時勉於錦衣千戶某有恩，千戶適蒞獄，密召醫，療以海外血竭，得不死。
HCH_012_163_000021	仁宗大漸，謂夏原吉曰：「時勉廷辱我。」
HCH_012_163_000022	言已，勃然怒，原吉慰解之。
HCH_012_163_000023	其夕，帝崩。
HCH_012_163_000024	宣帝即位已逾年，或言時勉得罪先帝狀。
HCH_012_163_000025	帝震怒，命使者：「縛以來，朕親鞫，必殺之。」
HCH_012_163_000026	已，又令王指揮即縛斬西市，毋入見。
HCH_012_163_000027	王指揮出端西旁門，而前使者已縛時勉從端東旁門入，不相值。
HCH_012_163_000028	帝遙見罵曰：「爾小臣敢觸先帝！疏何語？趣言之。」
HCH_012_163_000029	時勉叩頭曰：「臣言諒暗中不宜近妃嬪，皇太子不宜遠左右。」
HCH_012_163_000030	帝聞言，色稍霽。
HCH_012_163_000031	徐數至六事止。
HCH_012_163_000032	帝令盡陳之。
HCH_012_163_000033	對曰：「臣惶懼不能悉記。」
HCH_012_163_000034	帝意益解，曰：「是第難言耳，草安在？」
HCH_012_163_000035	對曰：「焚之矣。」
HCH_012_163_000036	帝乃太息，稱時勉忠，立赦之，復官侍讀。
HCH_012_163_000037	比王指揮詣獄還，則時勉已襲冠帶立階前矣。
HCH_012_163_000038	宣德五年修《成祖實錄》成，遷侍讀學士。
HCH_012_163_000039	帝幸史館，撒金錢賜諸學士。
HCH_012_163_000040	皆俯取，時勉獨正立。
HCH_012_163_000041	帝乃出余錢賜之。
HCH_012_163_000042	正統三年以《宣宗實錄》成，進學士，掌院事兼經筵官。
HCH_012_163_000043	六年代貝泰為祭酒。
HCH_012_163_000044	八年乞致仕，不允。
HCH_012_163_000045	初，時勉請改建國學。
HCH_012_163_000046	帝命王振往視，時勉待振無加禮。
HCH_012_163_000047	振銜之，廉其短，無所得。
HCH_012_163_000048	時勉嘗芟彜倫堂樹旁枝，振遂言時勉擅伐官樹入家。
HCH_012_163_000049	取中旨，與司業趙琬、掌饌金鑒並枷國子監前。
HCH_012_163_000050	官校至，時勉方坐東堂閱課士卷，徐呼諸生品第高下，顧僚屬定甲乙，揭榜乃行。
HCH_012_163_000051	方盛署，枷三日不解。
HCH_012_163_000052	監生李貴等千餘人詣闕乞貸。
HCH_012_163_000053	有石大用者，上章願以身代。
HCH_012_163_000054	諸生圜集朝門，呼聲徹殿庭。
HCH_012_163_000055	振聞諸生不平，恐激變。
HCH_012_163_000056	及通政司奏大用章，振內慚。
HCH_012_163_000057	助教李繼請解於會昌侯孫忠。
HCH_012_163_000058	忠，皇太后父也。
HCH_012_163_000059	忠生日，太后使人賜忠家。
HCH_012_163_000060	忠附奏太后，太后為言之帝。
HCH_012_163_000061	帝初不知也，立釋之。
HCH_012_163_000062	繼不拘檢柙，時勉嘗規切之。
HCH_012_163_000063	繼不能盡用，然心感時勉言，至是竟得其助。
HCH_012_163_000064	大用，豐潤人。
HCH_012_163_000065	樸魯，初不為六館所知，及是名動京師。
HCH_012_163_000066	明年中鄉試，官至戶部主事。
HCH_012_163_000067	九年，帝視學。
HCH_012_163_000068	時勉進講《尚書》，辭旨清朗。
HCH_012_163_000069	帝悅，賜予有加。
HCH_012_163_000070	連疏乞致仕，不允。
HCH_012_163_000071	十二年春乃得請。
HCH_012_163_000072	朝臣及國子生餞都門外者幾三千人，或遠送至登舟，候舟發乃去。
HCH_012_163_000073	英宗北狩，時勉日夜悲慟。
HCH_012_163_000074	遣其孫驥詣闕上書，請選將練兵，親君子，遠小人，褒表忠節，迎還車駕，復仇雪恥。
HCH_012_163_000075	景泰元年得旨褒答，而時勉卒矣，年七十七。
HCH_012_163_000076	謚文毅。
HCH_012_163_000077	成化五年，以其孫颙請，改謚忠文，贈禮部侍郎。
HCH_012_163_000078	時勉為祭酒六年，列格、致、誠、正四號，訓勵甚切。
HCH_012_163_000079	崇廉恥，抑奔競，別賢否，示勸懲。
HCH_012_163_000080	諸生貧不能婚葬者，節省餐錢為贍給。
HCH_012_163_000081	督令讀書，燈火達旦，吟誦聲不絕，人才盛於昔時。
HCH_012_163_000082	始，太祖以宋訥為祭酒，最有名。
HCH_012_163_000083	其後寧化張顯宗申明學規，人比之訥。
HCH_012_163_000084	而胡儼當成祖之世，尤稱人師。
HCH_012_163_000085	然以直節重望為士類所依歸者，莫如時勉。
HCH_012_163_000086	英國公張輔暨諸侯伯奏，願偕詣國子監聽講。
HCH_012_163_000087	帝命以三月三日往。
HCH_012_163_000088	時勉升師席，諸生以次立，講《五經》各一章。
HCH_012_163_000089	畢事，設酒饌，諸侯伯讓曰：「受教之地，當就諸生列坐。」
HCH_012_163_000090	惟輔與抗禮。
HCH_012_163_000091	諸生歌《鹿鳴》之詩，賓主雍雍，盡暮散去，人稱為太平盛事。
HCH_012_163_000092	陳敬宗，字光世，慈溪人。
HCH_012_163_000093	永樂二年進士。
HCH_012_163_000094	選庶吉士，進學文淵閣，與修《永樂大典》。
HCH_012_163_000095	書成，授刑部主事。
HCH_012_163_000096	又與修《五經四書大全》，再修《太祖實錄》，授翰林侍講。
HCH_012_163_000097	內艱歸。
HCH_012_163_000098	宣德元年起修兩朝實錄。
HCH_012_163_000099	明年轉南京國子監司業。
HCH_012_163_000100	帝諭之曰：「侍講，清華之選；司業，師儒之席。位雖不崇，任則重矣。」
HCH_012_163_000101	九年，秩滿，選祭酒，正統三年上書言：「舊制，諸生以在監久近，送諸司歷事。比來，有因事予告者，遷延累歲，至撥送之期始赴，實長奸惰，請以肄業多寡為次第。又近有願就雜職之例，士風卑陋，誠非細故，請加禁止。」
HCH_012_163_000102	從之。
HCH_012_163_000103	敬宗美須髯，容儀端整，步履有定則，力以師道自任。
HCH_012_163_000104	立教條，革陋習。
HCH_012_163_000105	六館士千餘人，每升堂聽講，設饌會食，整肅如朝廷。
HCH_012_163_000106	稍失容，即令待罪堂下。
HCH_012_163_000107	僚屬憚其嚴，誣以他事，訟之法司。
HCH_012_163_000108	周忱與敬宗善，曰：「盍具疏自理。」
HCH_012_163_000109	為屬草，辭稍遷就。
HCH_012_163_000110	敬宗驚曰：「得無誑君耶？」
HCH_012_163_000111	不果上，事亦竟白。
HCH_012_163_000112	滿考，入京師，王振欲見之，令忱道意。
HCH_012_163_000113	敬宗曰：「吾為諸生師表，而私謁中貴，何以對諸生？」
HCH_012_163_000114	振知不可屈，乃貽之文錦羊酒，求書程子《四箴》，冀其來謝。
HCH_012_163_000115	敬宗書訖，署名而已。
HCH_012_163_000116	返其幣，終不往見。
HCH_012_163_000117	王直為吏部尚書，從容謂曰：「先生官司成久，將薦公為司寇。」
HCH_012_163_000118	敬宗曰：「公知我者，今與天下英才終日論議，顧不樂耶？」
HCH_012_163_000119	性善飲酒，至數鬥不亂。
