HCH_012_197_000000	席書霍韜熊浹黃宗明黃綰席書，字文同，遂寧人。
HCH_012_197_000001	弘治三年進士。
HCH_012_197_000002	授郯城知縣。
HCH_012_197_000003	入為工部主事，移戶部，進員外郎。
HCH_012_197_000004	十六年，雲南晝晦地震，命侍郎樊瑩巡視，奏黜監司以下三百餘人。
HCH_012_197_000005	書上疏言：「災異系朝廷，不系雲南。如人元氣內損，然後瘡瘍發四肢。朝廷，元氣也。雲南，四肢也。豈可舍致毒之源，專治四肢之末？今內府供應數倍往年，冗食官數千，投充校尉數萬，齋醮寺觀無停日，織造頻煩，賞賚逾度；皇親奪民田，宦官增遣不已；大獄據招詞不敢辯，刑官亦不敢伸；大臣賢者未起用，小臣言事謫者未復；文武官傳升，名器大濫。災異之警，偶泄雲南，欲以遠方外吏當之，此何理也？漢遣八使巡行天下，張綱獨曰：「豺狼當道，安問狐貍。』今樊瑩職巡察，不能劾戚畹、大臣，獨考黜雲南官吏，舍本而治末。乞陛下以臣所言弊政，一切厘革。他大害當祛，大政當舉者，悉令所司條奏而興革之。」時不能用。武宗時，歷河南僉事、貴州提學副使。時王守仁謫龍場驛丞，書擇州縣子弟，延守仁教之，士始知學。屢遷福建左布政使。寧王宸濠反，急募兵二萬討之。至則賊已平，乃返。尋以右副都御史巡撫湖廣。中官李鎮、張旸假進貢及禦鹽名斂財十餘萬，書疏發之。嘉靖元年改南京兵部右侍郎。江南北大饑，奉命振江北。令州縣十里一廠，煮糜哺之，全活無算。初，書在湖廣，見中朝議「大禮」未定，揣帝向張璁、霍韜，獻議言：「昔宋英宗以濮王第十三子出為人後，今上以興獻王長子入承大統。
HCH_012_197_000006	英宗入嗣在袞衣臨禦之時，今上入繼在宮車晏駕之後。
HCH_012_197_000007	議者以陛下繼統武宗，仍為興獻帝之子，別立廟祀，張璁、霍韜之議未為非也。
HCH_012_197_000008	然尊無二帝。
HCH_012_197_000009	陛下於武宗親則兄弟，分則君臣。
HCH_012_197_000010	既奉孝宗為宗廟主，可復有他稱乎？
HCH_012_197_000011	宜稱曰『皇考興獻王』，此萬世不刊之典。
HCH_012_197_000012	禮臣三四執奏，未為失也。
HCH_012_197_000013	然禮本人情，陛下尊為天子，慈聖設無尊稱，可乎？
HCH_012_197_000014	故尊所生曰帝後，上慰慈闈，此情之不能已也。
HCH_012_197_000015	為今日議，宜定號曰『皇考興獻帝』。
HCH_012_197_000016	別立廟大內，歲時祀太廟畢，仍祭以天子之禮，似或一道也。
HCH_012_197_000017	蓋別以廟祀則大統正而昭穆不紊，隆以殊稱則至愛篤而本支不淪，尊尊親親，並行不悖。
HCH_012_197_000018	至慈聖宜稱皇母某後，不可以興獻加之。
HCH_012_197_000019	獻，謚也，豈宜加於今日？
HCH_012_197_000020	議既具，會中朝競詆張璁為邪說，書懼不敢上，而密以示桂萼，萼然其議。
HCH_012_197_000021	三年正月，萼具疏並上之。
HCH_012_197_000022	帝大喜，趣召入對。
HCH_012_197_000023	無何，詔改稱獻帝為本生皇考，遂寢召命。
HCH_012_197_000024	會禮部尚書汪俊以爭建廟去位，特旨用書代之。
HCH_012_197_000025	故事，禮部長貳率用翰林官。
HCH_012_197_000026	是時廷臣排異議益力，書進又不由廷推，因交章詆書，至訾其振荒無狀，多侵漁。
HCH_012_197_000027	書亦屢辭新命，並錄上《大禮考議》，且乞遣官勘振荒狀。
HCH_012_197_000028	帝為遣司禮中官，戶、刑二部侍郎，錦衣指揮往勘，而趣書入朝益急。
HCH_012_197_000029	比至德州，則廷臣已伏闕哭爭，盡系詔獄。
HCH_012_197_000030	書馳疏言：「議禮之家，名為聚訟。兩議相持，必有一是。陛下擇其是者，而非者不必深較。乞宥其愆失，俾獲自新。」
HCH_012_197_000031	不允。
HCH_012_197_000032	其年八月入朝，帝慰勞有加。
HCH_012_197_000033	逾月乃會廷臣大議，上奏曰：三代之法，父死子繼，兄終弟及，自夏歷漢二千年，未有立從子為皇子者也。
HCH_012_197_000034	漢成帝以私意立定陶王，始壞三代傳統之禮。
HCH_012_197_000035	宋仁宗立濮王子，英宗即位，始終不稱濮王為伯。
HCH_012_197_000036	今陛下生於孝宗崩後二年，乃不繼武宗大統，超越十有六年上考孝宗，天倫大義固已乖悖。
HCH_012_197_000037	又未嘗立為皇子，與漢、宋不同。
HCH_012_197_000038	自古天子無大宗、小宗，亦無所生、所後。
HCH_012_197_000039	《禮經》所載，乃大夫士之禮，不可語於帝王。
HCH_012_197_000040	伯父子侄皆天經地義，不可改易。
HCH_012_197_000041	今以伯為父，以父為叔，倫理易常，是為大變。
HCH_012_197_000042	夫得三代傳統之義，遠出漢、唐繼嗣之私者，莫若《祖訓》。
HCH_012_197_000043	《祖訓》曰「朝廷無皇子，必兄終弟及。」
HCH_012_197_000044	則嗣位者實繼統，非繼嗣也。
HCH_012_197_000045	伯自宜稱皇伯考，父自宜稱皇考，兄自宜稱皇兄。
HCH_012_197_000046	今陛下於獻帝、章聖已去本生之稱，復下臣等大議。
HCH_012_197_000047	臣書、臣璁、臣萼、臣獻夫及文武諸臣皆議曰：世無二首，人無二本。
HCH_012_197_000048	孝宗皇帝，伯也，宜稱皇伯考。
HCH_012_197_000049	昭聖皇太后，伯母也，宜稱皇伯母。
HCH_012_197_000050	獻皇帝，父也，宜稱皇考。
HCH_012_197_000051	章聖皇太后，母也，宜稱聖母。
HCH_012_197_000052	武宗仍稱皇兄，莊肅皇后宜稱皇嫂。
HCH_012_197_000053	尤願陛下仰遵孝宗仁聖之德，念昭聖擁翊之功，孝敬益隆，始終無間，大倫大統兩有歸矣。
