HCH_012_205_000000	朱紈張經胡宗憲曹邦輔李遂唐順之朱紈，字子純，長洲人。
HCH_012_205_000001	正德十六年進士。
HCH_012_205_000002	除景州知州，調開州。
HCH_012_205_000003	嘉靖初，遷南京刑部員外郎。
HCH_012_205_000004	歷四川兵備副使。
HCH_012_205_000005	與副總兵何卿共平深溝諸砦番。
HCH_012_205_000006	五遷至廣東左布政使。
HCH_012_205_000007	二十五年擢右副都御史，巡撫南、贛。
HCH_012_205_000008	明年七月，倭寇起，改提督浙、閩海防軍務，巡撫浙江。
HCH_012_205_000009	初，明祖定制，片板不許入海。
HCH_012_205_000010	承平久，奸民闌出入，勾倭人及佛郎機諸國入互市。
HCH_012_205_000011	閩人李光頭、歙人許棟踞寧波之雙嶼為之主，司其質契。
HCH_012_205_000012	勢家護持之，漳、泉為多，或與通婚姻。
HCH_012_205_000013	假濟渡為名，造雙桅大船，運載違禁物，將吏不敢詰也。
HCH_012_205_000014	或負其直，棟等即誘之攻剽。
HCH_012_205_000015	負直者脅將吏捕逐之，泄師期令去，期他日償。
HCH_012_205_000016	他日至，負如初。
HCH_012_205_000017	倭大怨恨，益與棟等合。
HCH_012_205_000018	而浙、閩海防久隳，戰船、哨船十存一二，漳、泉巡檢司弓兵舊額二千五百餘，僅存千人。
HCH_012_205_000019	剽掠輒得誌，益無所忌，來者接踵。
HCH_012_205_000020	紈巡海道，采僉事項高及士民言，謂不革渡船則海道不可清，不嚴保甲則海防不可復，上疏具列其狀。
HCH_012_205_000021	於是革渡船，嚴保甲，搜捕奸民。
HCH_012_205_000022	閩人資衣食於海，驟失重利，雖士大夫家亦不便也，欲沮壞之。
HCH_012_205_000023	紈討平覆鼎山賊。
HCH_012_205_000024	明年將進攻雙嶼，使副使柯喬、都指揮黎秀分駐漳、泉、福寧，遏賊奔逸，使都司盧鏜將福清兵由海門進。
HCH_012_205_000025	而日本貢使周良違舊約，以六百人先期至。
HCH_012_205_000026	紈奉詔便宜處分。
HCH_012_205_000027	度不可卻，乃要良自請，後不為例。
HCH_012_205_000028	錄其船，延良入寧波賓館。
HCH_012_205_000029	奸民投書激變，紈防範密，計不得行。
HCH_012_205_000030	夏四月，鏜遇賊於九山洋，俘日本國人稽天，許棟亦就擒。
HCH_012_205_000031	棟黨汪直等收余眾遁，鏜築塞雙嶼而還。
HCH_012_205_000032	番舶後至者不得入，分泊南麂、礁門、青山、下八諸島。
HCH_012_205_000033	勢家既失利，則宣言被擒者皆良民，非賊黨，用搖惑人心。
HCH_012_205_000034	又挾制有司，以脅從被擄予輕比，重者引強盜拒捕律。
HCH_012_205_000035	紈上疏曰：「今海禁分明，不知何由被擄，何由協從？若以入番導寇為強盜，海洋敵對為拒捕，臣之愚暗，實所未解。」
HCH_012_205_000036	遂以便宜行戮。
HCH_012_205_000037	紈執法既堅，勢家皆懼。
HCH_012_205_000038	貢使周良安插已定，閩人林懋和為主客司，宣言宜發回其使。
HCH_012_205_000039	紈以中國制馭諸番，宜守大信，疏爭之強。
HCH_012_205_000040	且曰：「去外國盜易，去中國盜難。去中國瀕海之盜猶易，去中國衣寇之盜尤難。」
HCH_012_205_000041	閩、浙人益恨之，竟勒周良還泊海嶼，以俟貢期。
HCH_012_205_000042	吏部用御史閩人周亮及給事中葉鏜言，奏改紈巡視，以殺其權。
HCH_012_205_000043	紈憤，又明年春上疏言：「臣整頓海防，稍有次第，亮欲侵削臣權，致屬吏不肯用命。」
HCH_012_205_000044	既又陳明國是、正憲體、定紀綱、扼要害、除禍本、重斷決六事，語多憤激。
HCH_012_205_000045	中朝士大夫先入浙、閩人言，亦有不悅紈者矣。
HCH_012_205_000046	紈前討溫、盤、南麂諸賊，連戰三月，大破之，還平處州礦盜。
HCH_012_205_000047	其年三月，佛郎機國人行劫至詔安。
HCH_012_205_000048	紈擊擒其渠李光頭等九十六人，復以便宜戮之。
HCH_012_205_000049	具狀聞，語復侵諸勢家。
HCH_012_205_000050	御史陳九德遂劾紈擅殺。
HCH_012_205_000051	落紈職，命兵科都給事杜汝禎按問。
HCH_012_205_000052	紈聞之，慷慨流涕曰：「吾貧且病，又負氣，不任對簿。縱天子不欲死我，閩、浙人必殺我。吾死，自決之，不須人也。」
HCH_012_205_000053	制壙誌，作俟命詞，仰藥死。
HCH_012_205_000054	二十九年，給事汝禎、巡按御史陳宗夔還，稱奸民鬻販拒捕，無僭號流劫事，坐紈擅殺。
HCH_012_205_000055	詔逮紈，紈已前死。
HCH_012_205_000056	柯喬、盧鏜等並論重辟。
HCH_012_205_000057	紈清強峭直，勇於任事。
HCH_012_205_000058	欲為國家杜亂源，乃為勢家構陷，朝野太息。
HCH_012_205_000059	自紈死，罷巡視大臣不設，中外搖手不敢言海禁事。
HCH_012_205_000060	浙中衛所四十一，戰船四百三十九，尺籍盡耗。
HCH_012_205_000061	紈招福清捕盜船四十餘，分布海道，在臺州海門衛者十有四，為黃巖外障，副使丁湛盡散遣之，撤備馳禁。
HCH_012_205_000062	未幾，海寇大作，毒東南者十餘年。
HCH_012_205_000063	張經，字廷彜，侯官人。
HCH_012_205_000064	初冒蔡姓，久之乃復。
HCH_012_205_000065	正德十二年進士。
HCH_012_205_000066	除嘉興知縣。
HCH_012_205_000067	嘉靖四年召為吏科給事中，歷戶科都給事中，數有論劾。
HCH_012_205_000068	言官指為張、桂黨，吏部言經行修，不問。
