HCH_012_237_000000	傅好禮姜誌禮包見捷田大益馮應京吳宗堯吳寶秀華鈺傅好禮，字伯恭，固安人。
HCH_012_237_000001	萬曆二年進士。
HCH_012_237_000002	知涇縣，治最，入為御史。
HCH_012_237_000003	嘗陳時政，請節遊宴，停內操，罷外戚世封，止山陵行幸，又上崇實、杜漸諸疏。
HCH_012_237_000004	語皆剴直。
HCH_012_237_000005	巡按浙江。
HCH_012_237_000006	歲大侵，條上荒政。
HCH_012_237_000007	行部湖州，用便宜發漕折銀萬兩，易粟振饑民。
HCH_012_237_000008	改按山東。
HCH_012_237_000009	泰安州同知張壽朋當貶秩，文選郎謝廷寀用為永平推官，謂州同知六品，而推官七品也。
HCH_012_237_000010	好禮馳疏劾其非制，廷寀坐停俸，壽朋改調。
HCH_012_237_000011	好禮尋謝病歸。
HCH_012_237_000012	召進光祿少卿，改太常。
HCH_012_237_000013	時稅使四出，海內騷然。
HCH_012_237_000014	二十六年冬，奸民張禮等偽為官吏，群小百十人分據近京要地，稅民間雜物，弗予，捶至死。
HCH_012_237_000015	好禮極論其害，因言：「自朝鮮用兵，畿民富者貧，貧者死，思亂已久，奈何又虐征。國家縱貧，亦不當頭會箕斂，括細民續命之脂膏；況奸徒所得千萬，輸朝廷者什一耳，陛下何利為之。」
HCH_012_237_000016	奏入，四日未報，復具疏請。
HCH_012_237_000017	帝大怒，傳旨鐫三級，出之外。
HCH_012_237_000018	大理卿吳定疏救。
HCH_012_237_000019	帝益怒，謫好禮大同廣昌典史，定鐫三級，調邊方。
HCH_012_237_000020	言官復交章論救，斥定為民。
HCH_012_237_000021	既而帝思好禮言，下其疏，命廠衛嚴緝，逮禮等二十八人詔獄，其害乃除。
HCH_012_237_000022	好禮之官，未幾，請急歸。
HCH_012_237_000023	家居十五年卒。
HCH_012_237_000024	天啟中，贈太常卿。
HCH_012_237_000025	姜誌禮，字立之，丹陽人。
HCH_012_237_000026	萬曆十七年進士。
HCH_012_237_000027	歷建昌、衢州推官，入為大理評事。
HCH_012_237_000028	三十三年，以囚多瘐死，疏言：「犴狴之間，一日斃十五人。積日而計，亦何紀極！又況海內小民，罹災寢而轉死溝壑，及為礦稅所羅織、貂珰所攫噬、含冤畢命者，又復何限！乞亟為矜宥，勿久淹系，且盡除礦稅，毋使宵人竊弄魁柄，賊虐丞黎。」
HCH_012_237_000029	不報。
HCH_012_237_000030	歷刑部員外，出為泉州知府，遷廣東副使，並有聲。
HCH_012_237_000031	進山東右參政，分守登、萊。
HCH_012_237_000032	福王封國河南，詔賜田二百萬畝，跨山東、湖廣境。
HCH_012_237_000033	既之國，遣中貴徐進督山東賦，勢甚張。
HCH_012_237_000034	誌禮抗疏曰：「臣所轄二郡，民不聊生，且與倭鄰，不宜有藩府莊田以擾茲土也明甚。且自高皇帝迄今累十餘世，封王子弟多矣，有賜田二萬頃，延連數十郡者乎？繼此而封，尚有瑞、惠、桂三王也。倘比例以請，將予之乎，不予之乎？況國祚靈長，久且未艾。嗣是天家子姓，各援今日故事以請，臣恐方內土田，不足共諸藩分裂也。」
HCH_012_237_000035	帝大怒，貶三秩為廣西僉事。
HCH_012_237_000036	久之，遷江西參議。
HCH_012_237_000037	天啟三年，由浙江副使入為尚寶少卿，尋進卿。
HCH_012_237_000038	河南進玉璽，魏忠賢欲誌禮疏獻之。
HCH_012_237_000039	誌禮不可。
HCH_012_237_000040	忠賢怒，令私人劾其衰老，遂乞休。
HCH_012_237_000041	詔加太常少卿致仕，已而削奪。
HCH_012_237_000042	崇禎初，復官。
HCH_012_237_000043	誌禮性淳樸，所居多政績，亦以行誼稱於鄉。
HCH_012_237_000044	包見捷，雲南臨安衛人。
HCH_012_237_000045	萬曆十七年進士。
HCH_012_237_000046	改庶吉士，授戶科給事中，屢遷都給事中。
HCH_012_237_000047	奸人李本立請采珠廣東，帝命中官李敬偕往。
HCH_012_237_000048	見捷極言其害，不聽。
HCH_012_237_000049	時小人蜂起言利。
HCH_012_237_000050	千戶李仁請稅湖口商舟，命中官李道往。
HCH_012_237_000051	主簿田應璧請賣兩淮沒官余鹽，令稅使魯保兼理。
HCH_012_237_000052	見捷等並力爭。
HCH_012_237_000053	頃之，令道、保節制有司。
HCH_012_237_000054	見捷又陳不便者數事。
HCH_012_237_000055	皆不報。
HCH_012_237_000056	益都知縣吳宗堯劾稅使陳增不法，見捷因請盡罷礦稅。
HCH_012_237_000057	無已，先撤增還。
HCH_012_237_000058	未幾，天津稅使王朝死，見捷請勿遣代。
HCH_012_237_000059	忤旨，切責。
HCH_012_237_000060	以馬堂代朝。
HCH_012_237_000061	見捷又劾堂、保及浙江劉忠。
HCH_012_237_000062	帝不納，益遣高寀、暨祿、李鳳榷稅於京口、儀真、廣東，並專敕行事。
HCH_012_237_000063	又以奸人閻大經言，命高淮征稅遼東。
HCH_012_237_000064	見捷等累請停罷，至是言：「遼左神京肩臂，視他鎮尤重。奸徒敢為禍首，陛下不懲以三尺，急罷開采，則遼事必不可為，而國步且隨之矣。」
HCH_012_237_000065	遼東撫按及山海主事吳鐘英相繼爭。
HCH_012_237_000066	皆不納。
HCH_012_237_000067	時中外爭礦稅者無慮百十疏，見捷言尤數，帝心銜之。
HCH_012_237_000068	居數日，又率司官極論，乃謫見捷貴州布政司都事，余停俸一年。
HCH_012_237_000069	大學士沈一貫、給事中趙完璧等先後論救，完璧等亦坐停俸。
HCH_012_237_000070	見捷尋引疾去。
HCH_012_237_000071	三十四年，起興業知縣。
HCH_012_237_000072	累遷太僕少卿。
HCH_012_237_000073	久之，以右僉都御史巡撫江西。
HCH_012_237_000074	光宗即位，召拜吏部右侍郎。
HCH_012_237_000075	明年卒官。
HCH_012_237_000076	田大益，字博真，四川定遠人。
HCH_012_237_000077	萬曆十四年進士。
HCH_012_237_000078	授鐘祥知縣。
HCH_012_237_000079	擢兵科給事中，疏論日本封貢可虞。
HCH_012_237_000080	又言：「東征之役，在將士，則當據今日之斬馘以論功；在主帥，則當視後日之成敗以定議。」
HCH_012_237_000081	時韙其言。
HCH_012_237_000082	母喪除，起補戶科。
HCH_012_237_000083	二十八年十月，疏言：「陛下受命日久，驕泰乘之，布列豺狼，殄滅善類，民無所措，靡不蓄怨含憤，覬一旦有事。願陛下惕然警覺，敬天地，嚴祖宗，毋輕臣工，毋戕民命，毋任閹人，毋縱群小，毋務暴刻，毋甘怠荒，急改敗轍，遵治規，用保祖宗無疆之業。」
HCH_012_237_000084	未幾，極陳礦稅六害，言：內臣務為劫奪，以應上求。
HCH_012_237_000085	礦不必穴，而稅不必商；民間丘隴阡陌，皆礦也，官吏農工，皆入稅之人也。
HCH_012_237_000086	公私騷然，脂膏殫竭。
HCH_012_237_000087	向所謂軍國正供，反致缺損。
HCH_012_237_000088	即令有司威以刀鋸，只足驅民而速之亂耳。
HCH_012_237_000089	此所謂斂巧必蹶也。
HCH_012_237_000090	陛下嘗以礦稅之役為裕國愛民。
HCH_012_237_000091	然內庫日進不已，未嘗少佐軍國之需。
HCH_012_237_000092	四海之人，方反唇切齒，而冀以計智甘言，掩天下耳目，其可得乎！
HCH_012_237_000093	此所謂名偽必敗也。
HCH_012_237_000094	財積而不用，祟將隨之。
HCH_012_237_000095	脫巾不已，至於揭竿，適為奸雄睥睨之資。
HCH_012_237_000096	此時雖家給人予，亦且蹴之覆之而不可及矣。
HCH_012_237_000097	此所謂賄聚必散也。
HCH_012_237_000098	夫眾心不可傷也。
HCH_012_237_000099	今天下上自簪纓，下至耕夫販婦，茹苦含辛、搤諲側目、而無所控訴者，蓋已久矣。
HCH_012_237_000100	一旦土崩勢成，家為仇，人為敵，眾心齊倡，而海內因以大潰。
HCH_012_237_000101	此所謂怨極必亂也。
HCH_012_237_000102	國家全盛二百三十餘年，已屬陽九，而東征西討以求快意。
HCH_012_237_000103	上之蕩主心，下之耗國脈。
HCH_012_237_000104	二豎固而良醫走，死氣索而大命傾。
HCH_012_237_000105	此所謂禍遲必大也。
HCH_012_237_000106	陛下矜奮自賢，沈迷不返。
HCH_012_237_000107	以豪珰奸弁為腹心，以金錢珠玉為命脈。
HCH_012_237_000108	藥石之言，褎如充耳。
HCH_012_237_000109	即令逢、幹剖心，臯夔進諫，亦安能解其惑哉！
HCH_012_237_000110	此所謂意迷難救也。
HCH_012_237_000111	此六者，今之大患。
HCH_012_237_000112	臣畏死不言，則負陛下，陛下拒諫不納，則危宗社。
HCH_012_237_000113	願深察而力反之。
HCH_012_237_000114	皆不報。
HCH_012_237_000115	明年，疏論湖廣稅監陳奉，救僉事馮應京。
HCH_012_237_000116	忤旨，切責。
HCH_012_237_000117	時武昌民以應京被逮，群聚鼓噪，欲殺奉，奉逃匿楚府以免。
HCH_012_237_000118	大益因上言：「陛下驅率狼虎，飛而食人，使天下之人，剝膚而吸髓，重足而累息，以致天災地坼，山崩川竭。釁自上開，憤由怨積，奈何欲塗民耳目，以自解釋，謾曰權宜哉！今楚人以奉故，沈使者不返矣，且欲甘心巡撫大臣矣。中朝使臣不敢入境偵緩急，逾兩月矣。四方觀聽，惟在楚人。臣意陛下必且曠然易慮，立罷礦稅，以靖四方，奈何猶戀戀不能自割也！夫天下至貴，而金玉珠寶至賤也。積金玉珠寶若泰山，不可市天下尺寸地；而失天下，又何用金玉珠寶為哉！今四方萬姓，見陛下遇楚事而無變誌，知禍必不解，必且群起為變。此時即盡戮諸珰以謝天下，寧有濟耶？」
HCH_012_237_000119	帝怒，留中。
HCH_012_237_000120	又明年遷兵科都給事中。
HCH_012_237_000121	時兩京缺尚書三，侍郎十、科道九十四，天下缺巡撫三、布按監司六十六、知府二十五。
HCH_012_237_000122	大益力請簡補，亦不聽。
HCH_012_237_000123	三十一年，江西稅監潘相請勘合符牒勿經郵傳。
