HCH_012_253_000000	王應熊張至發薛國觀程國祥陳演魏藻德王應熊，字非熊，巴縣人。
HCH_012_253_000001	萬歷四十一年進士。
HCH_012_253_000002	天啟中，歷官詹事，以憂歸。
HCH_012_253_000003	崇禎三年，召拜禮部右侍郎。
HCH_012_253_000004	明年冬，帝遣宦官出守邊鎮，應熊上言：「陛下焦勞求治，何一不倚信群臣，乃群臣不肯任勞任怨，致陛下萬不獲已，權遣近侍監理。書之青史，謂有聖明不世出之主，而群工不克仰承，直當愧死。且自神宗以來，士習人心不知職掌何事，有舉《會典》律例告之者，反訝為申、韓刑名。近日諸臣之病，非臨事不擔當之故，乃平時未講求之過也；亦非因循於夙習之故，實愆忘於舊章之過也。」
HCH_012_253_000005	語皆迎帝意，遂蒙眷註。
HCH_012_253_000006	嘗酗酒，詬尚書黃汝良，為給事中馮元飆所劾，汝良為之隱，乃解。
HCH_012_253_000007	五年，進左侍郎，元飆發其貪汙狀，帝不省。
HCH_012_253_000008	應熊博學多才，熟諳典故，而性谿刻強很，人多畏之。
HCH_012_253_000009	周延儒、溫體仁援以自助，鹹與親善。
HCH_012_253_000010	及延儒罷，體仁援益力。
HCH_012_253_000011	六年冬，廷推閣臣，應熊望輕不與，特旨擢禮部尚書兼東閣大學士，與何吾騶並入參機務。
HCH_012_253_000012	命下，朝野胥駭。
HCH_012_253_000013	給事中章正宸劾之曰：「應熊強愎自張，縱橫為習，小才足覆短，小辨足濟貪，今大用，必且芟除異己，報復恩仇，混淆毀譽。況狼籍封靡，淪於市行。願收還成命，別選忠良。且訛言謂左右先容，由他途以進，使天下薰心捷足之徒馳騁而起，為聖德累不小。」
HCH_012_253_000014	帝大怒，下正宸詔獄，削籍歸。
HCH_012_253_000015	有勸應熊為文彥博者，應熊咈然，佯具疏引退，語多憤激。
HCH_012_253_000016	屢為給事中範淑泰、御史吳履中所攻，帝皆不問。
HCH_012_253_000017	八年正月，流賊陷鳳陽，毀皇陵。
HCH_012_253_000018	巡撫楊一鵬，應熊座主；巡按吳振纓，體仁姻也。
