HCH_013_057_000000	世宗嘉靖三年秋七月，大同五堡軍叛，殺巡撫張文錦、參將賈鑑。
HCH_013_057_000001	大同古雲中地，北距塞，地平漫不甚阨險。
HCH_013_057_000002	巡撫、都御史張文錦議鎮城北九十里築五堡，將成，欲徙鎮卒二千五百家往戍之，堡五百家，為大同藩籬。
HCH_013_057_000003	諸鎮卒竊相謂：「去城下二十里，猶苦抄掠無寧日。今五堡孤懸幾百里，敵至，誰復相應援者？即死不願徙也。」
HCH_013_057_000004	訴之文錦，文錦不許，嚴令趣之。
HCH_013_057_000005	又所遣董役參將賈鑑，望風白文錦，杖其隊長，且罪之，諸鎮卒遂變。
HCH_013_057_000006	有郭鑑、柳忠暨諸驍悍者倡亂，殺賈鑑，裂其屍，時二十二日也。
HCH_013_057_000007	遂嘯聚塞下焦山，文錦恐與寇連，招撫之入城，即索治首亂者。
HCH_013_057_000008	二十七日，郭鑑、柳忠脇諸卒焚大同府門，劫獄囚。
HCH_013_057_000009	又焚都察院門，文錦倉卒踰垣避匿宗室博野王所。
HCH_013_057_000010	諸亂卒掠其家，脇博野出文錦，殺之，亦裂其屍。
HCH_013_057_000011	遂發府庫兵仗，盡甲而馳。
HCH_013_057_000012	欲殺鎮守王某，不果。
HCH_013_057_000013	又欲殺總兵官江桓，走免，掠其家。
HCH_013_057_000014	乃出逮繫故總兵官朱振於獄，脇令主之。
HCH_013_057_000015	振知不免，乃告曰：「吾與眾約三事：勿犯宗室，勿掠倉庫，勿縱火殺人。能從我則可；不從，寧死無與。」
HCH_013_057_000016	諸亂卒曰：「唯命。」
HCH_013_057_000017	眾稍戢，遂脇鎮、巡為奏，乞赦宥。
HCH_013_057_000018	八月，代王出居宣府。
HCH_013_057_000019	時廷議遣兵部侍郎李昆宣敕赦諭之。
HCH_013_057_000020	復命太監武忠鎮守，都督桂勇為總兵官。
HCH_013_057_000021	擢按察使蔡天祐為巡撫。
HCH_013_057_000022	先是，撫臣既遇害，諸亂卒肆行劫掠。
HCH_013_057_000023	天祐至，乃會武忠、桂勇集亂卒宣諭朝廷恩威，反覆開諭。
HCH_013_057_000024	諸亂卒稽首謝，暫解散，然皆恐不安。
HCH_013_057_000025	又姦盜多乘隙［誘］亂卒劫掠居民，桂勇稍督兵捶殺五十餘人，乃笞郭鑑、柳忠諸亂首，餘釋之。
HCH_013_057_000026	而人情洶洶，相傳「必盡殺大同人」。
HCH_013_057_000027	無何，妄報「京營暨諸鎮兵已駐近地，勦大同矣」。
HCH_013_057_000028	適戶部遣進士李枝轉餉至鎮，諸亂卒謂「密旨也」。
HCH_013_057_000029	眾夜集，擊李枝門訊故。
HCH_013_057_000030	枝自門隙出公移示之，始信。
HCH_013_057_000031	然眾已集，有謂知縣王文昌曾白巡撫，欲誅眾卒者，遂往執文昌殺之。
HCH_013_057_000032	又縱火延燒居民百餘家，亂復大作。
HCH_013_057_000033	明日，逼脇代府，謂其請兵也。
HCH_013_057_000034	且索府賄，代王曲應之，解去。
HCH_013_057_000035	王懼陷害，率子弟數人潛出居宣府。
HCH_013_057_000036	天祐委曲撫諭不定，以狀聞。
HCH_013_057_000037	九月，命戶部侍郎胡瓚、都督魯綱帥師討大同叛卒，制曰：「誅首惡，脇從不問也。」
HCH_013_057_000038	冬十一月，大同叛卒執總兵桂勇。
HCH_013_057_000039	胡瓚至陽和，密檄桂勇督城中兵，計擒首惡。
