HCH_013_064_000000	神宗萬曆十七年，四川播州宣慰司使楊應龍反。
HCH_013_064_000001	按播州，夜郎且蘭地，漢屬牂牁郡。
HCH_013_064_000002	唐貞觀初，分牂牁北界，置郎州，領六縣，已，改播州。
HCH_013_064_000003	乾符三年，南詔寇陷太原，楊端應募決策，馳白錦，出奇兵定之，授武略將軍。
HCH_013_064_000004	值唐亂，留據長子孫。
HCH_013_064_000005	歷宋附屬稱臣。
HCH_013_064_000006	大觀中，楊文貴納土，置遵義軍。
HCH_013_064_000007	元世祖授楊邦憲宣慰使，賜子漢英名賽因不花，封播國公。
HCH_013_064_000008	國初，楊鏗內附，改播州宣慰司使，隸四川。
HCH_013_064_000009	其域廣袤千里，介川、湖、貴竹間，西北塹山為關，東南附江為池。
HCH_013_064_000010	蒙茸鑱削，居然奧區。
HCH_013_064_000011	領黃平、草塘二安撫，真、播、白泥、餘慶、重安、容山六長官司，統田、張、袁、盧、譚、羅、吳七姓，世為目把。
HCH_013_064_000012	嘉靖初，楊相寵庶子煦，欲奪嫡。
HCH_013_064_000013	嫡妻張與子烈擁兵逐相，走水西，客死。
HCH_013_064_000014	水西宣慰安萬銓挾奏，索水煙、天旺地，聽還葬。
HCH_013_064_000015	烈即應龍父也。
HCH_013_064_000016	自烈仇殺長官，相攻剽垂十年，總督侍郎馮岳討平之。
HCH_013_064_000017	應龍生而雄猜，尤阻兵嗜殺。
HCH_013_064_000018	隆慶六年襲職，以從征喇麻諸番九絲、膩乃、楊柳溝等，多卻敵先登，斬獲無算，先後賜金幣。
HCH_013_064_000019	萬曆十三年，進大木六十本助工，上特給大紅飛魚服，加職級。
HCH_013_064_000020	應龍窺蜀兵弱，每征討，止調土司，而蜀將或從借［級］，漸驕蹇，輕［漢］法。
HCH_013_064_000021	所居僭飾龍鳳，擅用閹寺。
HCH_013_064_000022	嬖小妻田雌鳳，疑嫡妻張姦淫，出之。
HCH_013_064_000023	已，飲田氏兄所，乘醉封刃，取張并其母首，屠其家。
HCH_013_064_000024	應龍在州，專酷殺樹威，益結關外生苗為翼，肆行劫掠。
HCH_013_064_000025	於是妻叔張時照與所部何恩、宋世臣等上飛文，告龍反。
HCH_013_064_000026	巡撫貴州葉夢熊疏請發兵勦之，而蜀中士大夫率謂蜀三面鄰播，屬裔以十百數，皆其彈壓，且兵驍勇，數赴徵調有功，翦除未為長策，以故蜀撫、按並主撫。
HCH_013_064_000027	朝議行［兩］省會勘，應龍願赴蜀不赴黔。
HCH_013_064_000028	二十年十二月，逮楊應龍詣重慶對簿，繫論法當斬，請以二萬金贖。
HCH_013_064_000029	御史張鶴鳴方駁問，會倭大入朝鮮，羽檄徵天下兵，應龍因愬辯，願自將五千兵征倭報效。
HCH_013_064_000030	詔可，釋之。
HCH_013_064_000031	兵已啓行，尋報罷。
HCH_013_064_000032	巡撫都御史王繼光至，嚴提勘結，遂抗不復出。
HCH_013_064_000033	而張時照等復詣奏闕下，王繼光乃一意主勦。
HCH_013_064_000034	二十一年春正月，撫臣王繼光馳至重慶，與總兵劉承嗣、參將郭成等議分三軍，各道並進。
HCH_013_064_000035	時軍至婁山等關，屯白石口。
HCH_013_064_000036	應龍佯令其黨穆照等約降，因統苗兵據關衝殺。
HCH_013_064_000037	都司王之翰軍覆，殺傷大半。
HCH_013_064_000038	會繼光論罷，即撤兵，委棄輜重略盡。
HCH_013_064_000039	黔師協勦亦無功。
HCH_013_064_000040	以譚希思為四川巡撫，與總兵劉承嗣會同貴州撫鎮，相機征勦。
HCH_013_064_000041	時王繼光既罷，御史薛繼茂乃旋主撫，應龍亦上書自白。
HCH_013_064_000042	御史吳禮嘉劾郭成等失律，令戴罪立功。
HCH_013_064_000043	尋劉承嗣以疾乞骸骨，兩省議久不決。
HCH_013_064_000044	應龍遣其黨攜金入京行間，執原奏何恩詣綦江縣。
HCH_013_064_000045	二十二年三月，以兵部侍郎邢玠總督貴州，車駕郎中張國璽、主事劉一相贊畫軍前。
HCH_013_064_000046	二十三年春正月，總督邢玠乘傳至蜀，察永寧、酉陽暨馬千斛，皆應龍姻媾。
HCH_013_064_000047	而黃平、白泥諸司，久為仇讎，計先翦其枝黨，以檄曉譬應龍，大略稱引哱、劉事，謂：「龍來，當待以不死；不者，國家懸萬金購而頭。若早為計，吾不而欺也。」
HCH_013_064_000048	會水西宣慰安疆臣請父國亨卹典，兵部尚書石星手札示疆臣趨應龍就吏得貰罪。
HCH_013_064_000049	疆臣亦奉札至播招龍。
HCH_013_064_000050	當是時，七姓惟恐龍出得除罪；而四方亡命竄匿其間，又幸龍反，因以為利。
HCH_013_064_000051	院道文移，輒從中阻。
