HCH_013_074_000000	熹宗天啓七年秋八月，懷宗踐祚。
HCH_013_074_000001	冬十月，魏忠賢伏誅。
HCH_013_074_000002	南京守備太監楊朝，浙直織造太監李實，承天守備太監李希哲，提督太和山太監馮玉，天壽山太監孟進，漕運太監李明道、崔文昇並免。
HCH_013_074_000003	上御日講畢，名閣臣入便殿，出薊遼督師王之臣疏，示之曰：「王之臣自云贅員，又云虛拘，非內臣牽制之乎？其盡撤各邊內臣。」
HCH_013_074_000004	十一月戊辰，諭曰：「先朝於宣大、薊遼、東江諸地，分遣內臣協鎭，一柄兩操，甚無謂。矧宦官觀兵，古來有戒，其槪罷之。一切相度機宜，俱聽經、督節制，無復委任不專，以藉其口。凡爾諸臣，宜體此意。」
HCH_013_074_000005	先是，自萬曆以來，礦稅旣行，騷然苦之。
HCH_013_074_000006	旣而魏忠賢擅權，敲骨剝髓，天下重足而立。
HCH_013_074_000007	上卽位，首罷之，朝野翕然望至治焉。
HCH_013_074_000008	懷宗崇禎元年春正月，命內臣俱入直，非受命不許出禁門。
HCH_013_074_000009	二月，諭戒廷臣結交近侍。
HCH_013_074_000010	二年夏四月，以內官監太監曹化淳提督南京織造。
HCH_013_074_000011	秋七月，以司禮太監曹化淳提督東廠。
HCH_013_074_000012	冬十一月，我大清兵南下，始遣乾清宮太監王應朝監視行營。
HCH_013_074_000013	太監馮元昇覈軍訖，始下戶部發餉。
HCH_013_074_000014	又命太監呂直勞軍。
HCH_013_074_000015	十二月，以司禮監太監沈良佐、內官太監呂直提督九門及皇城門。
HCH_013_074_000016	司禮太監李鳳翔總督忠勇營，提督京營。
HCH_013_074_000017	三年春二月，司禮太監曹化淳等各廕錦衣衞指揮僉事。
HCH_013_074_000018	四年秋九月，命太監張彝憲總理戶、工二部錢糧，唐文征提督京營戎政。
HCH_013_074_000019	王坤往宣府，劉文忠往大同，劉允中往山西，各監視兵餉。
HCH_013_074_000020	冬十月，命太監監軍，王應朝往關寧，張國元往薊鎭東協，王之心中協，邵希韶西協。
HCH_013_074_000021	十一月，以太監李奇茂監視陝西茶馬，吳直監視登島兵餉。
HCH_013_074_000022	初，上旣罷諸內臣，外事俱委督、撫。
HCH_013_074_000023	然上英察，輒以法隨其後，外臣多不稱任使者。
HCH_013_074_000024	崇禎二年，京師戒嚴，乃復以內臣視行營，自是銜憲四出，動以威倨上官，體加於庶司，羣相壅蔽矣。
HCH_013_074_000025	罷工部郎中孫肇興。
HCH_013_074_000026	肇興監督盔甲廠，以帑詘，疏劾張彝憲。
HCH_013_074_000027	上怒，落職。
