HCH_015_007_000000	東昏侯寶卷字智藏，高宗第二子也。
HCH_015_007_000001	本名明賢，高宗輔政後改焉。
HCH_015_007_000002	建武元年，立為皇太子。
HCH_015_007_000003	永泰元年七月己酉，高宗崩，太子即位。
HCH_015_007_000004	八月丁巳，詔雍州將士與虜〔戰〕死者，復除有差。
HCH_015_007_000005	又詔辨括選序，訪搜貧屈。
HCH_015_007_000006	庚申，鎮北將軍晉安王寶義進號征北大將軍、開府儀同三司。
HCH_015_007_000007	南中郎將建安王寶寅為郢州刺史。
HCH_015_007_000008	冬十月己未，詔刪省科律。
HCH_015_007_000009	十一月戊子，立皇后褚氏，賜王公以下錢各有差。
HCH_015_007_000010	永元元年春正月戊寅，大赦，改元。
HCH_015_007_000011	詔研策秀、孝，考課百司。
HCH_015_007_000012	辛卯，車駕祠南郊。
HCH_015_007_000013	詔三品清資官以上應食祿者，有二親或祖父母年登七十，並給見錢。
HCH_015_007_000014	癸卯，以冠軍將軍南康王寶融為荊州刺史。
HCH_015_007_000015	二月癸丑，以北中郎將邵陵王寶攸為南兖州刺史。
HCH_015_007_000016	是月，太尉陳顯達敗績於馬圈。
HCH_015_007_000017	夏四月己巳，立皇太子誦，大赦，賜民為父後爵一級。
HCH_015_007_000018	甲戌，以寧朔將軍柳惔為梁、南秦二州刺史。
HCH_015_007_000019	五月癸亥，以撫軍大將軍始安王遙光為開府儀同三司。
HCH_015_007_000020	六月己酉，新除右衞將軍崔惠景為護軍將軍。
HCH_015_007_000021	癸亥，以始興內史范雲為廣州刺史。
HCH_015_007_000022	甲子，詔原雍州今年三調。
HCH_015_007_000023	秋七月丁亥，京師大水，死者眾，詔賜死者材器，並賑卹。
HCH_015_007_000024	八月乙巳，蠲京邑遇水資財漂蕩者今年調稅。
HCH_015_007_000025	又詔為馬圈戰亡將士舉哀。
HCH_015_007_000026	丙〔辰〕，揚州刺史始安王遙光據東府反，詔曲赦京邑，中外戒嚴。
HCH_015_007_000027	尚書令徐孝嗣以下屯衞宮城。
HCH_015_007_000028	遣領軍將軍蕭坦之率六軍討之。
HCH_015_007_000029	戊午，斬遙光傳首。
HCH_015_007_000030	己未，以征北大將軍晉安王寶玄為南徐、兖二州刺史。
HCH_015_007_000031	己巳，尚書令徐孝嗣為司空，右衞將軍劉暄為領軍將軍。
HCH_015_007_000032	閏月丙子，以江陵公寶覽為始安王。
HCH_015_007_000033	虜偽東徐州刺史沈陵降，以為北徐州刺史。
HCH_015_007_000034	九月丁未，以輔國將軍裴叔業為兖州刺史，征虜長史張沖為豫州刺史。
HCH_015_007_000035	壬戌，以頻誅大臣，大赦天下。
HCH_015_007_000036	辛未，以太子詹事王瑩為中領軍。
HCH_015_007_000037	冬十月乙未，誅尚書令新除司空徐孝嗣，右僕射新除鎮軍將軍沈文季。
HCH_015_007_000038	乙巳，以始興內史顏翻為廣州刺史，征虜將軍沈陵為越州刺史。
HCH_015_007_000039	十一月丙辰，太尉江州刺史陳顯達舉兵於尋陽。
HCH_015_007_000040	乙丑，護軍將軍崔慧景加平南將軍、督眾軍南討事。
HCH_015_007_000041	丙寅，以冠軍將軍王鴻為徐州刺史。
HCH_015_007_000042	十二月癸未，以前輔國將軍楊集始為秦州刺史。
HCH_015_007_000043	甲申，陳顯達至京師，宮城嚴警，六軍固守。
HCH_015_007_000044	乙酉，斬陳顯達傳首。
HCH_015_007_000045	丁亥，以征虜將軍邵陵王寶攸為江州刺史。
HCH_015_007_000046	二年春正月壬子，以輔國將軍張沖為南兖州刺史。
HCH_015_007_000047	庚午，詔討豫州刺史裴叔業。
HCH_015_007_000048	二月癸未，以黃門郎蕭寅為司州刺史。
HCH_015_007_000049	丙戌，以衞尉蕭懿為豫州刺史，征壽春。
HCH_015_007_000050	己丑，裴叔業病死，兄子植以壽春降虜。
HCH_015_007_000051	三月癸卯，以輔國將軍張沖為司州刺史。
HCH_015_007_000052	乙卯，遣平西將軍崔慧景率眾伐壽春。
HCH_015_007_000053	丁未，以新除冠軍將軍張沖為南兖州刺史。
HCH_015_007_000054	崔慧景於廣陵舉兵襲京師。
HCH_015_007_000055	壬子，右衞將軍左興盛督京邑水步眾軍。
HCH_015_007_000056	南徐州刺史江夏王寶玄以京城納慧景。
HCH_015_007_000057	乙卯，遣中領軍王瑩率眾軍屯北籬門。
HCH_015_007_000058	壬戌，慧景至，瑩等敗績。
HCH_015_007_000059	甲子，慧景入京師，宮內據城拒守。
HCH_015_007_000060	豫州刺史蕭懿起義救援。
HCH_015_007_000061	〔夏四月〕癸酉，慧景棄眾走，斬首。
HCH_015_007_000062	詔曲赦京邑、南徐兖二州。
HCH_015_007_000063	乙亥，以新除尚書右僕射蕭懿為尚書令。
HCH_015_007_000064	丙子，以晉熙王寶嵩為南徐州刺史。
HCH_015_007_000065	五月乙巳，以虜偽豫州刺史王肅為豫州刺史。
HCH_015_007_000066	戊申，以桂陽王寶貞為中護軍。
HCH_015_007_000067	己酉，江夏王寶玄伏誅。
HCH_015_007_000068	壬子，大赦。
HCH_015_007_000069	乙丑，曲赦京邑、南徐兖二州。
HCH_015_007_000070	戊辰，以始安王寶覽為湘州刺史。
HCH_015_007_000071	六月庚寅，車駕於樂遊苑內會，如三元，京邑女人放觀。
