HCH_015_011_000000	南郊樂舞歌辭，二漢同用，見《前漢志》，五郊互奏之。
HCH_015_011_000001	魏歌舞不見，疑是用漢辭也。
HCH_015_011_000002	晉武帝泰始二年，郊祀明堂，詔禮遵用周室肇稱殷祀之義，權用魏儀。
HCH_015_011_000003	後使傅玄造《祠天地五郊夕牲歌》詩一篇，《迎神歌》一篇。
HCH_015_011_000004	宋文帝使顏延之造《郊天夕牲》、《迎送神》、《饗神歌》詩三篇，是則宋初又仍晉也。
HCH_015_011_000005	建元二年，有司奏，郊廟雅樂歌辭舊使學士博士撰，搜簡採用，請敕外，凡肄學者普令制立。
HCH_015_011_000006	參議：太廟登歌宜用司徒褚淵，餘悉用黃門郎謝超宗辭。
HCH_015_011_000007	超宗所撰，多刪顏延之、謝莊辭以爲新曲，備改樂名。
HCH_015_011_000008	永明二年，太子步兵校尉伏曼容上表，宜集英儒，刪纂雅樂。
HCH_015_011_000009	詔付外詳，竟不行。
HCH_015_011_000010	皇帝入壇東門，奏《永至之樂》：皇帝初獻，奏《文德宣烈之樂》：太祖高皇帝配饗，奏《高德宣烈之樂》。
HCH_015_011_000011	此章永明二年造奏。
HCH_015_011_000012	尚書令王儉辭。
HCH_015_011_000013	皇帝還便殿，奏《休成之樂》，重奏。
HCH_015_011_000014	北郊樂歌辭，案《周頌·昊天有成命》，郊祀天地也。
HCH_015_011_000015	是則周、漢以來，祭天地皆同辭矣。
HCH_015_011_000016	宋顏延之《饗地神辭》一篇，餘與南郊同。
HCH_015_011_000017	齊北郊羣臣入奏《肅咸樂》，牲入奏《引牲》，薦豆毛血奏《嘉薦》，皇帝入壇東門奏《永至》，飲福酒奏《嘉胙》，還便殿奏《休成》，辭竝與南郊同。
HCH_015_011_000018	迎送神《昭夏》登歌異。
HCH_015_011_000019	皇帝初獻，奏《地德凱容之樂》：明堂歌辭，祠五帝。
HCH_015_011_000020	漢郊祀歌皆四言，宋孝武使謝莊造辭，莊依五行數，木數用三，火數用七，土數用五，金數用九，水數用六。
HCH_015_011_000021	案《鴻範》五行，一曰水，二曰火，三曰木，四曰金，五曰土。
HCH_015_011_000022	《月令》木數八，火數七，土數五，金數九，水數六。
HCH_015_011_000023	蔡邕云：「東方有木三土五，故數八；南方有火二土五，故數七；西方有金四土五，故數九；北方有水一土五，故數六。」
HCH_015_011_000024	又納音數，一言得土，三言得火，五言得水，七言得金，九言得木。
HCH_015_011_000025	若依《鴻範》木數用三，則應水一火二金四也。
HCH_015_011_000026	若依《月令》金九水六，則應木八火七也。
HCH_015_011_000027	當以《鴻範》一二之數，言不成文，故有取捨，而使兩義竝違，未詳以數立言爲何依據也。
HCH_015_011_000028	《周頌·我將》祀文王，言皆四，其一句五，一句七。
HCH_015_011_000029	謝莊歌宋太祖亦無定句。
HCH_015_011_000030	建元初，詔黃門郎謝超宗造明堂夕牲等辭，並採用莊辭。
HCH_015_011_000031	建武二年，雩祭明堂，謝朓造辭，一依謝莊，唯世祖四言也。
HCH_015_011_000032	賓出入，奏《肅咸樂》歌辭二章：皇帝還東壁，受福酒，奏《嘉胙樂》歌辭：太廟同用送神，奏《昭夏樂》歌辭：宋謝莊辭薦豆呈毛血，奏《嘉薦樂》歌詩二章：皇帝昇明堂。
HCH_015_011_000033	奏登歌辭：初獻，奏《凱容宣烈樂》歌辭：太廟同太廟樂歌辭，《周頌·清廟》一篇，漢《安世歌》十七章是也。
HCH_015_011_000034	永平三年，東平王蒼造光武廟登歌一章二十六句，其辭稱述功德。
HCH_015_011_000035	建安十八年，魏國初建，侍中王粲作登歌《安世詩》，說神靈鑒饗之意。
HCH_015_011_000036	明帝時，侍中繆襲奏：「《安世詩》本故漢時歌名，今詩所歌，非往詩之文。襲案《周禮》注云，《安世樂》猶周房中樂也。往昔議者，以房中歌后妃之德，宜改《安世》名《正始之樂》，後讀漢《安世歌》，亦說神來宴饗，無有后妃之言。思惟往者謂房中樂爲后妃歌，恐失其意。方祭祀娛神，登歌先祖功德，下堂詠宴享，無事歌后妃之化也。」
HCH_015_011_000037	於是改《安世樂》曰《饗神歌》。
HCH_015_011_000038	散騎常侍王肅作宗廟詩頌十二篇，不入於樂。
HCH_015_011_000039	晉泰始中，傅玄造《廟夕牲昭夏》歌一篇，《迎送神肆夏》歌詩一篇，登歌七廟七篇。
HCH_015_011_000040	玄云：「登歌歌盛德之功烈，故廟異其文。至於饗神，猶《周頌》之《有瞽》及《雍》，但說祭饗神明禮樂之盛，七廟饗神皆用之。」
HCH_015_011_000041	夏侯湛又造宗廟歌十三篇。
HCH_015_011_000042	宋世王韶之造七廟登歌七篇。
HCH_015_011_000043	昇明中，太祖爲齊王，令司空褚淵造太廟登歌二章。
HCH_015_011_000044	建元初，詔黃門侍郎謝超宗造廟樂歌詩十六章。
HCH_015_011_000045	永明二年，尚書殿中曹奏：「太祖高皇帝廟神室奏《高德宣烈之舞》，未有歌詩，郊應須歌辭。穆皇后廟神室，亦未有歌辭。案傅玄云：「登歌廟異其文，饗神七室同辭。』此議爲允。又尋漢世歌篇，多少無定，皆稱事立文，竝多八句，然後轉韻。時有兩三韻而轉，其例甚寡。張華、夏侯湛亦同前式。傅玄改韻頗數，更傷簡節之美。近世王韶之、顏延之並四韻乃轉，得賒促之中。顏延之、謝莊作三廟歌，皆各三章章八句，此于序述功業詳略爲宜，今宜依之。郊配之日，改降尊作主，禮殊宗廟；穆后母儀之化，事異經綸。此二歌爲一章八句，別奏事御奉行。」詔「可」。尚書令王儉造太廟二室及郊配辭。薦豆呈毛血，奏《嘉薦樂》歌辭：皇帝入廟北門，奏《永至樂》歌辭：皇祖廣陵丞府君神室奏《凱容樂》歌辭：皇祖太中大夫府君神室奏《凱容樂》歌辭：皇祖淮陰令府君神室奏《凱容樂》歌辭：皇曾祖卽丘令府君神室奏《凱容樂》歌辭：皇祖太常卿府君神室奏《凱容樂》歌辭：皇考宣皇神室奏《宣德凱容樂》歌辭：皇帝還東壁上福酒，奏《永祚樂》歌辭：皇帝詣便殿，奏《休成樂》歌辭：太祖高皇帝神室奏《高德宣烈樂》歌辭：穆皇后神室奏《穆德凱容之樂》歌辭：高宗明皇帝神室奏《明德凱容之樂》歌辭：藉田歌辭，
HCH_015_011_000046	漢章帝元和元年，玄武司馬班固奏用《周頌·載芟》祠先農。
HCH_015_011_000047	晉傅玄作《祀先農先蠶夕牲歌詩》一篇八句，《迎送神》一篇，《饗社稷》、《先農》、《先聖》、《先蠶歌詩》三篇，前一篇十二句，中一篇十六句，後一篇十二句，辭皆敘田農事。
HCH_015_011_000048	胡道安《先農饗神詩》一篇，竝八句。
HCH_015_011_000049	樂府相傳舊歌三章。
HCH_015_011_000050	永明四年藉田，詔驍騎將軍江淹造《藉田歌》。
HCH_015_011_000051	淹制二章，不依胡、傅，世祖口勑付太樂歌之。
