HCH_015_012_000000	易曰：「聖人仰觀象於天，俯觀法於地。」
HCH_015_012_000001	天文之事，其來已久。
HCH_015_012_000002	太祖革命受終，膺集期運。
HCH_015_012_000003	宋昇明三年，太史令將作匠陳文建陳天文，奏曰：「自孝建元年至昇明三年，日蝕有十，虧上有七。占曰『有亡國失君之象』。一曰『國命絕，主危亡』。孝建元年至昇明三年，太白經天五。占曰『天下革，民更王，異姓興』。孝建元年至昇明三年，月犯房心四，太白犯房心五。占曰『其國有喪，宋當之』。孝建元年至永光元年，奔星出入紫宮有四。占曰『國去其君，有空國徙王』。大明二年至元徽四年，天再裂。占曰『陽不足，白虹貫日，人君惡之』。孝建二年至大明五年，月入太微。泰豫元年至昇明三年，月又入太微。孝建元年至元徽二年，太白入太微各八，熒惑入太微六。占曰『七耀行不軌道，危亡之象。貴人失權勢，主亦衰，當有王入為主』。孝建二年至昇明二年，太白熒惑經羽林各三。占曰『國殘更世』。孝建二年四月十三日，熒惑守南斗，成句己。占曰『天下易正更元』。孝建三年十二月一日，填星熒惑辰星合于南斗。占曰『改立王公』。大明二年十二月二十六日，太白犯填星于斗。六年十一月十五日，太白填星合于危。占曰『天子失土』。景和元年十月八日，熒惑守太微，成句己。占曰『王者惡之，主命無期，有徙主，若主王，天下更紀』。泰始三年正月十七日，白氣見西南，東西半天，名曰長庚。六年九月二十七日，
HCH_015_012_000004	白氣又見東南長二丈，竝形狀長大，猛過彗星。
HCH_015_012_000005	占曰『除舊布新易主之象，遠期一紀』。
HCH_015_012_000006	至昇明三年，一紀訖。
HCH_015_012_000007	泰始四年四月二十四日，太白犯填星于胃。
HCH_015_012_000008	占曰『主命惡之』。
HCH_015_012_000009	泰始七年六月十七日，太白歲星填星合于東井。
HCH_015_012_000010	占曰『改立王公』。
HCH_015_012_000011	元徽四年至昇明二年三月，日有頻食。
HCH_015_012_000012	占曰『社稷將亡，王者惡之』。
HCH_015_012_000013	元徽四年十月十日，填星守太微宮，逆從行，歷四年。
HCH_015_012_000014	占曰『有亡君之戒，易世立王』。
HCH_015_012_000015	元徽五年七月一日，熒惑太白辰星合于翼。
HCH_015_012_000016	占曰『改立王公』。
HCH_015_012_000017	昇明二年六月二十日，歲星守斗建。
HCH_015_012_000018	陰陽終始之門，大赦昇平之所起，律歷七政之本源，德星守之，天下更年，五禮更興，多暴貴者。
HCH_015_012_000019	昇明二年十月一日，熒惑守輿鬼。
HCH_015_012_000020	三年正月七日，熒惑守兩戒閒，成句己。
HCH_015_012_000021	占曰『尊者失朝，必有亡國去王』。
HCH_015_012_000022	昇明三年正月十八日，辰星孟効西方。
HCH_015_012_000023	占曰『天下更王』。
HCH_015_012_000024	昇明三年四月，歲星在虛危，徘徊玄枵之野，則齊國有福厚，為受慶之符。
HCH_015_012_000025	今所記三辰七曜之變，起建元訖于隆昌，以續宋史。
HCH_015_012_000026	建武世太史奏事，明帝不欲使天變外傳，竝祕而不出，自此闕焉。
HCH_015_012_000027	建元二年九月甲午朔，日蝕。
HCH_015_012_000028	三年七月己未朔，日蝕。
HCH_015_012_000029	永明元年十二月乙巳朔，日蝕。
HCH_015_012_000030	十年十二月癸未朔，加時在午之半度，到未初見日始蝕，虧起西北角，蝕十分之四，申時光色復還。
HCH_015_012_000031	隆昌元年五月甲戌合朔，巳時日蝕三分之一，午時光復還。
HCH_015_012_000032	建元四年七月戊辰，月在危宿蝕。
HCH_015_012_000033	永明二年四月丁巳，月在南斗宿蝕。
HCH_015_012_000034	三年十一月戊寅，月入東井曠中，因蝕三分之一。
HCH_015_012_000035	五年三月庚子，月在氐宿蝕。
HCH_015_012_000036	九月戊戌，月在胃宿蝕。
HCH_015_012_000037	六年九月癸巳，月蝕在婁宿九度，加時在寅之少弱，虧起東北角，蝕十五分之十一。
HCH_015_012_000038	十五日子時，蝕從東北始，至子時末都既，到丑時光色還復。
HCH_015_012_000039	七年八月丁亥，月在奎宿蝕。
HCH_015_012_000040	十月庚辰，月奄蝕熒惑。
HCH_015_012_000041	八年六月庚寅，月奄蝕畢左股第一星。
HCH_015_012_000042	十年十二月丁酉，月蝕在柳度，加時在酉之少弱，到亥時月蝕起東角七分之二，至子時光色還復。
HCH_015_012_000043	永泰元年四月癸亥，月蝕，色赤如血。
HCH_015_012_000044	三日而大司馬王敬則舉兵，眾以為敬則祲烈所感。
HCH_015_012_000045	永元元年八月己未，月蝕盡，色皆赤。
HCH_015_012_000046	是夜，始安王遙光伏誅。
HCH_015_012_000047	史臣曰：日月代照，實重天行。
HCH_015_012_000048	上交下蝕，同度相掩。
HCH_015_012_000049	案舊說曰「日有五蝕」，謂起上下左右中央是也。
