HCH_015_016_000000	建官設職，興自炎昊，方乎隆周之冊，表乎盛漢之書。
HCH_015_016_000001	存改回沿，備於歷代，先賢往學，以之雕篆者眾矣。
HCH_015_016_000002	若夫胡廣舊儀，事惟簡撮，應劭官典，殆無遺恨。
HCH_015_016_000003	王朗奏議，屬霸國之初基；陳矯增曹，由軍事而補闕。
HCH_015_016_000004	今則有魏氏官儀、魚豢中外官也。
HCH_015_016_000005	山濤以意辯人，不□□□。
HCH_015_016_000006	荀勗欲去事煩，唯論并省。
HCH_015_016_000007	定制成文，本之晉令，後代承業，案為前准。
HCH_015_016_000008	肇域官品，區別階資，蔚宗選簿梗槩，欽明階次詳悉，虞通、劉寅因荀氏之作，矯舊增新，今古相校。
HCH_015_016_000009	齊受宋禪，事遵常典，既有司存，無所偏廢。
HCH_015_016_000010	其餘散在史注，多已筌拾，覽者易知，不重述也。
HCH_015_016_000011	〔相國〕。
HCH_015_016_000012	太宰。
HCH_015_016_000013	太傅。
HCH_015_016_000014	大司馬。
HCH_015_016_000015	大將軍。
HCH_015_016_000016	太尉。
HCH_015_016_000017	司徒。
HCH_015_016_000018	司空。
HCH_015_016_000019	特進。
HCH_015_016_000020	諸開府儀同三司。
HCH_015_016_000021	驃騎將軍。
HCH_015_016_000022	車騎將軍。
HCH_015_016_000023	衞將軍。
HCH_015_016_000024	鎮軍將軍。
HCH_015_016_000025	中軍將軍。
HCH_015_016_000026	撫軍將軍。
HCH_015_016_000027	四征將軍。
HCH_015_016_000028	四鎮將軍。
HCH_015_016_000029	四安將軍。
HCH_015_016_000030	四平將軍。
HCH_015_016_000031	左、右、前、後將軍。
HCH_015_016_000032	征虜將軍。
HCH_015_016_000033	四中郎將。
HCH_015_016_000034	冠軍將軍。
HCH_015_016_000035	輔國將軍。
HCH_015_016_000036	寧朔將軍。
HCH_015_016_000037	寧遠將軍。
HCH_015_016_000038	龍驤將軍。
HCH_015_016_000039	太常。
HCH_015_016_000040	光祿勳。
HCH_015_016_000041	衞尉。
HCH_015_016_000042	廷尉。
HCH_015_016_000043	大司農。
HCH_015_016_000044	少府。
HCH_015_016_000045	將作大匠。
HCH_015_016_000046	太僕。
HCH_015_016_000047	大鴻臚。
HCH_015_016_000048	宣德衞尉、少府、太僕。
HCH_015_016_000049	大長秋。
HCH_015_016_000050	錄尚書。
HCH_015_016_000051	尚書令。
HCH_015_016_000052	起部尚書。
HCH_015_016_000053	侍中祭酒。
HCH_015_016_000054	侍中。
HCH_015_016_000055	中書監一人，令一人，侍郎四人，通事舍人無員。
HCH_015_016_000056	祕書監一人，丞一人。
HCH_015_016_000057	郎。
HCH_015_016_000058	著作佐郎。
HCH_015_016_000059	御史中丞一人。
HCH_015_016_000060	謁者僕射一人。
HCH_015_016_000061	領軍將軍、中領軍。
HCH_015_016_000062	護軍將軍、中護軍。
HCH_015_016_000063	左右二衞將軍。
HCH_015_016_000064	驍騎將軍。
HCH_015_016_000065	游擊將軍。
HCH_015_016_000066	左右二中郎將。
HCH_015_016_000067	前軍將軍、後軍將軍、左軍將軍、右軍將軍，號四軍。
HCH_015_016_000068	屯騎、步兵、射聲、越騎、長水五校尉。
HCH_015_016_000069	虎賁中郎將。
HCH_015_016_000070	宂從僕射。
HCH_015_016_000071	羽林監。
HCH_015_016_000072	積射將軍。
HCH_015_016_000073	彊弩將軍。
HCH_015_016_000074	殿中將軍、員外殿中將軍。
HCH_015_016_000075	殿中司馬督。
HCH_015_016_000076	武衞將軍。
HCH_015_016_000077	武騎常侍。
HCH_015_016_000078	自二衞、四軍、五校已下，謂之「西省」，而散騎為「東省」。
HCH_015_016_000079	丹陽尹。
HCH_015_016_000080	太子太傅。
HCH_015_016_000081	州牧、刺史。
HCH_015_016_000082	護南蠻校尉。
HCH_015_016_000083	護三巴校尉。
HCH_015_016_000084	寧蠻校尉。
HCH_015_016_000085	平蠻校尉。
HCH_015_016_000086	鎮蠻校尉。
HCH_015_016_000087	護西戎校尉。
HCH_015_016_000088	護羌校尉。
HCH_015_016_000089	平越中郎將。
HCH_015_016_000090	郡太守、內史。
HCH_015_016_000091	縣令、相。
HCH_015_016_000092	鎮蠻護軍。
HCH_015_016_000093	安遠護軍。
HCH_015_016_000094	諸王師、友、文學各一人。
HCH_015_016_000095	國官郎中令、中尉、大農為三卿，左右常侍、侍郎，上軍、中軍、下軍三軍，典書、典祠、學官、典衞四令，食官、廄牧長、謁者以下。
HCH_015_016_000096	公侯置郎中令一卿。
HCH_015_016_000097	贊曰：百司分置，惟皇命職。
HCH_015_016_000098	雲師鳥紀，各有其式。
HCH_015_016_000099	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
