HCH_015_037_000000	到撝字茂謙，彭城武原人也。
HCH_015_037_000001	祖彥之，宋驃騎將軍。
HCH_015_037_000002	父仲度，驃騎從事中郎。
HCH_015_037_000003	撝襲爵建昌公。
HCH_015_037_000004	起家爲太學博士，除奉車都尉，試守延陵令，非所樂，去官。
HCH_015_037_000005	除新安王北中郎行參軍，坐公事免。
HCH_015_037_000006	除新安王撫軍參軍，未拜，新安王子鸞被殺，仍除長兼尚書左民郎中。
HCH_015_037_000007	明帝立，欲收物情，以撝功臣後，擢爲太子洗馬。
HCH_015_037_000008	除王景文安南諮議參軍。
HCH_015_037_000009	撝資籍豪富，厚自奉養，宅宇山池，京師第一，妓妾姿藝，皆窮上品。
HCH_015_037_000010	才調流贍，善納交遊，庖廚豐腆，多致賔客。
HCH_015_037_000011	愛妓陳玉珠，明帝遣求，不與，逼奪之，撝頗怨望。
HCH_015_037_000012	帝令有司誣奏撝罪，付廷尉，將殺之。
HCH_015_037_000013	撝入獄，數宿鬚鬢皆白。
HCH_015_037_000014	免死，繫尚方，奪封與弟賁。
HCH_015_037_000015	撝由是屏斥聲玩，更以貶素自立。
HCH_015_037_000016	帝除撝爲羊希恭寧朔府參軍，徙劉韞輔國、王景文鎮南參軍，竝辭疾不就。
HCH_015_037_000017	尋板假明威將軍，仍除桂陽王征南參軍，轉通直郎，解職。
HCH_015_037_000018	帝崩後，弟賁表讓封還撝，朝議許之。
HCH_015_037_000019	遷司徒左西屬，又不拜。
HCH_015_037_000020	居家累年。
HCH_015_037_000021	弟遁，元徽中爲寧遠將軍、輔國長史、南海太守，在廣州。
HCH_015_037_000022	昇明元年，沈攸之反，刺史陳顯達起兵以應朝廷，遁以猶預見殺。
HCH_015_037_000023	遁家人在都，從野夜歸，見兩三人持堊刷其家門，須臾滅，明日而遁死問至。
HCH_015_037_000024	撝遑懼，詣太祖謝，卽板爲世祖中軍諮議參軍。
HCH_015_037_000025	建元初，遷司徒右長史，出爲永嘉太守，爲黃門郎，解職。
HCH_015_037_000026	世祖卽位，遷太子中庶子，不拜。
HCH_015_037_000027	又除長沙王中軍長史，司徒左長史。
HCH_015_037_000028	宋世，上數遊會撝家，同從明帝射雉郊野，渴倦，撝得早青瓜，與上對剖食之。
HCH_015_037_000029	上懷其舊德，意眄良厚。
HCH_015_037_000030	至是一歲三遷。
HCH_015_037_000031	永明元年，加輔國將軍，轉御史中丞。
HCH_015_037_000032	車駕幸丹陽郡宴飲，撝恃舊，酒後狎侮同列，言笑過度，爲左丞庾杲之所糾，贖論。
HCH_015_037_000033	三年，復爲司徒左長史，轉左衞將軍。
HCH_015_037_000034	隨王子隆帶彭城郡，撝問訊，不修民敬，爲有司所舉，免官。
HCH_015_037_000035	久之，白衣兼御史中丞。
HCH_015_037_000036	轉臨川王驃騎長史，司徒左長史，遷五兵尚書，出爲輔國將軍、廬陵王中軍長史。
HCH_015_037_000037	母憂去官，服未終，八年，卒，年五十八。
