HCH_015_045_000000	衡陽元王道度，太祖長兄也。
HCH_015_045_000001	與太祖俱受學雷次宗。
HCH_015_045_000002	宣帝問二兒學業，次宗答曰：「其兄外朗，其弟內潤，皆良璞也。」
HCH_015_045_000003	隨宣帝征伐，仕至安定太守，卒於宋世。
HCH_015_045_000004	建元二年，追加封謚。
HCH_015_045_000005	無子，太祖以第十一子鈞繼道度後。
HCH_015_045_000006	鈞字宣禮。
HCH_015_045_000007	永明四年，爲江州刺史，加散騎常侍。
HCH_015_045_000008	母區貴人卒，居喪盡禮。
HCH_015_045_000009	六年，遷爲征虜將軍。
HCH_015_045_000010	八年，遷驍騎將軍，常侍如故。
HCH_015_045_000011	仍轉左衞將軍。
HCH_015_045_000012	鈞有好尚，爲世祖所知。
HCH_015_045_000013	兄弟中意遇次鄱陽王鏘。
HCH_015_045_000014	十年，轉中書令，領石頭戍事。
HCH_015_045_000015	遷散騎常侍，祕書監，領驍騎如故。
HCH_015_045_000016	不拜。
HCH_015_045_000017	隆昌元年，改加侍中，給扶。
HCH_015_045_000018	海陵立，轉撫軍將軍，侍中如故。
HCH_015_045_000019	尋遇害，年二十二。
HCH_015_045_000020	明帝卽位，以永陽王子珉仍本國，繼元王爲孫。
HCH_015_045_000021	子珉字雲璵，世祖第二十子也。
HCH_015_045_000022	永明七年，封義安王，後改永陽。
HCH_015_045_000023	永泰元年見害，年十四。
HCH_015_045_000024	復以武陵昭王曄第三子子坦奉元王後。
HCH_015_045_000025	始安貞王道生字孝伯，太祖次兄也。
HCH_015_045_000026	宋世爲奉朝請，卒。
HCH_015_045_000027	建元元年，追封謚。
HCH_015_045_000028	建武元年，追尊爲景皇，妃江氏爲后。
HCH_015_045_000029	立寢廟於御道西，陵曰脩安。
HCH_015_045_000030	生子鳳、高宗、安陸昭王緬。
HCH_015_045_000031	鳳字景慈，官至正員郎。
HCH_015_045_000032	卒於宋世。
HCH_015_045_000033	謚靖世子。
HCH_015_045_000034	明帝建武元年，贈侍中、驃騎將軍，開府儀同三司、始安靖王。
HCH_015_045_000035	改華林鳳莊門爲望賢門，太極東堂畫鳳鳥，題爲神鳥，而改鸞鳥爲神雀。
HCH_015_045_000036	子遙光嗣。
HCH_015_045_000037	遙光字元暉。
HCH_015_045_000038	生有躄疾，太祖謂不堪奉拜祭祀，欲封其弟，世祖諫，乃以遙光襲爵。
HCH_015_045_000039	初爲員外郎，轉給事郎，太孫洗馬，轉中書郎，豫章內史，不拜。
HCH_015_045_000040	高宗輔政，遙光好天文候道，密懷規贊。
HCH_015_045_000041	隆昌元年，除驍騎將軍、冠軍將軍、南東海太守，行南徐州事。
HCH_015_045_000042	仍除南彭城太守，將軍如故。
HCH_015_045_000043	又除輔國將軍、吳興太守。
HCH_015_045_000044	高宗廢鬱林，又除冠軍將軍、南蠻校尉、西中郎長史、南郡太守。
HCH_015_045_000045	一歲之內，頻五除，竝不拜。
HCH_015_045_000046	是時高宗欲卽位，誅賞諸事唯遙光共謀議。
HCH_015_045_000047	建武元年，以爲持節、都督揚南徐二州諸軍事、前將軍、揚州刺史。
HCH_015_045_000048	晉安王寶義爲南徐州，遙光求解督，見許。
HCH_015_045_000049	二年，進號撫軍將軍，加散騎常侍，給通幰車鼓吹。
HCH_015_045_000050	遙光好吏事，稱爲分明。
HCH_015_045_000051	頗多慘害。
HCH_015_045_000052	足疾不得同朝列，常乘輿自望賢門入。
HCH_015_045_000053	每與上久清閑，言畢，上索香火，明日必有所誅殺。
HCH_015_045_000054	上以親近單少，憎忌高、武子孫，欲竝誅之，遙光計畫參議，當以次施行。
HCH_015_045_000055	永泰元年，卽本位爲大將軍，給油絡車。
HCH_015_045_000056	帝不豫，遙光數入侍疾，帝漸甚，河東王鉉等七王一夕見殺，遙光意也。
HCH_015_045_000057	帝崩，遺詔加遙光侍中、中書令，給扶。
HCH_015_045_000058	永元元年，給班劔二十人，卽本號開府儀同三司。
HCH_015_045_000059	遙光旣輔政，見少主卽位，潛與江祏兄弟謀自樹立。
HCH_015_045_000060	弟遙欣在荊楚，擁兵居上流，密相影響。
HCH_015_045_000061	遙光當據東府號令，使遙欣便星速急下。
HCH_015_045_000062	潛謀將發，而遙欣病死。
HCH_015_045_000063	江祏被誅，東昏侯召遙光入殿，告以祏罪，遙光懼，還省便陽狂號哭，自此稱疾不復入臺。
HCH_015_045_000064	先是遙光行還入城，風飄儀繖出城外。
HCH_015_045_000065	遙光弟遙昌先卒壽春，豫州部曲皆歸遙光；及遙欣喪還葬武進，停東府前渚，荊州衆力送者甚盛。
HCH_015_045_000066	帝誅江祏後，慮遙光不自安，欲轉爲司徒還第，召入喻旨。
HCH_015_045_000067	遙光慮見殺，八月十二日晡時，收集二州部曲，於東府門聚人衆，街陌頗怪其異，莫知指趣也。
HCH_015_045_000068	遙光召親人丹陽丞劉渢及諸傖楚，欲以討劉暄爲名。
HCH_015_045_000069	夜遣數百人破東冶出囚，尚方取仗。
HCH_015_045_000070	又召驍騎將軍垣歷生，歷生隨信便至，勸遙光令率城內兵夜攻臺，輦萩燒城門，曰：「公但乘轝隨後，反掌可得。」
HCH_015_045_000071	遙光意疑不敢出。
HCH_015_045_000072	天稍曉，遙光戎服出聽事，停轝處分上仗登城行賞賜。
HCH_015_045_000073	歷生復勸出軍，遙光不肯，望臺內自有變。
HCH_015_045_000074	至日中，臺軍稍至，尚書符遙光曰：「逆從之數，皎然有徵，干紀亂常，刑茲罔赦。蕭遙光宗室蚩庸，才行鄙薄，緹裙可望，天路何階。受遇自昔，恩加猶子，禮絕帝體，寵越皇季。旗章車服，窮千乘之尊；闉隍爽闓，踰百雉之制。及聖后在天，親受顧託，話言在耳，德音猶存，侮蔑天明，罔畏不義，無君之心，履霜有日。遂乃稱兵內犯，竊發京畿，自古巨舋，莫斯爲甚。今便分命六師，弘宣九伐。皇上當親御戎軒，弘此廟略。信賞必罰，有如大江。」
HCH_015_045_000075	於是戒嚴，曲赦京邑。
HCH_015_045_000076	領軍蕭坦之屯湘宮寺，鎮軍司馬曹虎屯清溪大橋，太子右衞率左興盛屯東府東籬門。
HCH_015_045_000077	衆軍圍東城三面，燒司徒二府。
HCH_015_045_000078	遙光遣垣歷生從西門出戰，臺軍屢北，殺軍主桑天愛。
HCH_015_045_000079	初，遙光起兵，問諮議參軍蕭暢，暢正色拒折不從，十五日，暢與撫軍長史沈昭略潛自南出，濟淮還臺，人情大沮。
HCH_015_045_000080	十六日，垣歷生從南門出戰，因棄槊降曹虎軍，虎命斬之。
HCH_015_045_000081	遙光大怒，於牀上自竦踊，使殺歷生兒。
HCH_015_045_000082	其晚，臺軍射火箭燒東北角樓，至夜城潰。
HCH_015_045_000083	遙光還小齋帳中，著衣帢坐，秉燭自照，令人反拒，齋閤皆重關。
HCH_015_045_000084	左右竝踰屋散出。
HCH_015_045_000085	臺軍主劉國寶、時當伯等先入，遙光聞外兵至，吹滅火，扶匐下牀，軍人排閤入，於暗中牽出斬首，時年三十二。
HCH_015_045_000086	遙光未敗一夕，城內皆夢羣蛇緣城四出，各各共說之，咸以爲異。
HCH_015_045_000087	臺軍入城，焚燒屋宇且盡。
HCH_015_045_000088	遙光府佐司馬端爲掌書記，曹虎謂之曰：「君是賊非？」
HCH_015_045_000089	端曰：「僕荷始安厚恩，今死甘心。」
HCH_015_045_000090	虎不殺，執送還臺，徐世殺之。
HCH_015_045_000091	劉渢遁走還家園，爲人所殺。
HCH_015_045_000092	端，河內人。
HCH_015_045_000093	渢，南陽人，事繼母有孝行，弟溓事渢亦謹。
HCH_015_045_000094	詔斂葬遙光屍，原其諸子。
HCH_015_045_000095	追贈桑天愛輔國將軍、梁州刺史。
HCH_015_045_000096	以江陵公寶覽爲始安王，奉靖王後。
HCH_015_045_000097	永元二年，爲持節、督湘州、輔國將軍、湘州刺史。
HCH_015_045_000098	遙欣字重暉。
HCH_015_045_000099	宣帝兄西平太守奉之無後，以遙欣繼爲曾孫。
HCH_015_045_000100	除祕書郎，太子舍人，巴陵王文學，中書郎。
HCH_015_045_000101	延興元年，高宗樹置，以遙欣爲持節、督兖州緣淮軍事、寧朔將軍、兖州刺史。
HCH_015_045_000102	仍爲督豫州郢州之西陽司州之汝南二郡、輔國將軍、豫州刺史，持節如故。
HCH_015_045_000103	未之任。
HCH_015_045_000104	建武元年，進號西中郎將，封聞喜縣公。
HCH_015_045_000105	遷使持節、都督荊雍益寧梁南北秦七州軍事、右將軍、荊州刺史。
HCH_015_045_000106	改封曲江公。
HCH_015_045_000107	高宗子弟弱小，晉安王寶義有廢疾，故以遙光爲揚州居中，遙欣居陝西在外，權勢竝在其門。
HCH_015_045_000108	遙欣好勇，聚畜武士，以爲形援。
HCH_015_045_000109	四年，進號平西將軍。
HCH_015_045_000110	永泰元年，以雍州虜寇，詔遙欣以本官領刺史，寧蠻校尉，移鎮襄陽，虜退不行。
HCH_015_045_000111	永元元年卒，年三十一。
HCH_015_045_000112	贈侍中、司空，謚康公。
HCH_015_045_000113	葬用王禮。
HCH_015_045_000114	遙昌字季暉。
HCH_015_045_000115	解褐祕書郎，太孫舍人，給事中，祕書丞。
HCH_015_045_000116	延興元年，除黃門侍郎，未拜，仍爲持節、督郢司二州軍事、寧朔將軍、郢州刺史。
HCH_015_045_000117	建武元年，進號冠軍將軍。
HCH_015_045_000118	封豐城縣公，千五百戶。
HCH_015_045_000119	未之鎮，徙督豫州郢州之西陽司州之汝南二郡軍事、征虜將軍、豫州刺史，持節如故。
HCH_015_045_000120	二年，虜主元宏寇壽春，遣使呼城內人，遙昌遣參軍崔慶遠、朱選之詣宏。
HCH_015_045_000121	慶遠曰：「旌蓋飄颻，遠涉淮、泗，風塵慘烈，無乃上勞？」
HCH_015_045_000122	宏曰：「六龍騰躍，倏忽千里，經途未遠，不足爲勞。」
