HCH_015_049_000000	王奐字彥孫，琅邪臨沂人也。
HCH_015_049_000001	祖僧朗，宋左光祿、儀同。
HCH_015_049_000002	父粹，黃門郎。
HCH_015_049_000003	奐出繼從祖中書令球，故字彥孫。
HCH_015_049_000004	解褐著作佐郎，太子舍人，安陸王冠軍主簿，太子洗馬，本州別駕，中書郎，桂陽王司空諮議，黃門郎。
HCH_015_049_000005	元徽元年，爲晉熙王征虜長史、江夏內史，遷侍中，領步兵校尉。
HCH_015_049_000006	復出爲晉熙王鎮西長史，加冠軍將軍、江夏武昌太守。
HCH_015_049_000007	徵祠部尚書，轉掌吏部。
HCH_015_049_000008	昇明初，遷冠軍將軍、丹陽尹。
HCH_015_049_000009	初，王晏父普曜爲沈攸之長史，常慮攸之舉事，不得還。
HCH_015_049_000010	時奐爲吏部，轉普曜爲內職，晏深德之。
HCH_015_049_000011	及晏仕世祖府，奐從弟蘊反，世祖謂晏曰：「王奐宋家外戚，王蘊親同逆黨，旣其羣從，豈能無異意。我欲具以啓聞。」
HCH_015_049_000012	晏叩頭曰：「王奐脩謹，保無異志。晏父母在都，請以爲質。」
HCH_015_049_000013	世祖乃止。
HCH_015_049_000014	出爲吳興太守，秩中二千石，將軍如故。
HCH_015_049_000015	尋進號征虜將軍。
HCH_015_049_000016	建元元年，進號左將軍。
HCH_015_049_000017	明年，遷太常，領鄱陽王師，仍轉侍中，祕書監，領驍騎將軍。
HCH_015_049_000018	又遷征虜將軍、臨川王鎮西長史、領南蠻校尉、南郡內史。
HCH_015_049_000019	奐一歲三遷，上表固讓南蠻曰：「今天地初辟，萬物載新，荊蠻來威，巴濮不擾。但使邊民樂業，有司脩務，本府舊州，日就殷阜。臣昔遊西土，較見盈虛，兼日者戎燼之後，痍毀難復。雖復緝以善政，未及來蘇。今復割撤大府，制置偏校，崇望不足以助強，語實安能以相弊？且資力旣分，職司增廣，衆勞務倍，文案滋煩。非獨臣見其難，竊以爲國計非允。」
HCH_015_049_000020	見許。
HCH_015_049_000021	於是罷南蠻校尉官。
HCH_015_049_000022	進號前將軍。
HCH_015_049_000023	世祖卽位，徵右僕射。
HCH_015_049_000024	仍轉使持節監湘州軍事、前將軍、湘州刺史。
HCH_015_049_000025	永明二年，徙爲散騎常侍、江州刺史。
HCH_015_049_000026	初省江州軍府。
HCH_015_049_000027	四年，遷右僕射，本州中正。
HCH_015_049_000028	奐無學術，以事幹見處。
HCH_015_049_000029	遷尚書僕射，中正如故。
HCH_015_049_000030	校籍郎王植屬吏部郎孔琇之以校籍令史俞公喜求進署，矯稱奐意，植坐免官。
HCH_015_049_000031	六年，遷散騎常侍，領軍將軍。
HCH_015_049_000032	奐欲請車駕幸府。
HCH_015_049_000033	上晚信佛法，御膳不宰牲。
HCH_015_049_000034	使王晏謂奐曰：「吾前去年爲斷殺事，不復幸詣大臣已判，無容欻爾也。」
HCH_015_049_000035	王儉卒，上用奐爲尚書令，以問王晏。
HCH_015_049_000036	晏位遇已重，與奐不能相推，答上曰：「柳世隆有重望，恐不宜在奐後。」
HCH_015_049_000037	乃轉爲左僕射，加給事中，出爲使持節、散騎常侍、都督雍梁南北秦四州郢州之竟陵司州之隨郡軍事、鎮北將軍、雍州刺史。
HCH_015_049_000038	上謂王晏曰：「奐於釋氏，實自專至。其在鎮或以此妨務，卿相見言次及之，勿道吾意也。」
HCH_015_049_000039	上以行北諸戍士卒多襤縷，送褶三千具，令奐分賦之。
HCH_015_049_000040	十一年，奐輙殺寧蠻長史劉興祖，上大怒，使御史中丞孔稚珪奏其事曰：上遣中書舍人呂文顯、直閤將軍曹道剛領齋仗五百人收奐。
HCH_015_049_000041	敕鎮西司馬曹虎從江陵步道會襄陽。
HCH_015_049_000042	奐子彪素凶剽，奐不能制。
HCH_015_049_000043	女婿殷叡懼禍，謂奐曰：「曹、呂今來，旣不見真敕，恐爲姦變，政宜錄取，馳啓聞耳。」
HCH_015_049_000044	奐納之。
