HCH_009_016_000001	四年春正月壬辰朔，詔免朝。
HCH_009_016_000002	丙申，金安軍節度使行元帥府事古裏甲古倫除名。
HCH_009_016_000003	丁酉，大元兵下好義堡，霍州刺史移剌阿裏合等死之。
HCH_009_016_000004	詔贈官有差。
HCH_009_016_000005	庚戌，宋步騎十餘萬圍鄧州，聞援軍至，夜焚營去，招撫副使朮虎移剌答追及之，奪其俘還。
HCH_009_016_000006	壬子，晝晦，有頃大雷電，雨以風。
HCH_009_016_000007	癸丑，戶部侍郎張師魯上書，請遣騎兵數千，及春，淮、蜀並進、以撓宋。
HCH_009_016_000008	丙辰，以武仙遙領中京留守，進官一階。
HCH_009_016_000009	三月辛丑，議遷睢州，治書侍御史蒲魯虎奉詔相視京東城池，還言勿遷便，乃止。
HCH_009_016_000010	癸卯，長春節，詔免朝。
HCH_009_016_000011	乙巳，林州元帥惟良擒叛人單仲、李俊，誅之，降其党盧廣。
HCH_009_016_000012	己酉，以吏部尚書李復亨參知政事，南京兵馬使朮甲賽也行懷、孟帥府事。
HCH_009_016_000013	辛亥，進平章政事高汝礪為尚書右丞相，監修國史，封壽國公。
HCH_009_016_000014	參知政事李復亨兼修國史。
HCH_009_016_000015	平章政事、陝西行尚書省胥鼎進封溫國公，致仕。
HCH_009_016_000016	壬子，紅襖賊於忙兒襲據海州，經略使完顏陳兒以兵擊敗忙兒，復取之。
HCH_009_016_000017	甲寅，木星犯鬼宿積屍氣。
HCH_009_016_000018	夏四月庚申朔，詔御史中丞完顏伯嘉提控防城事。
HCH_009_016_000019	癸亥，安武軍節度使柴茂破紅襖賊于棗強。
HCH_009_016_000020	祁州經略使段增順破叛賊甄全于唐縣。
HCH_009_016_000021	夏人犯邊，元帥石盞合喜破之。
HCH_009_016_000022	乙丑，以彰德、衛、輝、滑、浚諸州隸河南路轉運司。
HCH_009_016_000023	以河南路轉運司為都轉運，視中都，增置官吏。
HCH_009_016_000024	戊辰，禘於太廟。
HCH_009_016_000025	大元遣趙瑞以兵攻孟州。
HCH_009_016_000026	提控魯德、王安復大名府。
HCH_009_016_000027	以參知政事把胡魯權尚書右丞、左副元師，元帥左都監承立為右監軍權參知政事，同行尚書省元帥府于京兆。
HCH_009_016_000028	庚辰，東平元帥府總領提控蒲察山兒破紅襖賊於聊城。
HCH_009_016_000029	壬年，命六部檢法以法狀親白部官，聽其面議，大理寺如之。
HCH_009_016_000030	五月壬辰，定二品至三品立功遷官格。
