HCH_009_071_000001	斡魯，韓國公劾者第三子。
HCH_009_071_000002	康宗初，蘇濱水含國部斡豁勃堇及斡准、聽備二部有異志，斡帶治之，斡賽、斡魯為之佐，遂伐斡豁，拔其城以歸。
HCH_009_071_000003	高麗築九城於曷懶甸。
HCH_009_071_000004	斡賽母疾病，斡魯代將其兵者數月。
HCH_009_071_000005	斡魯亦對築九城與高麗抗，出則戰，入則守，斡賽用之，卒城高麗。
HCH_009_071_000006	收國二年四月，詔斡魯統諸軍，與闍母、蒲察、迪古乃合咸州路都統斡魯古等，伐高永昌。
HCH_009_071_000007	詔曰：「永昌誘脅戍卒，竊據一方，直投其隙而取之耳。此非有遠大計，其亡可立而待也。東京渤海人德我舊矣，易為招懷。如其不從，即議進討，無事多殺。」
HCH_009_071_000008	高永昌渤海人，在遼為裨將，以兵三千，屯東京八甔口。
HCH_009_071_000009	永昌見遼政日敗，太祖起兵，遼人不能支，遂覬覦非常。
HCH_009_071_000010	是時，東京漢人與渤海人有怨，而多殺渤海人。
HCH_009_071_000011	永昌乃誘諸渤海，並其戍卒人據東京，旬月之間，遠近回應，有兵八千人，遂僭稱帝，改元隆基。
HCH_009_071_000012	遼人討之，久不能克。
HCH_009_071_000013	永昌使撻不野、杓合，以幣求救于太祖，且曰：「願並力以取遼。」
HCH_009_071_000014	太祖使胡沙補往諭之曰：「同力取遼固可。東京近地，汝輒據之，以僭大號可乎。若能歸款，當處以王爵。仍遣系遼籍女直胡突古來。」
HCH_009_071_000015	高永昌使撻不野與胡沙補、胡突古偕來，而永昌表辭不遜，且請還所俘渤海人。
HCH_009_071_000016	太祖留胡突古不遣，遣大藥師奴與撻不野往招諭之。
HCH_009_071_000017	斡魯方趨東京，遼兵六萬來攻照散城，阿徒罕勃堇、烏論石准與戰於益褪之地，大破之。
HCH_009_071_000018	五月，斡魯與遼軍遇於瀋州，敗之，進攻瀋州，取之。
HCH_009_071_000019	永昌聞取瀋州，大懼，使家奴鐸刺以金印一、銀牌五十來，願去名號，稱籓。
HCH_009_071_000020	斡魯使胡沙補、撒八往報之。
HCH_009_071_000021	會渤海高楨降，言永昌非真降者，特以緩師耳。
HCH_009_071_000022	斡魯進兵，永昌遂殺胡沙補等，率眾來拒。
HCH_009_071_000023	遇於沃裏活水，我軍既濟，永昌之軍不戰而卻，逐北至東京城下。
HCH_009_071_000024	明日，永昌盡率其眾來戰，複大敗之，遂以五千騎奔長松島。
HCH_009_071_000025	初，太祖下甯江州，獲東京渤海人皆釋之，往往中道亡去，諸將請殺之，太祖曰：「既以克敵下城，何為多殺。昔先太師嘗破敵，獲百餘人，釋之，皆亡去。既而，往往招其部人來降。今此輩亡，後日當有效用者。」
HCH_009_071_000026	至是，東京人恩勝奴、仙哥等，執永昌妻子以城降，即甯江州所釋東京渤海人也。
HCH_009_071_000027	先太師，蓋謂世祖雲。
HCH_009_071_000028	未幾，撻不野執永昌及鐸刺以獻，皆殺之。
HCH_009_071_000029	於是，遼之南路系籍女直及東京州縣盡降。
HCH_009_071_000030	以斡魯為南路都統、迭勃極烈，留烏蠢知東京事。
HCH_009_071_000031	詔除遼法，省賦稅，置猛安謀克一如本朝之制。
HCH_009_071_000032	九月，斡魯上謁于婆魯買水，上慰勞之。
HCH_009_071_000033	辛亥，幸斡魯第，張宴，官屬皆預，賜賚有差。
HCH_009_071_000034	燭偎水部實裏古達，殺酬斡、僕忽得，斡魯分胡刺古、烏蠢之兵討之。
HCH_009_071_000035	酬斡宗室子，魁偉善戰，年十五，隸軍中，多見任用。
HCH_009_071_000036	以兵五百，敗室韋，獲其民眾。
HCH_009_071_000037	及招降燭偎水部，以功為謀克。
HCH_009_071_000038	僕忽得初事撒改，從討蕭海裏，降燭偎水部，領行軍千戶。
HCH_009_071_000039	從破黃龍府，戰達魯古城，皆有功。
HCH_009_071_000040	其破甯江州，渤海乙塞補叛去，僕忽得追複之。
HCH_009_071_000041	至是，與酬斡同被害。
HCH_009_071_000042	斡魯至石裏罕河，實裏古達遁去，追及於合撻刺山，誅其首惡四人，撫定餘眾。
HCH_009_071_000043	詔曰：「汝討平叛亂，不勞師眾，朕甚嘉之。酬斡等死于國事，聞其屍棄於河，俟冰釋，必求以葬。其民可三百戶為一謀克，以眾所推服者領之，仍以其子弟等為質。」
HCH_009_071_000044	斡魯乃還。
HCH_009_071_000045	天眷中，酬斡贈奉國上將軍，僕忽得贈昭義大將軍。
HCH_009_071_000046	斡魯從都統襲遼主，遼主西走，西京已降複叛，敵據城西浮圖，下射攻城者。
HCH_009_071_000047	斡魯與鶻巴魯攻浮圖，奪之，複以精銳乘浮圖下射城中，遂破西京。
HCH_009_071_000048	夏國王使李良輔將兵三萬來救遼，次於天德之境。
HCH_009_071_000049	婁室與斡魯合軍擊敗之，追至野穀，殺數千人。
HCH_009_071_000050	夏人渡澗水，水暴至，漂溺者不可勝計。
HCH_009_071_000051	遼主在陰山、青塚之間，斡魯為西南路都統，往襲之。
HCH_009_071_000052	使勃刺淑、撒曷懣以兵二百，襲遼權六院司喝離質於白水濼，獲之。
HCH_009_071_000053	遼主留輜重於青塚，領兵一萬，往應州。
HCH_009_071_000054	遣照裏、背答各率兵邀之，宗望奄至遼主營，盡俘其妻、子、宗族，得其傳國璽。
HCH_009_071_000055	斡魯使使奏捷曰：「賴陛下威靈，屢敗敵兵，遼主無歸，勢必來降。已嚴戒鄰境，毋納宋人，合饋軍糧，令銀術可往代州受之。」
HCH_009_071_000056	詔：「遍諭有功將士，俟朕至彼，當次第推賞。遼主戚屬勿去其輿帳，善撫存之。遼主伶俜去國，懷悲負恥，恐隕其命。孽雖自作，而嘗居大位，深所不忍。如招之肯來，以其宗族付之。已遣楊璞征糧于宋，銀術可不須往矣。遼趙王習泥烈及諸官吏，並釋其罪，且撫慰之。」
HCH_009_071_000057	太祖還京師，宗翰為西北、西南兩路都統，斡魯及蒲家奴副之。
HCH_009_071_000058	宗翰朝京師，詔：「以夏人言，宋侵略新割地，以便宜決之。」
HCH_009_071_000059	斡魯奏曰：「夏人不盡歸戶口資帑，又以宋人侵賜地求援兵。宋之邊臣將取所賜夏人疆土，蓋有異圖。」
HCH_009_071_000060	詔曰：「夏人屢求援兵者，或不欲歸我戶口，沮吾追襲遼主事也。宋人敢言自取疆土于夏，誠有異圖。宜謹守備，盡索在夏戶口，通聞兩國，事審處之。」
HCH_009_071_000061	斡魯複請弗割山西與宋，則遼主不能與宋郭藥師交通。
HCH_009_071_000062	複詔曰：「宗翰請毋與宋山西地，卿複及此，疆場之事當慎毋忽。」
HCH_009_071_000063	及宗翰等伐宋，斡魯行西南、西北兩路都統事。
HCH_009_071_000064	天會五年，薨。
HCH_009_071_000065	皇統五年，追封鄭國王。
HCH_009_071_000066	天德二年，酏享太祖廟廷。
HCH_009_071_000067	子撒八，銀青光祿大夫。
