HCH_009_085_000001	世宗昭德皇后生顯宗、趙王孰輦、越王斜魯。
HCH_009_085_000002	元妃張氏生鄗王允中、越王允功。
HCH_009_085_000003	元妃李氏生鄭王允蹈、衛紹王允濟、潞王允德。
HCH_009_085_000004	昭儀梁氏生豫王允成。
HCH_009_085_000005	才人石抹氏生夔王允升。
HCH_009_085_000006	孰輦、斜魯皆早卒。
HCH_009_085_000007	鎬王永中，本名實魯剌，又名萬僧。
HCH_009_085_000008	大定元年，封許王。
HCH_009_085_000009	五年，判大興尹。
HCH_009_085_000010	七年，進封越王。
HCH_009_085_000011	十一年，進封趙王。
HCH_009_085_000012	十三年，拜樞密使。
HCH_009_085_000013	十九年，子石古乃加光祿大夫。
HCH_009_085_000014	是歲，改葬明德皇后于坤厚陵，永中母元妃張氏陪葬。
HCH_009_085_000015	十一月庚申，自磐甯宮發引。
HCH_009_085_000016	永中以元妃柩先發，使執黃傘者前導。
HCH_009_085_000017	俄頃，皇后柩出磐甯宮，顯宗徒跣。
HCH_009_085_000018	少府監張僅言呼執黃傘者，不應。
HCH_009_085_000019	既葬，僅言欲奏其事，顯宗解之曰：「是何足校哉，或傘人誤耳。」
HCH_009_085_000020	僅言乃止。
HCH_009_085_000021	二十一年，改判大宗正事。
HCH_009_085_000022	永中不悅，顯宗勸之曰：「宗正之職，自親及疏，自近及遠，此親賢之任也。且皇子之貴，豈以官職閑劇為計邪？」
HCH_009_085_000023	永中乃喜。
HCH_009_085_000024	二十四年，世宗幸上京，顯宗居守，並留永中。
HCH_009_085_000025	顯宗先遣章宗、宣宗奉表問起居於上京，既而遣永中子光祿大夫石古乃奉表。
HCH_009_085_000026	世宗喜謂豫國公主曰：「皇太子孝德天成，先遣二子，繼遣此子，兄弟之際相友愛如此也。」
HCH_009_085_000027	二十五年六月，世宗在天平山好水川清暑，顯宗薨於中都，詔曹王永功視章宗，召永中赴行在。
HCH_009_085_000028	是歲，與章宗及永功等並加開府儀同三司。
HCH_009_085_000029	二十六年，複為樞密使。
HCH_009_085_000030	是歲，世宗賜諸孫名。
HCH_009_085_000031	石古乃曰瑜，神土門日璋，阿思懣曰槩，阿離合懣曰曁彖。
HCH_009_085_000032	二十七年，槩年十五以上，加奉國上將軍。
HCH_009_085_000033	章宗即位，起複判西京留守，進封漢王，與諸弟各賜金五百兩、銀五千兩、錢二千貫、重幣三百端、絹二千匹。
HCH_009_085_000034	再賜永中修公廨錢三百萬，特加石古乃銀青榮祿大夫，阿離合懣奉國上將軍。
HCH_009_085_000035	明昌二年正月辛酉，孝懿皇后崩。
HCH_009_085_000036	判真定府事吳王永成、判定武軍節度使隋王永升奔喪後期，各罰俸一月，杖其長史五十。
HCH_009_085_000037	永中適有寒疾，不能至。
HCH_009_085_000038	上怒，頗意諸王有輕慢心，遣使責永中曰：「已近公除，亦不須來。」
HCH_009_085_000039	二月丙戌，禫祭，永中始至，入臨。
HCH_009_085_000040	辛卯，始克行燒飯禮。
HCH_009_085_000041	壬辰，永中及諸王朝辭，賜遺留物，禮遇雖在，而嫌忌自此始矣。
HCH_009_085_000042	四月，進封並王。
HCH_009_085_000043	三年，判平陽府事，進封鎬王。
HCH_009_085_000044	初置王傅、府尉官，名為官屬，實檢制之也。
HCH_009_085_000045	府尉希望風旨，過為苛細。
HCH_009_085_000046	永中自以世宗長子，且老矣，動有掣制，情思不堪，殊鬱鬱，乃表乞閒居。
HCH_009_085_000047	詔不許。
HCH_009_085_000048	四年，鄭王永蹈以謀逆誅。
HCH_009_085_000049	增置諸王司馬一員，檢察門戶出入，球獵遊宴皆有制限，家人出入皆有禁防。
HCH_009_085_000050	河東提刑判官把里海坐私謁永中，杖一百，解職。
HCH_009_085_000051	前近侍局副使裴滿可孫嘗受永中請托，為石古乃求除官，可孫已改同知西京留守，猶坐免。
HCH_009_085_000052	故尚書右丞張汝弼，永中母舅也。
HCH_009_085_000053	汝弼妻高陀斡自大定間畫永中母像，奉之甚謹，挾左道為永中求福，希覬非望。
HCH_009_085_000054	明昌五年，高陀斡坐詛祝誅。
HCH_009_085_000055	上疑事在永中，未有以發也。
HCH_009_085_000056	會鎬王傅尉奏永中第四子阿離合懣因防禁嚴密，語涉不道。
HCH_009_085_000057	詔同簽大睦親府事袴、禦史中丞孫即康鞫問，並求得第二子神徒門所撰詞曲有不遜語。
HCH_009_085_000058	家奴德哥首永中嘗與侍妾瑞雪言：「我得天下，子為大王，以爾為妃。」
HCH_009_085_000059	詔遣官複按狀同。
HCH_009_085_000060	再遣禮部尚書張暐、兵部侍郎烏古論慶裔複之。
HCH_009_085_000061	上謂宰臣曰：「鎬王只以語言得罪，與永蹈罪異。」
HCH_009_085_000062	參知政事馬琪曰：「永中與永蹈罪狀雖異，人臣無將，則一也。」
HCH_009_085_000063	上曰：「大王何故輒出此言？」
HCH_009_085_000064	左丞相清臣曰：「素有妄想之心也。」
HCH_009_085_000065	詔以永中罪狀宣示百官雜議，五品以下附奏，四品以上入對便殿。
HCH_009_085_000066	皆曰：「請論如律。」
HCH_009_085_000067	惟宮籍監丞盧利用乞貸其死。
HCH_009_085_000068	詔賜永中死，神徒門、阿離合懣等皆棄市。
HCH_009_085_000069	敕有司用國公禮收葬永中，平陽府監護，官給葬具，妻子威州安置。
HCH_009_085_000070	泰和七年，詔複永中王爵，賜諡曰厲。
HCH_009_085_000071	敕石古乃於威州擇地，以禮改葬，歲時祭奠。
HCH_009_085_000072	貞祐二年，詔徙永中妻、子石古乃等鄭州安置。
HCH_009_085_000073	貞祐三年，太康縣人劉全嘗為盜，亡入衛真界，詭稱愛王。
HCH_009_085_000074	所謂愛王，指石古乃。
