HCH_009_092_000001	毛碩，字仲權，甘陵人。
HCH_009_092_000002	宋末，試弓馬子弟，碩中選，調高陽關路安撫司準備差使。
HCH_009_092_000003	尋辟河間尉，再辟兵馬都監。
HCH_009_092_000004	宗望軍至，碩以本部迎降。
HCH_009_092_000005	齊國建，由淮東路第一副將擢知滑州。
HCH_009_092_000006	劉麟伐宋，充行營中軍統制軍馬。
HCH_009_092_000007	天眷間，曆汴京路、山東西路兵馬都監。
HCH_009_092_000008	皇統元年，權知拱州。
HCH_009_092_000009	宋將張俊據亳州，而柘城酒監房人傑叛以應俊，碩發兵討之。
HCH_009_092_000010	至柘城，躬扣城門，呼耆老以諭意。
HCH_009_092_000011	縣人縛人傑以降。
HCH_009_092_000012	碩徑入縣署，召百姓慰安之，眾皆感悅，刻石紀其事。
HCH_009_092_000013	四年，真授拱州刺史。
HCH_009_092_000014	元帥梁王宗弼承制超武義將軍，改知曹州。
HCH_009_092_000015	有書生投書于碩，辭涉謗訕，僚屬皆不能堪。
HCH_009_092_000016	碩延之上座，謝曰：「使碩常聞斯言，庶乎寡過。」
HCH_009_092_000017	士論以故嘉之。
HCH_009_092_000018	遷鄭州防禦使，尋改通州。
HCH_009_092_000019	天德二年，充陝西路轉運使。
HCH_009_092_000020	碩以陝右邊荒，種藝不過麻、粟、蕎麥，賦入甚薄，市井交易惟川絹、幹薑，商賈不通，酒稅之入耗減，請視汴京、燕京例給交鈔通行。
HCH_009_092_000021	而鞏、會、德順道路多險，鹽引斤數太重，請一引分作三四，以從輕便。
HCH_009_092_000022	朝廷皆從之。
HCH_009_092_000023	秦州倉粟陳積，而百姓有支移者，止就本州折納其直，公私便之。
HCH_009_092_000024	改河東南路轉運使。
HCH_009_092_000025	上言：「頃者，定立商酒課，不量土產厚薄、戶口多寡及今昔物價之增耗，一概理責之，故監官被系，失身破家，折傭逃竄。或為奸吏盜有實錢，而以賒券輸官，故河東有積負至四百餘萬貫，公私苦之。請自今禁約酒官，不得折准賒貸，惟許收用實錢，則官民俱便。」
HCH_009_092_000026	至今行之。
HCH_009_092_000027	秩滿，除南京路都轉運使。
HCH_009_092_000028	大定六年致仕，卒於家。
HCH_009_092_000029	碩文雅好事，性謹飭，每見古人行事有益於時者，常書置座右，以為蒞官之戒雲。
HCH_009_092_000030	李上達，字達道，曹州濟陰人。
HCH_009_092_000031	在宋時以廕補官，累東平府司戶參軍。
HCH_009_092_000032	撻懶取東平，上達給軍須，號辦治。
HCH_009_092_000033	齊國建，為吏部員外郎，攝戶部事。
HCH_009_092_000034	劉豫行什一之法，樂歲輸多，歉歲寡取之，蓋古人助法也。
