HCH_010_023_000001	八年春正月癸未，烏古敵烈部詳穩耶律巢等奏克北邊捷。
HCH_010_023_000002	以戰多殺人，飯僧南京、中京。
HCH_010_023_000003	甲申，如魚兒濼。
HCH_010_023_000004	壬寅，昏霧連日。
HCH_010_023_000005	二月丙辰，北、南樞密院言無事可陳。
HCH_010_023_000006	壬戌，以討北部功，烏古敵烈部詳穩耶律巢知北院大王事，都監蕭阿魯帶烏古敵烈部詳穩，加左監門衛上將軍。
HCH_010_023_000007	戊辰，歲饑，免武安州租稅，振恩、蔚、順、惠等州民。
HCH_010_023_000008	三月癸卯，有司奏春、泰、寧江三州三千餘人願為僧尼，受具足戒，許之。
HCH_010_023_000009	夏四月壬子，振義、饒二州民。
HCH_010_023_000010	丁巳，駐蹕塔裏舍。
HCH_010_023_000011	己卯，清暑拖古烈。
HCH_010_023_000012	五月壬午，晉王仁先薨。
HCH_010_023_000013	六月甲寅，振易州貧民。
HCH_010_023_000014	己未，振中京。
HCH_010_023_000015	甲子，振興中府。
HCH_010_023_000016	甲戌，封北府宰相楊績為趙王，樞密副使耶律觀參知政事兼知南院樞密使事。
HCH_010_023_000017	丁丑，高麗遣使來貢。
HCH_010_023_000018	秋七月己卯，慶州靳文高八世同居，詔賜爵。
HCH_010_023_000019	丙申，振饒州饑民。
HCH_010_023_000020	丁酉，幸黑嶺。
HCH_010_023_000021	丁未，以御書《華嚴經五頌》出示群臣。
HCH_010_023_000022	閏月辛未，射熊於羖羊山。
HCH_010_023_000023	八月庚辰，混同郡王侯古薨，遣使致祭。
HCH_010_023_000024	九月甲子，駐蹕藕絲澱。
HCH_010_023_000025	冬十月己丑，參知政事耶律觀矯制營私第，降為庶人。
HCH_010_023_000026	癸巳，回鶻來貢。
HCH_010_023_000027	十一庚戌，免祖州稅。
HCH_010_023_000028	丙辰，大雪，許民樵采禁地。
HCH_010_023_000029	丁卯，賜延昌宮貧戶錢。
HCH_010_023_000030	十二月戊辰，漢人行宮都部署耶律仲禧封韓國公，樞密副使、參知政事趙徽出為武定軍節度使，樞密副使柴德滋參知政事，漢人行宮副部署耶律大悲奴升都部署，同知南院樞密使事蕭韓家奴知左夷離畢事。
HCH_010_023_000031	丁，以坤寧節，大赦。
HCH_010_023_000032	庚寅，賜高麗佛經一藏。
HCH_010_023_000033	九年春正月丁未，如雙濼。
HCH_010_023_000034	夏四月壬辰，如旺國崖。
HCH_010_023_000035	秋七月甲辰，獵大熊山。
HCH_010_023_000036	戊申，烏古敵烈統軍言，八石烈敵烈人殺其節度使以叛。
HCH_010_023_000037	己酉，詔隗烏古部軍分道擊之。
HCH_010_023_000038	丙寅，南京奏歸義。
HCH_010_023_000039	淶水兩縣蝗飛入宋境，餘為蜂所食。
HCH_010_023_000040	八月丙申，以耶律仲禧為南院樞密使。
HCH_010_023_000041	九月癸卯，駐蹕獨盧金。
HCH_010_023_000042	冬十月，幸陰山，遂如西京。
HCH_010_023_000043	十一月戊午，詔行幸之地免租一年。
HCH_010_023_000044	甲子，南院大王合理只致仕。
HCH_010_023_000045	十二月辛未，以知北院樞密使事耶律宜新為中京留守，南院宣徽使耶律撒剌為南院大王。
HCH_010_023_000046	壬辰，高麗、夏國並遣使來貢。
HCH_010_023_000047	十年春正月乙卯，如鴛鴦濼。
