HCH_010_045_000001	官生于职，职沿于事，而名加之。
HCH_010_045_000002	后世沿名，不究其实。
HCH_010_045_000003	吏部，一太宰也，为大司徒，为尚书，为中书，为门下；兵部，一司马也，为大司马，为太尉，为枢密使。
HCH_010_045_000004	沿古官名，分今之职事以配之，于是先王统理天下之法，如治丝而棼，名实淆矣。
HCH_010_045_000005	契丹旧俗，事简职专，官制朴实，不以名乱之，其兴也勃焉。
HCH_010_045_000006	太祖神冊六年，诏正班爵。
HCH_010_045_000007	至于太宗，兼制中国，官分南北，以国制治契丹，以汉制待汉人。
HCH_010_045_000008	国制简朴，汉制则沿名之风固存也。
HCH_010_045_000009	辽国官职，分北、南院，北面治宫帐、部族、属国之政，南面治汉人州县、租赋、军马之事。
HCH_010_045_000010	因俗而治，得其宜矣。
HCH_010_045_000011	初，太祖分迭剌夷离堇为北、南二大王，谓之北、南院。
HCH_010_045_000012	宰相、枢密、宣徽、林牙，下至郎君、护卫，皆分北、南，其实所治皆北面之事，语辽官制者，可不辨。
HCH_010_045_000013	凡辽朝官，北枢密视兵部，南枢密视吏部，北、南二王视户部，夷离毕视刑部，宣徽视工部，敌烈麻都视礼部，北、南府宰相总之。
HCH_010_045_000014	惕隐治宗族，林牙修文告，于越坐而论议，以象公卿，朝廷之上。
HCH_010_045_000015	事简职专，此辽所以兴也。
HCH_010_045_000016	契丹北枢密院。
HCH_010_045_000017	掌兵机、武铨、群牧之政，凡契丹军马皆属焉。
HCH_010_045_000018	以其牙帐居大内帐殿之北，故名北院。
HCH_010_045_000019	元好问所谓“北衙不理民”是也。
HCH_010_045_000020	契丹南枢密院。
HCH_010_045_000021	掌文铨、部族、丁赋之政，凡契丹人民皆属焉。
HCH_010_045_000022	以其牙帐居大内之南，故名南院。
HCH_010_045_000023	元好问所谓“南衙不主兵”是也。
HCH_010_045_000024	北宰相府。
HCH_010_045_000025	掌佐理军国之大政，皇族四帐世预其选。
HCH_010_045_000026	南宰相府。
HCH_010_045_000027	掌佐理军国之大政，国舅五帐世预其选。
HCH_010_045_000028	北大王院。
HCH_010_045_000029	分掌部族军民之政。
HCH_010_045_000030	北院大王。
HCH_010_045_000031	初名迭剌部夷离堇，太祖分北、南院，太宗會同元年改夷离堇为大王。
HCH_010_045_000032	北院都统军司。
HCH_010_045_000033	掌北院从军之政令。
HCH_010_045_000034	北院详稳司。
HCH_010_045_000035	掌北院部族军马之政令。
HCH_010_045_000036	北院都部署司。
HCH_010_045_000037	掌北院部族军民之事。
HCH_010_045_000038	南大王院。
HCH_010_045_000039	分掌部族军民之政。
HCH_010_045_000040	南院太保。
HCH_010_045_000041	天慶八年，省南院太保。
HCH_010_045_000042	南院都统军司。
HCH_010_045_000043	掌南院从军之政令。
HCH_010_045_000044	南院详稳司。
HCH_010_045_000045	掌南院部族军马之政令。
HCH_010_045_000046	南院都部署司。
HCH_010_045_000047	掌南院部族军民之事。
HCH_010_045_000048	宣徽北院。
HCH_010_045_000049	太宗会同元年置，掌北院御前祗应之事。
HCH_010_045_000050	宣徽南院。
HCH_010_045_000051	会同元年置，掌南院御前祗应之事。
