HCH_010_046_000001	部族，详见《营卫志》。
HCH_010_046_000002	设官之制具如左。
HCH_010_046_000003	某部大王。
HCH_010_046_000004	本名夷离堇。
HCH_010_046_000005	某部司徒。
HCH_010_046_000006	本名惕隐。
HCH_010_046_000007	某石烈麻普。
HCH_010_046_000008	亦曰马步，本名石烈达剌干。
HCH_010_046_000009	某弥里。
HCH_010_046_000010	弥里，乡也。
HCH_010_046_000011	辛衮。
HCH_010_046_000012	本曰马特本。
HCH_010_046_000013	五院部。
HCH_010_046_000014	有知五院事，在朝曰北大王院。
HCH_010_046_000015	六院部。
HCH_010_046_000016	有知六院事，在朝曰南大王院。
HCH_010_046_000017	乙室部。
HCH_010_046_000018	在朝曰乙室王府。
HCH_010_046_000019	有乙室府迪骨里节度使司。
HCH_010_046_000020	奚六部。
HCH_010_046_000021	在朝曰奚王府。
HCH_010_046_000022	有二常衮，有二宰相，又有吐里太尉，有奚六部汉军详稳，有奚拽刺详稳，有先离挞览官。
HCH_010_046_000023	已上四大王府，为大部族。
HCH_010_046_000024	小黄室韦部。
HCH_010_046_000025	二黄室韦闼林，改为仆射。
HCH_010_046_000026	已上四十九节度，为小部族。
HCH_010_046_000027	辽始祖涅里究心农工之事，太祖尤拳拳焉，畜牧畋渔，固俗尚也。
HCH_010_046_000028	坊场牧厩，设官如左。
HCH_010_046_000029	五坊。
HCH_010_046_000030	未详。
HCH_010_046_000031	八坊。
HCH_010_046_000032	内有军器坊，余未详。
HCH_010_046_000033	已上坊官。
HCH_010_046_000034	医兽局。
HCH_010_046_000035	有四局都林牙。
HCH_010_046_000036	已上局官。
HCH_010_046_000037	五冶。
HCH_010_046_000038	未详。
HCH_010_046_000039	已上治官。
HCH_010_046_000040	已上群牧官。
HCH_010_046_000041	已上诸厩官。
HCH_010_046_000042	已上监养鸟兽官。
HCH_010_046_000043	辽宫帐、部族、京州、属国，各自为军，体统相承，分数秩然。
HCH_010_046_000044	雄长二百馀年，凡以此也。
HCH_010_046_000045	考其可知者如左。
HCH_010_046_000046	天下兵马大元帅府。
