HCH_010_047_000001	契丹國自唐太宗置都督、刺史，武后加以王封，玄宗置經略使，始有唐官爵矣。
HCH_010_047_000002	其後習聞河北蕃鎮受唐官名，於是太師、太保、司徒、司空施於部族。
HCH_010_047_000003	太祖因之。
HCH_010_047_000004	大同元年，世宗始置北院樞密使。
HCH_010_047_000005	明年，世宗以高勳為南院樞密，則樞密之設，蓋自太宗入汴始矣。
HCH_010_047_000006	天祿四年，建政事省。
HCH_010_047_000007	於是南面官僚可得而書。
HCH_010_047_000008	其始，漢人樞密院兼尚書省，吏、兵、刑有承旨，戶、工有主事，中書省兼禮部，別有戶部使司。
HCH_010_047_000009	以營州之地加幽、冀之半，用是適足矣。
HCH_010_047_000010	中葉彌文，耶律楊六為太傅，知有三師矣。
HCH_010_047_000011	忽古質為太尉，知有三公矣。
HCH_010_047_000012	斡古得為常侍，劉涇為禮部尚書，知有門下、尚書省矣。
HCH_010_047_000013	庫部、虞部、倉部員外出使，則知備郎官列宿之員。
HCH_010_047_000014	室昉監修，則知國史有院。
HCH_010_047_000015	程翥舍人，則知起居有註。
HCH_010_047_000016	邢抱朴承旨，王言敷學士，則知有翰林內制。
HCH_010_047_000017	張幹政事舍人，則知有中書外制。
HCH_010_047_000018	大理、司農有卿，國子、少府有監，九卿、列監見矣。
HCH_010_047_000019	金吾、千牛有大將，十六列衛見矣。
HCH_010_047_000020	太子上有師保，下有府率，東宮備官也。
HCH_010_047_000021	節度、觀察、防禦、團練、刺史，咸在方州，如唐制也。
HCH_010_047_000022	凡唐官可考見者，列具於篇；無徵者不書。
HCH_010_047_000023	遼有北面朝官矣，既得燕、代十有六州，乃用唐制，復設南面三省、六部、台、院、寺、監、諸衛、東宮之官。
HCH_010_047_000024	誠有志帝王之盛制，亦以招徠中國之人也。
HCH_010_047_000025	三師府，本名三公，漢以丞相、太尉、御史大夫為三公，故稱三師。
HCH_010_047_000026	太師。
HCH_010_047_000027	穆宗應曆三年見太師唐骨德。
HCH_010_047_000028	太傅。
HCH_010_047_000029	太宗會同元年命馮道守太傅。
HCH_010_047_000030	太保。
HCH_010_047_000031	會同元年劉昫守太保。
HCH_010_047_000032	少師。
HCH_010_047_000033	《耶律資忠傳》見少師蕭把哥。
HCH_010_047_000034	掌印。
HCH_010_047_000035	耶律乙辛，重熙中掌太保印。
HCH_010_047_000036	三公府。
HCH_010_047_000037	先漢丞相、太尉、御史大夫，後漢更名大司徒、大司馬、大司空，唐太尉、司徒、司空。
HCH_010_047_000038	又名三司。
HCH_010_047_000039	太尉。
HCH_010_047_000040	太宗天顯十一年見太尉趙思溫。
HCH_010_047_000041	司徒。
HCH_010_047_000042	世宗天祿元年見司徒劃設。
HCH_010_047_000043	司空。
HCH_010_047_000044	聖宗統和三十年見司空邢抱質。
HCH_010_047_000045	漢人樞密院。
HCH_010_047_000046	本兵部之職，在周為大司馬，漢為太尉。
HCH_010_047_000047	唐季宦官用事，內置樞密院，後改用士人。
HCH_010_047_000048	晉天福中廢，開運元年復置。
HCH_010_047_000049	太祖初有漢兒司，韓知古總知漢兒司事。
HCH_010_047_000050	太宗入汴，因晉置樞密院，掌漢人兵馬之政，初兼尚書省。
HCH_010_047_000051	樞密使。
HCH_010_047_000052	太宗大同元年見樞密使李崧。
HCH_010_047_000053	樞密副使。
HCH_010_047_000054	楊遵勗，咸雍中為樞密副使。
HCH_010_047_000055	同知樞密院事。
HCH_010_047_000056	聖宗太平六年見同知樞密院事耶律迷離已。
HCH_010_047_000057	知樞密院副使事。
HCH_010_047_000058	楊皙，興宗重熙十二年知樞密院副使事。
HCH_010_047_000059	樞密直學士。
HCH_010_047_000060	聖宗統和二年見樞密直學士郭嘏。
HCH_010_047_000061	樞密都承旨。
HCH_010_047_000062	聖宗開泰九年見樞密都承旨韓紹芳。
HCH_010_047_000063	樞密副承旨。
HCH_010_047_000064	楊遵勗，重熙中為樞密副承旨。
HCH_010_047_000065	中書省。
HCH_010_047_000066	初名政事省。
HCH_010_047_000067	太祖置官，世宗天祿四年建政事省，興宗重熙十三年改中書省。
HCH_010_047_000068	中書令。
HCH_010_047_000069	韓延徽，太祖時為政事令；韓知古，天顯初為中書令；會同五年又見政事令趙延壽。
HCH_010_047_000070	大丞相。
HCH_010_047_000071	太宗大同元年見大丞相趙延壽。
HCH_010_047_000072	左丞相。
HCH_010_047_000073	聖宗太平四年見左丞相張儉。
HCH_010_047_000074	右丞相。
HCH_010_047_000075	聖宗開泰元年見右丞相馬保忠。
HCH_010_047_000076	知中書省事。
HCH_010_047_000077	蕭孝友，興宗重熙十年知中書省事。
HCH_010_047_000078	中書侍郎。
HCH_010_047_000079	韓資讓，壽隆初為中書侍郎。
HCH_010_047_000080	同中書門下平章事。
HCH_010_047_000081	太祖加王郁同政事門下平章事，太宗大同元年見平章事張礪。
HCH_010_047_000082	參知政事。
HCH_010_047_000083	聖宗統和十二年見參知政事邢抱朴。
HCH_010_047_000084	堂後官。
