HCH_010_053_000001	皇太后生辰朝賀儀：至日，臣僚入朝，國使至幕，班齊，如常儀。
HCH_010_053_000002	皇太后升殿坐，皇帝東面側坐。
HCH_010_053_000003	契丹舍人殿上通名，契丹、漢人臣僚，宋使副綴翰林學士班，東西兩洞門入，合班稱賀，班首上殿祝壽，分班引出，皆如正旦之儀。
HCH_010_053_000004	教坊起居，七拜，契丹、漢人臣僚入，進酒，皆如正旦之儀，唯宣答稱「聖旨」。
HCH_010_053_000005	皇帝降御座，進奉皇太后生辰禮物。
HCH_010_053_000006	過畢，皇帝殿上再拜，殿下臣僚皆再拜。
HCH_010_053_000007	皇帝升御座。
HCH_010_053_000008	引臣僚分班出，引中書令、北大王西階上殿，奏契丹臣僚進奉。
HCH_010_053_000009	次漢人臣僚並諸道進奉。
HCH_010_053_000010	控鶴官置擔床，起居，四拜畢；引進使鞠躬，通文武百僚某官某以下，高麗、夏國、諸道進奉。
HCH_010_053_000011	宣徽使殿上贊進奉各付所司，控鶴官聲喏。
HCH_010_053_000012	擔床過畢，契丹、漢人臣僚以次謝，五拜。
HCH_010_053_000013	贊各祗候，引出。
HCH_010_053_000014	教坊、諸道進奉使謝如之。
HCH_010_053_000015	契丹臣僚謝宣宴，引上殿就位立，漢人臣僚並宋使副東洞門入，面西謝宣宴，如正旦儀。
HCH_010_053_000016	贊各上殿祗候，臣僚、使副上殿就位立，亦如之。
HCH_010_053_000017	監盞、教坊上殿，從人入東廊立，皆如之。
HCH_010_053_000018	御床入，皇帝初進酒，臣僚就位陪拜。
HCH_010_053_000019	皇太后飲酒，殿上應坐、侍立臣僚皆拜，稱「萬歲」。
HCH_010_053_000020	贊各祗候，立。
HCH_010_053_000021	皇太后卒飲，手賜皇帝酒。
HCH_010_053_000022	皇帝跪，卒飲，退就褥位，再拜，臣僚皆陪拜。
HCH_010_053_000023	若皇帝親賜使相、臣僚、宋使副酒，皆立飲。
HCH_010_053_000024	皇帝升坐，贊應坐臣僚並使副皆拜，稱「萬歲」。
HCH_010_053_000025	贊各就坐。
HCH_010_053_000026	行方裀朵殿臣僚酒，如正旦儀。
HCH_010_053_000027	一進酒，兩廊從人拜，稱「萬歲」，各就坐。
HCH_010_053_000028	親王進酒，如正旦儀。
HCH_010_053_000029	若皇太后手賜親王酒，跪飲訖，退露臺上，五拜。
HCH_010_053_000030	贊祗候。
HCH_010_053_000031	殿上三進酒，行餅茶訖，教坊跪，致語，揖臣僚、使副、廊下從人皆立。
HCH_010_053_000032	口號絕，贊拜亦如之。
HCH_010_053_000033	行茶、行殽膳，皆如之。
HCH_010_053_000034	大饌入，行粥碗。
HCH_010_053_000035	殿上七進酒，使相、臣僚樂曲終，揖廊下從人起，拜，稱「萬歲」、「各好去」，承受官引兩門出。
HCH_010_053_000036	曲破，揖臣僚、使副起，鞠躬。
HCH_010_053_000037	贊拜，皆拜，稱「萬歲」。
HCH_010_053_000038	贊各祗候，引臣僚、使副下殿。
HCH_010_053_000039	契丹臣僚謝宴畢，出。
HCH_010_053_000040	漢人臣僚、使副舞蹈，五拜畢，贊「各好去」。
HCH_010_053_000041	出洞門畢，報閣門無事，皇太后、皇帝起。
HCH_010_053_000042	應聖節，宋遣使來賀生辰、正旦，始制此儀，故詳見《賓儀》。
HCH_010_053_000043	凡五拜：拜，興。
HCH_010_053_000044	再拜，興。
