HCH_010_097_000001	耶律斡特剌，字乙辛隱，許國王寅底石六世孫。
HCH_010_097_000002	少不喜官祿，年四十一，始補本班郎君。
HCH_010_097_000003	時樞密使耶律乙辛擅權，讒害忠良，斡特剌恐禍及，深自抑畏。
HCH_010_097_000004	大康中，為宿直官，歷左、右護衛太保。
HCH_010_097_000005	大安元年，升燕王傅，徙左夷離畢。
HCH_010_097_000006	四年，改北院樞密副使。
HCH_010_097_000007	帝賜詩褒之，遷知北院樞密使事，賜翼聖佐義功臣。
HCH_010_097_000008	北阻卜酋長磨古斯叛，斡特剌率兵進討。
HCH_010_097_000009	會天大雪，敗磨古斯四別部，斬首千餘級，拜西北路招討使，封漆水郡王，加賜宣力守正功臣。
HCH_010_097_000010	尋拜南府宰相。
HCH_010_097_000011	復討閘古胡裏扒部，破之，召為契丹行宮都部署。
HCH_010_097_000012	先是，北、南府有訟，各州府得就按之；比歲，非奉樞密檄，不得鞫問，以故訟者稽留。
HCH_010_097_000013	斡特剌奏請如舊，從之。
HCH_010_097_000014	壽隆五年，復為西北路招討使，討耶睹刮部，俘斬甚眾，獲馬、駝、牛、羊各數萬。
HCH_010_097_000015	明年，擒磨古斯，加守太保，賜奉國匡化功臣。
HCH_010_097_000016	乾統初，乞致仕，不許，止罷招討。
HCH_010_097_000017	復兼南院樞密使，封混同郡王。
HCH_010_097_000018	遷北院樞密使，加守太師，賜推誠贊治功臣。
HCH_010_097_000019	致仕，薨，謚曰敬肅。
HCH_010_097_000020	孩裏，字胡輦，回鶻人。
HCH_010_097_000021	其先在太祖時來貢，願留，因任用之。
HCH_010_097_000022	孩裏重熙間歷近侍長。
HCH_010_097_000023	清寧九年，討重元之亂有功，加金吾衛上將軍，賜平亂功臣。
HCH_010_097_000024	累遷殿前都點檢，以宿衛嚴肅稱。
HCH_010_097_000025	大康初，加守太子太保。
HCH_010_097_000026	二年，加同中書門下平章事。
HCH_010_097_000027	三年，改同知南院宣徽使事。
HCH_010_097_000028	會耶律乙辛出守中京，孩裏入賀；及議復召，陳其不可。
HCH_010_097_000029	後乙辛再入樞府，出孩裏為廣利軍節度使。
HCH_010_097_000030	及皇太子被誣，孩裏當連坐，有詔勿問。
HCH_010_097_000031	大安初，歷品達魯虢部節度使。
HCH_010_097_000032	壽隆五年，有疾，自言吾數已盡，卻醫藥，卒，年七十七。
HCH_010_097_000033	孩裏素信浮圖。
HCH_010_097_000034	清寧初，從上獵，墮馬，憒而復蘇。
HCH_010_097_000035	言始見二人引至一城，宮室宏敞，有衣絳袍人坐殿上，左右列侍，導孩裏升階。
HCH_010_097_000036	持牘者示之曰：「本取大腹骨欲，誤執汝。」
HCH_010_097_000037	牘上書「官至使相，壽七十七」。
HCH_010_097_000038	須臾還，擠之大壑而寤。
HCH_010_097_000039	道宗聞之，命書其事。
HCH_010_097_000040	後皆驗。
HCH_010_097_000041	竇景庸，中京人，中書令振之子。
HCH_010_097_000042	聰敏好學。
HCH_010_097_000043	清寧中，第進士，授秘書省校書郎，累遷少府少監。
HCH_010_097_000044	咸雍六年，授樞密直學士，尋知漢人行宮副部署事。
HCH_010_097_000045	大安初，遷南院樞密副使，監修國史，知樞密院事，賜同德功臣，封陳國公。
HCH_010_097_000046	有疾，表請致仕，不從，加太子太保，授武定軍節度使。
HCH_010_097_000047	審決冤滯，輕重得宜，以獄空聞。
HCH_010_097_000048	七年，拜中京留守。
HCH_010_097_000049	九年薨，謚曰肅憲。
HCH_010_097_000050	子瑜，三司副使。
HCH_010_097_000051	耶律引吉，字阿括，品部人。
HCH_010_097_000052	父雙古，鎮西邊二十餘年，治尚嚴肅，不殖貨利，時多稱之。
HCH_010_097_000053	引吉寅畏好義。
HCH_010_097_000054	以蔭補官，累遷東京副留守、北樞密院侍御。
HCH_010_097_000055	時蕭革、蕭圖古辭等以佞見任，鬻爵納賄，引吉以直道處其間，無所阿唯。
HCH_010_097_000056	改客省使。
HCH_010_097_000057	時朝廷遣使括三京隱戶不得，以引吉代之，得數千餘戶。
HCH_010_097_000058	時昭懷太子知北南院事，選引吉為輔導。
HCH_010_097_000059	樞密使乙辛將傾太子，惡引吉在側，奏出之，為群牧林牙。
HCH_010_097_000060	大康元年，乙辛請賜牧地，引吉奏曰：「今牧地褊狹，畜不蕃息，豈可分賜臣下。」
HCH_010_097_000061	帝乃止。
HCH_010_097_000062	乙辛由是益嫉之，除懷德軍節度使，徙漠北猾水馬群太保，卒。
HCH_010_097_000063	楊績，良鄉人。
HCH_010_097_000064	太平十一年進士及第，累遷南院樞密副使。
HCH_010_097_000065	與杜防、韓知白等擅給進士堂帖，降長寧軍節度使，徙知涿州。
HCH_010_097_000066	清寧初，拜參知政事，兼同知樞密院事，為南府宰相。
