HCH_010_108_000001	孔子稱「小道必有可觀」，醫卜是已。
HCH_010_108_000002	醫以濟夭劄，卜以決猶豫，皆有補於國，有惠於民。
HCH_010_108_000003	前史錄而不遺，故傳。
HCH_010_108_000004	直魯古，吐谷渾人。
HCH_010_108_000005	初，太祖破吐谷渾，一騎士棄橐反射，不中而去。
HCH_010_108_000006	及追兵開橐視之，中得一嬰兒，即直魯古也。
HCH_010_108_000007	因所俘者問其故，乃知射橐者嬰之父也。
HCH_010_108_000008	世善醫，雖馬上視疾，亦知標本。
HCH_010_108_000009	意不欲子為人所得，欲殺之耳。
HCH_010_108_000010	由是進於太祖，淳欽皇后收養之。
HCH_010_108_000011	長亦能醫，專事針灸。
HCH_010_108_000012	太宗時，以太醫給侍。
HCH_010_108_000013	嘗撰《脈訣》、《針灸書》，行於世。
HCH_010_108_000014	年九十卒。
HCH_010_108_000015	王白，冀州人，明天文，善卜筮，晉司天少監，太宗入汴得之。
HCH_010_108_000016	應歷十九年，王子只沒以事下獄，其母求卜，白曰：「此人當王，未能殺也，毋過憂。」
HCH_010_108_000017	景宗即位，釋其罪，封寧王，竟如其言。
HCH_010_108_000018	凡決禍福多此類。
HCH_010_108_000019	保寧中，歷彰武、興國二軍節度使。
HCH_010_108_000020	撰《百中歌》行於世。
HCH_010_108_000021	魏璘，不知何郡人，以卜名世，太宗得於汴。
HCH_010_108_000022	天祿元年，上命馳馬較遲疾，以為勝負。
HCH_010_108_000023	問王白及璘孰勝，白奏曰：「赤者勝。」
HCH_010_108_000024	璘曰：「臣所見，驄馬當勝。」
HCH_010_108_000025	既馳，竟如璘言。
HCH_010_108_000026	上異而問之，白曰：「今日火王，故知赤者勝。」
HCH_010_108_000027	璘曰：「不然，火雖王，而上有煙。以煙察之，青者必勝。」
HCH_010_108_000028	上嘉之。
HCH_010_108_000029	五年，察割謀逆，私卜於璘。
HCH_010_108_000030	璘始卜，謂曰：「大王之數，得一日矣，宜慎之！」
HCH_010_108_000031	及亂，果敗。
HCH_010_108_000032	應歷中，周兵犯燕，上以勝敗問璘。
HCH_010_108_000033	璘曰：「周姓柴也，燕分火也。柴入火，必焚。」
HCH_010_108_000034	其言果驗。
HCH_010_108_000035	璘嘗為太平王罨撒葛卜僭立事，上聞之，免死，流烏古部。
HCH_010_108_000036	一日，節度使召璘，適有獻雙鯉者，戲曰：「君卜此魚何時得食？」
HCH_010_108_000037	璘良久答曰：「公與仆不出今日，有不測禍，奚暇食魚？」
HCH_010_108_000038	亟命烹之。
HCH_010_108_000039	未及食，寇至，俱遇害。
HCH_010_108_000040	耶律敵魯，字撒不碗。
HCH_010_108_000041	其先本五院之族，始置宮分，隸焉。
HCH_010_108_000042	敵魯精於醫，察形色即知病原。
HCH_010_108_000043	雖不診候，有十全功。
HCH_010_108_000044	統和初，為大丞相韓德讓所薦，官至節度使。
HCH_010_108_000045	初，樞密使耶律斜軫妻有沈痾，易數醫不能治。
HCH_010_108_000046	敵魯視之曰：「心有蓄熱，非藥石所及，當以意療。因其聵，聒之使狂，用泄其毒則可。」
HCH_010_108_000047	於是令大擊鉦鼓於前。
HCH_010_108_000048	翌日果狂，叫呼怒罵，力極而止，遂愈。
HCH_010_108_000049	治法多此類，人莫能測。
HCH_010_108_000050	年八十卒。
HCH_010_108_000051	耶律乙不哥，字習撚，六院郎君古直之後。
HCH_010_108_000052	幼好學，尤長於卜筮，不樂仕進。
HCH_010_108_000053	嘗為人擇葬地曰：「後三日，有牛乘人逐牛過者，即啟土。」
HCH_010_108_000054	至期，果一人負乳犢，引牸牛而過。
HCH_010_108_000055	其人曰：「所謂『牛乘人』者，此也。」
HCH_010_108_000056	遂啟土。
HCH_010_108_000057	既葬，吉凶盡如其言。
HCH_010_108_000058	又為失鷹者占曰：「鷹在汝家東北三十里濼西榆上。」
HCH_010_108_000059	往求之，果得。
HCH_010_108_000060	當時占候無不驗。
HCH_010_108_000061	論曰：方技，術者也。
HCH_010_108_000062	茍精其業而不畔於道，君子必取焉。
HCH_010_108_000063	直魯古、王白、耶律敵魯無大得失，錄之宜矣。
HCH_010_108_000064	魏璘為察割卜謀逆，為罨撒葛卜僭立，罪在不貰，雖有寸長，亦奚足取哉。
HCH_010_108_000065	存而弗削，為來者戒。
HCH_010_108_000066	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
