HCH_011_028_000001	裴邃字淵明，河東聞喜人，魏襄州刺史綽之後也。
HCH_011_028_000002	祖壽孫，寓居壽陽，爲宋武帝前軍長史。
HCH_011_028_000003	父仲穆，驍騎將軍。
HCH_011_028_000004	邃十歲能屬文，善《左氏春秋》。
HCH_011_028_000005	齊建武初，刺史蕭遙昌引爲府主簿。
HCH_011_028_000006	壽陽有八公山廟，遙昌爲立碑，使邃爲文，甚見稱賞。
HCH_011_028_000007	舉秀才，對策高第，奉朝請。
HCH_011_028_000008	東昏踐阼，始安王蕭遙光爲撫軍將軍、揚州刺史，引邃爲參軍。
HCH_011_028_000009	後遙光敗，邃還壽陽，值刺史裴叔業以壽陽降魏，豫州豪族皆被驅掠，邃遂隨衆北徙。
HCH_011_028_000010	魏主宣武帝雅重之，以爲司徒屬，中書郎，魏郡太守。
HCH_011_028_000011	魏遣王肅鎮壽陽，邃固求隨肅，密圖南歸。
HCH_011_028_000012	天監初，自拔還朝，除後軍諮議參軍。
HCH_011_028_000013	邃求邊境自效，以爲輔國將軍、廬江太守。
HCH_011_028_000014	時魏將呂頗率衆五萬奄來攻郡，邃率麾下拒破之，加右軍將軍。
HCH_011_028_000015	五年，征邵陽洲，魏人爲長橋斷淮以濟。
HCH_011_028_000016	邃築壘逼橋，每戰輒克，於是密作沒突艦。
HCH_011_028_000017	會甚雨，淮水暴溢，邃乘艦徑造橋側，魏衆驚潰，邃乘勝追擊，大破之。
HCH_011_028_000018	進克羊石城，斬城主元康。
HCH_011_028_000019	又破霍丘城，斬城主甯永仁。
HCH_011_028_000020	平小峴，攻合肥。
HCH_011_028_000021	以功封夷陵縣子，邑三百戶。
HCH_011_028_000022	遷冠軍長史、廣陵太守。
HCH_011_028_000023	邃與鄉人共入魏武廟，因論帝王功業。
HCH_011_028_000024	其妻甥王篆之密啓高祖，云「裴邃多大言，有不臣之迹。」
HCH_011_028_000025	由是左遷爲始安太守。
HCH_011_028_000026	邃志欲立功邊陲，不願閑遠，乃致書於呂僧珍曰：「昔阮咸、顏延有『二始』之歎。吾才不逮古人，今爲三始，非其願也，將如之何！」
HCH_011_028_000027	未及至郡，會魏攻宿預，詔邃拒焉。
HCH_011_028_000028	行次直瀆，魏衆退。
HCH_011_028_000029	遷右軍諮議參軍、豫章王雲麾府司馬，率所領助守石頭。
HCH_011_028_000030	出爲竟陵太守，開置屯田，公私便之。
HCH_011_028_000031	遷爲遊擊將軍、朱衣直閤，直殿省。
HCH_011_028_000032	尋遷假節、明威將軍、西戎校尉、北梁、秦二州刺史。
HCH_011_028_000033	復開創屯田數千頃，倉廩盈實，省息邊運，民吏獲安，乃相率餉絹千餘匹。
HCH_011_028_000034	邃從容曰：「汝等不應爾；吾又不可逆。」
HCH_011_028_000035	納其絹二匹而已。
HCH_011_028_000036	還爲給事中、雲騎將軍、朱衣直閤將軍，遷大匠卿。
HCH_011_028_000037	普通二年，義州刺史文僧明以州叛入于魏，魏軍來援。
HCH_011_028_000038	以邃爲假節、信武將軍，督衆軍討焉。
HCH_011_028_000039	邃深入魏境，從邊城道，出其不意。
HCH_011_028_000040	魏所署義州刺史封壽據檀公峴，邃擊破之，遂圍其城，壽麵縛請降，義州平。
HCH_011_028_000041	除持節、督北徐州諸軍事、信武將軍、北徐州刺史。
HCH_011_028_000042	未之職，又遷督豫州北豫霍三州諸軍事、豫州刺史，鎮合肥。
HCH_011_028_000043	四年，進號宣毅將軍。
HCH_011_028_000044	是歲，大軍將北伐，以邃督征討諸軍事，率騎三千，先襲壽陽。
HCH_011_028_000045	九月壬戌，夜至壽陽，攻其郛，斬關而入，一日戰九合，爲後軍蔡秀成失道不至，邃以援絕拔還。
HCH_011_028_000046	於是邃復整兵，收集士卒，令諸將各以服色相別。
HCH_011_028_000047	邃自爲黃袍騎，先攻狄丘、甓城、黎漿等城，皆拔之。
HCH_011_028_000048	屠安成、馬頭、沙陵等戍。
HCH_011_028_000049	是冬，始修芍陂。
HCH_011_028_000050	明年，復破魏新蔡郡，略地至於鄭城，汝潁之間，所在回應。
HCH_011_028_000051	魏壽陽守將長孫稚、河間王元琛率衆五萬，出城挑戰。
HCH_011_028_000052	邃勒諸將爲四甄以待之，令直閤將軍李祖憐偽遁以引稚，稚等悉衆追之，四甄競發，魏衆大敗。
HCH_011_028_000053	斬首萬餘級。
HCH_011_028_000054	稚等奔走，閉門自固，不敢復出。
HCH_011_028_000055	其年五月，卒於軍中。
HCH_011_028_000056	追贈侍中、左衛將軍，給鼓吹一部，進爵爲侯，增邑七百戶。
HCH_011_028_000057	諡曰烈。
HCH_011_028_000058	邃少言笑，沉深有思略，爲政寬明，能得士心。
HCH_011_028_000059	居身方正有威重，將吏憚之，少敢犯法。
HCH_011_028_000060	及其卒也，淮、肥間莫不流涕，以爲邃不死，洛陽不足拔也。
HCH_011_028_000061	子之禮，字子義，自國子生推第，補邵陵王國左常侍、信威行參軍。
HCH_011_028_000062	王爲南兗，除長流參軍，未行，仍留宿衛，補直閤將軍。
HCH_011_028_000063	丁父憂，服闋襲封，因請隨軍討壽陽，除雲麾將軍，遷散騎常侍。
HCH_011_028_000064	又別攻魏廣陵城，平之，除信武將軍、西豫州刺史，加輕車將軍，除黃門侍郎，遷中軍宣城王司馬。
HCH_011_028_000065	尋爲都督北徐仁睢三州諸軍事、信武將軍、北徐州刺史。
HCH_011_028_000066	徵太子左衛率，兼衛尉卿，轉少府卿。
HCH_011_028_000067	卒，諡曰壯。
HCH_011_028_000068	子政，承聖中，官至給事黃門侍郎。
HCH_011_028_000069	江陵陷，隨例入西魏。
HCH_011_028_000070	之高字如山，邃兄中散大夫髦之子也。
HCH_011_028_000071	起家州從事、新都令、奉朝請，遷參軍。
HCH_011_028_000072	頗讀書，少負意氣，常隨叔父邃征討，所在立功，甚爲邃所器重，戎政咸以委焉。
HCH_011_028_000073	壽陽之役，邃卒於軍所，之高隸夏侯夔，平壽陽，仍除平北豫章長史、梁郡太守，封都城縣男，邑二百五十戶。
HCH_011_028_000074	時魏汝陰來附，敕之高應接，仍除假節、飆勇將軍、潁州刺史。
HCH_011_028_000075	士民夜反，逾城而入，之高率家僮與麾下奮擊，賊乃散走。
HCH_011_028_000076	父憂還京。
HCH_011_028_000077	起爲光遠將軍，合討陰陵盜賊，平之，以爲譙州刺史。
HCH_011_028_000078	又還爲左軍將軍，出爲南譙太守、監北徐州，遷員外散騎常侍。
HCH_011_028_000079	尋除雄信將軍、西豫州刺史，餘如故。
HCH_011_028_000080	侯景亂，之高率衆入援，南豫州刺史、鄱陽嗣王範命之高總督江右援軍諸軍事，頓于張公洲。
HCH_011_028_000081	柳仲禮至橫江，之高遣船舸二百餘艘迎致仲禮，與韋粲等俱會青塘立營，據建興苑。
HCH_011_028_000082	及城陷，之高還合肥，與鄱陽王範西上。
HCH_011_028_000083	稍至新蔡，衆將一萬，未有所屬。
HCH_011_028_000084	元帝遣蕭慧正召之，以爲侍中、護軍將軍。
HCH_011_028_000085	到江陵，承制除特進、金紫光祿大夫。
HCH_011_028_000086	卒，時年七十三。
HCH_011_028_000087	贈侍中、儀同三司，鼓吹一部。
HCH_011_028_000088	諡曰恭。
HCH_011_028_000089	子畿，累官太子右衛率、雋州刺史。
HCH_011_028_000090	西魏攻陷江陵，畿力戰死之。
HCH_011_028_000091	之平字如原，之高第五弟。
HCH_011_028_000092	少亦隨邃征討，以軍功封都亭侯。
HCH_011_028_000093	歷武陵王常侍、扶風、弘農二郡太守，不行，除譙州長史、陽平太守。
HCH_011_028_000094	拒侯景，城陷後，遷散騎常侍、右衛將軍、太子詹事。
HCH_011_028_000095	之橫字如岳，之高第十三弟也。
HCH_011_028_000096	少好賓遊，重氣俠，不事產業。
HCH_011_028_000097	之高以其縱誕，乃爲狹被蔬食以激厲之。
HCH_011_028_000098	之橫歎曰：「大丈夫富貴，必作百幅被。」
HCH_011_028_000099	遂與僮屬數百人，於芍陂大營田墅，遂致殷積。
HCH_011_028_000100	太宗在東宮，聞而要之，以爲河東王常侍、直殿主帥，遷直閤將軍。
HCH_011_028_000101	侯景亂，出爲貞威將軍，隸鄱陽王範討景。
HCH_011_028_000102	景濟江，仍與範長子嗣入援。
HCH_011_028_000103	連營度淮，據東城。
HCH_011_028_000104	京都陷，退還合肥，與範溯流赴湓城。
HCH_011_028_000105	景遣任約上逼晉熙，範令之橫下援，未及至，範薨，之橫乃還。
HCH_011_028_000106	時尋陽王大心在江州，範副梅思立密要大心襲湓城，之橫斬思立而拒大心。
HCH_011_028_000107	大心以州降景。
HCH_011_028_000108	之橫率衆與兄之高同歸元帝，承制除散騎常侍、廷尉卿，出爲河東內史。
HCH_011_028_000109	又隨王僧辯拒侯景於巴陵，景退，遷持節、平北將軍、東徐州刺史，中護軍，封豫寧侯，邑三千戶。
HCH_011_028_000110	又隨僧辯追景，平郢、魯、江、晉等州，恒爲前鋒陷陣。
HCH_011_028_000111	仍至石頭，破景，景東奔，僧辯令之橫與杜崱入守臺城。
HCH_011_028_000112	及陸納據湘州叛，又隸王僧辯南討焉。
HCH_011_028_000113	于陣斬納將李賢明，遂平之。
HCH_011_028_000114	又破武陵王於硤口。
HCH_011_028_000115	還除吳興太守，乃作百幅被，以成其初志。
HCH_011_028_000116	後江陵陷，齊遣上黨王高渙挾貞陽侯攻東關，晉安王方智承制，以之橫爲使持節、鎮北將軍、徐州刺史，都督衆軍，給鼓吹一部，出守蘄城。
HCH_011_028_000117	之橫營壘未周，而齊軍大至，兵盡矢窮，遂於陣沒，時年四十一。
HCH_011_028_000118	贈侍中、司空公，諡曰忠壯。
HCH_011_028_000119	子鳳寶嗣。
