HCH_012_011_000001	恭仁康定景皇帝，諱祁鈺，宣宗次子也。
HCH_012_011_000002	母賢妃吳氏。
HCH_012_011_000003	英宗即位，封郕王。
HCH_012_011_000004	正統十四年秋八月，英宗北狩，皇太后命王監國。
HCH_012_011_000005	丙寅，移通州糧入京師。
HCH_012_011_000006	徵兩畿、山東、河南備倭運糧諸軍入衞，召寧陽侯陳懋帥師還。
HCH_012_011_000007	戊辰，兵部侍郎于謙為本部尚書。
HCH_012_011_000008	令羣臣直言時事，舉人材。
HCH_012_011_000009	己巳，皇太后詔立皇子見深為皇太子。
HCH_012_011_000010	卹陣亡將士。
HCH_012_011_000011	庚午，籍王振家。
HCH_012_011_000012	辛未，右都御史陳鎰撫安畿內軍民。
HCH_012_011_000013	壬申，都督石亨總京營兵。
HCH_012_011_000014	乙亥，諭邊將，瓦剌奉駕至，不得輕出。
HCH_012_011_000015	輸南京軍器於京師。
HCH_012_011_000016	修撰商輅、彭時入閣預機務。
HCH_012_011_000017	是月，廣東賊黃蕭養作亂。
HCH_012_011_000018	九月癸未，王即皇帝位，遙尊皇帝為太上皇帝，以明年為景泰元年，大赦天下，免景泰二年田租十之三。
HCH_012_011_000019	甲申，夷王振族。
HCH_012_011_000020	庚寅，處州賊平。
HCH_012_011_000021	癸巳，指揮僉事季鐸奉皇太后命，達於上皇。
HCH_012_011_000022	甲午，祭宣府、土木陣亡將士瘞遺骸。
HCH_012_011_000023	乙未，總兵官安鄉伯張安討廣州賊，敗死。
HCH_012_011_000024	指揮僉事王清被執，死之。
HCH_012_011_000025	辛丑，給事中孫祥、郎中羅通為右副都御史，守紫荊、居庸關。
HCH_012_011_000026	甲辰，遣御史十五人募兵畿內、山東、山西、河南。
HCH_012_011_000027	都督同知陳友帥師討湖廣、貴州叛苗。
HCH_012_011_000028	乙巳，遣使奉書上皇。
HCH_012_011_000029	丙午，苗圍平越衞，調雲南、四川兵會王驥討之。
HCH_012_011_000030	參議楊信民為右僉都御史，討廣東賊。
HCH_012_011_000031	冬十月戊申，也先擁上皇至大同。
HCH_012_011_000032	壬子，詔諸王勤王。
HCH_012_011_000033	乙卯，于謙提督諸營，石亨及諸將分守九門。
HCH_012_011_000034	丙辰，也先陷紫荊關，孫祥死之，京師戒嚴。
HCH_012_011_000035	丁巳，詔宣府、遼東總兵官，山東、河南、山西、陝西巡撫及募兵御史將兵入援。
HCH_012_011_000036	戊午，也先薄都城，都督高禮、毛福壽敗之於彰義門。
HCH_012_011_000037	己未，右通政王復、太常少卿趙榮使也先營，朝上皇於土城。
HCH_012_011_000038	庚申，徵兵於朝鮮，調河州諸衞土軍入援。
HCH_012_011_000039	于謙、石亨等連敗也先眾於城下。
HCH_012_011_000040	壬戌，寇退。
HCH_012_011_000041	甲子，出紫荊關。
HCH_012_011_000042	丁卯，詔止諸王兵。
HCH_012_011_000043	瓦剌可汗脫脫不花使來。
HCH_012_011_000044	辛未，昌平伯楊洪充總兵官，都督孫鏜、范廣副之，剿畿內餘寇。
HCH_012_011_000045	十一月癸未，修沿邊關隘。
HCH_012_011_000046	辛卯，毛福壽為副總兵，討辰州叛苗。
HCH_012_011_000047	壬辰，上皇至瓦剌。
HCH_012_011_000048	乙未，侍郎耿九疇撫安南畿流民，賜復三年。
HCH_012_011_000049	十二月庚戌，尊皇太后為上聖皇太后。
HCH_012_011_000050	辛亥，王驥為平蠻將軍，充總兵官，討貴州叛苗。
HCH_012_011_000051	都督同知董興為左副總兵，討廣東賊，戶部侍郎孟鑑參贊軍務。
HCH_012_011_000052	癸丑，尊母賢妃為皇太后。
HCH_012_011_000053	甲寅，立妃汪氏為皇后。
HCH_012_011_000054	丙辰，大赦。
HCH_012_011_000055	己未，石亨、楊洪、柳溥分練京營兵。
HCH_012_011_000056	戊辰，祭陣亡官軍於西直門外。
HCH_012_011_000057	是年，琉球中山、占城、烏斯藏、撒馬兒罕入貢。
HCH_012_011_000058	景泰元年春正月丁丑朔，罷朝賀。
HCH_012_011_000059	辛巳，城昌平。
HCH_012_011_000060	壬午，享太廟。
HCH_012_011_000061	丙戌，大祀天地於南郊。
HCH_012_011_000062	閏月甲寅，瓦剌寇寧夏。
HCH_012_011_000063	癸亥，詔會試取士毋拘額。
HCH_012_011_000064	庚午，大同總兵官郭登敗瓦剌於沙窩，又追敗之於栲栳山，封登定襄伯。
HCH_012_011_000065	是月，免大名、真定、開封、衞輝被災稅糧。
HCH_012_011_000066	二月戊寅，耕耤田。
HCH_012_011_000067	癸未，懸賞格招陷敵軍民。
HCH_012_011_000068	丙戌，石亨為鎮朔大將軍，帥師巡大同。
HCH_012_011_000069	都指揮同知楊能充遊擊將軍，巡宣府。
HCH_012_011_000070	壬辰，太監喜寧伏誅。
HCH_012_011_000071	三月己酉，瓦剌寇朔州。
HCH_012_011_000072	辛亥，錄土木死事諸臣後。
HCH_012_011_000073	癸丑，瓦剌寇寧夏、慶陽。
HCH_012_011_000074	乙卯，寇朔州。
HCH_012_011_000075	癸亥，免畿內逋賦及夏稅。
HCH_012_011_000076	夏四月丙子，廣東都指揮李昇、何貴帥兵捕海賊，戰死。
HCH_012_011_000077	辛巳，瓦剌寇大同，官軍擊卻之。
HCH_012_011_000078	丁亥，保定伯梁珤代王驥討貴州叛苗。
HCH_012_011_000079	戊子，大理寺丞李茂錄囚南京，考黜百司，訪軍民利病。
HCH_012_011_000080	丙申，瓦剌寇雁門。
HCH_012_011_000081	己亥，都督同知劉安充總兵官，練兵於保定、真定及涿、易、通三州，僉都御史曹泰參贊軍務。
HCH_012_011_000082	庚子，振山東饑。
HCH_012_011_000083	辛丑，振畿內被寇州縣。
HCH_012_011_000084	癸卯，瓦剌寇大同，郭登擊卻之。
HCH_012_011_000085	五月乙巳，免山西被災稅糧。
HCH_012_011_000086	瓦剌掠河曲、代州，遂南犯，詔劉安督涿、易諸軍禦之。
HCH_012_011_000087	戊申，瓦剌寇雁門，益黃花鎮戍兵衞陵寢，癸丑，董興擊破廣東賊，黃蕭養伏誅。
HCH_012_011_000088	壬戌，振大同被寇軍民。
HCH_012_011_000089	丙寅，侍郎侯璡、副總兵田禮大破貴州苗。
HCH_012_011_000090	辛未，瓦剌遣使請和。
HCH_012_011_000091	六月壬午，瓦剌寇大同，郭登擊卻之。
HCH_012_011_000092	丙戌，也先復擁上皇至大同。
HCH_012_011_000093	丁亥，左都御史陳鎰、王文以鞫太監金英家人不實下獄，尋釋之。
HCH_012_011_000094	戊子，瓦剌寇宣府，都督朱謙、參將紀廣禦卻之。
HCH_012_011_000095	戊戌，免山東被災州縣稅糧。
HCH_012_011_000096	己亥，給事中李實、大理寺丞羅綺使瓦剌。
HCH_012_011_000097	秋七月庚戌，尚書侯璡、參將方瑛破貴州苗，擒其酋獻京師。
HCH_012_011_000098	庚申，右都御史楊善、工部侍郎趙榮使瓦剌。
HCH_012_011_000099	停山西民運糧大同。
HCH_012_011_000100	癸亥，李實、羅綺還。
HCH_012_011_000101	己巳，楊善至瓦剌，也先許上皇歸。
