HCH_012_028_000001	史志五行，始自《漢書》，詳錄五行傳說及其佔應。
HCH_012_028_000002	後代作史者因之。
HCH_012_028_000003	粵稽《洪範》，首敘五行，以其爲天地萬物之所莫能外。
HCH_012_028_000004	而合諸人道，則有五事，稽諸天道，則有庶徵。
HCH_012_028_000005	天人相感，以類而應者，固不得謂理之所無。
HCH_012_028_000006	而傳說則條分縷析，以某異爲某事之應，更旁引曲證，以伸其說。
HCH_012_028_000007	故雖父子師弟，不能無所牴牾，則果有當於敘疇之意歟。
HCH_012_028_000008	夫苟知天人之應捷於影響，庶幾一言一動皆有所警惕。
HCH_012_028_000009	以此垂戒，意非不善。
HCH_012_028_000010	然天道遠，人道邇，逐事而比之，必有驗有不驗。
HCH_012_028_000011	至有不驗，則見以爲無徵而怠焉。
HCH_012_028_000012	前賢之論此悉矣。
HCH_012_028_000013	孔子作《春秋》，紀異而說不書。
HCH_012_028_000014	彼劉、董諸儒之學，頗近於術數禨祥，本無足述。
HCH_012_028_000015	班氏創立此志，不得不詳其學之本原。
HCH_012_028_000016	而歷代之史，往往取前人數見之說，備列簡端。
HCH_012_028_000017	揆之義法，未知所處。
HCH_012_028_000018	故考次洪武以來，略依舊史五行之例，著其祥異，而事應暨舊說之前見者，並削而不載云。
HCH_012_028_000019	《洪範》曰：「水曰潤下」。
HCH_012_028_000020	水不潤下，則失其性矣。
HCH_012_028_000021	前史多以恆寒、恆陰、雪霜、冰雹、雷震、魚孽、蝗蝻、豕禍、龍蛇之孽、馬異、人痾、疾疫、鼓妖、隕石、水潦、水變、黑眚黑祥皆屬之水，今從之。
HCH_012_028_000022	景泰四年冬十一月戊辰至明年孟春，山東、河南、浙江、直隸、淮、徐大雪數尺，淮東之海冰四十餘里，人畜凍死萬計。
HCH_012_028_000023	五年正月，江南諸府大雪連四旬，蘇、常凍餓死者無算。
HCH_012_028_000024	是春，羅山大寒，竹樹魚蚌皆死。
HCH_012_028_000025	衡州雨雪連綿，傷人甚多，牛畜凍死三萬六千蹄。
HCH_012_028_000026	成化十三年四月壬戌，開原大雨雪，畜多凍死。
HCH_012_028_000027	十六年七八月，越巂雨雪交作，寒氣若冬。
HCH_012_028_000028	弘治六年十一月，鄖陽大雪，至十二月壬戌夜，雷電大作，明日復震，後五日雪止，平地三尺餘，人畜多凍死。
HCH_012_028_000029	正德元年四月，雲南武定隕霜殺麥，寒如冬。
HCH_012_028_000030	萬曆五年六月，蘇、鬆連雨，寒如冬，傷稼。
HCH_012_028_000031	四十六年四月辛亥，陝西大雨雪，橐駝凍死二千蹄。
HCH_012_028_000032	洪武十八年二月，久陰。
HCH_012_028_000033	正統五年七月戊午、己未及癸亥，曉刻陰沉，四方濃霧不辨人。
HCH_012_028_000034	八年，邳、海二州陰霧彌月，夏麥多損。
