HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000002	元直隸中書省，又分置山東東西道宣慰司治益都路屬焉。
HCH_012_041_000003	洪武元年四月置山東等處行中書省。
HCH_012_041_000004	治濟南府。
HCH_012_041_000005	三年十二月置青州都衛。
HCH_012_041_000006	治青州府。
HCH_012_041_000007	八年十月改都衛爲山東都指揮使司。
HCH_012_041_000008	九年六月改行中書省爲承宣布政使司。
HCH_012_041_000009	領府六，屬州十五，縣八十九。
HCH_012_041_000010	爲裏六千四百有奇。
HCH_012_041_000011	南至郯城，與南直界。
HCH_012_041_000012	北至無棣，與北直界。
HCH_012_041_000013	西至定陶，與北直、河南界。
HCH_012_041_000014	東至海。
HCH_012_041_000015	距南京一千八百五十里，京師九百里。
HCH_012_041_000016	洪武二十六年編戶七十五萬三千八百九十四，口五百二十五萬五千八百七十六。
HCH_012_041_000017	弘治四年，戶七十七萬五百五十五，口六百七十五萬九千六百七十五。
HCH_012_041_000018	萬曆六年，戶一百三十七萬二千二百六，口五百六十六萬四千九十九。
HCH_012_041_000019	濟南府元濟南路，屬山東東西道宣慰司。
HCH_012_041_000020	太祖吳元年爲府。
HCH_012_041_000021	領州四，縣二十六：歷城倚。
HCH_012_041_000022	天順元年建德王府。
HCH_012_041_000023	南有歷山。
HCH_012_041_000024	東有華不注山。
HCH_012_041_000025	有大清河在西北，即濟水故道，自壽張縣流經縣界，東北至利津入海。
HCH_012_041_000026	又小清河，即濟之南源，一名濼水，出城西趵突泉，經城北，下流至樂安縣入海。
HCH_012_041_000027	又大明湖在城內。
HCH_012_041_000028	又東北有堰頭鎮巡檢司。
HCH_012_041_000029	章丘府東。
HCH_012_041_000030	東有長白山，又有黌山。
HCH_012_041_000031	南有東陵山，又有長城嶺。
HCH_012_041_000032	又小清河在北。
HCH_012_041_000033	又東有淯河，一名繡江，合諸泉西北匯爲白雲湖，下流入小清河。
HCH_012_041_000034	鄒平府東北。
HCH_012_041_000035	西南有長白山，接章丘、長山二縣界。
HCH_012_041_000036	北有小清河。
HCH_012_041_000037	淄川府東。
HCH_012_041_000038	元般陽路治此，屬山東東西道宣慰司。
HCH_012_041_000039	太祖吳元年改路爲淄川州，縣仍爲附郭。
HCH_012_041_000040	二年七月，州廢，來屬。
HCH_012_041_000041	西南有夾谷山。
HCH_012_041_000042	南有原山，與萊蕪縣界，其山陰淄水出焉。
HCH_012_041_000043	又西有孝婦河，自益都縣流入，合瀧、萌、般諸水，下流入小清河。
HCH_012_041_000044	長山府東北。
HCH_012_041_000045	元屬般陽路。
HCH_012_041_000046	洪武二年七月來屬。
HCH_012_041_000047	西南有長白山。
HCH_012_041_000048	西北有小清河。
HCH_012_041_000049	南有孝婦河。
HCH_012_041_000050	新城府東北。
HCH_012_041_000051	元屬般陽路。
HCH_012_041_000052	洪武二年七月來屬。
HCH_012_041_000053	七年十二月省入長山、高苑二縣，後復置。
HCH_012_041_000054	北有小清河。
HCH_012_041_000055	西北有孝婦河。
HCH_012_041_000056	東有烏河，其上流即時水，下流至高苑縣入小清河。
HCH_012_041_000057	齊河府西。
HCH_012_041_000058	元屬德州。
HCH_012_041_000059	洪武二年七月改屬府。
HCH_012_041_000060	有大清河。
HCH_012_041_000061	齊東府東。
HCH_012_041_000062	元屬河間路。
HCH_012_041_000063	洪武初來屬。
HCH_012_041_000064	北有大清河。
HCH_012_041_000065	東有減水河，成化元年開浚，泄小清河漲溢入大清河。
HCH_012_041_000066	濟陽府北。
HCH_012_041_000067	南有大清河。
HCH_012_041_000068	禹城府西北。
HCH_012_041_000069	元屬曹州。
HCH_012_041_000070	洪武二十年來屬。
HCH_012_041_000071	西有漯水枯河，俗名土河。
HCH_012_041_000072	臨邑府北。
HCH_012_041_000073	元屬河間路。
HCH_012_041_000074	洪武初來屬。
HCH_012_041_000075	西北有盤河。
HCH_012_041_000076	長清府西南。
HCH_012_041_000077	元屬泰安州。
HCH_012_041_000078	洪武二年七月改屬府。
HCH_012_041_000079	東南有青崖山、隔馬山、方山。
HCH_012_041_000080	西南有大清河。
