HCH_012_042_000001	河南《禹貢》豫、冀、揚、兗四州之域。
HCH_012_042_000002	元以河北地直隸中書省，河南地置河南江北行中書省。
HCH_012_042_000003	治汴梁路。
HCH_012_042_000004	洪武元年五月置中書分省。
HCH_012_042_000005	治開封府。
HCH_012_042_000006	二年四月改分省爲河南等處行中書省。
HCH_012_042_000007	三年十二月置河南都衛。
HCH_012_042_000008	八年十月改都衛爲都指揮使司。
HCH_012_042_000009	九年六月改行中書省爲承宣布政使司。
HCH_012_042_000010	府八，直隸州一，屬州十一，縣九十六。
HCH_012_042_000011	爲裏三千八百八十有奇。
HCH_012_042_000012	北至武安，與北直、山西界。
HCH_012_042_000013	南至信陽，與江南、湖廣界。
HCH_012_042_000014	東至永城，與山東、江南界。
HCH_012_042_000015	西至陝州，與山西、陝西界。
HCH_012_042_000016	距南京一千一百七十五里，京師一千五百八十里。
HCH_012_042_000017	洪武二十六年編戶三十一萬五千六百一十七，口一百九十一萬二千五百四十二。
HCH_012_042_000018	弘治四年，戶五十七萬五千二百四十九，口四百三十六萬四百七十六。
HCH_012_042_000019	萬曆六年，戶六十三萬三千六十七，口五百一十九萬三千六百二。
HCH_012_042_000020	開封府元汴梁路，屬河南江北行省。
HCH_012_042_000021	洪武元年五月曰開封府。
HCH_012_042_000022	八月建北京。
HCH_012_042_000023	十一年，京罷。
HCH_012_042_000024	領州四，縣三十：祥符倚。
HCH_012_042_000025	洪武十一年正月建周王府。
HCH_012_042_000026	大河舊在城北。
HCH_012_042_000027	正統十三年，河決滎陽，東過城西南，而城遂在河北。
HCH_012_042_000028	東爲開封縣，元時同治郭內，洪武中省。
HCH_012_042_000029	南有硃仙鎮。
HCH_012_042_000030	東北有陳橋鎮。
HCH_012_042_000031	陳留府東少南。
HCH_012_042_000032	北有大河。
HCH_012_042_000033	東北有睢水，下流至南直宿遷縣合泗水。
HCH_012_042_000034	杞府東南。
HCH_012_042_000035	北有睢水，又有舊黃河，洪武二十五年河決之故道也。
HCH_012_042_000036	嘉靖三十六年，全河合淮入海，而縣遂無河患。
HCH_012_042_000037	通許府東南。
HCH_012_042_000038	西南有故黃河，弘治後北徙，不經縣界。
HCH_012_042_000039	太康府東南。
HCH_012_042_000040	北有渦水，自通許縣流入，下流至南直懷遠縣入淮。
