HCH_012_043_000001	四川《禹貢》樑、荊二州之域。
HCH_012_043_000002	元置四川等處行中書省。
HCH_012_043_000003	治成都路。
HCH_012_043_000004	又置羅羅蒙慶等處宣慰司，治建昌路。
HCH_012_043_000005	屬雲南行中書省。
HCH_012_043_000006	洪武四年六月平明升。
HCH_012_043_000007	七月置四川等處行中書省。
HCH_012_043_000008	九月置成都都衛。
HCH_012_043_000009	與行中書省同治。
HCH_012_043_000010	八年十月改都衛爲四川都指揮使司。
HCH_012_043_000011	領招討司一，宣慰司二，安撫司五，長官司二十二及諸衛所。
HCH_012_043_000012	九年六月改行中書省爲承宣布政使司。
HCH_012_043_000013	領府十三，直隸州六，宣撫司一，安撫司一，屬州十五，縣百十一，長官司十六。
HCH_012_043_000014	爲裏千一百五十有奇。
HCH_012_043_000015	北至廣元，與陝西界。
HCH_012_043_000016	東至巫山，與湖廣界。
HCH_012_043_000017	南至烏撒、東川，與貴州、雲南界。
HCH_012_043_000018	西至威茂，與西番界。
HCH_012_043_000019	距南京七千二百六十里，京師一萬七百一十里。
HCH_012_043_000020	洪武二十六年編戶二十一萬五千七百一十九，口一百四十六萬六千七百七十八。
HCH_012_043_000021	弘治四年，戶二十五萬三千八百三，口二百五十九萬八千四百六十。
HCH_012_043_000022	萬曆六年，戶二十六萬二千六百九十四，口三百一十萬二千七十三。
HCH_012_043_000023	成都府元成都路。
HCH_012_043_000024	洪武四年爲府。
HCH_012_043_000025	領州六，縣二十五：成都倚。
HCH_012_043_000026	洪武十一年建蜀王府。
HCH_012_043_000027	華陽倚。
HCH_012_043_000028	北有武擔山。
HCH_012_043_000029	又有外江，自灌縣分流經城北，繞城而南，一名清遠江。
HCH_012_043_000030	又有內江，亦自灌縣分流經城南，繞城而東，亦名石犀渠。
HCH_012_043_000031	合流南注於大江。
HCH_012_043_000032	此府城之內、外江也。
HCH_012_043_000033	東有寧州衛，洪武十一年四月置。
HCH_012_043_000034	東南有馬軍寨巡檢司。
HCH_012_043_000035	雙流府西南。
HCH_012_043_000036	洪武十年五月省入華陽縣。
HCH_012_043_000037	十三年十一月復置。
HCH_012_043_000038	東南有牧馬川，即府在內、外江下流也。
HCH_012_043_000039	郫府西。
HCH_012_043_000040	有內江，一名郫江，即府城內江之上流也。
HCH_012_043_000041	溫江府西少南。
HCH_012_043_000042	西南有皁江，亦曰內江。
HCH_012_043_000043	新繁府西北。
HCH_012_043_000044	洪武十年五月省入成都縣。
HCH_012_043_000045	十三年十一月復置。
HCH_012_043_000046	西北有沱江。
HCH_012_043_000047	又西有湔㳛口。
HCH_012_043_000048	新都府北。
HCH_012_043_000049	東有雒水，自什邡縣流經此，下流至瀘州入大江，亦曰中水。
HCH_012_043_000050	北有湔水，即大江別流，自灌縣東北出，流經此，至漢州入雒水。
HCH_012_043_000051	東北有綿水，自漢州流至此入雒江。
HCH_012_043_000052	三水同流，亦曰郫江也。
HCH_012_043_000053	彭府北。
HCH_012_043_000054	元彭州。
HCH_012_043_000055	洪武十年五月降爲縣。
HCH_012_043_000056	北有九隴山，有葛王貴山，又有大隋山、中隋山。
HCH_012_043_000057	南有沱江，又北有濛水流合焉。
HCH_012_043_000058	又東有濛陽縣，元屬彭州。
HCH_012_043_000059	洪武十年五月省。
HCH_012_043_000060	又北有白石溝巡檢司。
HCH_012_043_000061	崇寧府西北。
HCH_012_043_000062	元屬彭州。
HCH_012_043_000063	洪武四年屬府。
HCH_012_043_000064	十年五月省入灌縣。
HCH_012_043_000065	十三年十一月復置。
HCH_012_043_000066	南有沱江。
HCH_012_043_000067	灌府西少北。
HCH_012_043_000068	元灌州。
HCH_012_043_000069	洪武中，降爲縣。
HCH_012_043_000070	西北有灌口山。
HCH_012_043_000071	又有玉壘山，下有玉壘關，一名七盤關。
HCH_012_043_000072	又西南有青城山。
HCH_012_043_000073	又西有湔江，亦曰都江，亦曰湔堋江，古離堆也。
HCH_012_043_000074	岷江經此，正流引而南，支流分三道，繞成都境。
HCH_012_043_000075	有石渠水口。
HCH_012_043_000076	又有白沙水，下流入都江。
HCH_012_043_000077	又南有沱江，即郫江上源也。
HCH_012_043_000078	又西有蠶崖關巡檢司。
HCH_012_043_000079	西南有獠澤關。
HCH_012_043_000080	金堂府東。
HCH_012_043_000081	洪武十年五月省入新都縣。
HCH_012_043_000082	十三年十一月復置。
HCH_012_043_000083	東北有三學山。
HCH_012_043_000084	南有云頂山。
HCH_012_043_000085	有金堂峽，雒水經此，曰金堂河。
HCH_012_043_000086	東南又有懷口巡檢司。
HCH_012_043_000087	仁壽府南少東。
HCH_012_043_000088	東有麗甘山，下有鹽井。
HCH_012_043_000089	東有三嵎山，又有蟠溪，下流入資江。
HCH_012_043_000090	又南有陵井，產鹽，亦曰仙井。
HCH_012_043_000091	井研府南少東。
HCH_012_043_000092	洪武六年十二月置。
HCH_012_043_000093	十年五月省入仁壽縣。
HCH_012_043_000094	十三年十一月復置。
HCH_012_043_000095	東北有鐵山，舊產鐵。
HCH_012_043_000096	南有鹽井。
HCH_012_043_000097	資府東。
HCH_012_043_000098	明玉珍置資州。
HCH_012_043_000099	洪武初，降爲縣。
HCH_012_043_000100	南有珠江，即雒江也，東流爲資江。
HCH_012_043_000101	東有銀山鎮巡檢司。
HCH_012_043_000102	內江府東南。
HCH_012_043_000103	洪武中置。
HCH_012_043_000104	西有中江，即雒之異名。
HCH_012_043_000105	南有椑木鎮巡檢司。
HCH_012_043_000106	安府北少東。
HCH_012_043_000107	元安州，治在西北。
HCH_012_043_000108	洪武中，降爲縣，移於今治。
HCH_012_043_000109	南有浮山，黑水出焉，南流入羅江縣界。
HCH_012_043_000110	北有曲山關。
HCH_012_043_000111	東有小東壩關。
HCH_012_043_000112	又東南有睢水關，關西有綿堰堡，綿水發源處也。
HCH_012_043_000113	簡州洪武六年降爲縣。
HCH_012_043_000114	正德八年又升爲州。
HCH_012_043_000115	舊治在絳河北。
HCH_012_043_000116	正德八年徙治河南。
HCH_012_043_000117	東北有石鼓山。
HCH_012_043_000118	西有分棟山。
HCH_012_043_000119	東有雁水，即雒水也，絳水自北來合焉，一名赤水，亦曰牛鞞水。
HCH_012_043_000120	又城內有牛皮井，產鹽。
HCH_012_043_000121	西有龍泉鎮巡檢司。
HCH_012_043_000122	西南有陽安關。
HCH_012_043_000123	西北距府百五十里。
HCH_012_043_000124	領縣一：資陽州東。
HCH_012_043_000125	洪武六年十二月置，屬府。
HCH_012_043_000126	十年五月省入簡縣。
HCH_012_043_000127	成化元年七月復置，仍屬府。
HCH_012_043_000128	正德中，改屬州。
HCH_012_043_000129	西有資溪，流入雁水。
HCH_012_043_000130	東有資陽鎮巡檢司，後移治濛溪河。
HCH_012_043_000131	崇慶州元治晉原縣。
HCH_012_043_000132	洪武中省縣入州。
HCH_012_043_000133	西有鶴鳴山。
HCH_012_043_000134	西北有鄩江，東流入新津界。
HCH_012_043_000135	又北有味江，東北有白馬江，皆岷江南出之別名也。
HCH_012_043_000136	西北有永康縣。
HCH_012_043_000137	東南有江源縣，明玉珍復置，洪武初省。
HCH_012_043_000138	西有清溪口巡檢司。
HCH_012_043_000139	東北距府百十里。
HCH_012_043_000140	領縣一：新津州東。
HCH_012_043_000141	南有天社山。
HCH_012_043_000142	南枕大江，一名皁江。
HCH_012_043_000143	東有北江，亦曰新穿水，自府城南流經此合大江。
HCH_012_043_000144	漢州明玉珍復置雒縣，爲州治。
HCH_012_043_000145	洪武四年省縣入州。
HCH_012_043_000146	東有雒水，有綿水。
HCH_012_043_000147	又西南有湔水，流入雒。
HCH_012_043_000148	又北有雁水，亦流入雒，故雒水亦兼雁水之名。
HCH_012_043_000149	又東北有石亭水，流合綿水。
HCH_012_043_000150	東南有三水關巡檢司。
HCH_012_043_000151	西南距府百十里。
HCH_012_043_000152	領縣三：什邡州西。
HCH_012_043_000153	洪武十年五月省入綿竹縣。
HCH_012_043_000154	十三年十一月復置。
HCH_012_043_000155	西北有章山，雒水出此，亦名雒通山。
HCH_012_043_000156	南有高鏡關，雒水經其南。
HCH_012_043_000157	又西有大逢山。
HCH_012_043_000158	綿竹州西北。
HCH_012_043_000159	西北有紫巖山，綿水出焉。
HCH_012_043_000160	又有紫溪河，一名射水河。
HCH_012_043_000161	又北有睢水關。
HCH_012_043_000162	德陽州東北。
HCH_012_043_000163	洪武十年五月省入漢州。
HCH_012_043_000164	十三年十一月復置。
HCH_012_043_000165	北有鹿頭山，上有鹿頭關。
HCH_012_043_000166	東有綿水。
HCH_012_043_000167	西南有石亭水。
HCH_012_043_000168	南有白馬關巡檢司。
HCH_012_043_000169	綿州元屬潼川府。
HCH_012_043_000170	洪武三年來屬。
HCH_012_043_000171	十年五月降爲縣。
HCH_012_043_000172	十三年十一月復爲州。
HCH_012_043_000173	東有富樂山。
HCH_012_043_000174	西有涪水，源出松潘衛，泫經此，亦曰綿江，下流至合州，合於嘉陵江。
HCH_012_043_000175	又西北有安昌水，一名龍安水，東南流合涪水。
HCH_012_043_000176	又東有潺水，亦合於涪水。
HCH_012_043_000177	東有魏城巡檢司。
HCH_012_043_000178	西南距府三百六十里。
HCH_012_043_000179	領縣二：羅江州南。
HCH_012_043_000180	洪武六年十二月省入綿州。
HCH_012_043_000181	十三年十一月復置。
HCH_012_043_000182	東北有羅江，涪水與安昌水會流處也。
HCH_012_043_000183	又西有黑水，自安縣流入界。
HCH_012_043_000184	又西南有白馬關巡檢司，關與德陽縣鹿頭關相對。
HCH_012_043_000185	彰明州北。
HCH_012_043_000186	洪武十年五月省入綿縣。
HCH_012_043_000187	十三年十一月復置。
HCH_012_043_000188	東北有太華山。
HCH_012_043_000189	西有涪江，北有廉水，西有讓水，俱流入焉。
HCH_012_043_000190	茂州元治汶山縣，屬陝西行省吐番宣慰司。
HCH_012_043_000191	洪武中省縣入州。
HCH_012_043_000192	十六年復置縣，後復省。
HCH_012_043_000193	南有岷山，即隴山之南首也。
HCH_012_043_000194	汶江自松潘衛流入，經山下，又東經州城西，東南流，迴環於四川、湖廣、江西三布政司及南直隸之地，入於海，幾七千餘里。
HCH_012_043_000195	南有雞宗關、東有積水關、北有魏磨關三巡檢司。
HCH_012_043_000196	又南有七星關，又有雁門關。
