HCH_012_111_000001	七卿，前史無表也，曷為表？
HCH_012_111_000002	明太祖十三年罷丞相，政歸六部，部權重也。
HCH_012_111_000003	洪、宣以後，閣體既尊，而權亦漸重，於是閣部相持，凡廷推考察，各騁意見，以營其私，而黨局分焉。
HCH_012_111_000004	科道庶僚，乘其間隙，參奏紛拿。
HCH_012_111_000005	馴至神宗，厭其囂聒，置而不論，而被核多者，其人自去。
HCH_012_111_000006	逮熹宗朝，則正論澌滅矣。
HCH_012_111_000007	莊烈矯之，卒不能救。
HCH_012_111_000008	二百七十年間，七卿之正直而獨立者若而人，偏邪而嫉能者若而人，貪庸而媚宰輔者若而人，備列之，可以觀世變矣，作七卿表。
HCH_012_111_000009	自洪武十三年始。
HCH_012_111_000010	成祖遷都，南京止設侍郎，仁宗乃有尚書、都御史而未備。
HCH_012_111_000011	備官自孝宗始，其權位重者曰參贊機務，憲宗後乃專屬之兵部。
HCH_012_111_000012	然累世承平，履其任者，惟養清望而已，無關政本，故不具錄。
