HCH_012_123_000001	陳友諒，沔陽漁家子也。
HCH_012_123_000002	本謝氏，祖贅于陳，因從其姓。
HCH_012_123_000003	少讀書，略通文義。
HCH_012_123_000004	有術者相其先世墓地，曰「法當貴」，友諒心竊喜。
HCH_012_123_000005	嘗為縣小吏，非其好也。
HCH_012_123_000006	徐壽輝兵起，友諒往從之，依其將倪文俊為簿掾。
HCH_012_123_000007	壽輝，羅田人，又名真一，業販布。
HCH_012_123_000008	元末盜起，袁州僧彭瑩玉以妖術與麻城鄒普勝聚眾為亂，用紅巾為號，奇壽輝狀貌，遂推為主。
HCH_012_123_000009	至正十一年九月陷蘄水及黃州路，敗元威順王寬徹不花。
HCH_012_123_000010	遂即蘄水為都，稱皇帝，國號天完，建元治平，以普勝為太師。
HCH_012_123_000011	未幾，陷饒、信。
HCH_012_123_000012	明年分兵四出，連陷湖廣、江西諸郡縣。
HCH_012_123_000013	遂破昱嶺關，陷杭州。
HCH_012_123_000014	別將趙普勝等陷太平諸路。
HCH_012_123_000015	勢大振。
HCH_012_123_000016	然無遠志，所得不能守。
HCH_012_123_000017	明年為元師所破，壽輝走免。
HCH_012_123_000018	已而復熾，遷都漢陽，為其丞相倪文俊所制。
HCH_012_123_000019	十七年九月，文俊謀弑壽輝，不克，奔黃州。
HCH_012_123_000020	時友諒隸文俊麾下，數有功，為領兵元帥。
HCH_012_123_000021	遂乘釁殺文俊，並其兵，自稱宣慰使，尋稱平章政事。
HCH_012_123_000022	明年，陷安慶，又破龍興、瑞州，分兵取邵武、吉安，而自以兵入撫州。
HCH_012_123_000023	已，又破建昌、贛、汀、信、衢。
HCH_012_123_000024	當是時，江以南惟友諒兵最強。
HCH_012_123_000025	太祖之取太平也，與為鄰。
HCH_012_123_000026	友諒陷元池州，太祖遣常遇春擊取之，由是數相攻擊。
HCH_012_123_000027	趙普勝者，故驍將，號「雙刀趙」。
HCH_012_123_000028	初與俞通海等屯巢湖，同歸太祖，叛去歸壽輝。
HCH_012_123_000029	至是為友諒守安慶，數引兵爭池州、太平，往來掠境上。
HCH_012_123_000030	太祖患之，啖普勝客，使潛入友諒軍間普勝。
HCH_012_123_000031	普勝不之覺，見友諒使者輒訴功，悻悻有德色。
HCH_012_123_000032	友諒銜之，疑其貳於己，以會師為名，自江州猝至。
HCH_012_123_000033	普勝以燒羊逆於雁漢。
HCH_012_123_000034	甫登舟，友諒即殺普勝，並其軍。
HCH_012_123_000035	乃以輕兵襲池州，為徐達等擊敗，師盡覆。
HCH_012_123_000036	始友諒破龍興，壽輝欲徙都之，友諒不可。
HCH_012_123_000037	未幾，壽輝遽發漢陽，次江州。
HCH_012_123_000038	江州，友諒治所也，伏兵郭外，迎壽輝入，即閉城門，悉殺其所部。
HCH_012_123_000039	即江州為都，奉壽輝以居，而自稱漢王，置王府官屬。
HCH_012_123_000040	遂挾壽輝東下，攻太平。
HCH_012_123_000041	太平城堅不可拔，乃引巨舟薄城西南。
HCH_012_123_000042	士卒緣舟尾攀堞而登，遂克之。
HCH_012_123_000043	志益驕。
