HCH_012_125_000001	徐達，字天德，濠人，世業農。
HCH_012_125_000002	達少有大志，長身高顴，剛毅武勇。
HCH_012_125_000003	太祖之為郭子興部帥也，達時年二十二，往從之，一見語合。
HCH_012_125_000004	及太祖南略定遠，帥二十四人往，達首與焉。
HCH_012_125_000005	尋從破元兵於滁州澗，從取和州，子興授達鎮撫。
HCH_012_125_000006	子興執孫德崖，德崖軍亦執太祖，達挺身詣德崖軍請代，太祖乃得歸，達亦獲免。
HCH_012_125_000007	從渡江，拔採石，取太平，與常遇春皆為軍鋒冠。
HCH_012_125_000008	從破擒元將陳野先，別將兵取溧陽、溧水，從下集慶。
HCH_012_125_000009	太祖身居守，而命達為大將，帥諸軍東攻鎮江，拔之。
HCH_012_125_000010	號令明肅，城中宴然。
HCH_012_125_000011	授淮興翼統軍元帥。
HCH_012_125_000012	時張士誠已據常州，挾江東叛將陳保二以舟師攻鎮江。
HCH_012_125_000013	達敗之于龍潭，遂請益兵以圍常州。
HCH_012_125_000014	士誠遣將來援。
HCH_012_125_000015	達以敵狡而銳，未易力取，乃離城設二伏以待，別遣將王均用為奇兵，而自督軍戰。
HCH_012_125_000016	敵退走遇伏，大敗之，獲其張、湯二將，進圍常州。
HCH_012_125_000017	明年克之。
HCH_012_125_000018	進僉樞密院事。
HCH_012_125_000019	繼克甯國，徇宜興，使前鋒趙德勝下常熟，擒士誠弟士德。
HCH_012_125_000020	明年復攻宜興，克之。
HCH_012_125_000021	太祖自將攻婺州，命達留守應天，別遣兵襲破天完將趙普勝，復池州。
HCH_012_125_000022	遷奉國上將軍、同知樞密院事。
HCH_012_125_000023	進攻安慶，自無為陸行，夜掩浮山寨，破普勝部將于青山，遂克潛山。
HCH_012_125_000024	還鎮池州，與遇春設伏，敗陳友諒軍于九華山下，斬首萬人，生擒三千人。
HCH_012_125_000025	遇春曰：「此勁旅也，不殺為後患。」
HCH_012_125_000026	達不可，乃以狀聞。
HCH_012_125_000027	而遇春先以夜坑其人過半，太祖不懌，悉縱遣餘眾。
HCH_012_125_000028	於是始命達盡護諸將。
HCH_012_125_000029	陳友諒犯龍江，達軍南門外，與諸將力戰破之，追及之慈湖，焚其舟。
HCH_012_125_000030	明年，從伐漢，取江州。
HCH_012_125_000031	友諒走武昌，達追之。
HCH_012_125_000032	友諒出戰艦沔陽，達營漢陽沌口以遏之。
HCH_012_125_000033	進中書右丞。
