HCH_012_138_000001	陳修，字伯昂，上饒人。
HCH_012_138_000002	從太祖平浙東，授理官。
HCH_012_138_000003	援引律令，悉本寬厚，盡改元季弊政。
HCH_012_138_000004	擢兵部郎中，遷濟南知府。
HCH_012_138_000005	時亂後，比戶彫殘，且多衛將練兵屯田其間。
HCH_012_138_000006	修撫治有方，兵民相安，流亡復業。
HCH_012_138_000007	帝嘉之。
HCH_012_138_000008	洪武四年拜吏部尚書。
HCH_012_138_000009	六部之設，始自洪武元年。
HCH_012_138_000010	鎮江滕毅首長吏部，佐省台裁定銓除考課諸法略具。
HCH_012_138_000011	至是修與侍郎李仁詳考舊典，參以時宜，按地沖僻，為設官煩簡。
HCH_012_138_000012	凡庶司黜陟及課功核實之法，皆精心籌畫，銓法秩然。
HCH_012_138_000013	未幾，卒官。
HCH_012_138_000014	其後部制屢創。
HCH_012_138_000015	令入覲官各舉所知，定內外封贈廕敘之典，自浮山李信始。
HCH_012_138_000016	天下朝正官各造事蹟文冊，圖畫土地人民以進，及撥用吏員法，自昆山餘熂始。
HCH_012_138_000017	仿《唐六典》，自五府、六部、都察院以下諸司設官分職，編集為書曰《諸司職掌》；定吏役考滿，給由法以為司、衛、府、縣首領；選監生能文章者兼除州縣官及學正、教諭，自泰興翟善始。
HCH_012_138_000018	三年一朝，考核等第，自沂水杜澤始。
HCH_012_138_000019	此洪武時銓政大略也。
HCH_012_138_000020	六部初屬中書省，權輕，多仰承丞相意指。
HCH_012_138_000021	毅、修及詹同、吳琳、趙好德輩，居吏部稱賢，然亦無大建豎。
HCH_012_138_000022	至十三年，中書省革，部權乃專，而銓衡為尤要。
HCH_012_138_000023	顧帝用法嚴，熂以排宋訥誅，善貶，澤拜尚書。
HCH_012_138_000024	未數月罷。
HCH_012_138_000025	惟信曆侍郎，拜尚書，幾二載，卒於官雲。
HCH_012_138_000026	滕毅，字仲弘。
HCH_012_138_000027	太祖征吳，以儒士見，留徐達幕下。
HCH_012_138_000028	尋除起居注。
HCH_012_138_000029	命與楊訓文集古無道之君若桀、紂、秦始皇、隋煬帝行事以進。
HCH_012_138_000030	曰：「吾欲觀喪亂之由，以為炯戒耳。」
HCH_012_138_000031	吳元年出為湖廣按察使。
HCH_012_138_000032	尋召還，擢居吏部一月，改江西行省參政，卒。
HCH_012_138_000033	趙好德，字秉彝，汝陽人。
HCH_012_138_000034	由安慶知府入為戶部侍郎。
HCH_012_138_000035	進尚書，改吏部。
HCH_012_138_000036	帝嘉其典銓平，嘗召與四輔官入內殿。
HCH_012_138_000037	坐論治道，命畫史圖像禁中。
HCH_012_138_000038	終陝西參政。
HCH_012_138_000039	子毅，永樂中，官至工部侍郎。
HCH_012_138_000040	翟善，字敬夫，以貢舉曆官吏部文選司主事。
HCH_012_138_000041	二十六年，尚書詹徽、侍郎傅友文誅，命善署部事，再遷至尚書。
HCH_012_138_000042	明於經術，奏對合帝意。
HCH_012_138_000043	帝曰：「善雖年少，氣宇恢廓，他人莫及也。」
HCH_012_138_000044	欲為營第於鄉，善辭。
HCH_012_138_000045	又欲除其家戍籍，善曰：「戍卒宜增，豈可以臣破例。」
HCH_012_138_000046	帝益以為賢。
HCH_012_138_000047	二十八年坐事，降宣化知縣以終。
HCH_012_138_000048	李仁，唐縣人。
HCH_012_138_000049	初仕陳友諒。
HCH_012_138_000050	王師克武昌，來歸。
HCH_012_138_000051	以常遇春薦，代陶安知黃州府。
HCH_012_138_000052	曆官侍郎，進尚書。
HCH_012_138_000053	坐事謫青州，政最。
HCH_012_138_000054	擢戶部侍郎，致仕。
HCH_012_138_000055	吳琳，黃崗人。
HCH_012_138_000056	太祖下武昌，以詹同薦，召為國子助教。
HCH_012_138_000057	經術逾於同。
HCH_012_138_000058	吳元年除浙江按察司僉事，復入為起居注。
HCH_012_138_000059	命齎幣帛求書于四方。
HCH_012_138_000060	洪武六年，自兵部尚書改吏部，嘗與同迭主部事。
HCH_012_138_000061	逾年，乞歸。
HCH_012_138_000062	帝嘗遣使察之。
HCH_012_138_000063	使者潛至旁舍，一農人坐小杌，起拔稻苗布田，貌甚端謹。
HCH_012_138_000064	使者前曰：「此有吳尚書者，在否？」
HCH_012_138_000065	農人斂手，對曰：「琳是也。」
HCH_012_138_000066	使者以狀聞。
HCH_012_138_000067	帝為嘉歎。
HCH_012_138_000068	楊思義，不詳其籍裏。
HCH_012_138_000069	太祖稱吳王，授起居注。
HCH_012_138_000070	初，錢穀隸中書省。
HCH_012_138_000071	吳元年始設司農卿，以思義為之。
HCH_012_138_000072	明年設六部，改為戶部尚書。
