HCH_012_139_000001	錢唐韓宜可蕭岐馮堅茹太素李仕魯葉伯巨鄭士利周敬心王樸錢唐，字惟明，象山人。
HCH_012_139_000002	博學敦行。
HCH_012_139_000003	洪武元年，舉明經。
HCH_012_139_000004	對策稱旨，特授刑部尚書。
HCH_012_139_000005	二年詔孔廟春秋釋奠，止行於曲阜，天下不必通祀。
HCH_012_139_000006	唐伏闕上疏言：「孔子垂教萬世，天下共尊其教，故天下得通祀孔子，報本之禮不可廢。」
HCH_012_139_000007	侍郎程徐亦疏言：「古今祀典，獨社稷、三皇與孔子通祀。天下民非社稷、三皇則無以生，非孔子之道則無以立。堯、舜、禹、湯、文、武、周公，皆聖人也。然發揮三綱五常之道，載之於經，儀範百王，師表萬世，使世愈降而人極不墜者，孔子力也。孔子以道設教，天下祀之，非祀其人，祀其教也，祀其道也。今使天下之人，讀其書，由其教，行其道，而不得舉其祀，非所以維人心、扶世教也。」
HCH_012_139_000008	皆不聽。
HCH_012_139_000009	久之，乃用其言。
HCH_012_139_000010	帝嘗覽《孟子》，至「草芥」「寇仇」語，謂：「非臣子所宜言」，議罷其配享。
HCH_012_139_000011	詔：「有諫者以大不敬論。」
HCH_012_139_000012	唐抗疏入諫曰：「臣為孟軻死，死有餘榮。」
HCH_012_139_000013	時廷臣無不為唐危。
HCH_012_139_000014	帝鑒其誠懇，不之罪。
HCH_012_139_000015	孟子配享亦旋復。
HCH_012_139_000016	然卒命儒臣修《孟子節文》云。
HCH_012_139_000017	唐為人強直。
HCH_012_139_000018	嘗詔講《虞書》，唐陛立而講。
HCH_012_139_000019	或糾唐草野不知君臣禮，唐正色曰：「以古聖帝之道陳於陛下，不跪不為倨。」
HCH_012_139_000020	又嘗諫宮中不宜揭武后圖。
HCH_012_139_000021	忤旨，待罪午門外竟日。
HCH_012_139_000022	帝意解，賜之食，即命撤圖。
HCH_012_139_000023	未幾，謫壽州，卒。
HCH_012_139_000024	程徐，字仲能，鄞人。
HCH_012_139_000025	元名儒端學子也。
HCH_012_139_000026	至正中，以明《春秋》知名。
HCH_012_139_000027	歷官兵部尚書，致仕。
HCH_012_139_000028	明兵入元都，妻金抱二歲兒與女瓊赴井死。
HCH_012_139_000029	洪武二年，偕危素等自北平至京。
HCH_012_139_000030	授刑部侍郎，進尚書，卒。
HCH_012_139_000031	徐精勤通敏，工詩文，有集傳於世。
HCH_012_139_000032	韓宜可，字伯時，浙江山陰人。
HCH_012_139_000033	元至正中，行御史臺辟為掾，不就。
HCH_012_139_000034	洪武初，薦授山陰教諭，轉楚府錄事。
HCH_012_139_000035	尋擢監察御史，彈劾不避權貴。
HCH_012_139_000036	時丞相胡惟庸、御史大夫陳寧、中丞塗節方有寵於帝，嘗侍坐，從容燕語。
HCH_012_139_000037	宜可直前，出懷中彈文，劾三人險惡似忠，奸佞似直，恃功怙寵，內懷反側，擢置臺端，擅作威福，乞斬其首以謝天下。
HCH_012_139_000038	帝怒曰：「快口御史，敢排陷大臣耶！」
HCH_012_139_000039	命下錦衣衛獄，尋釋之。
HCH_012_139_000040	九年出為陜西按察司僉事。
HCH_012_139_000041	時官吏有罪者，笞以上悉謫屯鳳陽，至萬數。
HCH_012_139_000042	宜可疏，爭之曰：「刑以禁淫慝，一民軌，宜論其情之輕重，事之公私，罪之大小。今悉令謫屯，此小人之幸，君子殆矣。乞分別，以協眾心。」
HCH_012_139_000043	帝可之。
HCH_012_139_000044	已，入朝京師。
HCH_012_139_000045	會賜諸司沒官男女，宜可獨不受。
HCH_012_139_000046	且極論：「罪人不孥，古之制也。有事隨坐，法之濫也。況男女，人之大倫，婚姻逾時，尚傷和氣。合門連坐，豈聖朝所宜！」
HCH_012_139_000047	帝是其言。
HCH_012_139_000048	後坐事將刑，御謹身殿親鞫之，獲免。
HCH_012_139_000049	復疏，陳二十餘事，皆報可。
HCH_012_139_000050	未幾，罷歸。
HCH_012_139_000051	已，復徵至。
HCH_012_139_000052	命撰祀鐘山、大江文；諭日本、征烏蠻詔，皆稱旨，特授山西右布政使。
HCH_012_139_000053	尋以事安置雲南。
HCH_012_139_000054	惠帝即位，用檢討陳性善薦，起雲南參政，入拜左副都御史，卒於官。
HCH_012_139_000055	是夜大星隕，櫪馬皆驚嘶，人謂：「宜可當之」云。
HCH_012_139_000056	帝之建御史臺也，諸御史以敢言著者，自宜可外，則稱周觀政。
HCH_012_139_000057	觀政亦山陰人。
HCH_012_139_000058	以薦授九江教授，擢監察御史。
HCH_012_139_000059	嘗監奉天門。
HCH_012_139_000060	有中使將女樂入，觀政止之。
HCH_012_139_000061	中使曰：「有命」，觀政執不聽。
HCH_012_139_000062	中使慍而入，頃之出報曰：「御史且休，女樂已罷不用。」
HCH_012_139_000063	觀政又拒曰：「必面奉詔。」
HCH_012_139_000064	已而帝親出宮，謂之曰：「宮中音樂廢缺，欲使內家肄習耳。朕已悔之，御史言是也。」
HCH_012_139_000065	左右無不驚異者。
HCH_012_139_000066	觀政累官江西按察使。
HCH_012_139_000067	前觀政者，有歐陽韶，字子韶，永新人。
HCH_012_139_000068	薦授監察御史。
HCH_012_139_000069	有詔：日命兩御史侍班。
HCH_012_139_000070	韶嘗侍直，帝乘怒將戮人。
HCH_012_139_000071	他御史不敢言，韶趨跪殿廷下，倉卒不能措詞，急捧手加額，呼曰：「陛下不可！」
HCH_012_139_000072	帝察韶樸誠，從之。
HCH_012_139_000073	未幾，致仕，卒於家。
HCH_012_139_000074	蕭岐，字尚仁，泰和人。
HCH_012_139_000075	五歲而孤，事祖父母以孝聞。
HCH_012_139_000076	有司屢舉不赴。
HCH_012_139_000077	洪武十七年，詔徵賢良，強起之。
HCH_012_139_000078	上十便書，大意謂：帝刑罰過中，訐告風熾。
HCH_012_139_000079	請禁止實封以杜誣罔；依律科獄以信詔令。
HCH_012_139_000080	凡萬餘言。
HCH_012_139_000081	召見，授潭王府長史。
HCH_012_139_000082	力辭，忤旨，謫雲南楚雄訓導。
HCH_012_139_000083	岐即日行，遣騎追還。
HCH_012_139_000084	歲餘，改授陜西平涼。
HCH_012_139_000085	再歲致仕。
HCH_012_139_000086	復召與錢宰等考定《書》傳。
HCH_012_139_000087	賜幣鈔，給驛歸。
HCH_012_139_000088	嘗輯《五經要義》；又取《刑統八韻賦》，引律令為之解，合為一集。
HCH_012_139_000089	嘗曰：「天下之理本一，出乎道必入乎刑。吾合二書，使觀者有所省也。」
HCH_012_139_000090	學者稱「正固先生」。
HCH_012_139_000091	當是時，太祖治尚剛嚴，中外凜凜，奉法救過不給。
HCH_012_139_000092	而岐所上書過切直，帝不為忤。
HCH_012_139_000093	厥後以言被超擢者，有門克新。
HCH_012_139_000094	克新，鞏昌人。
HCH_012_139_000095	泰州教諭也。
HCH_012_139_000096	二十六年，秩滿來朝。
HCH_012_139_000097	召問經史及政治得失。
HCH_012_139_000098	克新直言無隱。
HCH_012_139_000099	授贊善。
HCH_012_139_000100	時紹興王俊華以善文辭，亦授是職。
HCH_012_139_000101	上諭吏部曰：「左克新，右俊華，重直言也。」
HCH_012_139_000102	初，教官給由至京，帝詢民疾苦。
HCH_012_139_000103	岢嵐吳從權、山陰張桓皆言：「臣職在訓士，民事無所與。」
HCH_012_139_000104	帝怒曰：「宋胡瑗為蘇、湖教授，其教兼經義治事；漢賈誼、董仲舒皆起田里，敷陳時務；唐馬周不得親見太宗，且教武臣言事。今既集朝堂，朕親詢問，俱無以對，志聖賢之道者固如是乎！」
HCH_012_139_000105	命竄之邊方。
HCH_012_139_000106	且榜諭天下學校，使為鑒戒。
HCH_012_139_000107	至是克新以亮直見重。
HCH_012_139_000108	不數年，擢禮部尚書。
HCH_012_139_000109	尋引疾，命太醫給藥物，不輟其奉。
HCH_012_139_000110	及卒，命有司護喪歸葬。
HCH_012_139_000111	馮堅，不知何許人，為南豐典史。
HCH_012_139_000112	洪武二十四年上書言九事：「一曰養聖躬。請清心省事，不與細務，以為民社之福。二曰擇老成。諸王年方壯盛，左右輔導。願擇取老成之臣出為王官，使得直言正色，以圖匡救。三曰攘要荒。請務農講武，屯戍邊圉，以備不虞。四曰勵有司。請得廉正有守之士，任以方面。旌別屬吏，具實以聞而黜陟之。使人勇於自治。五曰褒祀典。請敕有司采歷代忠烈諸臣，追加封謚，俾末俗有所興勸。六曰省宦寺。晨夕密邇，其言易入，養成禍患而不自知。請裁去冗員，可杜異日陵替之弊。七曰易邊將。假以兵柄，久在邊圉，多致縱佚。請時遷歲調，不使久居其任。不惟保全勛臣，實可防將驕卒惰、內輕外重之漸。八曰訪吏治。廉幹之才，或為上官所忌，僚吏所嫉。上不加察，非激勸之道。請廣布耳目，訪察廉貪，以明黜陟。九曰增關防。諸司以帖委胥吏，俾督所部，輒加箠楚，害及於民。請增置勘合以付諸司，聽其填寫差遣，事訖繳報，庶所司不輕發以病民，而庶務亦不致曠廢。」
HCH_012_139_000113	書奏，帝嘉之，稱其知時務，達事變。
HCH_012_139_000114	又謂侍臣曰：「堅言惟調易邊將則未然。邊將數易，則兵力勇怯、敵情出沒、出川形勝，無以備知。倘得趙充國、班超者，又何取數易為哉！」
HCH_012_139_000115	乃命吏部擢堅左僉都御史，在院頗持大體。
HCH_012_139_000116	其明年，卒於任。
HCH_012_139_000117	茹太素，澤州人。
HCH_012_139_000118	洪武三年，鄉舉，上書稱旨，授監察御史。
HCH_012_139_000119	六年擢四川按察使，以平允稱。
HCH_012_139_000120	七年五月召為刑部侍郎，上言：「自中書省內外百司，聽御史、按察使檢舉。而御史臺未有定考，宜令守院御史一體察核。磨勘司官吏數少，難以檢核天下錢糧，請增置若干員，各分為科。在外省衛，凡會議軍民事，各不相合，致稽延。請用按察司一員糾正。」
HCH_012_139_000121	帝皆從之。
HCH_012_139_000122	明年，坐累降刑部主事。
HCH_012_139_000123	陳時務累萬言，太祖令中書郎王敏誦而聽之。
