HCH_012_151_000001	茹常嚴震直張紞王鈍鄭賜郭資呂震李至剛方賓吳中劉觀茹常，衡山人。
HCH_012_151_000002	洪武中，由監生除承敕郎，歷通政使。
HCH_012_151_000003	勤於職，太祖賢之。
HCH_012_151_000004	二十三年拜右副都御史，又試兵部尚書，尋實授，加太子少保。
HCH_012_151_000005	及惠帝即位，改吏部，與黃子澄不相能，刑部尚書暴昭發其贓罪，出掌河南布政司事。
HCH_012_151_000006	尋復召為兵部尚書。
HCH_012_151_000007	燕兵至龍潭，帝遣常及曹國公李景隆、都督同知王佐詣燕軍議和。
HCH_012_151_000008	常等見成祖，伏地流汗，不能發一言。
HCH_012_151_000009	成祖曰：「公等言即言耳，何懼至是。」
HCH_012_151_000010	久之，乃言奉詔割地講和。
HCH_012_151_000011	成祖笑曰：「吾無罪而削為庶人，今救死，何以地為！且皇考封諸子，已各有分地矣。其縛奸臣來，吾即解甲謁孝陵歸藩。」
HCH_012_151_000012	常等唯唯頓首還。
HCH_012_151_000013	成祖入京師，召常。
HCH_012_151_000014	常首勸進。
HCH_012_151_000015	成祖既即位，下詔言景隆、常、佐及陳瑄事太祖忠，功甚重。
HCH_012_151_000016	封常忠誠伯，食祿一千石，終其身。
HCH_012_151_000017	仍兵部尚書、太子少保。
HCH_012_151_000018	選其子鑒為秦府長安郡主儀賓。
HCH_012_151_000019	即命常出營郡主府第。
HCH_012_151_000020	還朝，坐不送趙王，遣歸裏。
HCH_012_151_000021	既而為家人所訟，逮至京。
HCH_012_151_000022	釋還。
HCH_012_151_000023	過長沙不謁谷王，王以為言。
HCH_012_151_000024	時方重藩王禮，谷王又開金川門有功，帝意向之。
HCH_012_151_000025	陳瑛遂劾常違祖制，逮下錦衣獄。
HCH_012_151_000026	常知不免，命子銓市毒藥，服之死。
HCH_012_151_000027	時永樂七年二月也。
HCH_012_151_000028	法司劾銓毒其父，請以謀殺父母論。
HCH_012_151_000029	後以銓實承父命，減死，與兄弟家屬二十七人謫戍廣西河池。
HCH_012_151_000030	仁宗立，釋還。
HCH_012_151_000031	宣宗與所沒田廬。
HCH_012_151_000032	瑺居官謹慎，謙和有容。
HCH_012_151_000033	其死也，人頗惜之。
HCH_012_151_000034	嚴震直，字子敏，烏程人。
HCH_012_151_000035	洪武時以富民擇糧長，歲部糧萬石至京師，無後期，帝才之。
HCH_012_151_000036	二十三年特授通政司參議，再遷為工部侍郎。
HCH_012_151_000037	二十六年六月進尚書。
HCH_012_151_000038	時朝廷事營建，集天下工匠於京師，凡二十餘萬戶。
HCH_012_151_000039	震直請戶役一人，書其姓名、所業於官，有役則按籍更番召之，役者稱便。
HCH_012_151_000040	鄉民訴其弟侄不法，帝付震直訊。
HCH_012_151_000041	具獄上，帝以為不欺，赦其弟侄。
HCH_012_151_000042	已，坐事降御史，數雪冤獄。
HCH_012_151_000043	二十八年討龍州，使震直偕尚書任亨泰諭安南。
HCH_012_151_000044	還，條奏利病，稱旨。
HCH_012_151_000045	尋命修廣西興安縣靈渠。
HCH_012_151_000046	審度地勢，導湘、漓二江，浚渠五千餘丈，築渼潭及龍母祠土堤百五十餘丈，又增高中江石堤，建陡閘三十有六，鑿去灘石之礙舟者，漕運悉通。
HCH_012_151_000047	歸奏，帝稱善。
HCH_012_151_000048	三十年二月疏言：「廣東舊運鹽八十五萬餘引於廣西，召商中買。今終年所運，才十之一。請分三十萬八千餘引貯廣東，別募商入粟廣西之糧衛所，支鹽廣東，鬻之江西南安、贛州、吉安、臨江四府便。」
HCH_012_151_000049	帝從之。
HCH_012_151_000050	廣鹽行於江西自此始。
HCH_012_151_000051	其年四月擢右都御史，尋復為工部尚書。
HCH_012_151_000052	建文中，嘗督餉山東，已而致仕。
HCH_012_151_000053	成祖即位，召見，命以故官巡視山西。
HCH_012_151_000054	至澤州，病卒。
HCH_012_151_000055	張紞，字昭季，富平人。
HCH_012_151_000056	洪武中，舉明經。
HCH_012_151_000057	為東宮侍書，累遷試左通政。
HCH_012_151_000058	十五年，雲南平，出為左參政。
HCH_012_151_000059	陛辭，帝賦詩二章賜之。
HCH_012_151_000060	歷左布政使。
HCH_012_151_000061	二十年春入覲，治行為天下第一，特令吏部勿考。
HCH_012_151_000062	賜璽書曰：「曩者討平西南，命官撫守，爾紞實先往，於今五年。諸蠻聽服，誠信相孚，克恭乃職，不待考而朕知其功出天下十二牧上。故嘉爾績，命爾仍治滇南。往，欽哉。」
HCH_012_151_000063	紞在滇凡十七年，土地貢賦、法令條格皆所裁定。
HCH_012_151_000064	民間喪祭冠婚咸有定制，務變其俗。
HCH_012_151_000065	滇人遵用之。
HCH_012_151_000066	朝士董倫、王景輩謫其地，皆接以禮意。
HCH_012_151_000067	惠帝即位，召為吏部尚書。
HCH_012_151_000068	詔征遺逸士集闕下。
HCH_012_151_000069	紞所選用，皆當其才。
HCH_012_151_000070	會修《太祖實錄》，命試翰林編纂官，紞奏楊士奇第一。
HCH_012_151_000071	士奇由是知名。
HCH_012_151_000072	成祖入京師，錄中朝奸臣二十九人，紞與焉。
HCH_012_151_000073	以茹常言，宥仍故職。
HCH_012_151_000074	無何，帝臨朝而嘆，咎建文時之改官制者。
HCH_012_151_000075	乃令紞及戶部尚書王鈍解職務，月給半俸，居京師。
HCH_012_151_000076	紞懼，自經於吏部後堂，妻子相率投池中死。
HCH_012_151_000077	紞在吏部，值變官制，小吏張祖言曰：「高皇帝立法創制，規模甚遠。今更之，未必勝，徒滋人口，願公力持之。」
HCH_012_151_000078	紞不能用，然心賢祖，奏為京衛知事。
HCH_012_151_000079	後紞死，屬吏無敢視者，唯祖經紀其喪。
HCH_012_151_000080	世傳燕師入京，紞即自經死；嚴震直奉使至雲南，遇建文君悲愴吞金死。
HCH_012_151_000081	考諸國史，非其實也。
HCH_012_151_000082	時有毛泰亨者，建文時為吏部侍郎，與紞同事。
HCH_012_151_000083	紞死，泰亨亦死。
HCH_012_151_000084	王鈍，字士魯，太康人。
HCH_012_151_000085	元末猗氏縣尹。
HCH_012_151_000086	洪武中，征授禮部主事，歷官福建參政，以廉慎聞。
HCH_012_151_000087	遣諭麓川，卻其贈。
HCH_012_151_000088	或曰：「不受恐遠人疑貳。」
HCH_012_151_000089	鈍乃受之。
HCH_012_151_000090	還至雲南，輸之官庫。
HCH_012_151_000091	二十三年遷浙江左布政使。
HCH_012_151_000092	在浙十年，名與張紞埒。
HCH_012_151_000093	帝嘗稱於朝，以勸庶僚。
HCH_012_151_000094	建文初，拜戶部尚書。
HCH_012_151_000095	成祖入，逾城走，為邏卒所執。
HCH_012_151_000096	詔仍故官。
HCH_012_151_000097	未幾，與紞俱罷。
HCH_012_151_000098	尋命同工部尚書嚴震直等分巡山西、河南、陜西、山東，又同新昌伯唐雲經理北平屯種。
HCH_012_151_000099	承制再上疏言事，皆允行。
HCH_012_151_000100	永樂二年四月賜敕以布政使致仕。
HCH_012_151_000101	既歸，郁郁死。
HCH_012_151_000102	子淪，永樂四年進士。
HCH_012_151_000103	仁宗時遷鄭王府左長史，數以禮諫王。
HCH_012_151_000104	嘗擬荀卿《成相篇》，撰十二章以獻。
HCH_012_151_000105	語切，與王不合。
HCH_012_151_000106	召改戶部郎中。
HCH_012_151_000107	英宗即位，擢戶部右侍郎，巡撫浙江，有惠政。
HCH_012_151_000108	母喪起復，入覲，留攝部事。
HCH_012_151_000109	尋以老乞歸，卒。
HCH_012_151_000110	鄭賜，字彥嘉，建寧人。
HCH_012_151_000111	洪武十八年進士。
HCH_012_151_000112	授監察御史。
HCH_012_151_000113	時天下郡邑吏多坐罪謫戍，賜嘗奉命於龍江編次行伍。
HCH_012_151_000114	方暑，諸囚憊甚。
HCH_012_151_000115	賜脫其械，俾僦舍止息，周其飲食，病者與醫藥，多所全活。
HCH_012_151_000116	秩滿當遷，湖廣布政司參議闕，命賜與檢討吳文為之。
HCH_012_151_000117	二人協心劃弊，民以寧輯，苗獠畏懷。
HCH_012_151_000118	母喪，去。
HCH_012_151_000119	服除，改北平參議，事成祖甚謹。
